Date,pm25,pm10,wind-speed,humidity,precipitation
2022-01-01,46,0,1.5,69.3,0
2022-01-02,42,0,1.5,79.0,0
2022-01-03,25,0,2.5,71.0,0
2022-01-04,17,0,1.5,82.0,0
2022-01-05,21,0,2.3,87.0,0
2022-01-06,25,0,1.5,87.0,0
2022-01-07,17,0,1.5,86.1,0
2022-01-08,21,0,1.5,83.0,0
2022-01-09,38,0,1.5,87.5,0
2022-01-10,46,0,1.8,81.3,0
2022-01-11,50,0,1.5,71.0,0
2022-01-12,55,0,2.0,76.0,0
2022-01-13,59,0,1.5,79.2,0
2022-01-14,38,0,2.3,72.7,0
2022-01-15,46,0,1.5,67.0,0
2022-01-16,53,0,2.0,68.3,0
2022-01-17,70,0,1.5,76.5,0
2022-01-18,55,0,1.3,86.5,0
2022-01-19,46,0,1.5,86.2,0
2022-01-20,53,0,1.5,81.0,0
2022-01-21,34,0,4.1,33.1,0
2022-01-22,17,0,3.0,33.7,0
2022-01-23,42,0,1.5,63.1,0
2022-01-24,55,0,1.5,75.5,0
2022-01-25,53,0,1.8,87.2,0
2022-01-26,53,0,2.0,85.5,0
2022-01-27,55,0,1.8,66.0,0
2022-01-28,55,0,1.5,67.7,0
2022-01-29,63,0,1.5,67.6,0
2022-01-30,55,0,1.1,78.0,0
2022-01-31,57,0,0.8,86.5,0
2022-02-01,21,0,2.0,33.5,0
2022-02-02,13,0,2.7,30.5,0
2022-02-03,30,0,2.5,54.4,0
2022-02-04,55,0,2.0,65.1,0
2022-02-05,68,0,1.5,65.0,0
2022-02-06,53,0,2.0,63.0,0
2022-02-07,61,0,2.0,66.2,0
2022-02-08,55,0,1.5,58.7,0
2022-02-09,38,0,1.5,54.1,0
2022-02-10,30,0,2.2,58.0,0
2022-02-11,46,0,2.0,61.0,0
2022-02-12,53,0,2.0,63.5,0
2022-02-13,53,0,2.0,67.0,0
2022-02-14,46,0,2.1,81.0,0
2022-02-15,13,0,3.5,57.6,0
2022-02-16,25,0,3.1,41.5,0
2022-02-17,25,0,1.7,36.5,0
2022-02-18,42,0,2.0,60.8,0
2022-02-19,53,0,1.9,62.0,0
2022-02-20,38,0,3.5,69.3,0
2022-02-21,21,0,3.5,65.0,0
2022-02-22,17,0,3.0,63.5,0
2022-02-23,21,0,2.5,60.0,0
2022-02-24,21,0,1.8,62.3,0
2022-02-25,34,0,2.1,67.5,0
2022-02-26,42,0,2.0,47.7,0
2022-02-27,53,0,2.5,50.5,0
2022-02-28,50,0,2.0,55.7,0
2022-03-01,30,0,2.0,62.0,0
2022-03-02,25,0,2.0,69.7,0
2022-03-03,30,0,1.5,77.8,0
2022-03-04,34,0,4.1,76.0,0
2022-03-05,17,0,3.1,64.7,0
2022-03-06,30,0,1.5,72.3,0
2022-03-07,25,0,2.8,55.7,0
2022-03-08,30,0,1.7,47.2,0
2022-03-09,34,0,3.1,64.2,0
2022-03-10,25,0,3.5,43.0,0
2022-03-11,21,0,1.5,41.2,0
2022-03-12,25,0,2.0,52.5,0
2022-03-13,25,0,2.0,63.8,0
2022-03-14,30,0,2.1,51.0,0
2022-03-15,21,0,1.9,68.0,0
2022-03-16,30,0,2.4,72.2,0
2022-03-17,34,0,2.0,72.4,0
2022-03-18,30,0,2.0,71.0,0
2022-03-19,21,0,2.5,81.0,0
2022-03-20,21,0,3.2,62.0,0
2022-03-21,34,0,3.0,64.6,0
2022-03-22,25,0,3.0,48.2,0
