Date,pm25,pm10,wind-speed,humidity,precipitation
2022-01-01,13,3,4.1,79.0,0.6
2022-01-02,30,7,3.0,78.3,99.0
2022-01-03,25,7,3.6,73.1,0.1
2022-01-04,21,6,6.1,68.2,0.4
2022-01-05,21,6,6.6,72.3,0.2
2022-01-06,42,10,1.0,30.0,99.0
2022-01-07,34,9,1.5,64.0,99.0
2022-01-08,38,10,2.0,82.8,0.1
2022-01-09,42,10,3.0,77.4,0.1
2022-01-10,42,10,1.0,79.0,99.0
2022-01-11,17,4,4.1,68.9,1.4
2022-01-12,13,4,5.0,20.0,0.6
2022-01-13,9,3,7.2,85.2,0.8
2022-01-14,21,7,9.2,82.0,0.5
2022-01-15,21,7,6.1,76.3,0.4
2022-01-16,17,4,3.0,82.1,99.5
2022-01-17,34,11,3.6,70.3,99.0
2022-01-18,50,12,2.5,72.2,0.1
2022-01-19,21,6,1.5,64.9,99.5
2022-01-20,21,5,1.5,61.2,0.0
2022-01-21,25,6,4.6,78.9,99.0
2022-01-22,21,6,2.0,90.1,0.8
2022-01-23,42,9,1.5,78.3,99.0
2022-01-24,42,10,1.5,80.2,99.5
2022-01-25,30,9,1.5,80.3,99.5
2022-01-26,38,9,1.5,78.0,99.0
2022-01-27,30,9,2.0,88.1,0.1
2022-01-28,42,9,2.0,77.2,99.0
2022-01-29,34,9,2.0,66.2,99.0
2022-01-30,17,5,4.1,50.0,99.5
2022-01-31,21,5,2.0,84.2,0.6
2022-02-01,30,8,2.0,66.2,0.1
2022-02-02,21,6,1.2,85.0,0.1
2022-02-03,34,8,2.5,68.0,99.0
2022-02-04,34,8,1.5,64.3,99.0
2022-02-05,34,8,1.5,74.1,99.0
2022-02-06,21,5,2.5,88.0,1.0
2022-02-07,21,6,3.0,59.9,99.0
2022-02-08,34,7,1.5,74.2,99.0
2022-02-09,30,8,3.6,59.1,0.1
2022-02-10,50,11,1.0,69.9,0.0
2022-02-11,50,11,1.5,77.1,99.0
2022-02-12,46,11,1.0,81.2,0.0
2022-02-13,46,12,3.0,64.9,99.0
2022-02-14,38,10,2.0,73.0,99.5
2022-02-15,25,6,2.5,74.2,99.0
2022-02-16,21,6,4.1,79.0,99.0
2022-02-17,21,6,2.0,74.0,99.5
2022-02-18,17,5,2.3,70.1,99.0
2022-02-19,21,6,3.0,66.9,0.2
2022-02-20,17,5,6.1,74.3,0.4
2022-02-21,17,5,9.2,82.8,0.7
2022-02-22,13,4,6.6,82.4,0.7
2022-02-23,21,6,4.6,81.0,0.2
2022-02-24,30,9,2.5,67.2,99.0
2022-02-25,42,11,2.5,68.3,99.0
2022-02-26,63,20,4.1,63.9,99.0
2022-02-27,50,12,4.1,71.0,99.0
2022-02-28,30,9,4.1,62.9,0.3
2022-03-01,34,10,2.5,78.3,99.0
2022-03-02,38,10,2.0,62.0,99.0
2022-03-03,34,10,4.1,79.0,0.3
2022-03-04,30,8,1.5,61.1,99.5
2022-03-05,30,9,5.6,70.0,0.4
2022-03-06,34,10,3.6,68.9,99.5
2022-03-07,17,5,6.4,69.0,99.0
2022-03-08,21,7,1.2,89.0,99.0
2022-03-09,30,8,1.0,69.0,0.0
2022-03-10,46,11,2.0,63.1,0.0
2022-03-11,55,15,4.6,73.1,99.0
2022-03-12,53,15,3.6,77.3,0.5
2022-03-13,42,11,3.0,63.0,0.0
2022-03-14,46,12,3.0,73.9,0.0
2022-03-15,30,9,3.0,94.4,1.0
2022-03-16,30,9,1.5,87.9,99.0
2022-03-17,21,6,1.5,84.1,0.7
2022-03-18,25,7,2.0,73.0,99.0
2022-03-19,21,7,9.0,20.0,99.0
2022-03-20,17,5,6.6,61.0,0.3
2022-03-21,21,6,2.5,65.9,99.0
2022-03-22,38,10,2.0,79.0,99.0
2022-03-23,42,12,1.5,56.2,99.0
2022-03-24,46,12,2.0,68.3,99.0
2022-03-25,42,10,1.5,60.2,0.0
2022-03-26,42,13,5.6,82.0,0.2
2022-03-27,30,9,4.6,47.0,0.5
2022-03-28,25,8,4.1,64.0,99.0
2022-03-29,30,10,2.5,68.9,0.0
2022-03-30,34,10,4.6,82.4,0.1
2022-03-31,25,8,2.5,58.0,99.5
2022-04-01,21,7,4.1,64.1,99.0
2022-04-02,30,8,2.0,52.0,99.0
2022-04-03,38,10,4.3,63.0,99.0
2022-04-04,34,10,2.0,38.1,0.0
2022-04-05,25,8,4.1,55.5,0.0
2022-04-06,21,7,4.2,87.0,0.1
2022-04-07,30,9,3.6,49.5,99.0
2022-04-08,38,10,3.3,61.2,99.0
2022-04-09,42,11,4.1,57.2,99.0
2022-04-10,59,20,2.5,74.8,99.0
2022-04-11,65,23,2.5,77.2,0.0
2022-04-12,68,25,2.5,74.2,99.0
2022-04-13,13,5,6.6,75.1,0.2
2022-04-14,13,5,4.1,59.1,0.0
2022-04-15,21,7,2.5,57.1,0.0
2022-04-16,21,6,3.6,55.0,0.0
2022-04-17,50,15,3.0,62.2,99.0
2022-04-18,61,20,2.0,73.2,0.5
2022-04-19,57,16,2.5,52.3,99.0
2022-04-20,53,15,4.6,43.0,0.0
2022-04-21,55,17,4.6,44.2,0.0
2022-04-22,57,17,4.1,66.0,0.2
2022-04-23,21,6,4.1,60.1,0.3
2022-04-24,25,8,5.1,56.0,0.0
2022-04-25,42,12,2.5,47.9,0.0
2022-04-26,46,14,5.1,65.2,0.0
2022-04-27,25,8,7.2,43.0,99.0
2022-04-28,30,9,6.1,32.1,0.0
2022-04-29,30,9,3.0,45.2,0.0
2022-04-30,21,7,4.6,44.5,0.0
2022-05-01,25,8,4.6,79.2,99.0
2022-05-02,13,4,3.0,60.9,99.0
2022-05-03,17,6,2.5,63.3,99.0
2022-05-04,30,10,4.6,76.2,0.4
2022-05-05,30,8,6.1,64.1,99.0
2022-05-06,53,15,6.6,63.1,99.0
2022-05-07,53,15,5.1,71.1,99.5
2022-05-08,17,5,4.6,50.1,0.1
2022-05-09,17,6,4.1,27.0,0.0
2022-05-10,42,13,2.0,38.2,0.0
2022-05-11,46,14,2.8,48.2,0.0
2022-05-12,34,11,2.0,68.1,0.0
2022-05-13,38,11,2.0,78.2,0.3
2022-05-14,13,3,6.1,83.9,99.0
2022-05-15,25,7,3.0,55.2,99.0
2022-05-16,38,11,5.1,55.0,0.0
2022-05-17,30,10,3.0,48.0,99.0
2022-05-18,38,11,3.0,50.2,0.0
2022-05-19,50,14,3.0,63.0,99.0
2022-05-20,53,16,2.0,69.0,99.0
2022-05-21,57,19,4.6,47.0,0.0
2022-05-22,46,13,4.6,58.9,0.2
2022-05-23,46,13,3.0,88.9,99.0
2022-05-24,30,9,2.0,87.0,99.5
2022-05-25,42,12,2.0,57.9,0.0
2022-05-26,42,13,5.1,57.0,0.0
2022-05-27,25,7,7.2,87.4,2.4
2022-05-28,21,7,3.0,90.0,0.9
2022-05-29,13,5,3.0,88.1,0.7
2022-05-30,17,5,3.6,63.1,99.0
2022-05-31,13,4,6.1,81.2,1.2
2022-06-01,13,4,2.5,83.1,1.0
2022-06-02,13,6,1.5,80.0,99.0
2022-06-03,13,5,5.1,77.3,99.0
2022-06-04,13,5,5.6,73.0,99.0
2022-06-05,13,4,2.5,66.0,0.0
2022-06-06,21,6,4.1,62.1,0.0
2022-06-07,34,10,2.0,55.0,0.0
2022-06-08,30,9,2.5,70.2,0.0
2022-06-09,25,9,4.3,79.0,0.0
2022-06-10,21,6,4.6,72.0,0.0
2022-06-11,17,5,3.6,83.9,99.0
2022-06-12,9,3,6.9,76.0,99.0
2022-06-13,17,7,4.6,71.9,0.0
2022-06-14,25,8,3.6,82.0,0.0
2022-06-15,25,8,6.1,72.9,99.0
2022-06-16,17,5,3.0,92.0,0.3
2022-06-17,25,9,2.0,93.2,99.0
2022-06-18,42,14,3.6,76.2,99.0
2022-06-19,55,17,3.6,77.1,99.0
2022-06-20,34,11,4.6,83.2,0.8
2022-06-21,25,8,3.6,82.0,99.0
2022-06-22,34,10,5.1,73.2,99.0
2022-06-23,21,6,5.1,84.1,0.4
2022-06-24,13,4,8.2,90.9,1.2
2022-06-25,30,10,5.1,69.0,0.0
2022-06-26,50,17,3.0,62.2,99.0
2022-06-27,30,10,3.6,83.3,99.0
2022-06-28,21,7,4.1,89.3,0.7
2022-06-29,25,9,2.5,96.3,0.6
2022-06-30,17,6,2.0,85.9,0.2
2022-07-01,21,6,3.6,85.0,99.0
2022-07-02,25,9,1.5,86.0,99.0
2022-07-03,38,13,1.5,73.2,0.0
2022-07-04,55,20,1.5,83.2,99.0
2022-07-05,55,20,1.5,84.8,99.0
2022-07-06,42,14,2.0,80.2,0.0
2022-07-07,42,14,2.5,75.9,0.0
2022-07-08,21,7,4.1,84.2,0.0
2022-07-09,21,6,3.0,73.0,99.0
2022-07-10,25,9,2.5,76.0,99.0
2022-07-11,30,10,2.5,80.5,99.0
2022-07-12,13,4,4.1,82.2,99.0
2022-07-13,17,6,3.6,77.1,99.0
2022-07-14,42,13,5.4,80.1,0.0
2022-07-15,25,9,7.2,75.0,99.0
2022-07-16,21,8,4.1,88.0,99.0
2022-07-17,17,5,2.5,93.0,4.9
2022-07-18,13,5,2.0,88.2,99.5
2022-07-19,30,11,3.6,91.0,99.0
2022-07-20,25,9,2.5,85.2,99.5
2022-07-21,21,9,3.6,81.3,0.0
2022-07-22,30,10,1.5,77.2,99.0
2022-07-23,30,10,2.0,88.9,1.0
2022-07-24,13,4,4.6,81.9,99.0
2022-07-25,13,5,2.0,83.0,99.0
2022-07-26,30,10,1.5,78.2,0.0
2022-07-27,34,12,1.5,80.2,0.0
2022-07-28,17,6,4.1,80.5,99.0
2022-07-29,34,11,2.0,81.3,0.0
2022-07-30,61,23,2.0,83.9,0.0
2022-07-31,42,18,2.0,85.0,99.0
2022-08-01,34,13,3.6,86.9,1.9
2022-08-02,21,10,5.6,86.1,0.3
2022-08-03,17,5,4.1,76.2,99.0
2022-08-04,21,8,4.1,71.3,0.0
2022-08-05,30,10,5.6,65.9,0.0
2022-08-06,21,7,5.1,72.2,0.0
2022-08-07,13,5,6.1,77.9,99.0
2022-08-08,25,10,5.1,86.0,0.4
2022-08-09,21,9,1.5,78.2,2.4
2022-08-10,21,7,3.0,80.2,99.0
2022-08-11,17,7,2.5,69.9,0.1
2022-08-12,21,8,3.0,86.0,4.0
2022-08-13,25,10,1.5,78.9,99.0
2022-08-14,25,9,2.5,79.2,99.0
2022-08-15,25,9,3.3,82.9,0.2
2022-08-16,13,5,6.0,97.0,5.9
2022-08-17,21,8,4.1,78.0,99.0
2022-08-18,25,9,4.1,96.5,99.0
2022-08-19,21,9,5.6,78.0,99.0
2022-08-20,21,8,3.3,100.0,0.0
2022-08-21,21,7,1.8,75.5,0.0
2022-08-22,21,8,5.1,67.9,0.0
2022-08-23,25,9,5.6,86.9,99.0
2022-08-24,21,7,3.0,64.0,99.0
2022-08-25,21,8,2.0,67.9,99.0
2022-08-26,34,11,3.6,72.9,99.0
2022-08-27,21,8,4.1,78.0,99.0
2022-08-28,21,7,2.5,61.2,99.0
2022-08-29,17,7,1.5,68.1,99.0
2022-08-30,21,9,2.5,77.0,99.0
2022-08-31,21,7,2.0,89.9,1.5
2022-09-01,17,6,1.5,86.2,0.1
2022-09-02,17,7,2.0,65.3,99.0
2022-09-03,21,7,1.8,79.0,0.0
2022-09-04,30,9,2.0,76.2,0.0
2022-09-05,21,9,5.6,80.2,99.0
2022-09-06,21,10,8.2,86.2,99.5
2022-09-07,30,10,3.6,61.1,0.7
2022-09-08,25,10,2.0,61.9,0.0
2022-09-09,25,9,1.5,73.9,0.0
2022-09-10,17,6,3.6,52.9,0.0
2022-09-11,30,10,3.6,72.9,0.0
2022-09-12,34,13,4.1,77.1,0.0
2022-09-13,38,13,3.0,79.2,0.0
2022-09-14,17,6,8.2,65.1,99.0
2022-09-15,17,6,1.5,68.2,0.0
2022-09-16,25,8,1.5,76.3,99.0
2022-09-17,30,12,4.1,83.2,99.0
2022-09-18,30,12,4.1,88.0,0.5
2022-09-19,21,8,3.6,91.1,1.3
2022-09-20,17,6,5.6,58.0,3.4
2022-09-21,17,6,2.0,51.2,0.0
2022-09-22,17,6,4.1,74.1,99.0
2022-09-23,13,6,4.1,96.3,1.4
2022-09-24,17,7,3.0,87.8,1.1
2022-09-25,25,8,2.5,66.1,99.0
2022-09-26,25,9,1.5,68.3,0.0
2022-09-27,30,9,1.5,74.3,0.0
2022-09-28,34,10,1.5,67.9,0.0
2022-09-29,46,14,1.5,81.8,99.0
2022-09-30,55,19,2.5,76.0,0.0
2022-10-01,50,16,3.0,68.1,0.0
2022-10-02,42,14,1.5,82.0,99.0
2022-10-03,38,14,4.6,82.2,0.0
2022-10-04,25,8,6.6,92.2,1.9
2022-10-05,13,4,3.6,68.3,0.5
2022-10-06,17,5,2.5,62.0,0.2
2022-10-07,13,5,1.5,62.3,0.0
2022-10-08,17,6,3.8,72.0,99.0
2022-10-09,17,6,3.0,74.2,99.0
2022-10-10,13,4,3.6,93.0,0.3
2022-10-11,21,6,3.0,74.2,0.6
2022-10-12,21,8,3.6,61.3,99.0
2022-10-13,25,8,1.5,68.2,0.0
2022-10-14,25,9,1.0,77.1,0.0
2022-10-15,25,10,2.0,83.9,99.0
2022-10-16,25,9,3.0,80.8,0.0
2022-10-17,25,8,4.1,82.3,0.3
2022-10-18,17,6,3.0,60.2,0.5
2022-10-19,17,6,2.3,63.5,99.0
2022-10-20,25,7,1.5,55.1,99.0
2022-10-21,46,15,1.5,63.2,0.0
2022-10-22,38,12,3.6,69.9,0.0
2022-10-23,13,4,3.0,74.0,99.0
2022-10-24,13,4,2.0,82.9,0.5
2022-10-25,17,5,1.5,69.0,99.0
2022-10-26,25,7,1.0,72.8,0.0
2022-10-27,30,7,1.5,70.1,0.0
2022-10-28,25,8,3.6,71.9,99.0
2022-10-29,17,5,2.0,69.0,0.4
2022-10-30,17,4,1.5,79.2,0.1
2022-10-31,17,5,3.6,81.0,0.0
2022-11-01,21,7,3.6,79.0,99.0
2022-11-02,34,10,3.0,59.0,99.5
2022-11-03,21,7,2.0,63.3,99.0
2022-11-04,34,10,3.8,48.0,99.0
2022-11-05,38,10,2.5,53.0,99.0
2022-11-06,25,8,2.0,60.9,99.5
2022-11-07,34,10,1.5,71.3,0.0
2022-11-08,42,12,1.5,70.0,99.0
2022-11-09,53,14,2.5,52.0,99.0
2022-11-10,50,13,4.1,53.2,99.0
2022-11-11,21,7,2.0,54.2,0.0
2022-11-12,30,10,4.6,62.0,0.0
2022-11-13,34,10,8.2,78.5,2.4
2022-11-14,13,4,5.1,79.2,0.4
2022-11-15,21,6,2.0,82.3,99.0
2022-11-16,17,5,2.0,85.3,0.6
2022-11-17,25,8,4.1,63.9,0.2
2022-11-18,25,8,2.5,70.0,99.0
2022-11-19,21,7,1.5,91.3,0.8
2022-11-20,17,7,1.5,85.1,99.0
2022-11-21,25,8,2.0,92.9,1.1
2022-11-22,21,7,5.1,53.2,0.3
2022-11-23,34,10,2.5,55.1,0.0
2022-11-24,34,10,2.5,76.9,99.0
2022-11-25,21,6,2.0,70.0,0.1
2022-11-26,30,10,4.1,67.9,0.4
2022-11-27,38,10,3.6,64.3,99.0
2022-11-28,25,9,1.5,75.0,99.0
2022-11-29,25,10,6.1,88.8,0.2
2022-11-30,25,6,4.1,70.4,0.3
2022-12-01,13,5,1.5,85.0,0.3
2022-12-02,21,6,2.0,69.0,0.3
2022-12-03,21,6,2.3,86.0,99.0
2022-12-04,21,6,3.0,64.0,0.1
2022-12-05,17,6,3.0,73.0,99.0
2022-12-06,17,5,3.0,65.0,99.0
2022-12-07,21,7,1.5,76.2,0.2
2022-12-08,21,6,1.5,80.2,99.0
2022-12-09,21,8,1.5,76.3,99.5
2022-12-10,30,8,1.0,82.1,99.0
2022-12-11,25,8,2.0,83.1,99.0
2022-12-12,30,9,2.0,75.9,99.0
2022-12-13,13,6,6.1,84.0,99.5
2022-12-14,25,9,3.0,73.3,0.2
2022-12-15,34,10,2.0,85.1,0.1
2022-12-16,21,7,1.5,74.1,0.2
2022-12-17,21,8,1.5,65.5,99.0
2022-12-18,17,5,4.1,67.0,99.0
2022-12-19,17,6,1.5,77.8,99.0
2022-12-20,25,7,1.5,75.3,99.0
2022-12-21,25,9,1.5,68.1,99.0
2022-12-22,25,9,2.5,72.1,0.7
2022-12-23,13,4,3.0,97.1,0.8
2022-12-24,13,5,4.6,77.3,0.1
2022-12-25,13,4,5.1,89.8,0.4
2022-12-26,13,5,3.0,74.1,99.5
2022-12-27,13,4,1.0,80.0,99.0
2022-12-28,17,6,1.5,82.9,99.5
2022-12-29,34,10,4.1,79.2,99.0
2022-12-30,25,8,3.6,63.0,0.2
2022-12-31,25,8,2.5,70.2,99.0
