Date,pm25,pm10,wind-speed,humidity,precipitation
2022-01-01,9,3,3.0,77.0,99.0
2022-01-02,13,4,2.0,71.3,99.0
2022-01-03,17,5,3.1,61.3,99.0
2022-01-04,13,5,2.6,86.2,99.0
2022-01-05,9,4,3.6,70.1,99.0
2022-01-06,17,6,1.5,75.2,99.0
2022-01-07,17,5,2.6,78.3,99.0
2022-01-08,21,7,1.0,69.2,99.0
2022-01-09,30,9,1.7,65.2,99.0
2022-01-10,30,9,2.1,62.9,99.0
2022-01-11,25,7,2.0,91.5,1.1
2022-01-12,13,4,3.5,68.5,99.0
2022-01-13,13,4,3.2,62.0,99.0
2022-01-14,13,3,3.0,66.9,99.0
2022-01-15,17,5,3.2,61.1,99.0
2022-01-16,17,5,1.8,66.9,99.0
2022-01-17,21,6,2.0,68.3,99.0
2022-01-18,17,5,3.6,77.8,99.5
2022-01-19,17,5,1.8,65.1,0.2
2022-01-20,13,5,2.1,75.0,99.0
2022-01-21,13,4,2.5,57.0,99.0
2022-01-22,13,4,1.6,63.9,99.0
2022-01-23,21,7,1.2,68.9,0.0
2022-01-24,13,5,3.6,52.9,99.0
2022-01-25,21,6,1.5,62.0,0.0
2022-01-26,25,9,1.5,69.3,99.0
2022-01-27,38,10,2.4,68.9,99.0
2022-01-28,30,9,2.3,71.4,99.0
2022-01-29,21,6,2.5,57.0,99.5
2022-01-30,17,5,2.0,66.0,99.0
2022-01-31,17,5,2.8,64.3,99.0
2022-02-01,21,6,2.0,62.1,99.0
2022-02-02,21,6,2.5,73.1,99.0
2022-02-03,21,7,1.8,70.2,99.0
2022-02-04,21,6,1.5,60.1,99.0
2022-02-05,17,6,3.0,64.3,0.3
2022-02-06,13,4,2.6,63.3,99.0
2022-02-07,17,5,1.5,66.2,99.0
2022-02-08,21,6,1.5,72.0,0.0
2022-02-09,25,8,2.3,53.1,0.0
2022-02-10,34,10,2.5,90.2,0.3
2022-02-11,38,9,2.5,77.2,0.1
2022-02-12,38,10,1.1,78.9,99.0
2022-02-13,46,13,2.2,50.1,99.0
2022-02-14,34,10,2.6,55.0,0.0
2022-02-15,25,8,1.8,72.8,0.2
2022-02-16,21,6,2.0,85.2,99.0
2022-02-17,17,5,2.0,67.2,99.0
2022-02-18,17,5,2.5,65.1,99.0
2022-02-19,17,6,2.0,72.3,99.5
2022-02-20,17,4,3.0,83.1,1.3
2022-02-21,21,6,3.7,76.9,99.0
2022-02-22,25,7,2.5,73.0,99.0
2022-02-23,17,4,3.6,59.3,99.0
2022-02-24,21,6,2.4,56.2,99.0
2022-02-25,25,7,2.5,57.0,99.0
2022-02-26,42,12,3.0,60.9,99.0
2022-02-27,46,13,3.6,63.0,99.0
2022-02-28,34,10,2.5,54.3,99.0
2022-03-01,42,12,2.5,63.1,99.0
2022-03-02,38,11,2.5,56.9,99.0
2022-03-03,34,10,2.0,56.2,99.0
2022-03-04,30,9,1.5,66.3,99.0
2022-03-05,30,10,2.5,67.1,99.0
2022-03-06,17,5,3.8,71.3,99.0
2022-03-07,13,4,3.1,58.0,99.0
2022-03-08,30,9,1.0,54.2,0.0
2022-03-09,46,13,1.2,64.3,0.0
2022-03-10,46,13,1.6,78.0,0.0
2022-03-11,53,15,1.5,77.2,0.0
2022-03-12,59,20,2.0,53.0,99.0
2022-03-13,55,20,1.2,74.7,99.0
2022-03-14,53,16,2.0,89.0,99.0
2022-03-15,13,4,3.0,58.3,1.2
2022-03-16,21,8,2.0,62.3,0.0
2022-03-17,21,7,3.6,57.1,0.0
2022-03-18,17,6,2.0,90.6,0.4
2022-03-19,9,2,4.0,66.2,3.8
2022-03-20,13,4,3.1,48.2,99.0
2022-03-21,21,6,2.3,54.2,99.0
2022-03-22,30,9,1.2,90.3,0.3
2022-03-23,38,10,1.9,56.3,0.0
2022-03-24,38,11,1.7,62.2,0.0
2022-03-25,50,14,2.7,48.1,0.0
2022-03-26,53,18,2.2,75.0,0.1
2022-03-27,17,5,3.0,64.1,99.0
2022-03-28,30,9,3.6,49.2,99.0
2022-03-29,34,10,2.3,62.2,0.0
2022-03-30,42,13,2.0,71.1,0.0
2022-03-31,38,10,2.1,82.2,0.4
2022-04-01,30,8,3.6,44.0,99.0
2022-04-02,25,8,2.4,45.7,99.0
2022-04-03,25,9,2.0,62.5,0.0
2022-04-04,21,8,2.0,89.2,0.5
2022-04-05,17,7,2.4,79.5,0.3
2022-04-06,38,12,2.0,71.3,0.0
2022-04-07,30,10,2.7,58.5,0.2
2022-04-08,17,6,3.4,50.1,99.5
2022-04-09,38,11,1.5,74.3,0.0
2022-04-10,59,20,1.7,57.9,0.0
2022-04-11,70,25,2.0,70.0,0.0
2022-04-12,70,27,2.0,75.3,0.0
2022-04-13,59,22,2.1,68.2,0.0
2022-04-14,21,8,2.5,92.9,0.4
2022-04-15,9,3,1.8,92.1,0.5
2022-04-16,21,4,2.2,82.9,99.0
2022-04-17,38,11,1.5,70.0,0.0
2022-04-18,38,13,2.2,75.3,99.0
2022-04-19,55,18,2.5,72.9,99.0
2022-04-20,59,19,1.5,70.3,0.0
2022-04-21,55,19,2.1,84.3,0.0
2022-04-22,34,11,2.1,77.0,0.3
2022-04-23,38,12,2.9,54.1,99.0
2022-04-24,25,9,1.5,67.9,0.0
2022-04-25,50,17,1.6,69.2,0.0
2022-04-26,57,20,1.5,96.2,99.0
2022-04-27,34,12,3.9,58.9,99.0
2022-04-28,30,10,2.5,53.0,0.0
2022-04-29,25,9,3.6,55.2,0.2
2022-04-30,21,7,1.7,54.2,1.0
2022-05-01,25,8,2.0,67.0,0.3
2022-05-02,21,7,2.7,49.0,99.5
2022-05-03,21,7,2.4,45.0,99.0
2022-05-04,53,14,2.6,48.9,0.0
2022-05-05,59,20,2.0,54.0,0.0
2022-05-06,55,18,2.5,63.0,0.0
2022-05-07,38,13,3.2,77.0,99.0
2022-05-08,21,6,4.1,36.1,99.0
2022-05-09,25,9,2.4,47.2,0.0
2022-05-10,25,9,2.0,58.0,0.0
2022-05-11,34,10,1.2,61.7,99.0
2022-05-12,50,17,1.5,87.0,99.0
2022-05-13,25,10,1.5,96.9,99.0
2022-05-14,17,6,1.5,65.5,0.7
2022-05-15,34,11,2.2,50.0,0.0
2022-05-16,30,10,1.7,62.3,99.0
2022-05-17,34,11,1.6,83.2,99.0
2022-05-18,38,11,1.7,62.0,0.0
2022-05-19,53,17,1.5,61.7,99.0
2022-05-20,65,23,1.6,58.0,0.0
2022-05-21,59,20,2.0,64.0,0.0
2022-05-22,21,9,1.5,85.2,0.2
2022-05-23,30,11,1.0,80.1,99.0
2022-05-24,34,10,2.0,77.2,0.0
2022-05-25,46,15,2.5,88.1,99.0
2022-05-26,46,16,3.2,81.8,0.0
2022-05-27,30,11,2.5,93.3,3.8
2022-05-28,21,8,2.6,48.2,99.0
2022-05-29,50,15,2.4,53.1,0.0
2022-05-30,21,9,3.6,75.1,0.0
2022-05-31,17,7,2.0,91.0,1.1
2022-06-01,25,10,1.6,62.0,99.0
2022-06-02,34,12,2.0,80.1,99.0
2022-06-03,21,10,2.0,93.2,0.3
2022-06-04,21,8,2.2,68.2,99.0
2022-06-05,13,5,2.8,70.9,0.0
2022-06-06,9,5,3.0,94.2,1.1
2022-06-07,9,4,2.9,90.2,0.2
2022-06-08,21,10,1.5,90.0,99.0
2022-06-09,21,10,0.9,83.5,99.0
2022-06-10,21,10,1.0,86.5,99.0
2022-06-11,38,13,1.0,92.1,99.0
2022-06-12,30,10,1.3,92.0,1.4
2022-06-13,17,7,2.5,61.5,0.0
2022-06-14,25,10,2.2,73.5,0.0
2022-06-15,25,10,2.0,85.0,99.0
2022-06-16,30,10,1.5,78.1,0.3
2022-06-17,42,15,1.5,75.9,99.0
2022-06-18,63,21,1.5,74.1,0.0
2022-06-19,70,29,1.5,75.8,99.0
2022-06-20,57,20,2.0,61.1,99.0
2022-06-21,50,16,2.5,74.2,0.0
2022-06-22,34,12,2.0,82.0,99.0
2022-06-23,30,15,2.0,96.3,99.0
2022-06-24,46,21,1.7,90.1,99.0
2022-06-25,42,14,2.7,52.0,99.5
2022-06-26,46,15,1.8,61.1,0.1
2022-06-27,21,9,2.0,81.1,1.3
2022-06-28,30,11,1.4,77.2,99.0
2022-06-29,50,17,2.1,51.1,0.0
2022-06-30,30,10,3.0,55.2,0.0
2022-07-01,42,14,1.9,68.1,0.0
2022-07-02,38,13,1.7,70.0,0.0
2022-07-03,50,16,1.5,67.9,0.0
2022-07-04,42,15,1.5,82.0,1.3
2022-07-05,50,17,1.5,88.0,99.0
2022-07-06,30,11,2.5,90.2,0.2
2022-07-07,21,10,1.6,88.0,99.5
2022-07-08,21,9,2.5,78.0,99.0
2022-07-09,17,7,1.5,83.0,99.0
2022-07-10,38,14,1.5,82.0,0.0
2022-07-11,21,9,2.3,88.7,99.0
2022-07-12,9,5,1.7,94.1,99.0
2022-07-13,13,6,3.0,98.2,7.1
2022-07-14,34,13,2.0,88.0,99.0
2022-07-15,21,10,1.9,98.2,0.4
2022-07-16,13,6,1.2,86.5,6.8
2022-07-17,25,13,1.4,92.5,99.0
2022-07-18,30,11,1.5,78.2,99.0
2022-07-19,42,19,1.0,88.0,0.3
2022-07-20,25,10,3.0,67.9,0.2
2022-07-21,34,14,2.0,88.1,99.0
2022-07-22,25,12,1.5,97.0,0.8
2022-07-23,21,10,1.7,88.0,0.9
2022-07-24,21,8,1.8,77.1,0.0
2022-07-25,25,11,1.8,83.9,99.0
2022-07-26,46,20,1.5,88.2,99.0
2022-07-27,46,20,1.5,92.0,0.1
2022-07-28,46,19,1.3,81.2,0.0
2022-07-29,46,19,1.4,86.2,99.0
2022-07-30,42,17,2.0,90.8,99.0
2022-07-31,42,18,1.5,69.0,0.0
2022-08-01,42,16,1.7,75.2,99.0
2022-08-02,46,19,1.5,78.0,99.0
2022-08-03,25,12,1.5,89.9,1.4
2022-08-04,13,6,1.8,91.8,0.6
2022-08-05,17,9,1.8,77.0,0.4
2022-08-06,21,10,1.5,80.0,99.0
2022-08-07,30,14,1.5,87.1,99.0
2022-08-08,42,20,1.5,88.2,0.2
2022-08-09,50,19,2.0,65.1,0.0
2022-08-10,53,20,2.1,70.0,0.0
2022-08-11,50,22,1.5,85.2,1.4
2022-08-12,34,16,2.9,74.1,99.0
2022-08-13,34,16,3.0,78.0,99.0
2022-08-14,21,10,2.0,92.0,0.3
2022-08-15,30,13,1.0,78.0,0.2
2022-08-16,34,14,1.2,73.5,0.6
2022-08-17,21,9,1.2,80.5,99.0
2022-08-18,13,7,1.5,82.0,2.5
2022-08-19,21,8,1.7,57.7,0.0
2022-08-20,34,12,1.4,78.7,0.0
2022-08-21,30,11,1.3,79.0,99.0
2022-08-22,30,11,1.1,76.8,99.0
2022-08-23,46,18,1.8,81.0,99.0
2022-08-24,25,10,2.0,66.9,99.0
2022-08-25,25,10,1.8,74.9,99.0
2022-08-26,21,10,1.5,88.0,99.0
2022-08-27,21,10,1.2,88.0,99.0
2022-08-28,17,8,1.1,92.2,0.6
2022-08-29,17,8,1.5,76.9,0.0
2022-08-30,21,9,1.0,98.2,0.4
2022-08-31,17,8,1.0,97.0,0.3
2022-09-01,34,16,1.2,84.1,99.0
2022-09-02,17,7,2.0,82.3,0.3
2022-09-03,21,10,1.9,87.8,99.0
2022-09-04,13,7,2.0,91.8,1.3
2022-09-05,9,6,2.3,95.8,0.3
2022-09-06,21,12,4.6,93.0,99.0
2022-09-07,21,10,1.1,95.3,0.4
2022-09-08,13,7,1.5,96.3,0.8
2022-09-09,21,9,1.5,84.2,0.1
2022-09-10,38,14,1.5,77.2,99.0
2022-09-11,34,13,1.5,79.2,0.0
2022-09-12,30,12,2.0,83.1,99.0
2022-09-13,42,18,1.3,83.9,0.0
2022-09-14,38,13,2.0,77.0,0.0
2022-09-15,25,10,1.5,70.9,99.0
2022-09-16,25,10,1.3,75.2,99.0
2022-09-17,21,10,3.0,87.0,99.0
2022-09-18,34,20,3.7,93.0,99.0
2022-09-19,42,30,4.1,93.0,99.0
