Date,pm25,pm10,wind-speed,humidity,precipitation
2022-01-01,13,3,1.0,37.1,0.0
2022-01-02,13,4,1.5,47.2,99.0
2022-01-03,21,6,1.5,53.3,0.0
2022-01-04,17,5,4.6,43.1,0.0
2022-01-05,17,5,1.0,50.0,0.0
2022-01-06,21,6,2.0,83.1,0.4
2022-01-07,17,5,1.0,81.0,0.0
2022-01-08,21,7,1.5,79.1,0.0
2022-01-09,25,7,1.3,55.2,0.0
2022-01-10,34,10,2.5,62.9,99.0
2022-01-11,30,10,2.0,85.1,1.0
2022-01-12,13,3,4.1,51.2,99.0
2022-01-13,21,5,3.0,48.1,99.0
2022-01-14,9,3,4.1,46.2,0.0
2022-01-15,17,5,1.0,49.0,0.0
2022-01-16,17,6,2.5,49.5,0.0
2022-01-17,25,7,4.1,49.2,0.0
2022-01-18,9,3,4.6,34.0,99.0
2022-01-19,17,5,1.0,54.1,0.0
2022-01-20,17,5,1.5,60.2,99.0
2022-01-21,13,4,1.0,44.1,0.0
2022-01-22,21,6,1.0,51.0,0.0
2022-01-23,30,8,1.0,73.9,0.3
2022-01-24,34,9,1.5,70.0,0.3
2022-01-25,25,8,2.0,55.1,99.0
2022-01-26,34,10,1.5,84.1,0.0
2022-01-27,30,10,1.5,73.0,0.0
2022-01-28,38,10,1.5,59.2,0.0
2022-01-29,21,6,1.5,53.9,0.0
2022-01-30,21,7,1.5,57.1,0.0
2022-01-31,17,5,1.5,43.0,0.0
2022-02-01,17,5,2.0,45.0,0.0
2022-02-02,30,8,7.0,44.2,0.0
2022-02-03,30,8,1.0,39.1,0.0
2022-02-04,17,6,1.5,45.1,0.0
2022-02-05,13,3,3.6,47.0,0.0
2022-02-06,9,3,3.6,52.0,0.0
2022-02-07,17,5,1.5,47.3,0.0
2022-02-08,21,7,1.5,54.0,0.0
2022-02-09,25,7,1.5,53.9,0.0
2022-02-10,25,7,1.5,92.0,1.5
2022-02-11,21,6,1.5,70.1,99.0
2022-02-12,21,6,1.5,77.3,0.0
2022-02-13,17,6,2.0,80.2,0.2
2022-02-14,38,10,2.5,71.0,0.3
2022-02-15,50,13,1.5,62.3,99.0
2022-02-16,17,5,4.6,37.1,0.0
2022-02-17,13,4,3.0,33.2,0.0
2022-02-18,13,3,2.0,43.0,0.0
2022-02-19,17,4,1.5,57.2,0.7
2022-02-20,13,3,2.0,70.2,0.4
2022-02-21,13,4,4.1,24.1,0.0
2022-02-22,17,5,4.1,39.2,0.0
2022-02-23,13,4,2.5,35.1,0.0
2022-02-24,21,6,1.0,51.1,0.0
2022-02-25,21,6,1.5,45.2,0.0
2022-02-26,34,8,2.1,57.0,0.0
2022-02-27,38,10,3.6,36.2,99.0
2022-02-28,30,9,1.5,49.9,0.0
2022-03-01,34,10,1.5,72.9,0.3
2022-03-02,42,10,1.5,61.9,99.0
2022-03-03,34,10,4.6,53.2,0.0
2022-03-04,38,10,2.0,54.2,0.0
2022-03-05,55,16,3.0,43.0,0.0
2022-03-06,34,7,5.1,23.1,0.0
2022-03-07,21,7,2.0,42.1,99.0
2022-03-08,34,9,2.0,58.8,0.1
2022-03-09,46,12,1.5,64.1,0.0
2022-03-10,50,14,1.5,67.0,0.0
2022-03-11,55,16,2.5,63.1,0.0
2022-03-12,61,20,7.2,62.9,0.0
2022-03-13,61,21,3.0,67.5,0.0
2022-03-14,34,12,2.5,59.2,1.7
2022-03-15,42,13,2.5,54.0,99.0
2022-03-16,42,13,1.5,55.1,0.0
2022-03-17,50,19,1.5,68.2,0.0
2022-03-18,17,7,4.6,82.3,3.8
2022-03-19,13,4,2.0,92.3,0.6
2022-03-20,13,5,3.0,60.4,0.0
