Date,pm25,pm10,wind-speed,humidity,precipitation
2022-01-01,146,60,0.5,78.5,0
2022-01-02,64,24,1.0,81.0,0
2022-01-03,149,65,0.5,92.0,0
2022-01-04,157,76,0.5,92.0,0
2022-01-05,161,79,0.2,96.5,0
2022-01-06,153,72,0.7,81.0,0
2022-01-07,47,14,2.0,71.5,0
2022-01-08,115,51,0.5,86.0,0
2022-01-09,152,62,1.0,93.0,0
2022-01-10,62,17,1.5,93.0,0
2022-01-11,56,15,1.5,77.0,0
2022-01-12,58,18,4.8,70.5,0
2022-01-13,75,26,4.8,65.5,0
2022-01-14,143,61,0.5,83.0,0
2022-01-15,97,49,4.1,74.0,0
2022-01-16,120,55,0.5,85.5,0
2022-01-17,162,74,1.0,89.0,0
2022-01-18,47,17,4.1,53.0,0
2022-01-19,70,24,1.0,69.0,0
2022-01-20,148,66,1.0,79.0,0
2022-01-21,85,31,1.2,77.0,0
2022-01-22,52,18,2.0,69.0,0
2022-01-23,48,15,2.3,60.5,0
2022-01-24,63,19,4.6,63.0,0
2022-01-25,85,31,3.0,62.0,0
2022-01-26,128,59,2.0,73.0,0
2022-01-27,114,53,0.7,85.0,0
2022-01-28,152,67,0.7,80.0,0
2022-01-29,68,25,2.0,74.0,0
2022-01-30,101,47,1.0,72.0,0
2022-01-31,95,57,1.0,57.0,0
2022-02-01,97,42,1.2,93.0,0
2022-02-02,75,26,1.0,77.0,0
2022-02-03,48,17,3.3,66.5,0
2022-02-04,78,35,0.7,76.5,0
2022-02-05,154,70,0.7,83.0,0
2022-02-06,156,74,0.5,83.0,0
2022-02-07,129,57,1.0,86.0,0
2022-02-08,38,13,4.8,57.5,0
2022-02-09,56,19,1.5,64.0,0
2022-02-10,99,47,1.0,86.5,0
2022-02-11,122,59,1.2,86.0,0
2022-02-12,69,29,2.5,60.0,0
2022-02-13,88,33,0.7,74.0,0
2022-02-14,109,55,1.0,86.0,0
2022-02-15,114,54,1.0,86.0,0
2022-02-16,85,51,2.0,81.5,0
2022-02-17,89,52,0.5,84.5,0
2022-02-18,47,29,2.3,49.5,0
2022-02-19,74,45,1.0,67.5,0
2022-02-20,77,37,1.0,76.0,0
2022-02-21,67,31,1.5,68.5,0
2022-02-22,48,17,1.5,75.0,0
2022-02-23,48,16,3.6,56.0,0
2022-02-24,37,15,4.6,42.0,0
2022-02-25,75,39,0.5,59.5,0
2022-02-26,91,44,3.0,63.0,0
2022-02-27,59,20,1.8,93.0,0
2022-02-28,32,11,2.3,65.0,0
2022-03-01,69,19,1.0,80.0,0
2022-03-02,68,22,2.0,56.0,0
2022-03-03,75,29,1.5,67.0,0
2022-03-04,93,50,0.7,54.0,0
2022-03-05,104,43,1.0,53.5,0
2022-03-06,156,67,0.5,96.5,0
2022-03-07,78,28,1.5,77.0,0
2022-03-08,71,24,4.3,59.0,0
2022-03-09,72,25,2.3,61.5,0
2022-03-10,77,24,1.2,69.0,0
2022-03-11,66,24,2.0,60.5,0
2022-03-12,66,27,1.0,46.5,0
2022-03-13,82,34,0.5,51.0,0
2022-03-14,83,51,0.5,57.0,0
2022-03-15,100,55,0.7,51.5,0
2022-03-16,90,57,0.7,53.0,0
2022-03-17,86,33,2.5,70.0,0
2022-03-18,68,23,2.5,67.5,0
2022-03-19,64,26,1.5,38.5,0
2022-03-20,53,18,1.5,34.0,0
2022-03-21,69,30,2.8,38.0,0
2022-03-22,72,30,1.8,31.0,0
2022-03-23,51,32,3.6,31.5,0
2022-03-24,65,37,1.2,34.5,0
2022-03-25,69,37,4.1,31.5,0
2022-03-26,63,33,1.0,43.5,0
2022-03-27,77,46,0.5,43.0,0
2022-03-28,98,53,1.0,50.0,0
2022-03-29,75,40,1.0,60.0,0
2022-03-30,78,45,2.5,75.0,0
2022-03-31,83,51,5.4,66.0,0
2022-04-01,73,45,4.3,74.0,0
2022-04-02,20,11,3.0,51.0,0
2022-04-03,16,6,2.8,71.0,0
2022-04-04,62,20,1.0,75.0,0
2022-04-05,58,25,0.5,78.5,0
2022-04-06,55,33,1.0,51.5,0
2022-04-07,58,31,1.0,68.0,0
2022-04-08,55,18,1.0,63.0,0
2022-04-09,43,20,0.7,62.0,0
2022-04-10,29,12,2.0,73.5,0
2022-04-11,31,11,3.8,42.0,0
2022-04-12,55,23,0.7,50.5,0
2022-04-13,55,30,1.0,41.5,0
2022-04-14,55,32,1.0,52.5,0
2022-04-15,55,32,1.8,51.0,0
2022-04-16,60,34,2.5,51.0,0
2022-04-17,33,10,1.8,83.5,0
2022-04-18,17,7,2.0,67.5,0
2022-04-19,51,16,1.5,49.5,0
2022-04-20,57,22,1.5,77.5,0
2022-04-21,80,33,0.5,87.0,0
2022-04-22,55,34,4.3,67.0,0
2022-04-23,55,24,1.0,71.5,0
2022-04-24,42,19,1.0,55.5,0
2022-04-25,30,26,1.2,36.0,0
2022-04-26,25,18,1.0,52.5,0
2022-04-27,46,23,1.0,59.0,0
