Date,pm25,pm10,wind-speed,humidity,precipitation
2022-01-01,43,14,3.0,86.3,0
2022-01-02,23,10,4.2,82.1,0
2022-01-03,35,14,3.0,85.0,0
2022-01-04,30,11,2.0,90.1,0
2022-01-05,24,9,2.6,73.5,0
2022-01-06,38,12,3.1,78.5,0
2022-01-07,21,8,2.6,81.0,0
2022-01-08,25,9,3.1,87.5,0
2022-01-09,24,9,2.1,80.0,0
2022-01-10,55,18,1.0,91.0,0
2022-01-11,57,17,1.6,94.3,0
2022-01-12,60,21,0.3,90.6,0
2022-01-13,57,20,0.0,81.1,0
2022-01-14,69,23,0.0,73.8,0
2022-01-15,86,29,0.0,68.1,0
2022-01-16,80,28,0.0,71.6,0
2022-01-17,50,16,0.0,67.2,0
2022-01-18,63,22,0.0,65.0,0
2022-01-19,51,15,0.0,66.0,0
2022-01-20,30,11,0.0,62.0,0
2022-01-21,43,16,0.8,57.0,0
2022-01-22,58,19,2.5,82.0,0
2022-01-23,71,23,0.8,81.0,0
2022-01-24,74,24,0.8,81.0,0
2022-01-25,80,28,1.0,83.0,0
2022-01-26,77,28,3.8,81.8,0
2022-01-27,42,14,2.8,81.0,0
2022-01-28,42,13,1.5,84.6,0
2022-01-29,25,9,2.8,72.1,0
2022-01-30,38,14,1.2,74.3,0
2022-01-31,25,10,3.1,64.8,0
2022-02-01,23,9,3.0,73.8,0
2022-02-02,17,7,1.6,82.1,0
2022-02-03,29,10,2.0,81.1,0
2022-02-04,18,8,2.8,78.8,0
2022-02-05,22,9,3.8,74.6,0
2022-02-06,17,8,5.0,68.5,0
2022-02-07,27,11,2.6,71.5,0
2022-02-08,15,8,3.3,70.5,0
2022-02-09,13,7,2.6,82.6,0
2022-02-10,23,9,1.8,70.8,0
2022-02-11,28,11,1.0,77.0,0
2022-02-12,36,12,4.8,76.7,0
2022-02-13,43,15,13.2,82.5,0
2022-02-14,13,6,5.1,79.7,0
2022-02-15,17,7,5.1,85.5,0
2022-02-16,21,8,7.6,85.6,0
2022-02-17,34,13,5.5,68.5,0
2022-02-18,30,14,11.5,69.5,0
2022-02-19,21,9,5.7,71.6,0
2022-02-20,39,14,8.8,80.3,0
2022-02-21,30,11,6.5,64.5,0
2022-02-22,38,15,6.0,74.2,0
2022-02-23,34,14,4.5,80.5,0
2022-02-24,21,9,5.1,73.0,0
2022-02-25,25,11,4.0,71.0,0
2022-02-26,50,17,9.5,74.0,0
2022-02-27,38,12,14.5,69.5,0
2022-02-28,52,19,2.8,76.5,0
2022-03-01,55,18,3.0,95.0,0
2022-03-02,95,36,10.0,88.2,0
2022-03-03,100,41,6.5,82.6,0
2022-03-04,102,40,2.5,89.7,0
2022-03-05,53,15,2.8,86.0,0
2022-03-06,31,11,5.7,74.1,0
2022-03-07,55,16,5.5,67.0,0
2022-03-08,86,34,6.0,67.5,0
2022-03-09,82,32,3.6,78.5,0
2022-03-10,72,27,3.5,77.5,0
2022-03-11,63,23,9.0,82.2,0
2022-03-12,25,10,13.7,79.0,0
2022-03-13,30,10,3.0,85.3,0
2022-03-14,30,10,1.7,83.3,0
2022-03-15,55,18,5.2,83.2,0
2022-03-16,65,26,5.2,88.5,0
2022-03-17,29,10,3.0,72.5,0
2022-03-18,49,16,3.6,80.3,0
2022-03-19,61,23,7.5,70.7,0
2022-03-20,79,31,7.2,73.0,0
2022-03-21,120,47,7.2,73.7,0
2022-03-22,133,52,8.0,77.2,0
2022-03-23,152,58,5.0,80.2,0
2022-03-24,159,66,4.7,78.0,0
2022-03-25,155,63,7.2,68.5,0
2022-03-26,124,52,8.2,71.0,0
2022-03-27,38,11,3.5,89.2,0
2022-03-28,60,18,7.0,91.5,0
2022-03-29,84,30,3.5,87.0,0
2022-03-30,86,35,3.5,89.2,0
2022-03-31,17,8,4.7,64.7,0
2022-04-01,15,7,3.6,71.2,0
2022-04-02,17,7,3.6,66.0,0
2022-04-03,26,9,5.0,60.7,0
2022-04-04,25,9,19.0,79.0,0
2022-04-05,19,7,4.5,71.7,0
2022-04-06,19,9,6.8,79.5,0
2022-04-07,17,9,20.7,62.0,0
2022-04-08,25,10,4.2,71.7,0
2022-04-09,30,10,7.0,67.5,0
2022-04-10,39,12,8.5,70.2,0
2022-04-11,55,20,7.5,68.0,0
2022-04-12,57,21,3.5,76.8,0
2022-04-13,34,11,2.7,77.7,0
2022-04-14,34,12,5.2,80.2,0
2022-04-15,60,20,6.0,85.5,0
2022-04-16,85,31,6.5,84.0,0
2022-04-17,80,30,6.0,69.7,0
2022-04-18,61,20,2.5,74.3,0
2022-04-19,57,19,5.0,75.7,0
2022-04-20,58,21,8.7,74.7,0
2022-04-21,59,22,8.0,72.7,0
2022-04-22,57,22,6.7,77.5,0
2022-04-23,75,31,6.8,75.1,0
2022-04-24,65,26,5.6,69.5,0
2022-04-25,42,15,3.8,79.7,0
2022-04-26,32,11,4.2,74.7,0
2022-04-27,28,11,3.7,70.5,0
2022-04-28,39,13,3.7,73.0,0
2022-04-29,37,13,2.7,70.7,0
2022-04-30,37,12,2.1,77.0,0
2022-05-01,46,15,7.7,71.2,0
2022-05-02,40,12,2.0,74.0,0
2022-05-03,60,19,2.5,82.7,0
2022-05-04,57,20,4.0,84.0,0
2022-05-05,40,13,5.0,76.5,0
2022-05-06,49,16,6.2,73.0,0
2022-05-07,25,9,3.4,84.0,0
2022-05-08,39,14,4.0,77.5,0
2022-05-09,47,17,6.5,78.2,0
2022-05-10,38,14,6.5,72.2,0
2022-05-11,28,12,5.1,82.0,0
2022-05-12,26,10,6.0,75.2,0
2022-05-13,26,11,5.0,73.5,0
2022-05-14,42,17,2.8,78.5,0
2022-05-15,68,27,4.5,77.2,0
2022-05-16,59,22,5.0,79.5,0
2022-05-17,30,12,3.1,78.1,0
2022-05-18,21,10,3.2,73.5,0
2022-05-19,27,11,2.5,78.7,0
2022-05-20,20,8,3.4,74.5,0
2022-05-21,23,10,3.5,73.0,0
2022-05-22,32,12,4.0,72.5,0
2022-05-23,29,10,1.6,85.0,0
2022-05-24,11,5,2.6,79.5,0
2022-05-25,15,7,5.6,77.5,0
2022-05-26,22,9,5.2,73.2,0
2022-05-27,22,11,1.5,56.0,0
2022-05-28,21,9,0.8,55.0,0
2022-05-29,13,6,0.8,56.0,0
2022-05-30,17,6,1.2,56.0,0
2022-05-31,15,6,1.7,58.0,0
2022-06-01,22,8,0.6,59.0,0
2022-06-02,35,11,2.1,63.0,0
2022-06-03,39,14,2.4,60.5,0
2022-06-04,41,16,4.0,61.0,0
2022-06-05,58,20,1.3,66.2,0
2022-06-06,30,10,1.3,67.0,0
2022-06-07,25,10,1.4,66.0,0
2022-06-08,15,7,1.6,64.7,0
2022-06-09,29,12,2.5,58.7,0
2022-06-10,31,11,3.0,64.0,0
2022-06-11,37,14,2.3,59.2,0
2022-06-12,30,11,1.3,52.2,0
2022-06-13,21,9,0.6,51.6,0
2022-06-14,28,11,1.6,54.0,0
2022-06-15,46,16,1.3,58.7,0
2022-06-16,46,16,1.0,57.0,0
2022-06-17,51,24,2.8,54.2,0
2022-06-18,43,20,2.0,61.0,0
2022-06-19,21,10,1.3,54.0,0
2022-06-20,29,11,1.8,55.7,0
2022-06-21,30,11,1.6,57.5,0
2022-06-22,42,13,2.3,53.2,0
2022-06-23,57,20,1.1,65.2,0
2022-06-24,50,16,2.8,61.1,0
2022-06-25,26,10,2.6,56.5,0
2022-06-26,17,8,2.8,52.0,0
2022-06-27,17,8,2.1,55.5,0
2022-06-28,20,9,2.3,55.2,0
2022-06-29,19,8,2.0,60.5,0
2022-06-30,17,7,1.0,57.2,0
2022-07-01,15,7,2.5,56.7,0
2022-07-02,13,6,3.1,57.2,0
2022-07-03,13,6,1.3,56.2,0
2022-07-04,15,8,2.0,52.0,0
2022-07-05,17,8,1.0,48.7,0
2022-07-06,15,8,0.6,55.2,0
2022-07-07,13,7,1.1,56.7,0
2022-07-08,32,13,1.0,53.1,0
2022-07-09,19,9,1.0,56.5,0
2022-07-10,18,8,1.6,50.3,0
2022-07-11,19,10,1.6,53.3,0
2022-07-12,26,14,1.2,51.0,0
2022-07-13,31,13,1.5,55.2,0
2022-07-14,30,11,1.1,51.7,0
2022-07-15,25,11,0.6,50.2,0
2022-07-16,18,8,1.6,56.6,0
2022-07-17,23,10,1.0,50.2,0
2022-07-18,30,15,1.8,48.5,0
2022-07-19,51,30,3.6,49.7,0
2022-07-20,61,25,3.6,66.0,0
2022-07-21,36,14,2.4,73.8,0
