Date,pm25,pm10,wind-speed,humidity,precipitation
2022-01-01,0,0,1.2,90.0,0
2022-01-02,0,0,1.0,84.5,0
2022-01-03,0,0,1.0,93.0,0
2022-01-04,0,0,1.8,81.0,0
2022-01-05,0,0,4.6,76.0,0
2022-01-06,0,0,4.1,65.5,0
2022-01-07,0,0,4.3,43.5,0
2022-01-08,0,0,4.8,50.0,0
2022-01-09,0,0,2.3,53.5,0
2022-01-10,0,0,7.9,31.0,0
2022-01-11,0,0,10.0,37.0,0
2022-01-12,0,0,7.4,27.0,0
2022-01-13,0,0,5.6,18.0,0
2022-01-14,0,0,2.5,47.0,0
2022-01-15,0,0,2.8,38.5,0
2022-01-16,0,0,1.5,44.0,0
2022-01-17,0,0,2.0,72.5,0
2022-01-18,0,0,3.3,32.0,0
2022-01-19,0,0,2.0,41.0,0
2022-01-20,0,0,2.5,68.0,0
2022-01-21,0,0,3.8,34.5,0
2022-01-22,0,0,5.1,40.0,0
2022-01-23,0,0,4.8,45.0,0
2022-01-24,0,0,4.8,28.5,0
2022-01-25,0,0,3.8,27.0,0
2022-01-26,0,0,3.0,46.5,0
2022-01-27,0,0,2.3,70.0,0
2022-01-28,0,0,2.8,66.0,0
2022-01-29,0,0,4.3,32.5,0
2022-01-30,0,0,2.3,55.5,0
2022-01-31,0,0,4.8,71.0,0
2022-02-01,0,0,5.1,38.0,0
2022-02-02,0,0,3.8,39.0,0
2022-02-03,0,0,2.8,39.0,0
2022-02-04,0,0,2.3,67.5,0
2022-02-05,0,0,1.8,68.0,0
2022-02-06,0,0,1.8,75.0,0
2022-02-07,0,0,2.5,76.0,0
2022-02-08,0,0,5.1,39.0,0
2022-02-09,0,0,3.3,37.0,0
2022-02-10,0,0,1.5,58.5,0
2022-02-11,0,0,1.5,73.5,0
2022-02-12,0,0,3.8,39.0,0
2022-02-13,0,0,2.3,52.0,0
2022-02-14,0,0,2.0,81.0,0
2022-02-15,0,0,3.3,81.0,0
2022-02-16,0,0,2.8,71.0,0
2022-02-17,0,0,1.2,75.0,0
2022-02-18,0,0,1.5,70.0,0
2022-02-19,0,0,2.0,69.0,0
2022-02-20,0,0,1.5,82.0,0
2022-02-21,0,0,2.0,84.5,0
2022-02-22,0,0,7.7,33.0,0
2022-02-23,0,0,5.1,35.0,0
2022-02-24,0,0,1.5,40.0,0
2022-02-25,0,0,1.5,63.0,0
2022-02-26,0,0,9.0,46.0,0
2022-02-27,0,0,7.4,37.5,0
2022-02-28,0,0,6.1,35.0,0
2022-03-01,0,0,6.4,34.5,0
2022-03-02,0,0,3.3,29.0,0
2022-03-03,0,0,2.5,30.5,0
2022-03-04,0,0,2.0,36.0,0
2022-03-05,0,0,6.6,36.0,0
2022-03-06,0,0,4.3,37.0,0
2022-03-07,0,0,5.1,39.5,0
2022-03-08,0,0,7.9,30.0,0
2022-03-09,0,0,4.1,31.5,0
2022-03-10,0,0,5.1,33.0,0
2022-03-11,0,0,3.8,30.0,0
2022-03-12,0,0,2.8,28.0,0
2022-03-13,0,0,2.3,47.0,0
2022-03-14,0,0,2.3,61.0,0
2022-03-15,0,0,1.5,70.0,0
2022-03-16,0,0,2.0,78.5,0
2022-03-17,0,0,2.8,44.0,0
2022-03-18,0,0,3.0,39.5,0
2022-03-19,0,0,3.0,33.0,0
2022-03-20,0,0,3.0,34.5,0
2022-03-21,0,0,2.8,23.5,0
2022-03-22,0,0,3.0,24.0,0
2022-03-23,0,0,4.1,21.5,0
2022-03-24,0,0,2.3,28.0,0
2022-03-25,0,0,1.2,59.0,0
2022-03-26,0,0,1.5,65.0,0
2022-03-27,0,0,1.8,65.5,0
2022-03-28,0,0,1.8,67.0,0
2022-03-29,0,0,1.5,71.0,0
2022-03-30,0,0,5.1,77.0,0
2022-03-31,0,0,5.4,87.0,0
2022-04-01,0,0,2.5,84.5,0
2022-04-02,0,0,3.0,70.0,0
2022-04-03,0,0,3.3,48.0,0
2022-04-04,0,0,2.3,57.0,0
2022-04-05,0,0,4.1,59.5,0
2022-04-06,0,0,2.3,68.5,0
2022-04-07,0,0,2.5,81.5,0
2022-04-08,0,0,4.3,69.5,0
2022-04-09,0,0,4.1,76.0,0
2022-04-10,0,0,6.9,41.5,0
2022-04-11,0,0,3.6,44.5,0
2022-04-12,0,0,2.0,57.0,0
2022-04-13,0,0,1.8,70.0,0
2022-04-14,0,0,1.8,69.5,0
2022-04-15,0,0,1.8,61.0,0
2022-04-16,0,0,7.2,38.0,0
2022-04-17,0,0,9.0,28.5,0
2022-04-18,0,0,6.4,26.0,0
2022-04-19,0,0,2.5,38.0,0
2022-04-20,0,0,3.0,62.0,0
2022-04-21,0,0,2.8,71.0,0
2022-04-22,0,0,4.3,72.0,0
2022-04-23,0,0,1.5,74.0,0
2022-04-24,0,0,3.6,67.0,0
2022-04-25,0,0,2.8,64.5,0
2022-04-26,0,0,1.8,57.5,0
2022-04-27,0,0,2.8,55.0,0
2022-04-28,0,0,3.8,40.5,0
2022-04-29,0,0,4.1,35.0,0
2022-04-30,0,0,2.8,39.0,0
2022-05-01,0,0,2.3,63.0,0
2022-05-02,0,0,2.0,69.0,0
2022-05-03,0,0,1.5,65.0,0
2022-05-04,0,0,1.5,67.5,0
2022-05-05,0,0,1.5,63.0,0
2022-05-06,0,0,2.0,77.0,0
2022-05-07,0,0,2.3,63.0,0
2022-05-08,0,0,2.3,63.0,0
2022-05-09,0,0,2.3,48.5,0
2022-05-10,0,0,2.0,47.5,0
2022-05-11,0,0,1.8,50.5,0
2022-05-12,0,0,2.0,57.0,0
2022-05-13,0,0,2.3,45.5,0
2022-05-14,0,0,2.0,58.5,0
2022-05-15,0,0,1.8,49.5,0
2022-05-16,0,0,2.0,65.0,0
2022-05-17,0,0,1.8,66.0,0
2022-05-18,0,0,5.4,32.0,0
2022-05-19,0,0,3.0,24.5,0
2022-05-20,0,0,1.8,47.0,0
2022-05-21,0,0,1.8,59.0,0
2022-05-22,0,0,1.8,72.5,0
2022-05-23,0,0,1.8,70.5,0
2022-05-24,0,0,3.8,50.0,0
2022-05-25,0,0,4.1,50.0,0
2022-05-26,0,0,2.3,41.5,0
2022-05-27,0,0,1.2,41.0,0
2022-05-28,0,0,2.0,47.0,0
2022-05-29,0,0,3.0,47.5,0
2022-05-30,0,0,2.8,79.5,0
2022-05-31,0,0,3.0,60.0,0
2022-06-01,0,0,2.0,51.5,0
2022-06-02,0,0,1.5,68.5,0
2022-06-04,0,0,3.0,42.5,0
2022-06-05,0,0,1.5,51.0,0
2022-06-06,0,0,2.8,48.0,0
2022-06-07,0,0,2.3,48.5,0
2022-06-08,0,0,3.0,62.5,0
2022-06-09,0,0,1.2,88.0,0
2022-07-01,0,0,2.5,58.0,0
2022-07-02,0,0,2.3,40.0,0
2022-07-03,0,0,2.5,37.5,0
2022-07-04,0,0,1.8,43.0,0
2022-07-05,0,0,3.0,42.5,0
2022-07-06,0,0,4.6,36.0,0
2022-08-21,0,0,3.0,41.0,0
2022-08-22,0,0,3.6,41.0,0
2022-08-23,0,0,2.8,49.0,0
2022-08-24,0,0,3.0,42.5,0
2022-08-25,0,0,3.3,44.0,0
2022-08-26,0,0,1.5,54.0,0
2022-08-27,0,0,2.0,59.0,0
2022-08-28,0,0,1.8,59.0,0
2022-08-29,0,0,2.0,64.0,0
2022-08-30,0,0,2.5,52.0,0
2022-08-31,0,0,2.3,49.5,0
2022-09-01,0,0,1.8,73.5,0
2022-09-02,0,0,3.6,50.0,0
2022-09-03,0,0,1.8,62.0,0
2022-09-04,0,0,1.8,53.5,0
2022-09-05,0,0,3.3,48.5,0
2022-09-06,0,0,1.5,53.5,0
2022-09-07,0,0,1.8,50.0,0
2022-09-08,0,0,3.3,58.0,0
2022-09-09,0,0,2.8,66.0,0
2022-09-10,0,0,1.2,57.5,0
2022-09-11,0,0,2.3,44.0,0
2022-09-12,0,0,3.8,39.0,0
2022-09-13,0,0,2.5,45.0,0
2022-09-14,0,0,1.8,60.0,0
2022-09-15,0,0,2.3,65.0,0
2022-09-16,0,0,2.8,75.0,0
2022-09-17,0,0,3.8,69.5,0
2022-09-18,0,0,3.6,50.5,0
2022-09-19,0,0,2.5,62.0,0
2022-09-20,0,0,3.3,30.0,0
2022-09-21,0,0,5.1,37.0,0
2022-09-22,0,0,3.8,37.0,0
2022-09-23,0,0,4.3,37.0,0
2022-09-24,0,0,3.0,46.5,0
2022-09-25,0,0,5.1,73.0,0
2022-09-26,0,0,2.3,73.0,0
2022-09-27,0,0,1.5,72.5,0
2022-09-28,0,0,2.8,68.0,0
2022-09-29,0,0,4.6,68.0,0
2022-09-30,0,0,3.6,73.0,0
2022-10-01,0,0,4.3,73.0,0
2022-10-02,0,0,2.0,69.5,0
2022-10-03,0,0,2.8,44.5,0
2022-10-04,0,0,3.0,45.5,0
2022-10-05,0,0,2.3,43.0,0
2022-10-06,0,0,1.8,70.0,0
2022-10-07,0,0,1.2,55.0,0
2022-10-08,0,0,1.2,69.5,0
2022-10-09,0,0,1.2,74.5,0
2022-10-10,0,0,2.0,70.0,0
2022-10-11,0,0,2.3,54.0,0
2022-10-12,0,0,2.3,52.5,0
2022-10-13,0,0,1.8,65.0,0
2022-10-14,0,0,2.5,47.0,0
2022-10-15,0,0,2.0,62.0,0
2022-10-16,0,0,1.5,70.0,0
2022-10-17,0,0,1.5,66.5,0
2022-10-18,0,0,2.0,68.0,0
2022-10-19,0,0,1.8,40.0,0
2022-10-20,0,0,3.3,36.5,0
2022-10-21,0,0,1.8,52.0,0
2022-10-22,0,0,3.6,58.0,0
2022-10-23,0,0,2.0,70.0,0
2022-10-24,0,0,1.5,70.0,0
2022-10-25,0,0,1.5,71.5,0
2022-10-26,0,0,1.8,68.0,0
2022-10-27,0,0,1.8,72.0,0
2022-10-28,0,0,1.5,58.0,0
2022-10-29,0,0,1.5,64.5,0
2022-10-30,0,0,1.0,64.5,0
2022-10-31,0,0,1.0,68.5,0
2022-11-01,0,0,1.0,63.0,0
2022-11-02,0,0,1.0,62.0,0
2022-11-03,0,0,1.5,69.5,0
2022-11-04,0,0,4.6,79.5,0
2022-11-05,0,0,5.9,76.0,0
2022-11-06,0,0,3.8,47.0,0
2022-11-07,0,0,1.8,62.5,0
2022-11-08,0,0,2.0,68.5,0
2022-11-09,0,0,1.5,76.0,0
2022-11-10,0,0,1.8,67.0,0
2022-11-11,0,0,3.0,37.0,0
2022-11-12,0,0,3.0,38.5,0
2022-11-13,0,0,3.3,50.0,0
2022-11-14,0,0,2.3,87.0,0
2022-11-15,0,0,1.5,87.0,0
2022-11-16,0,0,2.0,93.0,0
2022-11-17,0,0,1.5,87.0,0
2022-11-18,0,0,2.3,85.0,0
2022-11-19,0,0,3.3,87.0,0
2022-11-20,0,0,3.3,72.0,0
2022-11-21,0,0,2.3,53.5,0
2022-11-22,0,0,7.4,79.5,0
2022-11-23,0,0,3.8,66.5,0
2022-11-24,0,0,3.6,57.0,0
2022-11-25,0,0,1.8,60.0,0
2022-11-26,0,0,4.1,40.0,0
2022-11-27,0,0,4.8,41.5,0
2022-11-28,0,0,2.5,48.0,0
2022-11-29,0,0,2.0,49.5,0
2022-11-30,0,0,3.6,42.5,0
2022-12-01,0,0,2.5,53.0,0
2022-12-02,0,0,2.3,87.0,0
2022-12-03,0,0,5.1,84.5,0
2022-12-04,0,0,5.6,84.5,0
2022-12-05,0,0,2.8,82.0,0
2022-12-06,0,0,2.0,87.0,0
2022-12-07,0,0,1.2,93.0,0
2022-12-08,0,0,1.5,93.0,0
2022-12-09,0,0,4.6,84.5,0
2022-12-10,0,0,4.1,87.0,0
2022-12-11,0,0,4.1,63.0,0
2022-12-12,0,0,3.6,60.0,0
2022-12-13,0,0,3.0,47.0,0
2022-12-14,0,0,1.8,93.0,0
2022-12-15,0,0,2.5,79.5,0
2022-12-16,0,0,3.6,85.0,0
2022-12-17,0,0,3.3,79.0,0
2022-12-18,0,0,4.1,57.0,0
2022-12-19,0,0,3.8,56.0,0
2022-12-20,0,0,1.2,70.0,0
2022-12-21,0,0,0.7,87.0,0
2022-12-22,0,0,0.5,90.0,0
2022-12-23,0,0,1.0,90.0,0
2022-12-24,0,0,0.7,87.0,0
2022-12-25,0,0,0.7,93.0,0
2022-12-26,0,0,0.5,87.0,0
2022-12-27,0,0,1.0,87.0,0
2022-12-28,0,0,1.0,90.0,0
2022-12-29,0,0,1.8,87.0,0
2022-12-30,0,0,2.3,82.0,0
2022-12-31,0,0,0.7,81.5,0
