Date,pm25,pm10,wind-speed,humidity,precipitation
2022-01-01,32,0,5.4,86.0,0
2022-01-02,39,0,4.4,85.0,0
2022-01-03,38,0,2.8,78.3,0
2022-01-04,35,0,7.5,78.0,0
2022-01-05,38,0,6.4,68.2,0
2022-01-06,23,0,3.9,71.8,0
2022-01-07,26,0,2.3,71.1,0
2022-01-08,31,0,5.6,79.0,0
2022-01-09,28,0,4.6,69.0,0
2022-01-10,31,0,3.6,66.3,0
2022-01-11,35,0,5.8,72.0,0
2022-01-12,31,0,2.4,72.6,0
2022-01-13,50,0,2.2,70.0,0
2022-01-14,65,0,2.2,88.3,0
2022-01-15,46,0,4.6,85.0,0
2022-01-16,55,0,2.5,79.3,0
2022-01-17,35,0,3.7,79.6,0
2022-01-18,32,0,5.5,75.0,0
2022-01-19,25,0,5.1,75.0,0
2022-01-20,22,0,4.5,72.8,0
2022-01-21,39,0,2.0,80.1,0
2022-01-22,40,0,3.6,71.3,0
2022-01-23,27,0,5.1,71.8,0
2022-01-24,33,0,4.2,76.0,0
2022-01-25,43,0,3.6,66.8,0
2022-01-26,27,0,2.6,62.6,0
2022-01-27,40,0,4.1,69.0,0
2022-01-28,22,0,4.5,72.0,0
2022-01-29,30,0,4.2,64.3,0
2022-01-30,53,0,3.7,67.8,0
2022-01-31,67,0,4.0,63.1,0
2022-02-01,56,0,4.1,64.6,0
2022-02-02,31,0,4.6,85.0,0
2022-02-03,27,0,4.6,83.0,0
2022-02-04,33,0,2.8,75.9,0
2022-02-05,44,0,3.0,74.0,0
2022-02-06,45,0,4.0,74.8,0
2022-02-07,53,0,2.4,73.0,0
2022-02-08,43,0,4.5,74.3,0
2022-02-09,23,0,2.5,72.0,0
2022-02-10,19,0,3.4,76.4,0
2022-02-11,18,0,4.1,76.7,0
2022-02-12,24,0,4.4,74.0,0
2022-02-13,28,0,2.5,78.0,0
2022-02-14,44,0,2.3,76.2,0
2022-02-15,54,0,4.6,67.7,0
2022-02-16,46,0,7.6,71.0,0
2022-02-17,36,0,6.4,88.0,0
2022-02-18,24,0,4.1,70.4,0
2022-02-19,23,0,4.6,62.0,0
2022-02-20,20,0,6.5,61.0,0
2022-02-21,35,0,6.3,73.7,0
2022-02-22,25,0,6.1,79.3,0
2022-02-23,29,0,3.9,75.7,0
2022-02-24,36,0,2.6,88.1,0
2022-02-25,43,0,3.0,79.0,0
2022-02-26,47,0,2.0,76.4,0
2022-02-27,48,0,2.0,71.8,0
2022-02-28,42,0,2.9,66.8,0
2022-03-01,32,0,2.3,60.0,0
2022-03-02,48,0,3.0,61.3,0
2022-03-03,38,0,5.1,70.5,0
2022-03-04,34,0,4.6,66.6,0
2022-03-05,53,0,7.3,68.6,0
2022-03-06,36,0,4.5,73.0,0
2022-03-07,28,0,5.4,74.0,0
2022-03-08,28,0,1.7,69.0,0
2022-03-09,40,0,3.0,71.2,0
2022-03-10,36,0,3.6,74.0,0
2022-03-11,28,0,4.6,64.6,0
2022-03-12,18,0,6.0,56.0,0
2022-03-13,20,0,6.0,52.8,0
2022-03-14,30,0,5.8,60.0,0
2022-03-15,43,0,1.5,69.3,0
2022-03-16,54,0,3.6,61.3,0
2022-03-17,52,0,3.9,64.6,0
2022-03-18,50,0,5.3,78.3,0
2022-03-19,15,0,6.1,65.0,0
2022-03-20,27,0,3.3,50.0,0
2022-03-21,33,0,6.1,48.3,0
2022-03-22,36,0,6.8,82.0,0
2022-03-23,21,0,4.7,83.0,0
2022-03-24,10,0,3.9,80.0,0
2022-03-25,20,0,5.9,58.0,0
2022-03-26,12,0,7.2,52.0,0
2022-03-27,15,0,3.0,48.7,0
2022-03-28,23,0,2.7,44.2,0
2022-03-29,28,0,6.1,54.0,0
2022-03-30,38,0,4.1,87.0,0
2022-03-31,18,0,4.7,82.0,0
2022-04-01,24,0,2.5,64.2,0
2022-04-02,27,0,4.6,77.2,0
2022-04-03,27,0,2.0,51.2,0
2022-04-04,25,0,2.9,72.6,0
2022-04-05,32,0,3.6,86.7,0
2022-04-06,16,0,4.9,67.0,0
2022-04-07,13,0,5.7,68.0,0
2022-04-08,12,0,4.9,80.3,0
2022-04-09,14,0,2.9,61.0,0
2022-04-10,26,0,6.8,49.0,0
2022-04-11,43,0,2.0,56.0,0
2022-04-12,42,0,7.0,73.0,0
2022-04-13,26,0,5.3,88.7,0
2022-04-14,23,0,4.6,49.0,0
2022-04-15,21,0,3.5,51.5,0
2022-04-16,18,0,4.1,53.0,0
2022-04-17,23,0,3.7,64.0,0
2022-04-18,23,0,4.7,68.5,0
2022-04-19,20,0,2.5,57.0,0
2022-04-20,23,0,5.4,78.1,0
2022-04-21,31,0,2.9,79.0,0
2022-04-22,43,0,5.4,68.7,0
2022-04-23,50,0,8.0,64.0,0
2022-04-24,37,0,5.4,73.6,0
2022-04-25,14,0,4.1,65.5,0
2022-04-26,20,0,4.2,57.0,0
2022-04-27,25,0,3.6,52.2,0
2022-04-28,35,0,3.5,67.0,0
2022-04-29,45,0,4.3,66.0,0
2022-04-30,52,0,6.1,70.2,0
2022-05-01,11,0,4.6,65.7,0
2022-05-02,21,0,2.5,72.6,0
2022-05-03,30,0,4.2,90.7,0
2022-05-04,22,0,2.2,82.0,0
2022-05-05,33,0,2.5,93.0,0
2022-05-06,16,0,3.7,88.2,0
2022-05-07,21,0,3.0,65.6,0
2022-05-08,20,0,5.0,60.5,0
2022-05-09,42,0,7.2,69.0,0
2022-05-10,57,0,4.3,75.0,0
2022-05-11,72,0,2.4,72.2,0
2022-05-12,75,0,3.0,65.0,0
2022-05-13,45,0,2.4,55.5,0
2022-05-14,38,0,1.8,63.0,0
2022-05-15,37,0,2.2,66.3,0
2022-05-16,20,0,3.0,45.7,0
2022-05-17,25,0,1.8,46.0,0
2022-05-18,30,0,2.5,77.0,0
2022-05-19,34,0,3.6,82.0,0
2022-05-20,53,0,5.1,69.0,0
2022-05-21,23,0,3.0,87.0,0
2022-05-22,18,0,3.0,69.6,0
2022-05-23,20,0,3.0,53.0,0
2022-05-24,30,0,3.7,63.0,0
2022-05-25,28,0,4.4,82.0,0
2022-05-26,24,0,3.2,88.0,0
2022-05-27,23,0,3.0,91.0,0
2022-05-28,26,0,3.5,69.7,0
2022-05-29,33,0,5.7,64.0,0
2022-05-30,43,0,5.6,58.3,0
2022-05-31,45,0,3.7,67.6,0
2022-06-01,19,0,2.0,80.5,0
2022-06-02,20,0,2.5,61.3,0
2022-06-03,22,0,2.2,47.0,0
2022-06-04,29,0,1.2,46.0,0
2022-06-05,36,0,2.2,49.7,0
2022-06-06,45,0,2.4,67.6,0
2022-06-07,30,0,1.7,78.0,0
2022-06-08,23,0,3.2,76.0,0
2022-06-09,25,0,1.5,61.0,0
2022-06-10,30,0,2.0,72.0,0
2022-06-11,33,0,2.0,76.3,0
2022-06-12,43,0,2.5,83.0,0
2022-06-13,55,0,3.6,72.6,0
2022-06-14,77,0,4.1,60.7,0
2022-06-15,96,0,4.0,58.2,0
2022-06-16,62,0,3.0,66.3,0
2022-06-17,28,0,2.5,65.0,0
2022-06-18,20,0,3.0,43.3,0
2022-06-19,21,0,2.2,47.0,0
2022-06-20,30,0,2.5,50.5,0
2022-06-21,51,0,2.5,60.0,0
2022-06-22,30,0,2.7,58.3,0
2022-06-23,26,0,2.0,55.6,0
2022-06-24,31,0,1.5,57.0,0
2022-06-25,41,0,3.0,66.6,0
2022-06-26,23,0,3.5,68.0,0
2022-06-27,25,0,2.5,55.5,0
2022-06-28,35,0,2.0,56.0,0
2022-06-29,38,0,2.0,57.0,0
2022-06-30,42,0,3.0,53.0,0
2022-07-01,47,0,2.5,73.7,0
2022-07-02,38,0,2.0,81.3,0
2022-07-03,42,0,2.2,64.0,0
2022-07-04,47,0,3.5,68.0,0
2022-07-05,45,0,2.5,66.5,0
2022-07-06,33,0,2.0,78.0,0
2022-07-07,25,0,2.0,88.0,0
2022-07-08,24,0,2.7,90.0,0
2022-07-09,30,0,2.7,88.0,0
2022-07-10,28,0,1.8,71.0,0
2022-07-11,32,0,2.5,69.0,0
2022-07-12,22,0,3.0,64.0,0
2022-07-13,31,0,2.0,69.0,0
2022-07-14,33,0,1.7,69.5,0
2022-07-15,35,0,2.5,73.0,0
2022-07-16,49,0,2.4,69.0,0
2022-07-17,43,0,1.5,89.0,0
2022-07-18,37,0,1.5,80.0,0
2022-07-19,47,0,3.2,73.0,0
2022-07-20,55,0,2.9,70.0,0
2022-07-21,68,0,2.0,66.5,0
2022-07-22,44,0,2.0,68.0,0
2022-07-23,52,0,3.0,65.0,0
2022-07-24,46,0,3.2,75.3,0
2022-07-25,28,0,1.5,77.0,0
2022-07-26,26,0,1.8,88.0,0
2022-07-27,30,0,2.2,81.3,0
2022-07-28,25,0,1.8,76.6,0
2022-07-29,19,0,1.7,73.0,0
2022-07-30,23,0,1.5,68.7,0
2022-07-31,26,0,2.5,81.3,0
2022-08-01,37,0,3.3,78.2,0
2022-08-02,25,0,4.0,80.2,0
2022-08-03,30,0,3.2,85.5,0
2022-08-04,22,0,2.0,88.0,0
2022-08-05,30,0,1.8,86.3,0
2022-08-06,37,0,3.0,78.5,0
2022-08-07,31,0,2.9,83.0,0
2022-08-08,30,0,2.2,84.0,0
2022-08-09,17,0,2.2,88.0,0
2022-08-10,20,0,1.5,76.0,0
2022-08-11,28,0,2.0,72.2,0
2022-08-12,21,0,2.0,72.0,0
2022-08-13,23,0,3.0,65.3,0
2022-08-14,30,0,3.0,78.0,0
2022-08-15,35,0,2.4,82.0,0
2022-08-16,38,0,1.5,82.0,0
2022-08-17,35,0,1.8,73.0,0
2022-08-18,38,0,1.5,73.0,0
2022-08-19,41,0,2.7,68.0,0
2022-08-20,36,0,2.5,83.0,0
2022-08-21,23,0,2.0,87.5,0
2022-08-22,29,0,1.5,81.7,0
2022-08-23,28,0,1.5,73.2,0
2022-08-24,33,0,1.5,72.2,0
2022-08-25,39,0,2.0,77.5,0
2022-08-26,38,0,1.7,81.3,0
2022-08-27,36,0,1.7,74.7,0
2022-08-28,33,0,2.5,83.5,0
2022-08-29,28,0,2.9,81.3,0
2022-08-30,27,0,2.2,69.0,0
2022-08-31,43,0,1.5,72.2,0
2022-09-01,41,0,2.0,76.7,0
2022-09-02,45,0,1.5,78.0,0
2022-09-03,42,0,1.5,88.5,0
2022-09-04,30,0,2.2,89.6,0
2022-09-05,37,0,2.5,88.0,0
2022-09-06,35,0,2.0,84.6,0
2022-09-07,32,0,2.5,82.0,0
2022-09-08,30,0,1.5,80.3,0
2022-09-09,32,0,1.5,73.0,0
2022-09-10,47,0,1.5,78.0,0
2022-09-11,28,0,3.6,87.8,0
2022-09-12,23,0,2.5,72.0,0
2022-09-13,21,0,1.8,76.6,0
2022-09-14,26,0,1.3,74.3,0
2022-09-15,30,0,2.1,76.0,0
2022-09-16,39,0,2.2,70.4,0
2022-09-17,52,0,2.9,64.0,0
2022-09-18,49,0,2.8,73.0,0
2022-09-19,32,0,2.4,79.6,0
2022-09-20,36,0,2.0,66.6,0
2022-09-21,33,0,3.0,65.0,0
2022-09-22,16,0,3.0,67.0,0
2022-09-23,16,0,2.2,76.3,0
2022-09-24,26,0,2.0,67.0,0
2022-09-25,22,0,3.4,56.3,0
2022-09-26,17,0,3.0,59.2,0
2022-09-27,17,0,2.5,57.0,0
2022-09-28,15,0,2.4,71.0,0
2022-09-29,16,0,2.0,76.0,0
2022-09-30,21,0,2.0,72.6,0
