Date,pm25,pm10,wind-speed,humidity,precipitation
2022-01-01,0,5,0.8,79.1,0
2022-01-02,0,3,1.7,86.0,0
2022-01-03,0,5,2.7,90.5,0
2022-01-04,0,5,1.0,94.0,0
2022-01-05,0,5,1.8,92.2,0
2022-01-06,0,4,1.2,96.4,0
2022-01-07,0,7,2.7,81.0,0
2022-01-08,0,6,0.5,93.0,0
2022-01-09,0,5,0.7,95.5,0
2022-01-10,0,5,0.5,96.0,0
2022-01-11,0,5,0.5,97.5,0
2022-01-12,0,4,0.5,98.7,0
2022-01-13,0,6,0.7,96.0,0
2022-01-14,0,6,0.4,96.0,0
2022-01-15,0,6,0.5,98.0,0
2022-01-16,0,5,0.5,97.0,0
2022-01-17,0,6,0.5,97.0,0
2022-01-18,0,5,1.0,99.0,0
2022-01-19,0,4,0.7,98.0,0
2022-01-20,0,5,1.0,95.5,0
2022-01-21,0,8,0.5,94.0,0
2022-01-22,0,6,0.5,93.4,0
2022-01-23,0,6,0.5,98.6,0
2022-01-24,0,6,0.6,99.0,0
2022-01-25,0,7,0.5,99.0,0
2022-01-26,0,7,0.5,99.0,0
2022-01-27,0,7,0.5,99.0,0
2022-01-28,0,9,0.5,93.2,0
2022-01-29,0,9,0.5,92.0,0
2022-01-30,0,5,1.0,97.0,0
2022-01-31,0,7,1.0,83.0,0
2022-02-01,0,5,0.5,90.0,0
2022-02-02,0,6,0.5,92.7,0
2022-02-03,0,5,0.5,98.0,0
2022-02-04,0,4,1.0,98.0,0
2022-02-05,0,8,0.7,93.1,0
2022-02-06,0,5,0.5,96.0,0
2022-02-07,0,9,1.0,93.0,0
2022-02-08,0,7,0.5,96.0,0
2022-02-09,0,5,0.5,96.2,0
2022-02-10,0,5,0.5,98.0,0
2022-02-11,0,5,0.5,96.0,0
2022-02-12,0,9,0.5,92.3,0
2022-02-13,0,9,0.5,79.0,0
2022-02-14,0,9,0.5,92.0,0
2022-02-15,0,7,1.0,92.8,0
2022-02-16,0,10,0.5,92.0,0
2022-02-17,0,12,1.0,93.0,0
2022-02-18,0,8,0.5,92.5,0
2022-02-19,0,4,1.2,96.0,0
2022-02-20,0,5,0.8,92.8,0
2022-02-21,0,5,2.5,52.5,0
2022-02-22,0,6,4.5,30.0,0
2022-02-23,0,12,1.0,42.8,0
2022-02-24,0,9,0.7,79.0,0
2022-02-25,0,11,0.5,72.5,0
2022-02-26,0,6,0.7,73.1,0
2022-02-27,0,4,1.0,95.4,0
2022-02-28,0,4,1.0,97.5,0
2022-03-01,0,6,0.5,93.5,0
2022-03-02,0,5,0.7,96.3,0
2022-03-03,0,5,0.5,94.7,0
2022-03-04,0,7,1.0,93.0,0
2022-03-05,0,8,0.6,91.7,0
2022-03-06,0,9,1.0,88.5,0
2022-03-07,0,10,0.4,93.2,0
2022-03-08,0,0,1.0,78.1,0
2022-03-09,0,8,1.5,36.0,0
2022-03-10,0,9,0.5,60.3,0
2022-03-11,0,6,0.5,91.2,0
2022-03-12,0,3,1.0,94.9,0
2022-03-13,0,6,0.7,94.0,0
2022-03-14,0,3,1.2,97.0,0
2022-03-15,0,6,0.8,95.0,0
2022-03-16,0,6,1.0,86.0,0
2022-03-17,0,4,0.5,96.0,0
2022-03-18,0,4,0.7,96.0,0
2022-03-19,0,5,1.5,80.5,0
2022-03-20,0,5,1.0,94.0,0
2022-03-21,0,4,0.7,96.0,0
2022-03-22,0,3,0.5,98.0,0
2022-03-23,0,4,0.5,95.6,0
2022-03-24,0,7,0.5,78.2,0
2022-03-25,0,7,0.5,78.5,0
2022-03-26,0,5,0.7,88.8,0
2022-03-27,0,6,1.0,93.1,0
2022-03-28,0,6,0.7,94.3,0
2022-03-29,0,7,0.6,86.6,0
2022-03-30,0,6,1.1,81.0,0
2022-03-31,0,6,1.8,75.0,0
2022-04-01,0,7,0.5,86.0,0
2022-04-02,0,6,1.0,88.6,0
2022-04-03,0,5,1.2,93.2,0
2022-04-04,0,8,4.6,81.0,0
2022-04-05,0,8,3.2,74.5,0
2022-04-06,0,7,0.8,58.9,0
2022-04-07,0,9,0.7,57.0,0
2022-04-08,0,5,3.8,76.0,0
2022-04-09,0,6,2.5,66.7,0
2022-04-10,0,5,1.0,80.0,0
2022-04-11,0,5,1.4,42.1,0
2022-04-12,0,5,1.8,80.3,0
2022-04-13,0,6,1.0,74.7,0
2022-04-14,0,8,1.2,55.0,0
2022-04-15,0,0,0.8,75.0,0
2022-04-16,0,7,1.1,70.0,0
2022-04-17,0,5,1.0,57.0,0
2022-04-18,0,4,1.5,93.0,0
2022-04-19,0,5,1.6,83.2,0
2022-04-20,0,5,1.5,86.3,0
2022-04-21,0,6,0.6,92.9,0
2022-04-22,0,7,1.5,77.2,0
2022-04-23,0,8,0.7,73.1,0
2022-04-24,0,7,1.0,70.6,0
2022-04-25,0,6,1.2,85.8,0
2022-04-26,0,7,0.5,84.7,0
2022-04-27,0,7,1.0,78.2,0
2022-04-28,0,9,1.0,74.2,0
2022-04-29,0,8,0.5,69.7,0
2022-04-30,0,7,0.8,89.0,0
2022-05-01,0,8,0.5,79.0,0
2022-05-02,0,8,1.0,91.4,0
2022-05-03,0,8,1.0,91.8,0
2022-05-04,0,6,0.5,90.9,0
2022-05-05,0,4,1.2,94.9,0
2022-05-06,0,8,1.0,75.4,0
2022-05-07,0,8,1.7,71.0,0
2022-05-08,0,5,1.0,79.5,0
2022-05-09,0,7,1.5,83.0,0
2022-05-10,0,8,1.5,75.0,0
2022-05-11,0,7,1.4,76.0,0
2022-05-12,0,5,1.1,87.0,0
2022-05-13,0,6,1.1,69.5,0
2022-05-14,0,6,1.0,87.2,0
2022-05-15,0,5,1.0,95.0,0
2022-05-16,0,6,2.0,72.4,0
2022-05-17,0,8,1.2,61.7,0
2022-05-18,0,7,3.5,72.5,0
2022-05-19,0,7,1.5,67.0,0
2022-05-20,0,8,1.4,67.4,0
2022-05-21,0,8,1.0,62.3,0
2022-05-22,0,9,1.0,55.0,0
2022-05-23,0,10,1.0,69.5,0
2022-05-24,0,8,0.8,75.6,0
2022-05-25,0,6,0.9,83.0,0
2022-05-26,0,7,0.6,83.0,0
2022-05-27,0,5,1.5,81.5,0
2022-05-28,0,6,0.7,74.0,0
2022-05-29,0,7,1.0,78.2,0
2022-05-30,0,7,0.7,85.2,0
2022-05-31,0,9,1.0,75.2,0
2022-06-01,0,10,0.9,76.0,0
2022-06-02,0,9,1.0,72.0,0
2022-06-03,0,5,0.7,93.2,0
2022-06-04,0,5,1.0,91.5,0
2022-06-05,0,5,1.6,93.0,0
2022-06-06,0,6,1.0,77.0,0
2022-06-07,0,9,0.9,71.0,0
2022-06-08,0,7,0.9,72.3,0
2022-06-09,0,6,0.7,93.0,0
2022-06-10,0,6,0.7,86.5,0
2022-06-11,0,4,1.0,74.3,0
2022-06-12,0,6,1.0,77.5,0
2022-06-13,0,8,1.7,68.0,0
2022-06-14,0,7,1.0,78.2,0
2022-06-15,0,8,0.5,81.5,0
2022-06-16,0,8,0.7,82.9,0
2022-06-17,0,8,1.0,78.4,0
2022-06-18,0,7,0.7,85.9,0
2022-06-19,0,7,0.7,86.0,0
2022-06-20,0,8,0.7,79.2,0
2022-06-21,0,8,0.5,89.2,0
2022-06-22,0,5,1.5,72.2,0
2022-06-23,0,8,1.3,64.0,0
2022-06-24,0,9,1.0,53.5,0
2022-06-25,0,11,1.0,46.9,0
2022-06-26,0,12,1.0,42.0,0
2022-06-27,0,17,1.0,44.7,0
2022-06-28,0,10,1.5,73.9,0
2022-06-29,0,6,1.0,82.0,0
2022-06-30,0,9,1.0,71.5,0
2022-07-01,0,9,1.2,66.5,0
2022-07-02,0,10,1.0,71.5,0
2022-07-03,0,6,0.8,91.8,0
2022-07-04,0,7,0.5,95.5,0
2022-07-05,0,9,1.0,68.0,0
2022-07-06,0,10,1.0,72.8,0
2022-07-07,0,7,1.0,77.0,0
2022-07-08,0,7,1.0,75.5,0
2022-07-09,0,9,1.4,68.7,0
2022-07-10,0,7,1.5,72.0,0
2022-07-11,0,9,1.0,64.0,0
2022-07-12,0,11,1.0,64.7,0
2022-07-13,0,10,1.0,67.0,0
2022-07-14,0,10,1.0,63.0,0
2022-07-15,0,10,1.5,68.5,0
2022-07-16,0,8,1.0,76.1,0
2022-07-17,0,7,1.0,82.0,0
2022-07-18,0,9,1.0,87.0,0
2022-07-19,0,10,1.0,74.7,0
2022-07-20,0,10,1.5,69.2,0
2022-07-21,0,12,1.0,71.0,0
2022-07-22,0,11,1.0,82.0,0
2022-07-23,0,9,1.0,77.7,0
2022-07-24,0,11,1.0,71.2,0
2022-07-25,0,15,1.3,66.8,0
2022-07-26,0,17,1.2,58.5,0
2022-07-27,0,19,1.7,59.3,0
2022-07-28,0,22,1.0,66.5,0
2022-07-29,0,23,1.3,64.5,0
2022-07-30,0,20,1.0,62.7,0
2022-07-31,0,23,1.0,57.1,0
2022-08-01,0,13,1.1,70.0,0
2022-08-02,0,11,1.0,75.0,0
2022-08-03,0,10,1.5,77.2,0
2022-08-04,0,6,1.5,82.0,0
2022-08-05,0,8,1.0,66.8,0
2022-08-06,0,9,1.0,59.2,0
2022-08-07,0,11,1.0,63.5,0
2022-08-08,0,13,1.0,64.0,0
2022-08-09,0,15,1.0,76.2,0
2022-08-10,0,12,1.5,80.4,0
2022-08-11,0,10,1.0,68.0,0
2022-08-12,0,13,1.0,68.6,0
2022-08-13,0,8,0.5,72.5,0
2022-08-14,0,8,0.8,66.6,0
2022-08-15,0,12,0.6,64.0,0
2022-08-16,0,10,1.0,60.6,0
2022-08-17,0,14,0.9,60.3,0
2022-08-18,0,18,0.9,62.2,0
2022-08-19,0,19,0.7,73.0,0
2022-08-20,0,10,1.0,77.5,0
2022-08-21,0,8,1.0,77.0,0
2022-08-22,0,13,1.0,72.2,0
2022-08-23,0,13,1.0,75.6,0
2022-08-24,0,15,1.0,73.1,0
2022-08-25,0,16,1.0,67.0,0
2022-08-26,0,8,0.5,83.8,0
2022-08-27,0,9,1.5,72.4,0
2022-08-28,0,9,1.0,67.4,0
2022-08-29,0,13,1.0,62.5,0
2022-08-30,0,12,1.0,65.0,0
2022-08-31,0,16,0.7,64.0,0
2022-09-01,0,12,0.9,73.3,0
2022-09-02,0,17,0.9,71.0,0
