Date,pm25,pm10,wind-speed,humidity,precipitation
2022-01-01,16,4,2.8,88.5,0
2022-01-02,9,3,4.6,92.0,0
2022-01-03,12,3,3.6,92.0,0
2022-01-04,14,5,4.1,92.0,0
2022-01-05,13,5,2.5,96.0,0
2022-01-06,11,3,3.8,85.0,0
2022-01-07,13,4,2.5,85.0,0
2022-01-08,13,5,1.5,92.0,0
2022-01-09,25,6,2.0,92.0,0
2022-01-10,33,9,0.7,84.0,0
2022-01-11,27,11,3.8,88.5,0
2022-01-12,13,5,5.6,92.0,0
2022-01-13,5,2,7.2,86.0,0
2022-01-14,8,3,6.4,74.0,0
2022-01-15,9,3,3.8,68.0,0
2022-01-16,8,3,4.8,92.0,0
2022-01-17,7,2,4.6,73.0,0
2022-01-18,10,3,3.0,85.0,0
2022-01-19,9,3,5.6,86.0,0
2022-01-25,0,0,2.3,88.5,0
2022-01-26,0,0,3.6,92.0,0
2022-01-27,0,0,2.8,92.0,0
2022-01-28,0,0,3.3,86.0,0
2022-01-29,5,2,5.9,92.0,0
2022-01-30,5,2,5.6,89.0,0
2022-01-31,15,4,3.3,85.0,0
2022-02-01,18,5,1.5,85.0,0
2022-02-02,32,9,0.7,88.5,0
2022-02-03,44,12,0.5,92.0,0
2022-02-04,25,8,6.4,92.0,0
2022-02-05,12,3,3.6,92.0,0
2022-02-06,9,3,4.1,92.0,0
2022-02-07,15,5,2.5,92.0,0
2022-02-08,8,3,3.3,92.0,0
2022-02-09,8,3,4.1,96.0,0
2022-02-10,9,3,4.8,89.0,0
2022-02-11,9,3,3.8,92.0,0
2022-02-12,8,3,4.8,86.0,0
2022-02-13,10,3,5.9,96.0,0
2022-02-14,15,5,3.3,96.5,0
2022-02-15,30,9,3.6,100.0,0
2022-02-16,18,6,4.3,93.0,0
2022-02-17,8,2,4.1,100.0,0
2022-02-18,9,3,6.4,86.0,0
2022-02-19,11,3,2.3,92.0,0
2022-02-20,10,3,2.8,96.0,0
2022-02-21,9,3,5.9,88.5,0
2022-02-22,12,3,4.6,85.0,0
2022-02-23,36,12,1.2,84.0,0
2022-02-24,16,5,6.4,89.5,0
2022-02-25,14,4,3.3,93.0,0
2022-02-26,9,3,2.5,85.0,0
2022-02-27,13,4,4.1,80.0,0
2022-02-28,15,5,3.6,77.0,0
2022-03-01,23,7,5.1,71.5,0
2022-03-02,27,9,5.1,86.0,0
2022-03-03,6,2,2.5,64.0,0
2022-03-04,10,7,0.7,79.0,0
2022-03-05,15,7,2.8,79.0,0
2022-03-06,7,3,3.6,89.0,0
2022-03-07,5,2,2.5,79.0,0
2022-03-08,22,7,2.3,93.0,0
2022-03-09,18,5,2.8,79.0,0
2022-03-10,15,5,5.1,80.0,0
2022-03-11,24,8,4.8,86.0,0
2022-03-12,39,11,1.0,89.0,0
2022-03-13,33,12,0.7,76.5,0
2022-03-14,29,15,1.0,65.5,0
2022-03-15,48,23,1.0,62.0,0
2022-03-16,56,25,0.7,68.0,0
2022-03-17,35,15,2.8,57.0,0
2022-03-18,51,21,3.6,66.5,0
2022-03-19,19,7,2.8,66.5,0
2022-03-20,15,10,2.3,62.0,0
2022-03-21,16,11,2.5,62.0,0
2022-03-22,62,31,2.8,62.0,0
2022-03-23,72,33,2.0,86.0,0
2022-03-24,39,19,2.3,83.0,0
2022-03-25,28,12,4.6,86.0,0
2022-03-26,11,8,7.7,59.5,0
2022-03-27,10,13,4.3,62.0,0
2022-03-28,7,3,6.1,71.5,0
2022-03-29,16,18,3.0,55.0,0
2022-03-30,20,43,3.0,68.0,0
2022-03-31,26,31,1.0,70.5,0
2022-04-01,28,25,0.7,70.0,0
2022-04-02,27,23,2.8,63.0,0
2022-04-03,10,6,2.8,71.0,0
2022-04-04,6,3,3.0,92.0,0
2022-04-05,6,3,5.6,92.0,0
2022-04-06,9,3,4.8,79.0,0
2022-04-07,10,4,3.0,86.0,0
2022-04-08,9,3,5.4,92.0,0
2022-04-09,7,3,5.1,83.0,0
2022-04-10,5,2,5.6,92.0,0
2022-04-11,10,5,5.6,64.0,0
2022-04-12,14,17,3.3,62.0,0
2022-04-13,19,26,2.0,57.5,0
2022-04-14,10,4,2.0,93.0,0
2022-04-15,10,6,2.8,60.0,0
2022-04-16,14,17,1.5,55.0,0
2022-04-17,20,21,1.8,69.0,0
2022-04-18,28,25,0.5,72.5,0
2022-04-19,54,75,0.7,68.0,0
2022-04-20,50,67,0.7,55.0,0
2022-04-21,27,45,1.8,55.0,0
2022-04-22,40,54,2.0,51.0,0
2022-04-23,13,13,4.3,54.0,0
2022-04-24,11,15,4.3,53.5,0
2022-04-25,18,22,2.3,50.5,0
2022-04-26,16,13,4.6,43.0,0
2022-04-27,13,19,2.5,37.5,0
2022-04-28,11,8,4.1,74.0,0
2022-04-29,10,9,2.0,45.5,0
2022-04-30,15,11,4.8,56.0,0
2022-05-01,12,10,3.0,58.5,0
2022-05-02,18,16,5.4,51.0,0
2022-05-03,15,11,5.1,47.0,0
2022-05-04,17,14,2.0,42.5,0
2022-05-05,20,15,4.8,51.0,0
2022-05-06,27,15,3.0,59.0,0
2022-05-07,22,8,4.1,84.0,0
2022-05-08,10,5,4.6,49.5,0
2022-05-09,13,8,3.8,49.0,0
2022-05-10,22,14,5.6,50.0,0
2022-05-11,22,8,5.6,76.0,0
2022-05-12,22,7,4.3,87.0,0
2022-05-13,6,3,4.3,58.0,0
2022-05-14,13,6,3.3,68.5,0
2022-05-15,6,5,5.1,49.5,0
2022-05-16,8,7,4.8,50.0,0
2022-05-17,9,6,4.1,65.0,0
2022-05-18,17,13,4.6,41.5,0
2022-05-19,15,13,3.3,50.0,0
2022-05-20,15,11,3.0,36.0,0
2022-05-21,19,11,4.1,43.0,0
2022-05-22,17,9,1.5,35.5,0
2022-05-23,23,17,1.8,37.0,0
2022-05-24,22,15,2.0,33.0,0
2022-05-25,27,20,2.8,48.0,0
2022-05-26,29,10,2.0,93.0,0
2022-05-27,17,5,1.8,87.0,0
2022-05-28,25,9,1.2,90.0,0
2022-05-29,25,9,1.5,82.0,0
2022-05-30,28,11,1.8,78.5,0
2022-05-31,19,9,5.1,84.0,0
2022-06-01,13,6,4.8,78.5,0
2022-06-02,19,9,4.1,82.0,0
2022-06-03,22,8,4.3,87.0,0
2022-06-04,17,8,4.3,70.5,0
2022-06-05,10,5,2.5,66.0,0
2022-06-06,10,6,2.3,45.0,0
2022-06-07,15,9,2.0,47.0,0
2022-06-08,21,11,2.5,87.0,0
2022-06-09,26,10,2.5,84.5,0
2022-06-10,32,12,1.5,82.0,0
2022-06-11,24,10,3.6,65.0,0
2022-06-12,22,9,4.1,64.5,0
2022-06-13,20,8,3.8,81.0,0
2022-06-14,21,9,1.8,82.0,0
2022-06-15,10,8,4.1,53.0,0
2022-06-16,12,9,4.3,62.0,0
2022-06-17,9,7,3.0,57.5,0
2022-06-18,12,5,3.3,93.0,0
2022-06-19,12,7,5.6,78.5,0
2022-06-20,14,6,2.3,67.5,0
2022-06-21,15,7,1.0,50.5,0
2022-06-22,19,8,2.5,68.0,0
2022-06-23,20,8,3.8,69.0,0
2022-06-24,26,9,3.3,70.0,0
2022-06-25,31,10,2.5,54.5,0
2022-06-26,39,14,1.8,55.5,0
2022-06-27,52,21,1.2,54.0,0
2022-06-28,59,26,2.5,62.0,0
2022-06-29,43,21,4.1,62.0,0
2022-06-30,34,21,2.5,50.0,0
2022-07-01,32,18,3.3,48.5,0
2022-07-02,41,17,3.0,66.0,0
2022-07-03,16,8,3.6,56.0,0
2022-07-04,17,9,2.3,52.5,0
2022-07-05,16,6,3.0,72.0,0
2022-07-06,8,4,2.3,79.0,0
2022-07-07,9,4,3.8,76.0,0
2022-07-08,5,3,3.8,61.0,0
2022-07-09,5,3,2.0,67.0,0
2022-07-10,7,3,1.8,57.0,0
2022-07-11,11,6,1.8,61.5,0
2022-07-12,18,9,2.5,64.0,0
2022-07-13,31,11,1.5,93.0,0
2022-07-14,11,7,4.8,82.0,0
2022-07-15,4,3,4.1,76.0,0
2022-07-16,5,2,4.6,90.0,0
2022-07-17,5,3,3.0,81.5,0
2022-07-18,5,3,2.5,71.5,0
2022-07-19,11,6,2.8,69.0,0
2022-07-20,8,6,3.0,55.0,0
2022-07-21,23,11,2.5,54.5,0
2022-07-22,48,16,2.3,66.0,0
2022-07-23,36,11,2.8,93.0,0
2022-07-24,8,4,1.8,79.5,0
2022-07-25,13,5,3.6,66.0,0
2022-07-26,26,9,4.3,82.0,0
2022-07-27,10,5,3.8,85.0,0
2022-07-28,7,4,2.8,69.5,0
2022-07-29,7,4,2.8,72.0,0
2022-07-30,10,4,2.3,82.0,0
2022-07-31,11,4,2.3,70.0,0
2022-08-01,11,5,2.3,61.5,0
2022-08-02,16,5,3.3,74.5,0
2022-08-03,13,6,4.6,74.5,0
2022-08-04,21,9,4.8,70.5,0
2022-08-05,38,17,3.8,66.0,0
2022-08-06,25,9,5.1,82.5,0
2022-08-07,5,3,4.3,69.5,0
2022-08-08,10,4,0.7,61.0,0
2022-08-09,12,6,1.8,65.0,0
2022-08-10,14,6,3.6,68.0,0
2022-08-11,18,8,3.6,73.0,0
2022-08-12,17,8,2.0,70.0,0
2022-08-13,13,6,1.8,61.5,0
2022-08-14,16,7,2.8,58.0,0
2022-08-15,33,15,2.5,60.0,0
2022-08-16,48,20,3.0,60.0,0
2022-08-17,55,23,2.8,82.0,0
2022-08-18,51,20,2.0,93.0,0
2022-08-19,62,29,2.3,73.0,0
2022-08-20,53,24,4.8,60.0,0
2022-08-21,53,37,4.8,70.5,0
2022-08-22,16,7,3.0,85.0,0
2022-08-23,17,7,1.2,82.0,0
2022-08-24,18,6,2.8,96.5,0
2022-08-25,10,5,3.0,76.0,0
2022-08-26,15,6,2.0,77.0,0
2022-08-27,25,12,2.3,79.5,0
2022-08-28,16,6,1.8,90.5,0
2022-08-29,5,3,3.3,76.0,0
2022-08-30,5,3,3.0,73.5,0
2022-08-31,6,3,3.8,61.0,0
2022-09-01,6,3,3.3,64.0,0
2022-09-02,6,3,2.5,72.5,0
2022-09-03,8,3,2.3,75.0,0
2022-09-04,6,3,2.8,70.0,0
2022-09-05,8,4,1.8,70.0,0
2022-09-06,11,5,2.8,81.0,0
2022-09-07,5,3,2.5,77.5,0
2022-09-08,14,6,0.5,81.0,0
2022-09-09,18,7,1.0,81.0,0
2022-09-10,15,7,1.0,84.0,0
2022-09-11,17,9,1.0,87.0,0
2022-09-12,19,9,1.5,76.0,0
2022-09-13,15,7,3.8,84.0,0
2022-09-14,13,5,5.4,90.0,0
2022-09-15,10,4,3.3,93.0,0
2022-09-16,8,3,0.7,96.5,0
2022-09-17,10,3,1.5,90.0,0
2022-09-18,5,2,2.8,93.0,0
2022-09-19,10,4,3.3,87.0,0
2022-09-20,8,4,4.1,81.0,0
2022-09-21,7,3,1.5,89.5,0
2022-09-22,19,7,0.7,92.0,0
2022-09-23,16,6,1.5,87.0,0
2022-09-24,19,6,1.2,90.0,0
2022-09-25,20,7,0.7,93.0,0
2022-09-26,15,6,3.0,87.0,0
2022-09-27,14,6,3.6,87.0,0
2022-09-28,11,5,3.0,93.0,0
2022-09-29,7,3,3.6,93.0,0
2022-09-30,9,3,1.8,93.0,0
2022-10-01,12,4,2.3,93.0,0
2022-10-02,22,7,1.2,100.0,0
2022-10-03,22,7,2.3,90.0,0
2022-10-04,18,6,3.6,81.0,0
2022-10-05,19,7,3.0,96.0,0
2022-10-06,10,4,5.9,93.0,0
2022-10-07,19,8,6.9,81.0,0
2022-10-08,14,5,5.6,87.0,0
2022-10-09,6,3,3.8,78.0,0
2022-10-10,11,5,5.4,81.0,0
2022-10-11,14,5,4.8,90.0,0
2022-10-12,8,4,3.6,86.5,0
2022-10-13,12,5,3.8,86.0,0
2022-10-14,26,9,3.0,93.0,0
2022-10-15,43,12,3.6,93.0,0
2022-10-16,33,10,4.3,93.0,0
2022-10-17,9,4,4.6,90.0,0
2022-10-18,8,4,3.0,90.0,0
2022-10-19,8,3,3.0,86.0,0
2022-10-20,8,4,2.0,90.0,0
2022-10-21,9,4,1.5,93.0,0
2022-10-22,14,6,2.8,81.0,0
2022-10-23,10,4,3.3,77.0,0
2022-10-24,18,11,0.5,92.0,0
2022-10-25,14,6,3.8,89.0,0
2022-10-26,13,4,2.3,100.0,0
2022-10-27,10,3,3.0,93.0,0
2022-10-28,22,8,3.3,93.0,0
2022-10-29,8,3,5.9,90.0,0
2022-10-30,10,4,4.3,66.5,0
2022-10-31,14,5,2.5,96.0,0
2022-11-01,12,5,2.8,96.5,0
2022-11-02,7,3,2.5,100.0,0
2022-11-03,15,5,3.0,100.0,0
2022-11-04,18,5,2.5,93.0,0
2022-11-05,14,5,4.1,89.5,0
2022-11-06,10,3,3.8,93.0,0
2022-11-07,13,5,3.6,93.0,0
2022-11-08,10,3,2.5,96.5,0
2022-11-09,9,4,2.5,96.5,0
2022-11-10,21,7,3.6,93.0,0
2022-11-11,13,5,4.3,93.0,0
2022-11-12,12,6,7.4,70.0,0
2022-11-13,13,6,2.0,92.5,0
2022-11-14,14,5,2.0,100.0,0
2022-11-15,5,2,4.1,89.5,0
2022-11-16,5,3,2.3,92.0,0
2022-11-17,10,4,2.5,86.0,0
2022-11-18,12,7,3.6,79.0,0
2022-11-19,8,4,3.6,79.0,0
2022-11-20,8,3,4.6,86.0,0
2022-11-21,22,6,4.3,79.0,0
2022-11-22,22,7,3.3,79.0,0
2022-11-23,9,3,3.6,85.0,0
2022-11-24,17,5,2.8,88.5,0
2022-11-25,18,5,3.0,92.0,0
2022-11-26,22,6,2.3,92.0,0
2022-11-27,28,8,2.5,92.0,0
2022-11-28,53,14,2.5,96.0,0
2022-11-29,40,11,2.8,92.0,0
2022-11-30,41,11,1.8,92.0,0
2022-12-01,29,9,1.0,92.0,0
2022-12-02,30,8,3.8,92.0,0
2022-12-03,21,6,2.5,88.5,0
2022-12-04,40,12,1.0,85.0,0
2022-12-05,36,12,1.8,88.5,0
2022-12-06,19,5,2.8,92.0,0
2022-12-07,20,6,1.5,92.0,0
2022-12-08,23,6,2.8,92.0,0
2022-12-09,26,7,1.2,96.0,0
2022-12-10,14,4,2.8,92.0,0
2022-12-11,19,5,3.8,85.0,0
2022-12-12,16,5,6.6,78.0,0
2022-12-13,13,5,3.3,81.5,0
2022-12-14,17,5,1.5,88.5,0
2022-12-15,28,8,0.7,87.5,0
2022-12-16,35,10,1.0,88.5,0
2022-12-17,16,5,2.8,92.0,0
2022-12-18,12,4,4.6,92.0,0
2022-12-19,9,4,3.8,89.0,0
2022-12-20,39,11,3.8,92.0,0
2022-12-21,5,2,3.0,96.5,0
2022-12-22,8,3,4.8,93.0,0
2022-12-23,6,2,2.3,92.0,0
2022-12-24,10,3,4.3,86.0,0
2022-12-25,8,3,2.0,92.0,0
2022-12-26,10,0,4.6,92.0,0
2022-12-27,10,0,4.8,92.0,0
2022-12-28,11,4,3.3,92.0,0
2022-12-29,12,4,4.8,92.0,0
2022-12-30,11,3,4.1,93.0,0
2022-12-31,12,4,5.6,93.0,0
