Date,pm25,pm10,wind-speed,humidity,precipitation
2022-01-01,39,0,2.7,93.0,0
2022-01-02,33,0,8.2,89.7,0
2022-01-03,33,0,10.5,55.0,0
2022-01-04,39,0,6.1,57.0,0
2022-01-05,32,0,5.0,81.0,0
2022-01-06,45,0,9.0,54.0,0
2022-01-07,41,0,14.5,61.0,0
2022-01-08,38,0,8.5,49.0,0
2022-01-09,37,0,10.7,70.2,0
2022-01-10,35,0,11.5,52.7,0
2022-01-11,40,0,8.7,49.0,0
2022-01-12,40,0,10.0,53.0,0
2022-01-13,60,0,3.0,78.5,0
2022-01-14,48,0,12.7,70.0,0
2022-01-15,38,0,9.2,52.0,0
2022-01-16,39,0,7.2,71.2,0
2022-01-17,35,0,11.3,75.2,0
2022-01-18,38,0,13.3,51.0,0
2022-01-19,42,0,6.1,55.2,0
2022-01-20,35,0,8.0,64.5,0
2022-01-21,31,0,11.0,45.2,0
2022-01-22,33,0,5.1,51.0,0
2022-01-23,44,0,7.7,49.7,0
2022-01-24,48,0,3.8,69.0,0
2022-01-25,45,0,6.0,60.0,0
2022-01-26,29,0,8.5,42.0,0
2022-01-27,34,0,5.0,50.0,0
2022-01-28,52,0,3.0,74.0,0
2022-01-29,26,0,16.0,79.0,0
2022-01-30,34,0,7.2,48.0,0
2022-01-31,43,0,2.5,54.0,0
2022-02-01,42,0,4.0,64.0,0
2022-02-02,48,0,3.0,84.0,0
2022-02-03,41,0,3.0,90.0,0
2022-02-04,20,0,5.4,87.0,0
2022-02-05,32,0,8.7,66.2,0
2022-02-06,27,0,3.7,62.0,0
2022-02-07,38,0,4.7,86.0,0
2022-02-08,28,0,6.1,65.2,0
2022-02-09,44,0,3.3,63.6,0
2022-02-10,30,0,6.5,52.0,0
2022-02-11,35,0,4.0,53.0,0
2022-02-12,29,0,8.7,45.0,0
2022-02-13,24,0,5.1,74.0,0
2022-02-14,29,0,13.5,44.7,0
2022-02-15,32,0,5.0,41.0,0
2022-02-16,31,0,6.0,66.7,0
2022-02-17,25,0,6.5,75.0,0
2022-02-18,22,0,10.5,49.0,0
2022-02-19,25,0,16.7,46.2,0
2022-02-20,23,0,9.0,47.0,0
2022-02-21,44,0,5.0,56.0,0
2022-02-22,46,0,6.7,90.5,0
2022-02-23,32,0,8.0,68.7,0
2022-02-24,24,0,7.2,47.0,0
2022-02-25,22,0,12.2,80.0,0
2022-02-26,20,0,9.0,53.0,0
2022-02-27,29,0,13.0,46.0,0
2022-02-28,21,0,8.0,36.2,0
2022-03-01,26,0,3.6,59.7,0
2022-03-02,0,0,5.0,60.0,0
2022-03-03,0,0,11.7,41.2,0
2022-03-04,50,0,6.0,41.0,0
2022-03-05,40,0,4.0,59.0,0
2022-03-06,53,0,8.0,80.2,0
2022-03-07,45,0,6.0,63.0,0
2022-03-08,12,0,12.8,45.0,0
2022-03-09,20,0,6.0,83.0,0
2022-03-10,36,0,3.2,80.0,0
2022-03-11,29,0,4.0,70.0,0
2022-03-12,15,0,11.3,87.0,0
2022-03-13,27,0,13.2,49.5,0
2022-03-14,34,0,8.0,51.0,0
2022-03-15,33,0,5.0,47.7,0
2022-03-16,47,0,4.0,57.0,0
2022-03-17,46,0,5.0,93.0,0
2022-03-18,55,0,3.6,85.2,0
2022-03-19,25,0,3.7,87.7,0
2022-03-20,0,0,10.2,61.5,0
2022-03-21,9,0,9.0,42.0,0
2022-03-22,9,0,7.7,27.5,0
2022-03-23,13,0,5.6,49.2,0
2022-03-24,8,0,10.2,92.2,0
2022-03-25,18,0,8.0,59.5,0
2022-03-26,16,0,8.2,56.7,0
2022-03-27,11,0,10.2,55.0,0
2022-03-28,11,0,12.3,41.5,0
2022-03-29,17,0,9.7,45.5,0
2022-03-30,19,0,4.1,42.5,0
2022-03-31,55,0,3.3,86.2,0
2022-04-01,0,0,10.8,61.2,0
2022-04-02,0,0,6.6,48.0,0
2022-04-03,0,0,3.0,75.0,0
2022-04-04,0,0,8.2,52.0,0
2022-04-05,0,0,3.2,61.0,0
2022-04-06,16,0,7.2,90.7,0
2022-04-07,13,0,6.7,87.0,0
2022-04-08,9,0,8.5,63.5,0
2022-04-09,15,0,6.0,65.5,0
2022-04-10,12,0,13.2,53.0,0
2022-04-11,15,0,5.7,52.0,0
2022-04-12,20,0,4.7,61.0,0
2022-04-13,53,0,4.0,72.0,0
