Date,pm25,pm10,wind-speed,humidity,precipitation
2022-01-01,43,15,6.6,90.8,0
2022-01-02,34,16,10.6,89.0,0
2022-01-03,36,22,10.2,89.0,0
2022-01-04,20,14,6.1,89.0,0
2022-01-05,33,18,10.3,81.8,0
2022-01-06,26,17,6.0,81.0,0
2022-01-07,21,12,8.6,81.2,0
2022-01-08,21,11,8.0,88.2,0
2022-01-09,30,18,5.7,83.4,0
2022-01-10,66,25,2.4,92.0,0
2022-01-11,69,25,4.3,91.0,0
2022-01-12,51,16,2.5,96.0,0
2022-01-13,47,15,4.7,98.0,0
2022-01-14,50,19,2.0,94.7,0
2022-01-15,82,28,3.0,96.2,0
2022-01-16,53,23,5.5,89.6,0
2022-01-17,42,23,4.4,89.0,0
2022-01-18,34,14,2.1,97.0,0
2022-01-19,47,22,4.7,91.0,0
2022-01-20,28,18,8.6,79.0,0
2022-01-21,26,18,4.5,84.9,0
2022-01-22,45,19,3.3,88.7,0
2022-01-23,51,16,1.8,87.8,0
2022-01-24,86,30,1.4,79.5,0
2022-01-25,109,42,1.5,81.8,0
2022-01-26,77,29,6.1,84.0,0
2022-01-27,40,19,9.2,85.6,0
2022-01-28,38,21,6.2,86.0,0
2022-01-29,31,14,10.5,87.3,0
2022-01-30,44,28,5.1,76.7,0
2022-01-31,50,28,11.7,78.3,0
2022-02-01,32,18,8.8,84.8,0
2022-02-02,33,18,5.1,89.1,0
2022-02-03,30,12,7.6,90.0,0
2022-02-04,20,10,10.5,86.2,0
2022-02-05,26,16,12.8,79.8,0
2022-02-06,32,20,15.6,88.0,0
2022-02-07,32,22,8.5,78.7,0
2022-02-08,28,14,10.0,84.7,0
2022-02-09,28,14,9.5,91.4,0
2022-02-10,23,15,5.0,85.0,0
2022-02-11,32,21,5.7,77.0,0
2022-02-12,43,18,6.6,75.6,0
2022-02-13,50,17,9.0,75.0,0
2022-02-14,20,13,11.6,76.5,0
2022-02-15,20,12,8.9,88.4,0
2022-02-16,29,13,14.3,93.2,0
2022-02-17,37,21,13.9,75.0,0
2022-02-18,39,23,12.7,81.3,0
2022-02-19,25,16,13.2,71.7,0
2022-02-20,48,22,15.7,91.5,0
2022-02-21,35,23,13.6,80.0,0
2022-02-22,43,25,7.9,87.0,0
2022-02-23,35,17,7.7,77.0,0
2022-02-24,25,13,9.7,78.0,0
2022-02-25,33,20,7.5,79.0,0
2022-02-26,49,23,2.2,85.0,0
2022-02-27,39,16,4.0,69.5,0
2022-02-28,50,17,4.0,67.2,0
2022-03-01,81,33,2.5,84.7,0
2022-03-02,82,32,3.2,65.5,0
2022-03-03,73,30,3.7,60.7,0
2022-03-04,76,30,3.3,66.7,0
2022-03-05,78,30,3.1,76.2,0
2022-03-06,51,17,4.7,76.7,0
2022-03-07,48,16,5.0,70.6,0
2022-03-08,55,22,5.3,57.8,0
2022-03-09,78,34,3.8,58.0,0
2022-03-10,90,42,3.0,60.0,0
2022-03-11,58,28,5.2,55.0,0
2022-03-12,29,13,6.5,72.0,0
2022-03-13,24,11,6.4,71.5,0
2022-03-14,35,16,4.7,81.6,0
2022-03-15,52,23,1.4,80.6,0
2022-03-16,59,24,4.0,78.5,0
2022-03-17,29,16,6.0,81.2,0
2022-03-18,44,18,4.4,81.0,0
2022-03-19,31,16,7.7,62.0,0
2022-03-20,77,28,5.0,76.5,0
2022-03-21,99,43,1.5,67.3,0
2022-03-22,98,48,1.5,70.5,0
2022-03-23,109,52,1.0,68.0,0
2022-03-24,129,57,1.7,73.3,0
2022-03-25,124,54,2.7,69.2,0
2022-03-26,99,46,2.4,74.7,0
2022-03-27,32,13,4.0,81.2,0
2022-03-28,55,24,1.7,88.9,0
2022-03-29,78,31,4.4,86.0,0
2022-03-30,51,22,4.0,80.1,0
2022-03-31,15,9,6.0,91.0,0
2022-04-01,14,8,7.9,76.2,0
2022-04-02,17,11,5.7,62.5,0
2022-04-03,10,9,3.5,75.5,0
2022-04-04,31,15,10.2,92.4,0
2022-04-05,29,14,7.6,91.7,0
2022-04-06,26,15,13.2,86.2,0
2022-04-07,28,17,14.5,85.5,0
2022-04-08,20,14,6.0,76.0,0
2022-04-09,22,16,7.0,74.7,0
2022-04-10,19,13,3.2,64.7,0
2022-04-11,51,18,6.0,57.5,0
2022-04-12,51,21,3.5,63.7,0
2022-04-13,40,17,3.4,79.3,0
2022-04-14,60,22,1.9,84.5,0
2022-04-15,53,18,3.1,81.7,0
2022-04-16,49,16,3.5,70.7,0
2022-04-17,41,15,3.0,51.3,0
2022-04-18,37,15,2.2,54.9,0
2022-04-19,54,21,3.0,61.4,0
2022-04-20,37,18,4.9,62.5,0
2022-04-21,37,20,5.6,65.2,0
2022-04-22,42,18,6.3,69.9,0
2022-04-23,62,23,6.7,67.7,0
2022-04-24,42,18,6.4,66.0,0
2022-04-25,50,19,3.5,84.2,0
2022-04-26,26,13,5.1,75.3,0
2022-04-27,22,13,2.0,74.2,0
2022-04-28,43,19,3.6,77.8,0
2022-04-29,37,17,4.5,77.4,0
2022-04-30,28,13,3.1,78.5,0
2022-05-01,47,17,1.9,74.4,0
2022-05-02,43,16,2.7,72.8,0
2022-05-03,44,19,3.0,83.7,0
2022-05-04,32,16,1.8,73.3,0
2022-05-05,61,21,2.0,83.0,0
2022-05-06,52,16,2.6,71.7,0
2022-05-07,60,20,3.6,78.8,0
2022-05-08,37,18,4.6,75.4,0
2022-05-09,35,20,2.0,64.0,0
2022-05-10,49,22,5.5,68.5,0
2022-05-11,25,17,7.7,74.7,0
2022-05-12,17,11,6.3,68.2,0
2022-05-13,26,14,8.6,70.9,0
2022-05-14,50,23,3.2,77.0,0
2022-05-15,57,24,4.4,54.7,0
2022-05-16,41,21,5.5,72.5,0
2022-05-17,27,16,2.5,78.2,0
2022-05-18,46,18,2.2,74.1,0
2022-05-19,50,20,2.5,85.0,0
2022-05-20,52,17,3.2,90.2,0
2022-05-21,32,16,7.5,79.5,0
2022-05-22,33,16,1.7,69.0,0
2022-05-23,61,24,2.0,78.8,0
2022-05-24,15,9,7.3,82.1,0
2022-05-25,22,15,10.0,83.5,0
2022-05-26,29,15,8.8,82.0,0
2022-05-27,28,16,5.6,68.7,0
2022-05-28,22,15,6.0,71.3,0
2022-05-29,14,12,4.7,78.2,0
2022-05-30,13,10,2.1,68.1,0
2022-05-31,30,14,1.7,74.7,0
2022-06-01,16,9,4.4,78.5,0
2022-06-02,20,12,2.7,74.2,0
2022-06-03,26,13,5.2,62.5,0
2022-06-04,31,13,5.7,71.7,0
2022-06-05,45,18,4.5,92.7,0
2022-06-06,21,11,8.5,89.7,0
2022-06-07,28,13,6.5,79.7,0
2022-06-08,24,13,4.0,86.8,0
2022-06-09,24,15,5.7,78.8,0
2022-06-10,21,13,6.3,76.8,0
2022-06-11,32,17,6.2,71.0,0
2022-06-12,30,16,5.5,74.9,0
2022-06-13,22,14,4.7,71.7,0
2022-06-14,20,12,2.9,68.8,0
2022-06-15,34,16,3.2,65.2,0
2022-06-16,35,15,2.5,60.4,0
2022-06-17,46,21,4.5,50.5,0
2022-06-18,37,21,5.5,75.1,0
2022-06-19,22,13,5.3,74.8,0
2022-06-20,23,15,4.3,74.9,0
2022-06-21,35,18,2.5,80.5,0
2022-06-22,36,18,2.7,75.7,0
2022-06-23,52,20,3.3,68.2,0
2022-06-24,36,18,2.2,76.5,0
2022-06-25,19,12,3.0,82.2,0
2022-06-26,23,12,3.0,73.6,0
2022-06-27,28,15,1.5,83.7,0
2022-06-28,21,14,3.3,69.2,0
2022-06-29,27,16,3.1,71.0,0
2022-06-30,15,10,3.0,84.6,0
2022-07-01,19,12,5.3,82.5,0
2022-07-02,15,10,4.2,64.0,0
2022-07-03,14,9,3.9,75.2,0
2022-07-04,18,10,4.0,74.0,0
2022-07-05,17,12,4.0,69.8,0
2022-07-06,11,10,4.5,71.1,0
2022-07-07,21,16,6.7,80.7,0
2022-07-08,24,18,3.0,78.0,0
2022-07-09,24,14,4.7,76.0,0
2022-07-10,15,11,3.0,76.7,0
2022-07-11,10,9,2.2,87.5,0
2022-07-12,34,16,1.6,67.7,0
2022-07-13,38,20,4.2,77.6,0
2022-07-14,21,13,3.7,73.5,0
2022-07-15,15,11,3.0,70.0,0
2022-07-16,14,10,4.5,70.1,0
2022-07-17,22,14,2.2,62.1,0
2022-07-18,28,18,1.5,51.6,0
2022-07-19,49,29,3.6,42.4,0
2022-07-20,62,32,5.5,72.1,0
2022-07-21,32,19,4.4,88.6,0
2022-07-22,13,12,2.9,73.9,0
2022-07-23,21,13,1.7,71.2,0
2022-07-24,28,15,4.1,61.0,0
2022-07-25,29,18,7.7,76.2,0
2022-07-26,15,12,5.0,73.3,0
2022-07-27,12,10,3.7,66.4,0
2022-07-28,12,10,4.2,64.5,0
2022-07-29,21,14,4.0,73.7,0
2022-07-30,21,15,2.5,68.8,0
2022-07-31,29,16,5.6,89.2,0
2022-08-01,15,11,3.6,75.0,0
2022-08-02,20,14,6.5,72.5,0
2022-08-03,35,26,5.3,79.0,0
2022-08-04,23,15,3.3,79.7,0
2022-08-05,14,10,3.0,68.7,0
2022-08-06,9,9,2.5,67.2,0
2022-08-07,20,12,3.0,75.0,0
2022-08-08,18,11,3.0,80.7,0
2022-08-09,17,11,3.2,77.0,0
2022-08-10,19,12,3.8,75.7,0
2022-08-11,28,19,3.7,61.8,0
2022-08-12,36,21,3.8,58.5,0
2022-08-13,33,22,2.6,54.0,0
2022-08-14,50,23,2.7,58.7,0
2022-08-15,52,24,2.0,75.8,0
2022-08-16,71,31,2.7,85.7,0
2022-08-17,56,24,1.7,93.0,0
2022-08-18,22,15,1.5,84.4,0
2022-08-19,27,18,3.0,88.7,0
2022-08-20,22,14,2.7,72.7,0
2022-08-21,24,14,3.5,79.2,0
2022-08-22,33,17,2.3,68.5,0
2022-08-23,30,16,1.6,76.7,0
2022-08-24,15,13,2.0,81.0,0
2022-08-25,60,26,3.0,86.5,0
2022-08-26,13,10,2.5,80.5,0
2022-08-27,18,12,2.4,74.5,0
2022-08-28,16,12,2.5,76.7,0
2022-08-29,21,14,1.5,77.3,0
2022-08-30,22,14,3.7,75.2,0
2022-08-31,15,13,5.4,66.5,0
2022-09-01,17,14,5.0,62.5,0
2022-09-02,26,20,4.2,59.0,0
2022-09-03,37,21,3.7,56.2,0
2022-09-04,60,28,1.0,80.5,0
2022-09-05,37,20,2.0,78.0,0
2022-09-06,25,14,2.0,80.7,0
2022-09-07,26,14,3.2,87.2,0
2022-09-08,20,12,3.5,87.0,0
2022-09-09,20,12,4.6,91.0,0
2022-09-10,15,10,3.2,86.0,0
2022-09-11,28,14,1.0,89.0,0
2022-09-12,39,17,2.0,81.6,0
2022-09-13,16,14,2.0,82.0,0
2022-09-14,17,12,1.7,82.6,0
2022-09-15,15,13,3.0,73.0,0
2022-09-16,15,13,3.5,75.0,0
2022-09-17,19,15,4.0,75.0,0
2022-09-18,15,14,4.0,80.0,0
2022-09-19,15,16,3.0,69.8,0
2022-09-20,12,12,2.0,74.1,0
2022-09-21,21,13,1.3,83.5,0
2022-09-22,37,16,1.8,80.6,0
2022-09-23,51,21,3.0,84.2,0
2022-09-24,20,13,3.0,89.7,0
2022-09-25,13,9,1.3,89.0,0
2022-09-26,15,11,6.8,85.0,0
2022-09-27,16,13,3.0,81.7,0
2022-09-28,10,9,2.5,91.0,0
2022-09-29,18,12,1.1,91.3,0
2022-09-30,21,12,5.7,84.1,0
2022-10-01,22,13,7.0,81.0,0
2022-10-02,26,16,3.7,79.0,0
2022-10-03,27,15,1.5,85.7,0
2022-10-04,49,17,5.3,81.0,0
2022-10-05,16,9,8.0,81.0,0
2022-10-06,22,14,6.0,71.5,0
2022-10-07,29,16,6.0,83.0,0
2022-10-08,18,12,3.0,77.0,0
2022-10-09,32,15,2.0,83.0,0
2022-10-10,38,18,2.5,86.0,0
2022-10-11,27,19,2.0,80.3,0
2022-10-12,58,26,1.6,86.8,0
2022-10-13,39,20,2.0,92.2,0
2022-10-14,44,17,2.3,97.0,0
2022-10-15,45,18,4.0,92.0,0
2022-10-16,18,12,5.0,84.0,0
2022-10-17,24,14,4.0,93.0,0
2022-10-18,26,15,2.0,92.4,0
2022-10-19,25,13,5.0,89.0,0
2022-10-20,51,22,3.4,92.6,0
2022-10-21,30,17,2.3,91.0,0
2022-10-22,27,17,5.1,88.0,0
2022-10-23,33,17,3.3,92.5,0
2022-10-24,18,12,8.8,87.0,0
2022-10-25,25,13,4.7,92.0,0
2022-10-26,25,14,4.0,87.0,0
2022-10-27,25,17,3.1,83.0,0
2022-10-28,50,29,4.0,88.0,0
2022-10-29,55,30,2.6,92.3,0
2022-10-30,54,31,2.5,86.5,0
2022-10-31,56,23,3.0,91.8,0
2022-11-01,21,14,10.4,78.5,0
2022-11-02,21,14,8.0,76.5,0
2022-11-03,25,14,6.6,84.0,0
2022-11-04,16,11,1.6,91.3,0
2022-11-05,26,12,5.1,88.7,0
2022-11-06,26,11,9.0,94.5,0
2022-11-07,24,12,8.7,91.2,0
2022-11-08,20,12,7.6,84.3,0
2022-11-09,20,12,7.0,85.0,0
2022-11-10,28,15,7.0,87.8,0
2022-11-11,54,20,5.5,91.8,0
2022-11-12,65,23,1.8,93.0,0
2022-11-13,64,23,2.0,89.0,0
2022-11-14,72,30,2.8,92.0,0
2022-11-15,28,13,5.0,94.0,0
2022-11-16,23,12,5.0,91.3,0
2022-11-17,13,8,9.0,94.0,0
2022-11-18,26,11,4.5,94.0,0
2022-11-19,55,16,5.0,92.0,0
2022-11-20,64,22,3.0,93.0,0
2022-11-21,36,15,2.5,95.0,0
2022-11-22,22,10,6.5,91.0,0
2022-11-23,30,13,7.0,92.3,0
2022-11-24,30,15,6.5,88.1,0
2022-11-25,27,14,5.0,91.0,0
2022-11-26,48,20,5.5,93.0,0
2022-11-27,32,10,6.0,93.0,0
2022-11-28,54,20,3.0,97.0,0
2022-11-29,65,22,0.5,96.8,0
2022-11-30,59,22,1.0,94.0,0
2022-12-01,86,31,1.0,94.0,0
2022-12-02,80,28,5.0,89.0,0
2022-12-03,76,24,6.2,86.6,0
2022-12-04,89,31,5.7,89.0,0
2022-12-05,47,14,3.1,93.0,0
2022-12-06,18,10,1.5,91.5,0
2022-12-07,15,11,3.0,84.0,0
2022-12-08,9,8,3.0,93.1,0
2022-12-09,63,22,2.0,96.0,0
2022-12-10,71,27,4.0,97.0,0
2022-12-11,66,22,3.6,90.6,0
2022-12-12,72,28,1.5,92.0,0
2022-12-13,82,34,3.0,92.5,0
2022-12-14,63,24,1.5,84.5,0
2022-12-15,25,15,2.0,93.4,0
2022-12-16,19,13,2.2,87.5,0
2022-12-17,92,37,3.2,91.5,0
2022-12-18,80,29,4.0,93.2,0
2022-12-19,30,12,10.0,94.5,0
2022-12-20,27,11,7.0,95.0,0
2022-12-21,50,16,5.1,97.0,0
2022-12-22,33,13,4.2,97.6,0
2022-12-23,34,11,3.0,98.0,0
2022-12-24,53,27,5.6,92.2,0
2022-12-25,42,15,3.0,96.3,0
2022-12-26,17,11,7.2,80.0,0
2022-12-27,24,12,7.5,87.2,0
2022-12-28,17,8,12.0,92.9,0
2022-12-29,25,15,10.7,88.2,0
2022-12-30,20,12,9.2,92.2,0
2022-12-31,19,10,10.2,95.0,0
