Date,pm25,pm10,wind-speed,humidity,precipitation
2022-01-01,9,3,2.4,29.1,0.0
2022-01-02,21,6,1.0,46.0,0.0
2022-01-03,25,7,1.3,51.0,0.0
2022-01-04,25,8,1.6,51.0,0.0
2022-01-05,13,4,2.7,34.0,0.0
2022-01-06,38,10,1.4,57.2,0.5
2022-01-07,25,8,2.3,51.0,0.0
2022-01-08,34,10,1.1,47.1,0.0
2022-01-09,55,14,0.8,52.5,0.0
2022-01-10,38,11,1.3,56.3,99.0
2022-01-11,55,15,1.1,89.0,1.0
2022-01-12,13,4,2.3,38.5,0.1
2022-01-13,21,6,2.0,40.0,0.0
2022-01-14,13,4,2.5,33.6,0.0
2022-01-15,21,6,1.6,35.0,0.0
2022-01-16,42,11,0.9,54.0,0.0
2022-01-17,50,13,0.8,51.0,0.0
2022-01-18,17,5,2.5,35.0,99.0
2022-01-19,25,7,1.2,37.7,0.0
2022-01-20,42,11,1.9,50.0,0.0
2022-01-21,17,5,2.5,40.1,0.0
2022-01-22,21,6,1.2,40.5,0.0
2022-01-23,46,11,1.2,48.5,99.0
2022-01-24,38,10,1.7,49.0,99.0
2022-01-25,30,10,1.1,51.4,99.0
2022-01-26,61,17,1.2,77.5,99.0
2022-01-27,50,13,2.0,40.0,0.0
2022-01-28,46,12,1.9,39.0,99.0
2022-01-29,30,9,1.4,44.6,0.0
2022-01-30,21,6,2.0,40.0,0.0
2022-01-31,17,6,2.6,33.0,0.0
2022-02-01,30,9,1.5,40.0,0.0
2022-02-02,42,11,1.4,39.6,0.0
2022-02-03,57,15,1.0,40.0,0.0
2022-02-04,30,8,1.1,43.5,0.0
2022-02-05,21,7,2.1,40.5,0.0
2022-02-06,21,6,1.4,41.0,0.0
2022-02-07,21,6,1.5,33.0,0.0
2022-02-08,38,10,1.3,46.0,99.0
2022-02-09,30,9,1.8,50.0,99.0
2022-02-10,46,11,2.2,90.0,1.7
2022-02-11,25,7,1.9,70.0,0.7
2022-02-12,46,11,1.0,59.3,99.0
2022-02-13,57,15,1.3,79.0,1.6
2022-02-14,55,15,1.5,71.5,0.9
