Date,pm25,pm10,wind-speed,humidity,precipitation
2022-01-01,34,0,3.0,93.0,0
2022-01-02,5,0,3.5,81.3,0
2022-01-03,13,0,1.5,74.0,0
2022-01-04,42,0,3.0,78.0,0
2022-01-05,30,0,5.3,77.5,0
2022-01-06,38,0,3.8,76.0,0
2022-01-07,21,0,3.5,76.1,0
2022-01-08,17,0,3.2,73.0,0
2022-01-09,21,0,6.1,80.0,0
2022-01-10,21,0,7.5,68.0,0
2022-01-11,38,0,3.6,75.0,0
2022-01-12,50,0,4.6,74.0,0
2022-01-13,50,0,1.0,86.0,0
2022-01-14,13,0,5.0,68.8,0
2022-01-15,25,0,3.5,59.1,0
2022-01-16,25,0,2.0,75.0,0
2022-01-17,13,0,6.4,90.3,0
2022-01-18,13,0,3.1,79.3,0
2022-01-19,30,0,6.1,74.0,0
2022-01-20,17,0,3.6,71.0,0
2022-01-21,30,0,1.3,71.3,0
2022-01-22,42,0,5.3,78.0,0
2022-01-23,17,0,5.1,73.0,0
2022-01-24,25,0,2.0,84.0,0
2022-01-25,21,0,2.7,72.8,0
2022-01-26,21,0,1.6,72.0,0
2022-01-27,46,0,4.8,76.0,0
2022-01-28,21,0,4.6,66.0,0
2022-01-29,25,0,2.7,60.4,0
2022-01-30,46,0,2.5,66.0,0
2022-01-31,72,0,2.0,70.0,0
2022-02-01,59,0,2.6,68.0,0
2022-02-02,42,0,2.4,80.0,0
2022-02-03,9,0,5.0,85.0,0
2022-02-04,17,0,3.2,78.5,0
2022-02-05,17,0,3.0,61.0,0
2022-02-06,38,0,5.1,67.0,0
2022-02-07,57,0,3.8,76.0,0
2022-02-08,21,0,3.7,74.0,0
2022-02-09,42,0,3.6,74.0,0
2022-02-10,34,0,5.1,75.3,0
2022-02-11,30,0,5.1,80.1,0
2022-02-12,17,0,5.1,73.1,0
2022-02-13,17,0,1.8,66.0,0
2022-02-14,17,0,3.0,60.0,0
2022-02-15,42,0,3.0,64.0,0
2022-02-16,50,0,6.1,63.0,0
2022-02-17,38,0,4.1,93.0,0
2022-02-18,9,0,5.5,78.6,0
2022-02-19,17,0,9.2,72.3,0
2022-02-20,17,0,6.6,64.7,0
2022-02-21,30,0,3.5,73.0,0
2022-02-22,25,0,3.6,86.0,0
2022-02-23,17,0,9.0,72.2,0
2022-02-24,13,0,4.3,57.0,0
2022-02-25,13,0,5.1,78.0,0
2022-02-26,30,0,5.6,73.0,0
2022-02-27,34,0,4.8,72.0,0
2022-02-28,17,0,2.0,60.3,0
2022-03-01,38,0,3.0,73.1,0
2022-03-02,21,0,3.5,68.8,0
2022-03-03,17,0,4.4,61.1,0
2022-03-04,34,0,3.6,63.0,0
2022-03-05,46,0,4.5,73.5,0
2022-03-06,25,0,6.1,74.0,0
2022-03-07,13,0,4.1,87.0,0
2022-03-08,13,0,4.6,68.0,0
2022-03-09,42,0,2.5,69.0,0
2022-03-10,25,0,2.7,68.5,0
2022-03-11,25,0,2.3,86.0,0
2022-03-12,13,0,8.5,66.7,0
2022-03-13,25,0,5.1,74.0,0
2022-03-14,59,0,2.0,74.0,0
2022-03-15,34,0,1.8,92.0,0
2022-03-16,57,0,1.8,93.5,0
2022-03-17,53,0,1.5,76.0,0
2022-03-18,53,0,2.9,72.0,0
2022-03-19,38,0,4.1,92.0,0
2022-03-20,9,0,6.0,80.0,0
2022-03-21,17,0,3.9,56.0,0
2022-03-22,13,0,2.0,46.0,0
2022-03-23,13,0,8.3,73.7,0
2022-03-24,21,0,4.6,81.5,0
2022-03-25,21,0,3.5,82.0,0
2022-03-26,17,0,5.5,86.0,0
2022-03-27,9,0,8.2,73.0,0
2022-03-28,13,0,5.0,66.5,0
2022-03-29,13,0,2.6,54.1,0
2022-03-30,21,0,5.4,72.1,0
2022-03-31,25,0,5.9,70.5,0
2022-04-01,9,0,5.1,73.6,0
2022-04-02,17,0,2.0,68.0,0
2022-04-03,25,0,4.0,73.0,0
2022-04-04,30,0,2.5,74.0,0
2022-04-05,30,0,3.5,68.0,0
2022-04-06,21,0,5.3,66.6,0
2022-04-07,25,0,3.8,88.0,0
2022-04-08,25,0,2.5,78.0,0
2022-04-09,17,0,2.8,79.2,0
2022-04-10,5,0,4.1,68.1,0
2022-04-11,17,0,3.3,70.9,0
2022-04-12,25,0,2.3,56.5,0
2022-04-13,30,0,3.6,67.7,0
2022-04-14,21,0,5.2,62.3,0
2022-04-15,17,0,6.2,57.0,0
2022-04-16,13,0,3.0,64.5,0
2022-04-17,9,0,3.5,59.0,0
2022-04-18,17,0,4.6,70.5,0
2022-04-19,13,0,5.1,88.0,0
2022-04-20,13,0,3.1,61.8,0
2022-04-21,21,0,5.3,75.2,0
2022-04-22,25,0,3.0,65.0,0
2022-04-23,21,0,4.1,67.9,0
2022-04-24,30,0,4.0,66.5,0
2022-04-25,34,0,1.5,81.0,0
2022-04-26,21,0,2.7,77.8,0
2022-04-27,13,0,5.5,66.0,0
2022-04-28,17,0,4.0,41.8,0
2022-04-29,21,0,3.0,40.0,0
2022-04-30,25,0,1.9,35.5,0
2022-05-01,21,0,4.0,61.0,0
2022-05-02,42,0,2.0,86.5,0
2022-05-03,50,0,1.1,86.5,0
2022-05-04,17,0,3.7,78.9,0
2022-05-05,17,0,2.3,52.8,0
2022-05-06,25,0,4.0,53.0,0
2022-05-07,17,0,4.1,38.3,0
2022-05-08,25,0,2.5,42.9,0
2022-05-09,25,0,1.6,36.1,0
2022-05-10,30,0,2.0,35.0,0
2022-05-11,38,0,1.5,41.0,0
2022-05-12,38,0,1.5,36.0,0
2022-05-13,34,0,1.7,55.3,0
2022-05-14,30,0,2.0,72.0,0
2022-05-15,25,0,1.5,62.8,0
2022-05-16,25,0,2.5,77.6,0
2022-05-17,13,0,3.3,62.8,0
2022-05-18,21,0,2.0,61.8,0
2022-05-19,30,0,1.5,77.0,0
2022-05-20,34,0,2.4,78.0,0
2022-05-21,42,0,3.0,74.6,0
2022-05-22,21,0,2.5,77.1,0
2022-05-23,13,0,2.0,60.0,0
