Date,pm25,pm10,wind-speed,humidity,precipitation
2022-01-01,17,6,3.5,71.9,0
2022-01-02,25,8,1.2,60.0,0
2022-01-03,25,12,0.9,55.7,0
2022-01-04,25,17,1.0,53.7,0
2022-01-05,25,18,1.3,55.1,0
2022-01-06,30,24,1.0,59.0,0
2022-01-07,30,23,1.0,52.5,0
2022-01-08,25,15,1.9,53.3,0
2022-01-09,30,18,0.9,57.5,0
2022-01-10,17,17,5.3,39.7,0
2022-01-11,17,14,1.2,42.0,0
2022-01-12,25,25,0.9,54.0,0
2022-01-13,30,24,1.1,45.6,0
2022-01-14,25,22,1.1,40.0,0
2022-01-15,25,25,1.4,30.0,0
2022-01-16,21,19,1.5,26.3,0
2022-01-17,30,27,1.1,43.2,0
2022-01-18,25,13,1.5,66.2,0
2022-01-19,25,11,1.6,72.2,0
2022-01-20,21,16,1.2,60.2,0
2022-01-21,21,15,1.2,45.0,0
2022-01-22,21,16,1.5,50.4,0
2022-01-23,21,10,1.0,61.0,0
2022-01-24,25,16,1.5,49.5,0
2022-01-25,25,12,1.8,40.5,0
2022-01-26,21,17,1.1,39.1,0
2022-01-27,21,20,1.5,37.5,0
2022-01-28,21,21,5.5,23.5,0
2022-01-29,21,13,2.1,27.9,0
2022-01-30,30,20,1.3,35.1,0
2022-01-31,25,20,1.3,37.4,0
2022-02-01,25,21,1.1,34.4,0
2022-02-02,25,31,2.4,34.1,0
2022-02-03,25,32,1.5,23.2,0
2022-02-04,21,21,4.6,19.8,0
2022-02-05,13,11,1.9,18.8,0
2022-02-06,25,17,1.3,22.6,0
2022-02-07,17,16,4.5,23.3,0
2022-02-08,17,16,1.0,26.5,0
2022-02-09,25,20,1.1,22.5,0
2022-02-10,25,24,1.5,24.3,0
2022-02-11,34,26,1.5,28.0,0
2022-02-12,25,23,1.0,23.2,0
2022-02-13,25,24,1.1,23.1,0
2022-02-14,25,20,1.3,19.7,0
2022-02-15,21,30,4.6,12.3,0
2022-02-16,17,10,2.1,53.6,0
2022-02-17,21,12,2.0,49.5,0
2022-02-18,25,16,1.1,34.4,0
2022-02-19,17,14,1.2,24.1,0
2022-02-20,17,14,1.8,18.7,0
2022-02-21,21,16,3.5,31.5,0
2022-02-22,17,14,3.5,44.8,0
2022-02-23,17,11,3.9,52.1,0
2022-02-24,21,10,2.1,61.1,0
2022-02-25,25,14,1.9,52.3,0
2022-02-26,30,16,1.7,43.6,0
2022-02-27,21,11,1.5,31.0,0
2022-02-28,25,20,1.0,29.1,0
2022-03-01,21,23,1.8,26.6,0
2022-03-02,25,22,1.3,24.4,0
2022-03-03,21,23,3.3,17.0,0
2022-03-04,21,21,5.5,22.1,0
2022-03-05,17,12,3.2,42.0,0
2022-03-06,17,12,2.1,34.3,0
2022-03-07,17,17,2.0,27.0,0
2022-03-08,21,15,2.1,22.7,0
2022-03-09,21,17,1.5,24.0,0
2022-03-10,21,21,5.4,25.9,0
2022-03-11,13,19,3.4,20.2,0
2022-03-12,17,14,1.6,17.2,0
2022-03-13,17,14,1.8,15.7,0
2022-03-14,21,26,2.0,17.2,0
2022-03-15,25,29,1.9,16.4,0
2022-03-16,30,31,3.0,19.0,0
2022-03-17,25,20,2.0,24.5,0
2022-03-18,21,20,2.2,15.7,0
2022-03-19,21,19,1.9,11.7,0
2022-03-20,25,18,4.0,28.5,0
2022-03-21,25,26,3.3,32.0,0
2022-03-22,25,24,2.2,22.4,0
2022-03-23,13,14,2.7,12.7,0
2022-03-24,17,17,1.7,16.0,0
2022-03-25,17,20,1.4,14.5,0
