Date,pm25,pm10,wind-speed,humidity,precipitation
2022-01-01,18,6,2.0,88.5,0
2022-01-02,5,4,4.6,92.0,0
2022-01-03,7,3,2.5,100.0,0
2022-01-04,7,4,3.3,96.0,0
2022-01-05,10,4,1.8,100.0,0
2022-01-06,16,4,3.3,85.0,0
2022-01-07,16,4,1.8,84.0,0
2022-01-08,14,8,3.8,88.0,0
2022-01-09,38,14,2.3,92.0,0
2022-01-10,30,9,1.2,88.0,0
2022-01-11,15,9,2.8,85.0,0
2022-01-12,13,9,5.4,93.0,0
2022-01-13,6,6,5.9,72.5,0
2022-01-14,15,3,6.4,69.0,0
2022-01-15,15,5,4.1,64.0,0
2022-01-16,3,6,4.3,89.5,0
2022-01-17,18,3,4.3,76.5,0
2022-01-18,11,6,2.8,83.0,0
2022-01-19,0,6,2.0,92.0,0
2022-01-25,0,0,2.0,80.0,0
2022-01-26,0,0,3.0,93.0,0
2022-01-27,0,0,2.8,100.0,0
2022-01-28,0,0,3.3,88.5,0
2022-01-29,5,4,5.9,93.0,0
2022-01-30,18,3,4.8,92.0,0
2022-01-31,17,5,3.0,85.0,0
2022-02-01,14,8,1.0,85.0,0
2022-02-02,28,15,1.0,88.5,0
2022-02-03,28,17,0.7,88.5,0
2022-02-04,12,9,6.1,92.0,0
2022-02-05,10,5,3.0,93.0,0
2022-02-06,8,6,3.3,93.0,0
2022-02-07,17,5,1.8,96.0,0
2022-02-08,10,3,2.8,96.0,0
2022-02-09,13,7,3.6,93.0,0
2022-02-10,3,5,4.6,80.0,0
2022-02-11,6,3,3.8,82.0,0
2022-02-12,7,5,5.6,76.0,0
2022-02-13,11,9,6.1,93.0,0
2022-02-14,16,7,3.3,93.0,0
2022-02-15,30,15,3.3,100.0,0
2022-02-16,8,9,4.1,93.0,0
2022-02-17,14,4,4.3,93.0,0
2022-02-18,12,3,5.1,86.0,0
2022-02-19,13,4,2.5,92.0,0
2022-02-20,10,4,1.5,92.0,0
2022-02-21,5,3,6.9,92.0,0
2022-02-22,18,3,4.1,82.5,0
2022-02-23,15,7,1.2,88.5,0
2022-02-24,13,10,6.6,83.0,0
2022-02-25,23,9,4.1,93.0,0
2022-02-26,17,3,2.8,86.0,0
2022-02-27,14,7,4.3,77.0,0
2022-02-28,13,8,3.6,80.0,0
2022-03-01,19,9,4.6,80.0,0
2022-03-02,22,12,3.3,86.0,0
2022-03-03,8,4,2.5,63.0,0
2022-03-04,10,6,1.2,65.5,0
2022-03-05,14,8,3.3,80.0,0
2022-03-06,7,4,3.8,77.0,0
2022-03-07,12,3,2.0,80.0,0
2022-03-08,16,6,2.0,83.0,0
2022-03-09,18,5,3.3,79.0,0
2022-03-10,13,6,4.8,74.0,0
2022-03-11,18,9,4.3,86.0,0
2022-03-12,24,13,1.0,89.0,0
2022-03-13,41,16,0.7,76.5,0
2022-03-14,31,22,0.7,56.5,0
2022-03-15,42,25,1.5,76.0,0
2022-03-16,45,22,1.8,64.0,0
2022-03-17,29,17,3.0,56.0,0
2022-03-18,36,14,3.3,86.0,0
2022-03-19,22,13,2.0,80.0,0
2022-03-20,15,14,2.0,69.5,0
2022-03-21,39,39,2.5,69.0,0
2022-03-22,55,35,2.3,80.0,0
2022-03-23,38,28,2.8,86.0,0
2022-03-24,33,29,2.5,75.0,0
2022-03-25,28,26,2.8,75.0,0
2022-03-26,13,6,7.4,52.5,0
2022-03-27,7,9,3.0,63.0,0
2022-03-28,8,9,6.1,63.0,0
2022-03-29,11,7,3.3,63.0,0
2022-03-30,11,15,3.0,76.0,0
2022-03-31,15,9,1.2,80.0,0
2022-04-01,20,17,1.2,71.0,0
2022-04-02,16,23,2.3,60.5,0
2022-04-03,9,11,2.8,69.0,0
2022-04-04,3,5,2.8,93.0,0
2022-04-05,19,3,5.4,89.0,0
2022-04-06,10,5,4.6,71.5,0
2022-04-07,8,5,3.8,89.0,0
2022-04-08,11,5,5.6,93.0,0
2022-04-09,12,3,5.4,86.0,0
2022-04-10,13,4,4.6,80.5,0
2022-04-11,16,13,4.3,60.0,0
2022-04-12,15,32,2.0,67.0,0
2022-04-13,14,25,1.5,60.0,0
2022-04-14,11,7,1.8,89.5,0
2022-04-15,12,4,3.0,57.0,0
2022-04-16,14,9,2.0,50.0,0
2022-04-17,15,13,2.5,65.0,0
2022-04-18,20,14,1.2,69.0,0
2022-04-19,35,26,1.8,59.0,0
2022-04-20,21,25,2.8,55.5,0
2022-04-21,16,14,3.6,53.5,0
2022-04-22,18,23,1.5,50.0,0
2022-04-23,16,16,3.8,61.0,0
2022-04-24,9,7,4.1,52.0,0
2022-04-25,12,10,3.0,48.5,0
2022-04-26,12,7,3.8,52.5,0
2022-04-27,12,11,2.3,41.0,0
2022-04-28,10,12,3.0,69.0,0
2022-04-29,8,7,2.3,53.0,0
2022-04-30,11,10,3.3,67.5,0
2022-05-01,13,8,2.5,58.0,0
2022-05-02,8,11,4.1,53.0,0
2022-05-03,13,8,4.8,51.0,0
2022-05-04,10,9,3.3,50.0,0
2022-05-05,17,11,5.1,62.5,0
2022-05-06,22,12,3.0,69.0,0
2022-05-07,15,11,3.6,87.0,0
2022-05-08,12,4,3.0,58.0,0
2022-05-09,13,11,3.0,58.0,0
2022-05-10,15,10,5.1,59.0,0
2022-05-11,23,12,5.1,81.0,0
2022-05-12,17,10,3.8,84.0,0
2022-05-13,8,5,2.8,56.0,0
2022-05-14,16,10,2.8,64.0,0
2022-05-15,8,3,4.3,51.5,0
2022-05-16,10,5,4.3,51.5,0
2022-05-17,13,5,3.8,58.0,0
2022-05-18,14,10,4.1,48.0,0
2022-05-19,23,13,2.3,53.5,0
2022-05-20,13,12,4.1,44.5,0
2022-05-21,15,12,3.6,35.0,0
2022-05-22,18,12,2.5,38.0,0
2022-05-23,20,15,1.8,32.0,0
