Date,pm25,pm10,wind-speed,humidity,precipitation
2022-01-01,52,22,0.0,87.3,0
2022-01-02,39,13,0.0,84.5,0
2022-01-03,36,20,0.0,84.8,0
2022-01-04,33,13,0.0,89.6,0
2022-01-05,35,15,0.0,85.6,0
2022-01-06,44,18,0.0,84.0,0
2022-01-07,40,13,0.0,87.0,0
2022-01-08,37,11,0.0,91.8,0
2022-01-09,34,14,0.0,85.2,0
2022-01-10,76,22,0.0,91.8,0
2022-01-11,70,21,0.0,89.5,0
2022-01-12,66,20,0.0,93.6,0
2022-01-13,64,15,0.0,95.0,0
2022-01-14,64,16,0.0,95.0,0
2022-01-15,66,17,0.0,94.8,0
2022-01-16,81,26,0.0,92.5,0
2022-01-17,47,21,0.0,85.2,0
2022-01-18,50,22,0.0,94.0,0
2022-01-19,76,21,0.0,93.5,0
2022-01-20,33,16,0.0,83.6,0
2022-01-21,36,15,0.0,89.0,0
2022-01-22,45,14,0.0,87.3,0
2022-01-23,56,13,0.0,89.0,0
2022-01-24,79,23,0.0,74.8,0
2022-01-25,120,35,0.0,78.0,0
2022-01-26,102,40,0.0,84.0,0
2022-01-27,50,20,0.0,83.9,0
2022-01-28,45,20,0.0,82.1,0
2022-01-29,43,18,0.0,83.0,0
2022-01-30,49,30,0.0,70.8,0
2022-01-31,43,25,0.0,84.9,0
2022-02-01,35,19,0.0,84.0,0
2022-02-02,54,27,0.0,82.6,0
2022-02-03,48,14,0.0,91.3,0
2022-02-04,28,11,0.0,87.1,0
2022-02-05,32,14,0.0,79.6,0
2022-02-06,27,15,0.0,89.6,0
2022-02-07,34,18,0.0,75.4,0
2022-02-08,41,15,0.0,81.0,0
2022-02-09,45,12,0.0,88.7,0
2022-02-10,40,13,0.0,81.4,0
2022-02-11,38,17,0.0,78.6,0
2022-02-12,57,21,0.0,70.7,0
2022-02-13,50,15,0.0,68.3,0
2022-02-14,31,13,0.0,71.5,0
2022-02-15,33,12,0.0,89.7,0
2022-02-16,33,11,0.0,93.0,0
2022-02-17,38,17,0.0,69.3,0
2022-02-18,38,19,0.0,80.6,0
2022-02-19,29,17,0.0,66.9,0
2022-02-20,30,13,0.0,92.0,0
2022-02-21,39,18,0.0,77.6,0
2022-02-22,45,26,0.0,87.8,0
2022-02-23,48,20,0.0,75.1,0
2022-02-24,34,14,0.0,73.5,0
2022-02-25,40,15,0.0,80.0,0
2022-02-26,59,19,0.0,87.6,0
2022-02-27,54,19,0.0,66.0,0
2022-02-28,56,13,0.0,64.0,0
2022-03-01,80,26,0.0,69.1,0
2022-03-02,82,31,0.0,65.0,0
2022-03-03,74,26,0.0,53.3,0
2022-03-04,65,24,0.0,58.3,0
2022-03-05,85,25,0.0,69.8,0
2022-03-06,52,18,0.0,70.1,0
2022-03-07,56,14,0.0,66.0,0
2022-03-08,54,17,0.0,50.6,0
2022-03-09,73,26,0.0,51.0,0
2022-03-10,83,35,0.0,51.1,0
2022-03-11,63,27,0.0,44.1,0
2022-03-12,45,20,0.0,57.3,0
2022-03-13,54,16,0.0,58.5,0
2022-03-14,43,14,0.0,71.8,0
2022-03-15,64,25,0.0,75.8,0
2022-03-16,63,25,0.0,65.8,0
2022-03-17,33,16,0.0,71.1,0
2022-03-18,53,18,0.0,71.1,0
2022-03-19,42,16,0.0,49.0,0
2022-03-20,78,21,0.0,62.8,0
2022-03-21,83,39,0.0,62.8,0
2022-03-22,89,42,0.0,61.3,0
2022-03-23,90,45,0.0,55.6,0
2022-03-24,93,49,0.0,57.0,0
2022-03-25,94,51,0.0,62.7,0
2022-03-26,85,42,0.0,65.8,0
2022-03-27,39,12,0.0,65.6,0
2022-03-28,52,17,0.0,77.1,0
2022-03-29,69,25,0.0,76.5,0
2022-03-30,55,24,0.0,69.4,0
2022-03-31,25,8,0.0,88.5,0
2022-04-01,27,7,0.0,79.8,0
2022-04-02,18,9,0.0,60.0,0
2022-04-03,36,10,0.0,74.0,0
2022-04-04,36,11,0.0,90.6,0
2022-04-05,25,10,0.0,91.8,0
2022-04-06,31,13,0.0,87.3,0
2022-04-07,25,11,0.0,86.0,0
2022-04-08,24,12,0.0,74.0,0
2022-04-09,26,13,0.0,76.1,0
2022-04-10,27,12,0.0,69.3,0
2022-04-11,51,15,0.0,53.8,0
2022-04-12,46,15,0.0,52.0,0
2022-04-13,50,18,0.0,71.5,0
2022-04-14,61,17,0.0,73.0,0
2022-04-15,36,12,0.0,73.0,0
2022-04-16,45,12,0.0,61.5,0
2022-04-17,52,13,0.0,41.8,0
2022-04-18,58,18,0.0,43.6,0
2022-04-19,40,17,0.0,49.5,0
2022-04-20,32,14,0.0,50.0,0
2022-04-21,39,15,0.0,55.0,0
2022-04-22,45,17,0.0,55.6,0
2022-04-23,56,19,0.0,54.7,0
2022-04-24,42,15,0.0,56.1,0
2022-04-25,54,15,0.0,77.2,0
2022-04-26,30,13,0.0,64.5,0
2022-04-27,39,14,0.0,67.8,0
2022-04-28,47,16,0.0,65.3,0
2022-04-29,43,16,0.0,68.2,0
2022-04-30,40,13,0.0,67.1,0
2022-05-01,53,14,0.0,64.8,0
2022-05-02,44,13,0.0,56.6,0
2022-05-03,39,14,0.0,69.2,0
2022-05-04,38,17,0.0,61.2,0
2022-05-05,60,21,0.0,66.2,0
2022-05-06,57,18,0.0,70.8,0
2022-05-07,56,18,0.0,65.8,0
2022-05-08,41,17,0.0,59.1,0
2022-05-09,47,18,0.0,54.2,0
2022-05-10,53,23,0.0,58.4,0
2022-05-11,30,16,0.0,59.1,0
2022-05-12,32,14,0.0,56.2,0
2022-05-13,33,14,0.0,61.0,0
2022-05-14,48,20,0.0,59.6,0
2022-05-15,51,21,0.0,52.3,0
2022-05-16,53,21,0.0,63.0,0
2022-05-17,34,18,0.0,71.0,0
2022-05-18,52,23,0.0,65.6,0
2022-05-19,43,22,0.0,81.7,0
2022-05-20,49,16,0.0,85.8,0
2022-05-21,39,13,0.0,74.0,0
2022-05-22,47,14,0.0,63.2,0
2022-05-23,46,15,0.0,72.3,0
2022-05-24,31,12,0.0,77.3,0
2022-05-25,29,10,0.0,79.0,0
2022-05-26,34,14,0.0,70.8,0
