Date,pm25,pm10,wind-speed,humidity,precipitation
2022-01-01,18,5,3.6,76.5,0
2022-01-02,14,5,2.0,90.0,0
2022-01-03,8,6,2.5,93.0,0
2022-01-04,10,6,3.3,96.5,0
2022-01-05,16,7,3.8,92.0,0
2022-01-06,11,4,2.8,97.0,0
2022-01-07,14,5,2.3,81.2,0
2022-01-08,15,7,3.6,93.0,0
2022-01-09,15,6,1.5,95.0,0
2022-01-10,10,6,2.0,97.0,0
2022-01-11,13,7,5.6,98.0,0
2022-01-12,8,5,4.1,99.0,0
2022-01-13,13,7,1.5,94.2,0
2022-01-14,11,10,2.0,95.0,0
2022-01-15,15,7,1.5,97.0,0
2022-01-16,11,8,1.0,97.0,0
2022-01-17,12,8,3.6,97.2,0
2022-01-18,22,6,1.5,98.0,0
2022-01-19,13,5,2.3,98.0,0
2022-01-20,8,6,3.6,96.2,0
2022-01-21,22,10,2.0,96.0,0
2022-01-22,9,5,2.0,93.7,0
2022-01-23,15,6,1.8,98.0,0
2022-01-24,13,7,1.8,97.2,0
2022-01-25,21,7,2.5,95.3,0
2022-01-26,23,7,2.0,97.7,0
2022-01-27,17,7,2.0,97.6,0
2022-01-28,15,10,2.5,92.2,0
2022-01-29,23,11,3.6,88.7,0
2022-01-30,11,6,2.5,93.5,0
2022-01-31,8,6,6.1,80.0,0
2022-02-01,8,6,9.0,86.0,0
2022-02-02,12,7,4.0,93.0,0
2022-02-03,12,5,3.6,98.0,0
2022-02-04,6,6,3.8,98.0,0
2022-02-05,11,8,2.0,94.7,0
2022-02-06,6,6,2.5,94.0,0
2022-02-07,9,9,3.6,91.5,0
2022-02-08,7,7,3.6,95.2,0
2022-02-09,6,6,2.0,96.2,0
2022-02-10,13,6,2.3,98.0,0
2022-02-11,3,7,2.5,95.7,0
2022-02-12,4,7,3.5,93.0,0
2022-02-13,8,13,2.0,81.0,0
2022-02-14,21,11,3.0,93.0,0
2022-02-15,10,9,2.0,93.0,0
2022-02-16,11,11,1.5,89.5,0
2022-02-17,25,12,2.0,91.2,0
2022-02-18,30,11,1.5,93.0,0
2022-02-19,8,5,3.6,95.7,0
2022-02-20,2,4,11.0,86.0,0
2022-02-21,4,5,3.5,56.0,0
2022-02-22,12,7,3.2,31.0,0
2022-02-23,15,14,2.5,46.0,0
2022-02-24,19,11,2.5,80.0,0
2022-02-25,15,11,2.5,78.5,0
2022-02-26,8,9,2.0,84.2,0
2022-02-27,5,5,2.0,93.0,0
2022-02-28,8,5,3.6,97.5,0
2022-03-01,19,7,4.8,93.5,0
2022-03-02,10,6,4.5,93.0,0
2022-03-03,7,5,5.0,93.0,0
2022-03-04,10,8,5.1,91.0,0
2022-03-05,17,6,6.1,87.0,0
2022-03-06,10,9,2.0,88.5,0
2022-03-07,18,13,2.0,91.2,0
2022-03-08,0,0,2.3,87.0,0
2022-03-09,9,8,2.0,43.0,0
2022-03-10,12,11,1.5,60.0,0
2022-03-11,13,7,1.5,92.5,0
2022-03-12,4,4,2.3,91.7,0
2022-03-13,6,7,1.9,93.0,0
2022-03-14,9,4,2.0,96.0,0
2022-03-15,8,7,3.0,93.0,0
2022-03-16,14,8,2.5,87.7,0
2022-03-17,7,5,3.0,94.0,0
2022-03-18,10,5,2.7,94.5,0
2022-03-19,10,5,2.5,81.3,0
2022-03-20,13,6,3.0,93.0,0
2022-03-21,12,5,1.3,94.5,0
2022-03-22,14,6,1.5,97.7,0
2022-03-23,9,5,4.1,93.2,0
2022-03-24,11,8,2.5,81.0,0
2022-03-25,18,10,2.0,78.2,0
2022-03-26,14,6,1.5,90.5,0
2022-03-27,7,6,3.0,95.0,0
2022-03-28,9,7,5.0,96.0,0
2022-03-29,14,8,1.5,89.0,0
2022-03-30,7,6,2.0,81.0,0
2022-03-31,10,6,3.6,76.0,0
2022-04-01,11,8,3.8,81.0,0
2022-04-02,14,7,3.8,91.5,0
2022-04-03,13,6,2.5,93.0,0
2022-04-04,8,7,3.2,80.7,0
2022-04-05,8,8,3.0,76.0,0
2022-04-06,10,7,1.5,70.0,0
2022-04-07,25,11,1.5,64.2,0
2022-04-08,5,6,5.1,76.2,0
2022-04-09,4,5,4.6,70.0,0
2022-04-10,6,6,5.1,86.0,0
2022-04-11,11,7,2.2,49.7,0
2022-04-12,12,7,2.0,81.5,0
2022-04-13,13,8,1.5,75.0,0
2022-04-14,10,8,1.5,57.3,0
2022-04-15,0,0,2.0,77.2,0
2022-04-16,11,7,1.5,70.0,0
2022-04-17,21,5,2.0,64.2,0
2022-04-18,15,6,2.5,92.5,0
2022-04-19,10,6,3.3,81.0,0
2022-04-20,10,6,3.2,86.0,0
2022-04-21,10,7,2.5,93.0,0
2022-04-22,17,8,1.5,81.5,0
2022-04-23,17,8,2.5,74.7,0
2022-04-24,17,8,4.0,80.8,0
2022-04-25,18,6,2.5,83.7,0
2022-04-26,11,7,2.5,87.0,0
2022-04-27,10,7,2.5,77.2,0
2022-04-28,12,8,3.0,76.0,0
2022-04-29,20,8,3.6,71.0,0
2022-04-30,15,7,2.5,91.5,0
2022-05-01,18,7,3.0,77.7,0
2022-05-02,17,8,3.0,88.7,0
2022-05-03,13,8,3.0,92.0,0
2022-05-04,11,7,3.0,91.2,0
2022-05-05,8,6,3.6,94.2,0
2022-05-06,18,8,4.1,81.0,0
2022-05-07,13,7,3.6,71.0,0
2022-05-08,6,5,3.0,76.0,0
2022-05-09,13,7,2.5,86.0,0
2022-05-10,26,8,2.5,83.0,0
2022-05-11,13,7,2.5,76.0,0
2022-05-12,8,5,2.0,87.0,0
2022-05-13,16,6,2.0,70.2,0
2022-05-14,13,7,1.5,91.0,0
2022-05-15,13,5,3.6,95.2,0
2022-05-16,10,7,2.5,76.0,0
2022-05-17,18,9,2.5,62.0,0
2022-05-18,11,7,1.5,70.0,0
2022-05-19,13,7,3.0,71.7,0
2022-05-20,18,9,2.0,71.0,0
2022-05-21,25,9,2.0,70.5,0
2022-05-22,22,9,2.0,62.0,0
2022-05-23,25,11,2.0,68.2,0
2022-05-24,17,10,3.0,76.2,0
2022-05-25,15,7,3.0,82.0,0
2022-05-26,9,10,2.5,82.0,0
2022-05-27,9,5,2.7,76.0,0
2022-05-28,14,7,3.0,76.0,0
2022-05-29,20,8,2.5,76.0,0
2022-05-30,19,8,2.5,87.0,0
2022-05-31,20,11,1.5,82.5,0
2022-06-01,16,9,1.2,82.0,0
2022-06-02,16,10,3.0,82.0,0
2022-06-03,10,6,2.0,92.0,0
2022-06-04,8,6,3.0,87.0,0
2022-06-05,3,6,4.1,92.5,0
2022-06-06,7,7,2.0,76.5,0
2022-06-07,6,9,2.0,76.0,0
2022-06-08,10,8,1.5,68.5,0
2022-06-09,11,8,3.3,93.0,0
2022-06-10,5,7,3.0,85.7,0
2022-06-11,7,5,2.0,77.0,0
2022-06-12,5,7,3.0,79.0,0
2022-06-13,6,7,3.6,72.0,0
2022-06-14,15,9,1.1,72.2,0
2022-06-15,20,9,1.0,79.2,0
2022-06-16,25,10,2.0,87.0,0
2022-06-17,10,9,2.0,82.0,0
2022-06-18,18,7,4.8,90.0,0
2022-06-19,21,8,1.5,82.0,0
