Date,pm25,pm10,wind-speed,humidity,precipitation
2022-01-01,23,5,5.4,85.0,0
2022-01-02,11,3,5.6,92.0,0
2022-01-03,15,3,3.3,92.0,0
2022-01-04,13,3,7.0,96.0,0
2022-01-05,13,5,2.3,100.0,0
2022-01-06,17,4,9.0,85.0,0
2022-01-07,23,5,10.5,82.0,0
2022-01-08,20,5,8.0,92.0,0
2022-01-09,51,12,6.0,92.0,0
2022-01-10,40,9,4.5,84.0,0
2022-01-11,37,10,2.5,88.0,0
2022-01-12,18,5,6.9,96.0,0
2022-01-13,4,3,12.5,80.0,0
2022-01-14,18,6,19.0,64.0,0
2022-01-15,17,5,13.5,69.0,0
2022-01-16,7,3,9.0,92.0,0
2022-01-17,23,7,17.0,79.0,0
2022-01-18,19,5,9.0,82.0,0
2022-01-25,0,0,3.6,83.0,0
2022-01-26,0,0,5.1,92.0,0
2022-01-27,0,0,3.3,100.0,0
2022-01-28,0,0,5.1,92.0,0
2022-01-29,10,3,7.7,92.0,0
2022-01-30,20,4,6.4,92.0,0
2022-01-31,20,4,5.4,85.0,0
2022-02-01,40,8,2.5,88.5,0
2022-02-02,57,16,1.8,88.5,0
2022-02-03,62,19,1.2,92.0,0
2022-02-04,18,5,7.4,92.0,0
2022-02-05,21,5,5.9,92.0,0
2022-02-06,9,4,5.6,96.5,0
2022-02-07,18,8,2.8,92.0,0
2022-02-08,12,4,5.5,89.0,0
2022-02-09,13,6,5.5,92.0,0
2022-02-10,16,5,4.8,86.0,0
2022-02-11,16,4,4.6,82.0,0
2022-02-12,14,4,4.6,82.0,0
2022-02-13,21,7,16.0,93.0,0
2022-02-14,29,9,6.6,96.5,0
2022-02-15,62,17,7.9,93.0,0
2022-02-16,12,7,6.4,89.5,0
2022-02-17,5,2,4.8,100.0,0
2022-02-18,16,2,6.1,86.0,0
2022-02-19,20,4,3.6,92.0,0
2022-02-20,16,3,2.0,89.0,0
2022-02-21,6,2,9.0,86.0,0
2022-02-22,21,3,12.0,88.5,0
2022-02-23,41,10,2.0,88.5,0
2022-02-24,19,7,10.8,86.0,0
2022-02-25,29,7,14.0,93.0,0
2022-02-26,27,5,10.0,86.0,0
2022-02-27,18,6,12.0,89.0,0
2022-02-28,21,8,6.5,82.5,0
2022-03-01,22,7,10.5,74.5,0
2022-03-02,32,10,4.3,89.5,0
2022-03-03,15,4,5.1,58.0,0
2022-03-04,14,7,3.6,70.0,0
2022-03-05,14,9,3.8,85.0,0
2022-03-06,10,3,4.3,80.0,0
2022-03-07,16,5,3.8,74.0,0
2022-03-08,18,5,5.4,92.0,0
2022-03-09,25,7,3.6,88.5,0
2022-03-10,21,9,11.5,77.0,0
2022-03-11,22,6,7.0,80.0,0
2022-03-12,35,9,2.5,83.0,0
2022-03-13,60,17,1.5,56.5,0
2022-03-14,45,27,4.0,48.0,0
2022-03-15,61,40,1.5,61.5,0
2022-03-16,53,28,3.0,57.0,0
2022-03-17,56,29,1.5,83.0,0
2022-03-18,37,25,5.5,71.0,0
2022-03-19,35,10,3.0,80.0,0
2022-03-20,19,6,2.8,62.0,0
2022-03-21,35,31,3.3,66.5,0
2022-03-22,62,40,4.3,69.0,0
2022-03-23,57,25,2.8,77.0,0
2022-03-24,45,26,3.0,80.0,0
2022-03-25,38,19,3.3,80.0,0
2022-03-26,18,23,9.7,61.0,0
2022-03-27,11,12,6.6,53.0,0
2022-03-28,7,3,8.5,69.0,0
2022-03-29,17,37,4.1,55.5,0
2022-03-30,18,16,4.6,76.0,0
2022-03-31,19,16,2.0,74.0,0
2022-04-01,30,26,1.5,74.0,0
2022-04-02,33,33,2.0,52.0,0
2022-04-03,16,21,2.8,65.5,0
2022-04-04,10,3,6.1,93.0,0
2022-04-05,15,4,10.0,93.0,0
2022-04-06,16,5,5.6,76.0,0
2022-04-07,16,5,4.6,86.0,0
2022-04-08,12,3,11.0,86.0,0
2022-04-09,12,5,14.0,83.0,0
2022-04-10,16,4,12.0,86.0,0
2022-04-11,22,32,6.0,62.0,0
2022-04-12,40,79,3.5,69.0,0
2022-04-13,23,48,3.0,60.0,0
2022-04-14,26,46,1.8,83.0,0
2022-04-15,16,22,6.0,67.0,0
2022-04-16,25,24,3.8,53.5,0
2022-04-17,39,49,2.5,53.0,0
2022-04-18,23,24,3.5,75.5,0
2022-04-19,39,52,3.0,57.0,0
2022-04-20,26,46,6.0,55.0,0
2022-04-21,17,36,6.1,51.5,0
2022-04-22,19,36,2.3,46.0,0
2022-04-23,29,28,4.8,61.0,0
2022-04-24,14,16,6.9,60.0,0
2022-04-25,18,33,3.8,58.0,0
2022-04-26,20,35,5.9,51.0,0
2022-04-27,14,16,3.3,34.5,0
2022-04-28,17,8,4.3,65.5,0
2022-04-29,11,8,4.1,53.0,0
2022-04-30,17,13,5.6,54.0,0
2022-05-01,16,11,6.0,59.0,0
2022-05-02,15,22,8.0,65.0,0
2022-05-03,13,10,9.5,49.0,0
2022-05-04,17,8,3.6,38.0,0
2022-05-05,20,20,10.0,47.0,0
2022-05-06,34,25,8.0,64.0,0
2022-05-07,26,10,9.5,86.0,0
2022-05-08,9,4,11.5,56.0,0
2022-05-09,13,7,4.3,45.0,0
2022-05-10,16,17,9.0,46.0,0
2022-05-11,30,15,6.6,71.0,0
2022-05-12,22,12,5.4,78.5,0
2022-05-13,11,7,12.5,66.0,0
2022-05-14,19,7,4.1,75.0,0
2022-05-15,8,5,6.4,50.0,0
2022-05-16,10,8,11.5,53.5,0
2022-05-17,13,9,7.5,60.0,0
2022-05-18,13,11,7.5,41.0,0
2022-05-19,19,12,4.0,51.5,0
2022-05-20,15,12,6.4,46.0,0
2022-05-21,14,11,8.5,38.0,0
2022-05-22,20,9,3.3,36.0,0
2022-05-23,23,20,2.8,31.5,0
2022-05-24,25,16,3.0,26.0,0
2022-05-25,35,23,3.6,44.0,0
2022-05-26,22,5,1.8,90.0,0
2022-05-27,15,4,2.3,93.0,0
2022-05-28,17,5,3.0,87.0,0
2022-05-29,23,7,2.3,93.0,0
2022-05-30,18,11,2.8,54.5,0
2022-05-31,13,7,7.0,87.0,0
2022-06-01,20,8,13.0,64.5,0
2022-06-02,15,6,16.5,90.0,0
2022-06-03,26,10,12.0,79.5,0
2022-06-04,26,9,8.0,72.0,0
2022-06-05,12,4,8.0,62.0,0
2022-06-06,10,8,7.0,44.0,0
2022-06-07,17,11,3.0,37.5,0
2022-06-08,34,11,8.5,71.0,0
2022-06-09,30,13,8.0,69.5,0
2022-06-10,28,13,2.8,59.0,0
2022-06-11,29,10,4.5,63.0,0
2022-06-12,26,11,9.0,59.5,0
2022-06-13,22,12,5.6,69.5,0
2022-06-14,25,11,2.0,77.0,0
2022-06-15,9,8,9.0,53.0,0
2022-06-16,11,5,7.4,53.5,0
2022-06-17,15,9,5.1,60.5,0
2022-06-18,23,8,4.8,93.0,0
2022-06-19,30,5,8.4,49.5,0
2022-06-20,14,7,2.8,79.5,0
2022-06-21,17,9,6.0,59.0,0
2022-06-22,20,8,3.5,44.5,0
2022-06-23,33,13,9.5,61.0,0
2022-06-24,27,8,7.0,68.0,0
2022-06-25,38,11,4.0,51.5,0
2022-06-26,45,14,2.5,51.5,0
2022-06-27,52,21,4.5,50.5,0
2022-06-28,52,21,10.0,55.5,0
2022-06-29,28,13,8.0,57.0,0
2022-06-30,31,16,6.0,50.0,0
2022-07-01,36,17,8.0,50.0,0
2022-07-02,40,14,8.0,54.0,0
2022-07-03,13,7,6.0,52.5,0
2022-07-04,19,11,7.5,53.0,0
2022-07-05,20,10,11.5,60.0,0
2022-07-06,13,8,7.4,63.0,0
2022-07-07,16,9,9.0,72.0,0
2022-07-08,13,7,4.0,50.5,0
2022-07-09,13,6,4.6,74.5,0
2022-07-10,11,3,2.0,69.5,0
2022-07-11,21,7,4.0,74.5,0
2022-07-12,24,9,5.4,77.0,0
2022-07-13,28,8,4.8,82.0,0
2022-07-14,8,5,6.5,74.5,0
2022-07-15,13,6,3.0,77.0,0
2022-07-16,9,3,6.1,79.0,0
2022-07-17,9,3,10.0,76.0,0
2022-07-18,12,6,6.0,69.5,0
2022-07-19,20,8,5.4,60.5,0
2022-07-20,11,5,7.2,55.5,0
2022-07-21,33,14,2.8,50.0,0
2022-07-22,46,18,4.1,63.0,0
2022-07-23,28,9,5.6,73.0,0
2022-07-24,13,4,2.5,85.0,0
2022-07-25,23,6,4.8,52.5,0
2022-07-26,29,11,9.5,77.0,0
2022-07-27,18,7,12.0,74.5,0
2022-07-28,12,6,3.3,79.5,0
2022-07-29,12,5,5.6,69.5,0
2022-07-30,10,3,5.4,79.0,0
2022-07-31,20,8,3.3,72.0,0
2022-08-01,24,7,4.6,58.0,0
2022-08-02,17,7,5.5,57.5,0
2022-08-03,22,9,4.6,68.0,0
2022-08-04,35,17,12.0,62.0,0
2022-08-05,40,19,4.3,60.0,0
2022-08-06,33,16,8.2,68.0,0
2022-08-07,7,4,4.6,63.0,0
2022-08-08,23,10,2.0,74.5,0
2022-08-09,20,9,2.0,47.5,0
2022-08-10,20,11,4.8,49.5,0
2022-08-11,24,11,9.0,75.0,0
2022-08-12,30,9,3.6,75.0,0
2022-08-13,23,8,3.0,70.0,0
2022-08-14,33,13,3.0,82.0,0
2022-08-15,39,15,3.5,69.0,0
2022-08-16,51,18,3.3,59.0,0
2022-08-17,54,23,3.0,73.0,0
2022-08-18,56,25,2.0,69.0,0
2022-08-19,69,31,3.8,60.5,0
2022-08-20,52,23,9.0,58.5,0
2022-08-21,57,34,9.5,68.0,0
2022-08-22,26,13,5.5,77.0,0
2022-08-23,19,11,3.5,64.0,0
2022-08-24,44,20,4.8,82.0,0
2022-08-25,12,6,3.6,77.0,0
