Date,pm25,pm10,wind-speed,humidity,precipitation
2022-01-01,13,5,4.6,59.9,99.0
2022-01-02,17,6,2.0,66.9,99.0
2022-01-03,42,12,2.3,66.0,99.0
2022-01-04,50,13,5.6,59.0,99.0
2022-01-05,17,5,4.6,56.5,99.0
2022-01-06,25,7,2.5,70.0,99.0
2022-01-07,30,9,5.6,56.0,0.0
2022-01-08,34,10,2.3,63.0,0.0
2022-01-09,42,11,3.3,70.0,0.0
2022-01-10,57,15,3.6,68.0,0.0
2022-01-11,42,11,4.7,72.0,1.0
2022-01-12,21,6,5.7,63.1,0.1
2022-01-13,34,10,8.2,56.1,99.0
2022-01-14,21,6,5.6,60.0,99.0
2022-01-15,21,7,2.5,62.0,99.0
2022-01-16,34,10,3.6,66.2,0.0
2022-01-17,46,12,5.6,56.5,99.0
2022-01-18,25,7,6.6,62.5,99.0
2022-01-19,30,7,3.3,65.5,99.0
2022-01-20,34,8,6.6,61.2,99.0
2022-01-21,21,6,5.3,60.9,99.0
2022-01-22,38,10,3.6,54.3,0.0
2022-01-23,53,14,2.0,80.0,0.5
2022-01-24,25,7,5.6,70.0,0.4
2022-01-25,30,8,2.5,69.1,0.0
2022-01-26,50,13,4.1,64.0,99.0
2022-01-27,53,13,3.0,63.9,0.0
2022-01-28,53,13,2.5,71.3,0.0
2022-01-29,50,13,2.5,68.1,0.0
2022-01-30,42,10,2.0,63.1,0.0
2022-01-31,25,7,2.0,64.3,99.0
2022-02-01,30,9,4.1,67.2,99.0
2022-02-02,61,18,5.4,63.0,99.0
2022-02-03,59,13,2.5,52.0,0.0
2022-02-04,34,9,4.6,55.2,0.0
2022-02-05,34,10,7.7,51.2,99.0
2022-02-06,34,9,8.2,57.3,0.0
2022-02-07,38,10,3.0,58.5,0.0
2022-02-08,42,10,2.0,67.2,99.0
2022-02-09,34,9,3.0,57.0,0.0
2022-02-10,34,9,2.5,65.0,99.5
2022-02-11,30,8,2.5,65.0,0.0
2022-02-12,25,7,2.5,63.0,0.0
2022-02-13,25,8,3.0,81.0,1.4
2022-02-14,46,13,2.5,67.5,99.0
2022-02-15,53,14,3.0,73.3,0.0
2022-02-16,34,9,7.3,54.0,99.0
2022-02-17,30,8,7.2,56.0,99.0
2022-02-18,25,6,2.2,65.0,0.0
2022-02-19,25,8,2.5,74.2,0.8
2022-02-20,34,10,6.6,65.0,0.2
2022-02-21,30,9,6.1,58.0,99.0
2022-02-22,34,10,5.6,53.9,99.0
2022-02-23,42,10,4.3,61.2,99.0
2022-02-24,30,7,3.0,56.0,99.0
2022-02-25,42,11,2.5,60.0,99.0
2022-02-26,59,16,2.3,65.0,0.0
2022-02-27,57,17,3.8,63.0,99.0
2022-02-28,50,13,2.0,52.1,0.0
2022-03-01,50,14,3.6,81.0,0.6
2022-03-02,76,25,2.0,86.0,99.0
2022-03-03,55,15,4.4,68.0,0.0
2022-03-04,53,14,1.9,63.0,0.0
2022-03-05,53,17,4.1,60.1,0.0
2022-03-06,59,20,5.1,52.9,0.0
2022-03-07,42,12,3.8,59.1,0.0
2022-03-08,46,13,2.8,63.0,0.0
2022-03-09,57,18,2.0,63.0,0.0
2022-03-10,70,23,2.5,63.1,0.0
2022-03-11,68,23,2.6,72.5,0.0
2022-03-12,70,25,2.0,78.0,0.0
2022-03-13,59,20,4.6,78.0,0.0
2022-03-14,30,10,2.5,85.1,0.3
2022-03-15,46,15,4.6,62.0,0.0
2022-03-16,46,14,2.0,63.2,0.0
2022-03-17,50,15,4.3,56.0,0.0
2022-03-18,38,11,3.6,89.8,0.6
2022-03-19,13,4,4.1,73.5,99.0
2022-03-20,13,5,3.1,67.0,99.0
2022-03-21,17,6,2.3,57.0,0.0
2022-03-22,21,6,3.0,79.2,0.4
2022-03-23,34,9,2.0,77.5,0.1
2022-03-24,50,14,2.0,71.0,0.1
2022-03-25,61,20,4.1,62.2,0.0
2022-03-26,42,15,7.7,72.0,99.0
2022-03-27,17,6,3.6,58.1,99.0
2022-03-28,34,10,5.1,52.0,0.0
2022-03-29,42,13,2.0,59.0,99.0
2022-03-30,42,14,2.5,79.5,0.0
2022-03-31,34,10,3.8,87.0,99.0
2022-04-01,25,9,8.2,49.0,0.5
2022-04-02,38,10,2.5,53.0,0.0
2022-04-03,30,9,5.9,84.0,99.0
2022-04-04,30,10,4.3,68.5,0.0
2022-04-05,30,9,2.8,60.9,0.0
2022-04-06,42,12,2.1,60.5,0.0
2022-04-07,55,16,3.3,76.0,0.0
2022-04-08,59,20,2.5,69.5,0.0
2022-04-09,59,20,3.3,67.0,99.0
2022-04-10,61,20,2.0,75.0,0.0
2022-04-11,57,19,3.4,70.0,0.0
2022-04-12,46,16,2.5,82.0,99.0
2022-04-13,38,12,2.0,90.5,99.0
2022-04-14,46,14,2.3,85.9,99.0
2022-04-15,17,6,5.9,82.0,0.8
2022-04-16,30,9,6.2,50.2,99.0
2022-04-17,42,12,2.1,62.0,0.0
2022-04-18,34,10,2.0,64.9,0.0
2022-04-19,55,16,1.9,51.0,0.0
2022-04-20,68,22,3.0,58.0,0.0
2022-04-21,57,18,2.0,82.9,1.1
2022-04-22,34,10,2.5,82.1,0.2
2022-04-23,55,17,2.0,78.1,0.0
2022-04-24,53,18,1.8,92.1,0.7
2022-04-25,30,10,2.0,87.5,99.5
