Date,pm25,pm10,wind-speed,humidity,precipitation
2022-01-01,35,0,1.7,98.0,0
2022-01-02,16,0,2.0,87.7,0
2022-01-03,20,0,3.6,86.8,0
2022-01-04,42,0,2.0,85.7,0
2022-01-05,42,0,2.2,91.5,0
2022-01-06,38,0,2.0,60.6,0
2022-01-07,34,0,4.1,60.0,0
2022-01-08,38,0,1.8,64.6,0
2022-01-09,42,0,1.7,84.6,0
2022-01-10,21,0,4.6,49.0,0
2022-01-11,26,0,2.8,50.5,0
2022-01-12,34,0,3.1,58.0,0
2022-01-13,55,0,1.0,66.7,0
2022-01-14,55,0,3.9,69.0,0
2022-01-15,18,0,2.5,46.0,0
2022-01-16,35,0,3.6,64.2,0
2022-01-17,20,0,6.1,63.0,0
2022-01-18,25,0,4.4,64.0,0
2022-01-19,34,0,3.0,56.0,0
2022-01-20,38,0,2.6,80.7,0
2022-01-21,27,0,2.5,57.3,0
2022-01-22,37,0,2.0,52.0,0
2022-01-23,46,0,1.5,60.3,0
2022-01-24,51,0,1.8,67.0,0
2022-01-25,41,0,2.5,62.5,0
2022-01-26,34,0,3.0,51.3,0
2022-01-27,57,0,2.5,58.5,0
2022-01-28,59,0,1.5,71.0,0
2022-01-29,25,0,4.7,53.0,0
2022-01-30,30,0,2.1,52.6,0
2022-01-31,52,0,2.2,65.5,0
2022-02-01,57,0,2.0,71.2,0
2022-02-02,55,0,1.8,86.0,0
2022-02-03,33,0,1.8,95.0,0
2022-02-04,19,0,2.5,91.3,0
2022-02-05,26,0,4.6,55.0,0
2022-02-06,28,0,1.5,52.3,0
2022-02-07,44,0,1.4,76.0,0
2022-02-08,46,0,3.0,64.0,0
2022-02-09,42,0,2.5,66.7,0
2022-02-10,24,0,4.0,55.0,0
2022-02-11,30,0,2.5,48.3,0
2022-02-12,30,0,2.6,49.6,0
2022-02-13,35,0,2.6,80.2,0
2022-02-14,38,0,3.6,54.1,0
2022-02-15,50,0,2.0,55.5,0
2022-02-16,43,0,2.5,68.7,0
2022-02-17,30,0,4.0,69.6,0
2022-02-18,19,0,5.7,57.5,0
2022-02-19,23,0,5.2,43.0,0
2022-02-20,21,0,2.0,46.2,0
2022-02-21,27,0,2.0,49.2,0
2022-02-22,28,0,3.2,86.0,0
2022-02-23,24,0,3.7,68.0,0
2022-02-24,34,0,2.0,80.7,0
2022-02-25,21,0,3.0,77.0,0
2022-02-26,43,0,2.6,59.2,0
2022-02-27,30,0,3.0,38.2,0
