Date,pm25,pm10,wind-speed,humidity,precipitation
2022-01-01,28,3,2.5,67.0,0
2022-01-02,36,3,1.5,81.8,0
2022-01-03,36,3,1.5,80.4,0
2022-01-04,16,3,4.1,77.0,0
2022-01-05,11,3,16.0,68.0,0
2022-01-06,15,3,4.0,78.4,0
2022-01-07,22,2,2.1,81.7,0
2022-01-08,25,5,2.5,76.0,0
2022-01-09,24,4,2.0,63.0,0
2022-01-10,17,3,1.5,63.0,0
2022-01-11,30,5,2.0,72.0,0
2022-01-12,30,3,1.5,78.0,0
2022-01-13,19,3,2.5,71.0,0
2022-01-14,19,4,3.0,70.0,0
2022-01-15,24,2,3.6,72.0,0
2022-01-16,16,3,4.6,79.0,0
2022-01-17,10,2,2.5,78.0,0
2022-01-18,11,3,3.0,78.0,0
2022-01-19,14,4,2.5,69.0,0
2022-01-20,23,2,10.0,69.0,0
2022-01-21,24,4,4.1,77.0,0
2022-01-22,13,3,1.0,69.0,0
2022-01-23,13,3,1.0,76.0,0
2022-01-24,17,4,4.1,70.5,0
2022-01-25,15,3,4.1,69.0,0
2022-01-26,21,5,3.6,75.0,0
2022-01-27,10,3,2.5,65.0,0
2022-01-28,19,3,3.0,76.0,0
2022-01-29,28,4,8.2,78.0,0
2022-01-30,18,3,6.6,78.0,0
2022-01-31,35,3,1.0,79.0,0
2022-02-01,19,5,12.8,77.0,0
2022-02-02,20,4,3.0,68.0,0
2022-02-03,28,3,1.5,68.0,0
2022-02-04,34,3,3.0,69.0,0
2022-02-05,29,4,2.0,72.5,0
2022-02-06,24,4,2.0,76.0,0
2022-02-07,38,3,8.2,77.0,0
2022-02-08,23,4,8.7,80.0,0
2022-02-09,11,3,4.1,72.0,0
2022-02-10,15,4,2.5,85.0,0
2022-02-11,13,4,5.1,63.0,0
2022-02-12,17,3,5.0,64.0,0
2022-02-13,19,3,6.1,75.0,0
2022-02-14,30,4,2.5,75.0,0
2022-02-15,31,2,1.5,77.0,0
2022-02-16,19,4,2.5,69.0,0
2022-02-17,21,3,2.0,63.0,0
2022-02-18,16,4,11.0,70.0,0
2022-02-19,12,2,2.0,75.0,0
2022-02-20,18,4,17.0,64.0,0
2022-02-21,23,4,7.2,61.0,0
2022-02-22,27,3,2.5,57.0,0
2022-02-23,35,3,1.5,68.0,0
2022-02-24,46,3,2.0,69.0,0
2022-02-25,43,3,8.2,71.0,0
2022-02-26,32,4,2.5,67.0,0
2022-02-27,13,3,7.5,66.0,0
2022-02-28,15,3,5.0,78.0,0
2022-03-01,20,3,1.5,66.0,0
2022-03-02,18,3,9.0,69.0,0
2022-03-03,30,4,3.0,69.0,0
2022-03-04,36,3,1.5,66.0,0
2022-03-05,12,3,3.0,63.0,0
2022-03-06,9,3,2.0,72.0,0
2022-03-07,17,3,6.0,72.0,0
2022-03-08,20,3,3.0,78.0,0
2022-03-09,9,2,4.6,64.0,0
2022-03-10,13,3,3.6,69.0,0
2022-03-11,11,3,4.1,69.0,0
2022-03-12,15,3,7.7,69.0,0
2022-03-13,17,3,4.6,72.0,0
2022-03-14,22,4,1.5,72.0,0
2022-03-15,46,4,4.0,85.0,0
2022-03-16,47,4,1.5,92.0,0
2022-03-17,21,3,2.0,92.0,0
2022-03-18,20,3,7.2,92.0,0
2022-03-19,28,3,5.0,80.0,0
2022-03-20,33,4,1.0,69.0,0
2022-03-21,14,3,7.2,60.0,0
2022-03-22,15,3,2.5,74.0,0
2022-03-23,9,3,3.0,80.0,0
2022-03-24,16,3,2.5,83.0,0
2022-03-25,10,4,12.3,67.0,0
2022-03-26,11,4,12.0,60.0,0
2022-03-27,23,5,1.0,51.0,0
2022-03-28,24,6,6.6,52.0,0
