Date,pm25,pm10,wind-speed,humidity,precipitation
2022-01-01,13,15,5.6,78.0,0.0
2022-01-02,17,19,4.2,78.0,0.0
2022-01-03,15,14,3.0,81.1,0.0
2022-01-04,19,19,3.6,77.8,0.0
2022-01-05,15,13,3.6,90.0,1.6
2022-01-06,27,31,6.6,84.9,0.4
2022-01-07,28,25,5.6,92.9,0.8
2022-01-08,21,16,3.6,87.9,2.3
2022-01-09,20,15,3.0,85.7,0.0
2022-01-10,20,19,3.0,90.7,0.3
2022-01-11,20,20,2.5,90.2,99.2
2022-01-12,11,10,5.1,92.9,1.2
2022-01-13,13,10,3.6,92.8,0.9
2022-01-14,15,20,3.0,82.9,0.2
2022-01-15,27,25,3.6,85.8,99.2
2022-01-16,31,24,4.1,86.9,0.0
2022-01-17,35,36,3.0,90.2,0.0
2022-01-18,16,8,3.0,91.2,0.1
2022-01-19,20,17,7.7,81.9,0.2
2022-01-20,22,24,5.1,69.2,0.3
2022-01-21,17,17,4.6,70.0,99.2
2022-01-22,11,13,4.1,70.2,0.0
2022-01-23,9,9,4.1,79.9,99.2
2022-01-24,10,10,3.0,80.9,99.6
2022-01-25,13,17,3.0,73.8,99.2
2022-01-26,14,13,4.6,67.1,0.0
2022-01-27,14,15,6.1,71.8,0.0
2022-01-28,16,18,6.0,77.2,0.0
2022-01-29,18,21,3.6,86.0,0.0
2022-01-30,19,16,3.0,81.1,0.0
2022-01-31,16,13,2.5,86.2,0.0
2022-02-01,27,20,2.5,81.8,99.2
2022-02-02,22,18,4.6,81.8,0.0
2022-02-03,15,19,6.6,65.9,0.0
2022-02-04,14,14,6.1,63.0,0.8
2022-02-05,15,17,5.6,65.0,0.6
2022-02-06,16,18,5.6,72.2,0.7
2022-02-07,10,9,5.1,74.1,1.9
2022-02-08,10,13,3.6,69.0,0.2
2022-02-09,24,13,2.5,64.1,0.0
2022-02-10,34,24,2.5,64.1,0.2
2022-02-11,19,15,4.1,81.0,0.3
2022-02-12,11,8,4.1,92.2,0.9
2022-02-13,16,16,3.6,72.2,0.6
2022-02-14,20,19,5.6,67.0,0.0
2022-02-15,19,21,4.6,73.1,0.0
2022-02-16,20,19,5.1,73.9,0.0
2022-02-17,30,26,3.0,80.0,0.0
2022-02-18,31,22,3.0,81.2,99.2
2022-02-19,17,17,3.0,76.9,0.5
2022-02-20,27,20,4.1,75.8,99.2
2022-02-21,29,26,4.6,76.9,99.2
2022-02-22,12,8,3.6,91.1,0.7
2022-02-23,14,11,3.0,91.8,2.0
2022-02-24,13,10,2.0,95.2,2.7
2022-02-25,20,9,2.0,95.8,0.8
