Date,pm25,pm10,wind-speed,humidity,precipitation
2022-01-01,13,5,1.8,42.2,0.0
2022-01-02,17,6,1.7,52.5,0.0
2022-01-03,21,7,1.7,61.0,0.0
2022-01-04,25,7,3.1,53.6,0.0
2022-01-05,13,4,3.5,37.5,0.0
2022-01-06,25,8,2.7,75.5,0.5
2022-01-07,25,7,2.1,51.7,0.0
2022-01-08,30,9,1.5,49.2,0.0
2022-01-09,46,12,1.6,55.2,0.0
2022-01-10,34,10,3.2,60.7,99.0
2022-01-11,42,11,1.9,89.6,0.4
2022-01-12,17,5,1.6,52.3,0.0
2022-01-13,21,6,3.0,50.2,0.0
2022-01-14,17,4,1.7,43.0,0.0
2022-01-15,21,7,1.7,45.3,0.0
2022-01-16,30,9,1.7,56.6,0.0
2022-01-17,50,13,1.3,54.0,0.0
2022-01-18,17,5,2.5,39.0,0.0
2022-01-19,21,6,2.1,38.2,0.0
2022-01-20,30,9,2.5,52.3,0.0
2022-01-21,13,4,3.8,43.9,0.0
2022-01-22,21,7,1.6,48.0,0.0
2022-01-23,34,10,1.7,53.2,0.0
2022-01-24,30,10,3.0,52.5,99.0
2022-01-25,30,10,1.6,59.7,99.0
2022-01-26,61,18,2.0,79.6,99.5
2022-01-27,46,12,2.3,44.0,0.0
2022-01-28,46,12,2.4,42.2,99.0
2022-01-29,25,8,2.0,51.3,0.0
2022-01-30,17,6,3.1,42.0,0.0
2022-01-31,17,6,2.8,38.0,0.0
2022-02-01,25,8,2.2,44.2,0.0
2022-02-02,38,10,1.9,50.7,0.0
2022-02-03,50,14,1.5,46.0,0.0
2022-02-04,25,8,2.0,46.3,0.0
2022-02-05,25,8,1.8,45.2,0.0
2022-02-06,21,7,1.8,46.1,0.0
2022-02-07,21,7,1.9,41.0,0.0
2022-02-08,30,10,2.2,49.0,99.0
2022-02-09,25,9,3.0,53.0,99.0
2022-02-10,30,9,4.4,92.5,1.7
2022-02-11,21,7,3.6,71.3,0.2
2022-02-12,38,10,1.7,66.5,0.0
2022-02-13,46,12,2.3,87.0,1.6
2022-02-14,50,14,3.3,76.5,0.8
2022-02-15,53,16,1.7,71.0,99.0
2022-02-16,34,10,2.0,55.0,0.0
2022-02-17,17,5,2.5,34.2,0.0
2022-02-18,17,4,1.9,38.0,0.0
2022-02-19,42,11,1.5,65.5,0.4
2022-02-20,34,9,2.5,84.3,1.1
2022-02-21,17,6,2.7,38.3,0.0
2022-02-22,21,7,1.8,43.7,0.0
2022-02-23,1,6,2.0,41.7,0.0
2022-02-24,17,6,2.5,36.0,0.0
2022-02-25,25,8,1.4,42.0,0.0
2022-02-26,30,10,2.5,50.0,0.0
2022-02-27,38,11,4.1,41.0,0.0
2022-02-28,30,10,1.7,50.3,0.0
2022-03-01,46,14,2.1,62.0,99.0
2022-03-02,42,12,2.4,57.2,0.0
2022-03-03,50,14,2.7,55.7,99.0
2022-03-04,34,10,2.3,44.7,0.0
2022-03-05,53,17,2.9,47.7,0.0
2022-03-06,25,9,2.9,36.0,0.0
2022-03-07,25,8,1.5,38.0,0.0
2022-03-08,38,10,3.2,67.5,99.0
2022-03-09,42,12,2.7,56.5,99.0
2022-03-10,42,12,1.7,59.0,0.0
2022-03-11,57,18,2.3,61.0,0.0
2022-03-12,65,22,1.2,60.3,0.0
2022-03-13,65,24,2.5,67.3,0.0
2022-03-14,34,14,3.6,76.0,0.3
2022-03-15,42,14,2.4,75.0,0.0
2022-03-16,34,12,2.1,65.0,0.0
2022-03-17,46,16,2.0,65.2,99.5
2022-03-18,21,7,4.6,90.5,0.9
2022-03-19,17,6,2.1,83.0,1.8
2022-03-20,17,6,1.8,62.5,99.0
2022-03-21,21,8,2.5,64.5,99.0
2022-03-22,21,6,3.6,88.7,0.8
2022-03-23,46,11,3.0,61.0,99.0
2022-03-24,57,16,2.1,73.0,0.3
2022-03-25,55,17,2.0,62.2,0.0
2022-03-26,42,17,4.4,77.7,99.0
2022-03-27,21,10,2.7,72.1,1.1
2022-03-28,25,10,3.1,48.2,99.0
2022-03-29,42,13,2.3,53.7,99.0
2022-03-30,46,14,2.0,80.5,0.1
2022-03-31,38,13,3.4,77.0,99.5
2022-04-01,21,7,4.4,59.0,1.6
2022-04-02,34,10,2.2,49.0,0.0
2022-04-03,30,10,3.2,87.2,1.2
2022-04-04,9,4,5.2,91.2,1.8
2022-04-05,17,6,3.5,72.5,0.3
2022-04-06,34,12,2.5,66.5,0.0
2022-04-07,57,21,3.0,70.7,0.0
2022-04-08,46,15,2.4,61.0,0.0
2022-04-09,55,19,3.0,72.0,0.0
2022-04-10,61,22,2.0,74.0,0.0
2022-04-11,61,22,3.3,76.0,0.0
2022-04-12,53,20,3.1,76.2,0.0
2022-04-13,38,14,2.2,81.0,99.0
2022-04-14,30,10,3.3,84.9,99.0
2022-04-15,13,5,3.4,92.0,0.8
2022-04-16,17,6,2.7,76.0,99.0
2022-04-17,38,13,1.4,66.5,0.1
2022-04-18,46,16,1.9,86.7,99.0
2022-04-19,34,11,2.1,69.0,0.6
2022-04-20,59,20,2.9,79.2,0.3
2022-04-21,63,22,1.7,78.2,0.5
2022-04-22,30,10,2.4,79.0,4.3
2022-04-23,57,20,1.2,74.0,0.0
2022-04-24,50,18,2.3,72.2,0.2
2022-04-25,46,16,2.0,83.2,99.5
2022-04-26,30,14,3.5,88.0,99.0
2022-04-27,30,15,4.5,81.7,99.0
2022-04-28,38,14,3.3,61.7,99.0
2022-04-29,30,10,3.0,86.0,0.8
2022-04-30,17,6,3.2,60.0,99.0
2022-05-01,30,10,1.8,80.0,0.2
2022-05-02,25,8,3.0,69.0,99.0
2022-05-03,34,10,2.7,59.7,0.0
2022-05-04,46,15,2.7,64.2,99.0
2022-05-05,55,18,2.1,67.1,0.0
2022-05-06,42,13,1.6,69.2,0.0
2022-05-07,34,12,2.0,82.5,0.4
2022-05-08,30,10,2.0,55.0,99.0
2022-05-09,25,10,3.1,74.2,99.0
2022-05-10,25,9,3.2,60.2,0.5
2022-05-11,34,11,1.8,63.5,0.0
2022-05-12,34,13,1.5,82.0,0.3
2022-05-13,17,7,1.6,95.0,2.0
2022-05-14,21,10,2.5,88.5,99.0
2022-05-15,34,13,2.4,65.2,0.0
2022-05-16,30,11,2.2,88.5,0.3
2022-05-17,38,12,1.2,86.3,0.1
2022-05-18,42,14,1.7,78.2,0.0
2022-05-19,50,16,2.2,64.0,0.0
2022-05-20,63,23,2.2,77.0,0.0
2022-05-21,30,12,1.6,82.0,99.0
2022-05-22,25,9,2.8,75.5,0.8
2022-05-23,30,11,2.7,70.0,99.0
2022-05-24,21,9,2.5,72.0,0.0
2022-05-25,21,9,2.6,71.7,0.0
2022-05-26,30,11,2.6,71.7,0.0
2022-05-27,25,13,3.8,85.5,1.5
2022-05-28,38,11,1.7,57.2,0.0
2022-05-29,42,13,2.2,56.0,0.0
2022-05-30,50,18,2.7,70.2,99.0
2022-05-31,34,12,2.6,82.0,1.3
2022-06-01,38,13,2.2,64.5,0.0
2022-06-02,30,11,2.5,73.7,0.0
2022-06-03,38,13,2.4,75.0,99.0
2022-06-04,38,13,2.8,66.2,99.0
2022-06-05,34,12,2.7,72.9,99.0
2022-06-06,17,8,3.3,91.0,2.3
2022-06-07,13,5,3.4,83.0,99.0
2022-06-08,30,12,2.7,84.2,0.1
2022-06-09,30,11,1.9,79.0,99.5
2022-06-10,30,10,2.3,74.5,99.0
2022-06-11,17,8,1.7,77.5,99.0
2022-06-12,30,11,2.4,80.7,0.6
2022-06-13,30,10,2.5,60.7,0.0
2022-06-14,25,11,2.9,88.0,0.1
2022-06-15,21,10,2.4,90.0,0.4
2022-06-16,42,16,1.5,86.0,99.0
2022-06-17,61,24,2.1,75.0,0.0
2022-06-18,55,20,1.2,85.0,0.0
2022-06-19,25,10,2.5,81.5,99.5
2022-06-20,46,19,2.4,80.0,0.0
2022-06-21,63,27,2.0,83.7,0.1
2022-06-22,50,19,2.0,89.0,1.2
2022-06-23,50,20,2.0,85.5,99.0
2022-06-24,34,18,5.0,79.0,99.0
2022-06-25,50,23,5.2,77.2,0.0
2022-06-26,42,17,4.0,68.9,99.0
2022-06-27,50,18,2.3,70.0,99.0
2022-06-28,53,23,2.4,74.5,0.0
2022-06-29,50,20,3.1,71.0,0.0
2022-06-30,57,25,2.0,71.7,99.0
2022-07-01,50,23,2.4,79.5,99.0
2022-07-02,38,17,2.7,75.7,99.0
2022-07-03,30,13,2.5,76.5,99.0
2022-07-04,21,10,2.5,77.5,99.5
2022-07-05,13,9,3.0,82.0,0.2
2022-07-06,21,9,4.0,80.2,0.5
2022-07-07,17,8,3.3,74.5,99.0
2022-07-08,21,9,2.6,66.9,99.0
2022-07-09,25,11,2.6,72.5,0.0
2022-07-10,21,10,3.4,78.7,99.0
2022-07-11,21,12,1.8,75.7,99.0
2022-07-12,17,10,1.7,81.7,0.5
2022-07-13,13,6,1.9,88.0,6.0
2022-07-14,17,10,2.0,86.0,99.0
2022-07-15,17,10,1.1,94.5,2.0
2022-07-16,17,10,1.6,88.0,0.1
2022-07-17,21,11,2.7,83.0,0.8
2022-07-18,50,20,2.2,76.5,0.0
2022-07-19,25,18,3.9,84.2,0.4
2022-07-20,46,20,1.5,69.5,0.0
2022-07-21,46,20,2.4,74.2,99.0
2022-07-22,50,24,4.1,81.5,0.1
2022-07-23,42,19,3.0,73.0,0.0
2022-07-24,30,13,2.9,75.0,0.0
2022-07-25,25,14,3.7,78.0,99.0
2022-07-26,21,17,3.1,88.7,0.2
2022-07-27,21,13,4.4,81.0,99.5
2022-07-28,17,11,3.7,79.2,0.0
2022-07-29,21,12,3.0,77.5,99.0
2022-07-30,21,14,2.9,75.2,0.0
2022-07-31,30,15,2.0,70.0,0.0
2022-08-01,38,17,2.1,72.0,0.0
2022-08-02,46,21,2.0,72.7,0.0
2022-08-03,63,30,1.4,69.0,99.0
2022-08-04,42,18,2.2,87.0,0.3
2022-08-05,21,10,2.8,77.7,99.0
2022-08-06,25,12,2.0,69.2,99.0
2022-08-07,25,13,1.7,78.1,99.0
2022-08-08,38,18,3.7,79.0,0.0
2022-08-09,38,19,5.1,74.9,0.0
2022-08-10,25,13,5.0,76.0,0.0
2022-08-11,17,11,4.1,79.0,0.0
2022-08-12,25,21,4.5,82.7,99.0
2022-08-13,21,19,3.6,92.0,6.4
2022-08-14,50,24,3.2,81.0,99.0
2022-08-15,57,26,2.3,75.0,0.0
2022-08-16,50,27,4.8,75.6,0.0
2022-08-17,34,15,2.0,72.5,99.0
2022-08-18,30,17,2.1,80.0,0.5
2022-08-19,30,12,1.9,67.6,0.0
2022-08-20,50,20,1.2,79.0,0.0
2022-08-21,59,27,2.0,81.0,0.0
2022-08-22,50,19,2.4,75.5,0.0
2022-08-23,30,16,2.9,81.0,0.0
2022-08-24,42,18,2.6,78.0,0.2
2022-08-25,42,17,1.8,75.3,0.2
2022-08-26,53,29,1.7,81.5,99.0
2022-08-27,50,22,2.5,76.0,0.1
2022-08-28,25,10,3.0,80.0,0.1
2022-08-29,25,10,3.3,63.6,0.1
2022-08-30,38,13,2.0,84.5,99.0
2022-08-31,34,22,2.5,84.7,0.5
2022-09-01,21,17,3.3,84.0,1.1
2022-09-02,13,9,2.1,88.0,2.4
2022-09-03,30,12,2.4,80.5,99.0
2022-09-04,46,20,2.1,81.0,99.0
2022-09-05,46,20,2.0,76.0,0.0
2022-09-06,17,10,2.7,79.6,99.0
2022-09-07,17,11,1.5,82.0,0.2
2022-09-08,17,9,3.0,84.0,99.0
2022-09-09,25,10,2.6,82.0,99.0
2022-09-10,30,10,3.5,68.0,0.0
2022-09-11,38,12,4.0,68.5,99.0
2022-09-12,25,10,4.0,71.0,99.0
2022-09-13,34,13,2.2,76.1,0.3
2022-09-14,50,20,3.1,74.5,0.0
2022-09-15,42,15,2.4,69.0,0.0
2022-09-16,38,14,1.9,68.0,0.0
2022-09-17,34,14,1.5,71.1,99.0
2022-09-18,21,15,2.2,95.9,6.2
2022-09-19,42,30,4.2,85.3,1.3
2022-09-20,30,20,4.5,86.0,1.7
2022-09-21,21,8,3.9,71.5,99.5
2022-09-22,25,10,4.1,67.9,99.0
2022-09-23,25,10,2.5,89.0,2.0
2022-09-24,17,10,2.3,95.2,3.8
2022-09-25,34,13,3.0,74.0,99.0
2022-09-26,42,16,1.5,74.0,0.0
2022-09-27,46,16,2.5,73.8,0.0
2022-09-28,38,12,2.8,62.6,0.0
2022-09-29,46,16,1.3,73.5,99.5
2022-09-30,50,17,2.4,72.3,99.5
2022-10-01,34,12,3.0,66.0,0.0
2022-10-02,42,14,2.0,67.0,0.0
2022-10-03,53,18,1.8,75.0,0.0
2022-10-04,38,16,4.1,72.0,0.0
2022-10-05,25,11,3.0,83.6,0.6
2022-10-06,13,6,3.6,89.0,0.5
2022-10-07,13,5,4.1,91.0,0.3
2022-10-08,17,7,1.7,80.5,99.0
2022-10-09,17,8,3.2,81.0,0.7
2022-10-10,25,10,2.6,91.0,99.5
2022-10-11,30,10,2.5,60.0,0.0
2022-10-12,25,10,3.0,66.0,99.0
2022-10-13,30,11,3.6,88.3,0.3
2022-10-14,17,8,3.6,89.0,0.3
2022-10-15,30,11,3.0,77.0,99.0
2022-10-16,34,13,1.7,78.0,0.0
2022-10-17,42,17,1.1,88.3,99.0
2022-10-18,25,10,3.0,78.9,0.2
2022-10-19,21,8,2.8,68.1,99.0
2022-10-20,25,9,1.6,60.0,0.0
2022-10-21,30,10,2.0,64.0,0.0
2022-10-22,46,14,2.1,70.0,0.0
2022-10-23,55,19,1.4,72.0,0.0
2022-10-24,17,8,3.6,70.0,99.0
2022-10-25,17,7,4.2,59.0,99.0
2022-10-26,17,7,4.1,55.0,99.5
2022-10-27,34,10,1.5,71.0,0.0
2022-10-28,50,16,1.9,70.0,0.0
2022-10-29,34,10,2.5,55.0,0.0
2022-10-30,25,9,1.8,58.0,0.0
2022-10-31,25,9,2.2,69.0,0.0
2022-11-01,25,9,3.0,69.0,99.0
2022-11-02,30,10,1.5,73.6,99.0
2022-11-03,34,10,2.3,67.0,0.0
2022-11-04,34,11,2.6,65.0,99.0
2022-11-05,25,8,2.2,60.0,99.0
2022-11-06,34,10,2.5,66.0,0.0
2022-11-07,38,12,1.2,74.5,0.0
2022-11-08,38,11,1.6,63.0,0.0
2022-11-09,42,13,1.6,58.2,0.0
2022-11-10,53,16,1.9,65.3,0.0
2022-11-11,53,17,2.1,67.0,0.0
2022-11-12,53,17,1.8,76.9,0.0
2022-11-13,38,14,2.8,82.0,99.0
2022-11-14,17,6,3.1,55.3,99.0
2022-11-15,17,6,2.5,86.3,0.5
2022-11-16,21,8,1.6,69.0,0.0
2022-11-17,30,9,2.0,63.0,0.0
2022-11-18,42,12,1.7,69.3,0.0
