Date,pm25,pm10,wind-speed,humidity,precipitation
2022-01-01,6,36,0.7,89.0,0
2022-01-02,3,20,1.0,75.0,0
2022-01-03,1,8,2.5,66.5,0
2022-01-04,1,6,3.0,68.3,0
2022-01-05,1,5,2.5,81.7,0
2022-01-06,1,7,1.0,86.0,0
2022-01-07,1,10,2.0,86.0,0
2022-01-08,1,6,2.5,77.0,0
2022-01-09,1,5,3.0,82.8,0
2022-01-10,2,8,1.0,91.0,0
2022-01-11,2,11,2.0,77.0,0
2022-01-12,2,13,1.8,74.0,0
2022-01-13,3,22,1.0,80.0,0
2022-01-14,4,27,0.7,83.5,0
2022-01-15,6,32,0.7,92.0,0
2022-01-16,3,27,1.2,85.1,0
2022-01-17,3,21,1.0,78.4,0
2022-01-18,2,11,1.8,80.0,0
2022-01-19,2,15,1.5,74.4,0
2022-01-20,1,8,1.8,80.0,0
2022-01-21,2,7,1.0,66.2,0
2022-01-22,2,9,0.5,69.0,0
2022-01-23,3,14,1.2,78.9,0
2022-01-24,2,15,1.0,83.0,0
2022-01-25,3,27,1.0,85.2,0
2022-01-26,3,25,0.7,84.7,0
2022-01-27,3,21,1.3,80.0,0
2022-01-28,2,16,1.2,82.0,0
2022-01-29,3,15,1.7,76.8,0
2022-01-30,1,8,2.0,72.5,0
2022-01-31,1,7,4.1,79.0,0
2022-02-01,1,6,4.6,82.0,0
2022-02-02,1,5,3.2,87.0,0
2022-02-03,2,7,0.8,87.0,0
2022-02-04,2,11,2.6,77.5,0
2022-02-05,1,5,1.5,75.0,0
2022-02-06,1,7,4.8,67.9,0
2022-02-07,1,6,3.6,66.5,0
2022-02-08,2,8,1.2,61.3,0
2022-02-09,3,10,0.7,71.5,0
2022-02-10,3,12,1.2,76.9,0
2022-02-11,1,11,1.2,79.5,0
2022-02-12,2,9,1.0,74.3,0
2022-02-13,2,10,1.0,71.5,0
2022-02-14,3,12,1.0,76.2,0
2022-02-15,1,7,2.1,83.0,0
2022-02-16,1,6,2.8,84.0,0
2022-02-17,1,6,6.6,74.4,0
2022-02-18,2,9,3.1,63.3,0
2022-02-19,1,8,2.3,72.5,0
2022-02-20,1,6,5.6,54.0,0
2022-02-21,1,5,5.4,74.0,0
2022-02-22,1,6,3.8,71.5,0
2022-02-23,1,7,1.5,72.5,0
2022-02-24,2,9,3.5,67.0,0
2022-02-25,1,7,2.3,74.0,0
2022-02-26,1,8,2.5,65.2,0
2022-02-27,1,8,2.3,59.0,0
2022-02-28,2,13,1.0,61.5,0
2022-03-01,3,18,1.0,60.6,0
2022-03-02,4,23,0.5,68.0,0
2022-03-03,4,30,0.7,60.8,0
2022-03-04,3,25,1.8,45.5,0
2022-03-05,3,20,1.8,51.0,0
2022-03-06,3,20,2.0,57.0,0
2022-03-07,2,22,2.8,56.8,0
2022-03-08,3,28,1.2,57.0,0
2022-03-09,5,32,1.0,62.5,0
2022-03-10,4,28,1.1,59.5,0
2022-03-11,3,22,1.0,56.0,0
2022-03-12,4,29,1.3,56.0,0
2022-03-13,4,23,1.2,50.5,0
2022-03-14,1,9,1.8,61.0,0
2022-03-15,3,11,1.0,84.0,0
2022-03-16,3,22,1.5,81.5,0
2022-03-17,3,27,2.0,76.0,0
2022-03-18,3,33,3.8,71.3,0
2022-03-19,3,31,3.6,50.0,0
2022-03-20,0,26,1.2,53.5,0
2022-03-21,2,24,1.3,48.0,0
2022-03-22,3,24,1.0,47.7,0
2022-03-23,4,23,1.0,52.0,0
2022-03-24,3,24,1.0,52.6,0
2022-03-25,3,24,1.6,44.5,0
2022-03-26,4,32,2.3,42.2,0
2022-03-27,3,30,1.0,41.0,0
2022-03-28,3,25,1.1,47.6,0
2022-03-29,3,27,1.3,48.5,0
2022-03-30,2,42,1.6,77.9,0
2022-03-31,1,21,1.5,88.6,0
2022-04-01,2,8,1.5,93.0,0
2022-04-02,2,10,1.2,88.5,0
2022-04-03,1,13,1.8,74.0,0
2022-04-04,2,14,2.0,60.0,0
2022-04-05,2,13,2.3,60.0,0
2022-04-06,2,11,1.8,73.5,0
2022-04-07,1,5,5.9,66.5,0
2022-04-08,1,5,4.6,78.5,0
2022-04-09,1,5,2.6,72.5,0
2022-04-10,1,6,1.2,67.5,0
2022-04-11,2,8,1.2,61.0,0
2022-04-12,3,10,0.8,60.0,0
2022-04-13,3,13,1.0,57.5,0
2022-04-14,2,16,1.1,60.0,0
2022-04-15,2,17,1.5,64.5,0
2022-04-16,1,10,3.0,59.6,0
2022-04-17,1,9,3.3,43.0,0
2022-04-18,1,9,1.8,45.5,0
2022-04-19,2,9,1.0,47.0,0
2022-04-20,1,13,2.5,44.8,0
2022-04-21,2,16,2.5,48.0,0
2022-04-22,3,18,1.7,61.0,0
2022-04-23,3,23,2.0,73.5,0
