Date,pm25,pm10,wind-speed,humidity,precipitation
2022-01-01,17,6,2.0,58.1,0.0
2022-01-02,21,6,2.0,66.9,99.0
2022-01-03,42,11,2.5,62.3,0.0
2022-01-04,57,16,3.6,48.2,0.0
2022-01-05,34,10,2.0,74.5,99.0
2022-01-06,25,7,1.5,84.5,1.1
2022-01-07,25,7,2.0,74.2,0.0
2022-01-08,38,10,2.5,75.9,99.0
2022-01-09,42,10,2.5,65.7,0.0
2022-01-10,65,19,2.0,69.2,0.0
2022-01-11,38,10,4.6,72.1,99.0
2022-01-12,21,7,4.6,49.2,0.0
2022-01-13,34,10,4.1,57.9,99.0
2022-01-14,25,9,3.6,49.2,0.0
2022-01-15,34,10,2.0,69.3,0.0
2022-01-16,30,10,3.0,62.1,99.0
2022-01-17,30,10,3.7,73.1,0.0
2022-01-18,34,10,5.1,61.2,99.0
2022-01-19,21,7,2.5,51.2,0.0
2022-01-20,34,10,4.1,55.0,99.0
2022-01-21,17,5,2.5,56.2,0.0
2022-01-22,34,10,1.5,70.3,99.0
2022-01-23,34,9,1.5,97.3,1.0
2022-01-24,21,7,3.0,69.0,0.5
2022-01-25,21,7,2.5,66.2,0.0
2022-01-26,46,14,3.0,63.1,0.0
2022-01-27,72,23,2.0,61.0,0.0
2022-01-28,72,20,2.5,53.2,0.0
2022-01-29,30,10,1.5,55.2,0.0
2022-01-30,21,8,2.5,54.9,0.0
2022-01-31,34,10,3.0,59.3,99.0
2022-02-01,53,16,4.1,54.2,99.0
2022-02-02,74,24,0.8,70.0,0.0
2022-02-03,38,11,3.6,58.0,99.0
2022-02-04,34,10,3.6,49.1,0.0
2022-02-05,34,10,5.1,47.0,99.0
2022-02-06,25,9,5.1,48.0,0.0
2022-02-07,30,10,2.0,57.9,0.0
2022-02-08,34,10,1.5,73.2,99.0
2022-02-09,21,7,2.0,65.9,0.0
2022-02-10,25,9,2.0,69.0,99.0
2022-02-11,21,8,1.5,61.1,99.0
2022-02-12,34,10,1.0,74.3,0.0
2022-02-13,30,10,3.0,92.1,0.4
2022-02-14,30,9,2.5,72.1,99.0
2022-02-15,34,10,5.7,69.1,0.0
2022-02-16,21,10,5.1,50.1,99.0
2022-02-17,30,10,5.6,51.1,99.0
2022-02-18,25,8,2.0,64.0,0.0
2022-02-19,17,5,2.5,81.2,0.5
2022-02-20,30,10,4.6,50.3,99.0
2022-02-21,25,8,3.6,43.2,0.0
2022-02-22,34,10,4.1,44.0,0.0
2022-02-23,38,11,3.6,59.3,0.0
2022-02-24,30,9,2.5,55.2,0.0
2022-02-25,42,12,2.5,63.2,0.0
2022-02-26,59,18,1.1,65.9,0.0
2022-02-27,59,19,3.6,48.3,0.0
