Date,pm25,pm10,wind-speed,humidity,precipitation,soiling_accumulation,cum_soiling_accumulation,soilingrate
2022-01-01,38,13,3.0,83.0,0,0.0,0.0,0.0
2022-01-02,21,12,3.0,61.0,0,0.008424,0.008424,0.0011517916900460727
2022-01-03,38,21,2.0,56.7,0,0.01004,0.018464,0.0022394250350554284
2022-01-04,17,15,4.1,40.0,0,0.011163,0.029627,0.0033429795914744426
2022-01-05,30,14,4.0,80.0,0,0.0,0.0,0.0
2022-01-06,50,17,3.0,80.1,0,0.0,0.0,0.0
2022-01-07,55,26,2.0,62.3,0,0.013784,0.013784,0.0017481280162429994
2022-01-08,21,10,3.0,59.3,0,0.007913,0.021697,0.0025674891942294347
2022-01-09,38,18,2.0,77.0,0,0.0,0.0,0.0
2022-01-10,34,28,4.0,49.5,0,0.021102,0.021102,0.0025077074036422738
2022-01-11,34,32,3.0,42.6,0,0.016847,0.037949,0.004123097402671151
2022-01-12,30,27,3.0,43.5,0,0.01455,0.052499,0.005427991022619332
2022-01-13,21,23,3.0,50.0,0,0.011232,0.063731,0.006396913789899907
2022-01-14,17,12,5.0,60.4,0,0.012338,0.076069,0.007431519761955552
2022-01-15,21,10,4.0,58.4,0,0.010551,0.08662,0.008295854772955686
2022-01-16,17,12,3.0,38.0,0,0.007403,0.094023,0.00889259751448065
2022-01-17,38,24,2.0,51.8,0,0.010551,0.104574,0.0097308339922387
2022-01-18,30,25,3.0,48.6,0,0.014039,0.118613,0.010826371919789815
2022-01-19,25,10,5.0,87.1,0,0.0,0.0,0.0
2022-01-20,61,22,2.0,84.0,0,0.0,0.0,0.0
2022-01-21,68,24,2.0,89.5,0,0.0,0.0,0.0
2022-01-22,38,14,2.0,72.0,0,0.008849,0.008849,0.0012008411905731955
2022-01-23,21,12,3.0,52.6,0,0.008424,0.017272999999999997,0.0021164154130323323
2022-01-24,17,13,3.0,43.0,0,0.007658,0.024930999999999995,0.0028882383506226507
2022-01-25,21,9,6.0,79.5,0,0.0,0.0,0.0
2022-01-26,46,20,2.0,66.0,0,0.011232,0.011232,0.0014697170425398967
2022-01-27,25,11,4.0,68.4,0,0.012253,0.023485,0.0027456621833009615
2022-01-28,21,14,5.0,49.0,0,0.01489,0.038375,0.004162277551728913
2022-01-29,30,20,4.0,36.2,0,0.017017,0.055392,0.005680350518312427
2022-01-30,38,18,3.0,44.0,0,0.014295,0.069687,0.006899858376640109
