Date,Country,City,Specie,count,min,max,median,variance
2022-01-01,GE,Tbilisi,humidity,96,53.0,75.0,62.5,367.14
2022-01-01,HU,Debrecen,humidity,69,89.2,100.0,100.0,100.78
2022-01-01,HU,Győr,humidity,48,65.0,90.0,74.9,623.42
2022-01-01,HU,Szeged,humidity,24,59.8,100.0,81.1,1403.98
2022-01-01,HU,Pécs,humidity,72,52.2,90.0,74.3,1214.88
2022-01-01,HU,Kecskemét,humidity,48,66.8,97.3,81.0,723.44
2022-01-01,HU,Miskolc,humidity,115,97.2,100.0,100.0,3.42
2022-01-01,HU,Budapest,humidity,360,60.2,97.3,75.1,532.37
2022-01-01,JP,Fukuoka,humidity,428,37.0,96.0,66.1,1999.88
2022-01-01,JP,Kanazawa,humidity,264,61.0,95.2,70.3,1072.02
2022-01-01,JP,Kumamoto,humidity,378,34.2,96.3,70.0,1496.13
2022-01-01,JP,Akita,humidity,44,60.2,87.1,73.0,737.23
2022-01-01,JP,Kochi,humidity,44,33.0,73.2,48.0,1948.59
2022-01-01,JP,Gifu-shi,humidity,154,49.0,96.0,84.4,2962.51
2022-01-01,JP,Kyoto,humidity,598,50.0,98.0,78.2,1265.12
2022-01-01,JP,Hiroshima,humidity,336,33.0,79.0,63.0,1600.14
2022-01-01,JP,Shizuoka,humidity,242,18.1,52.2,37.1,1091.57
2022-01-01,JP,Chiba,humidity,858,15.5,97.0,28.0,1009.09
2022-01-01,JP,Sapporo,humidity,198,42.0,92.0,79.0,1310.84
2022-01-01,JP,Yokohama,humidity,544,12.7,76.0,42.2,2071.17
2022-01-01,JP,Tokyo,humidity,2576,11.3,71.0,29.1,935.5
2022-01-01,JP,Saitama,humidity,504,12.0,68.0,33.5,1470.27
2022-01-01,JP,Naha,humidity,144,48.0,87.0,59.1,721.8
2022-01-01,JP,Nagasaki,humidity,176,40.9,85.2,73.3,1202.84
2022-01-01,JP,Toyama,humidity,164,73.0,97.1,87.0,303.67
2022-01-01,JP,Niigata,humidity,190,52.9,90.1,74.3,851.41
2022-01-01,JP,Nara-shi,humidity,176,50.0,79.2,71.1,750.12
2022-01-01,JP,Okayama,humidity,264,43.0,97.8,64.9,1542.15
2022-01-01,JP,Sendai,humidity,442,70.9,92.1,77.0,494.18
2022-01-01,JP,Osaka,humidity,1486,5.0,98.0,65.1,2154.56
2022-01-01,JP,Miyazaki,humidity,132,25.2,86.3,61.0,3309.87
2022-01-01,JP,Matsuyama,humidity,166,37.0,72.3,59.9,945.48
2022-01-01,JP,Wakayama,humidity,288,48.0,75.0,59.9,381.89
2022-01-01,JP,Takamatsu,humidity,244,42.3,78.8,57.3,536.08
2022-01-01,JP,Nagoya,humidity,766,40.0,100.0,67.0,1948.14
2022-01-01,JP,Ōita,humidity,264,30.1,88.1,58.1,950.98
2022-01-01,JP,Kobe,humidity,432,49.1,98.0,63.1,727.41
2022-01-01,JP,Nagano,humidity,96,59.2,94.9,76.3,1223.89
2022-01-01,JP,Utsunomiya,humidity,420,23.0,66.0,48.1,1749.65
2022-01-01,JP,Kagoshima,humidity,88,50.0,80.0,56.1,1041.37
2022-01-01,SK,Košice,humidity,95,93.8,100.0,98.0,14.03
2022-01-01,SK,Bratislava,humidity,96,62.0,89.0,78.5,542.82
2022-01-01,FI,Vantaa,humidity,24,76.0,100.0,85.0,474.55
2022-01-01,FI,Turku,humidity,72,82.0,96.0,88.5,196.53
2022-01-01,FI,Oulu,humidity,36,92.0,94.0,92.0,3.25
2022-01-01,FI,Helsinki,humidity,118,67.6,98.2,95.0,725.32
2022-01-01,FI,Tampere,humidity,96,82.0,96.0,88.5,159.63
2022-01-01,CH,Zürich,humidity,120,45.1,100.0,89.0,1546.85
2022-01-01,CO,Bogotá,humidity,45,49.0,93.0,76.0,2499.62
2022-01-01,CO,Medellín,humidity,456,60.0,100.0,97.1,549.41
2022-01-01,DK,Copenhagen,humidity,48,83.0,98.0,96.0,142.82
2022-01-01,EC,Quito,humidity,176,43.5,96.5,76.3,2702.25
2022-01-01,GB,Edinburgh,humidity,288,67.0,98.7,79.5,472.18
2022-01-01,GB,Norwich,humidity,17,80.5,91.0,86.1,109.71
2022-01-01,GB,Liverpool,humidity,48,64.0,87.0,76.0,307.92
2022-01-01,GB,Belfast,humidity,120,64.5,93.0,81.0,625.63
2022-01-01,GB,Coventry,humidity,72,80.1,92.7,85.5,114.35
2022-01-01,GB,Leeds,humidity,48,34.5,87.8,60.5,3783.1
2022-01-01,GB,Cardiff,humidity,144,80.0,94.0,91.0,107.09
2022-01-01,GB,Bristol,humidity,72,78.0,94.0,90.0,112.88
2022-01-01,GB,London,humidity,632,32.3,96.6,87.0,644.52
2022-01-01,GB,Birmingham,humidity,48,87.7,96.0,93.0,33.07
2022-01-01,GB,Sheffield,humidity,82,78.4,91.6,85.0,100.16
2022-01-01,GB,Newport,humidity,48,88.7,94.0,91.0,17.44
2022-01-01,GB,Leicester,humidity,24,81.5,93.0,88.0,71.97
2022-01-01,GB,Manchester,humidity,192,59.2,89.7,71.8,288.99
2022-01-01,GB,Reading,humidity,48,80.5,91.6,85.6,135.19
2022-01-01,GB,Plymouth,humidity,33,88.2,98.0,95.0,80.39
2022-01-01,GB,Glasgow,humidity,456,71.0,97.1,85.1,403.28
2022-01-01,GB,Preston,humidity,48,68.8,93.0,85.0,334.38
2022-01-01,GB,Swansea,humidity,144,72.0,93.4,86.2,432.16
2022-01-01,GB,Southend-on-Sea,humidity,48,66.3,93.8,86.3,662.18
2022-01-01,ID,Jakarta,humidity,57,48.1,94.0,68.9,1389.59
2022-01-01,ML,Bamako,humidity,22,9.0,31.0,15.5,378.31
2022-01-01,NP,Kathmandu,humidity,120,39.0,100.0,87.0,3943.23
2022-01-01,NP,Pokhara,humidity,10,65.3,100.0,78.6,2044.33
2022-01-01,NP,Biratnagar,humidity,48,61.1,100.0,85.7,1680.34
2022-01-01,AU,Sydney,humidity,192,49.0,94.0,72.0,1278.57
