wavelength [nm];reflectivity
350.0;0.05778752303549929
360.0;0.0634876548262617
370.0;0.067100242
380.0;0.070491351
390.0;0.07406139538750613
400.0;0.07684313299919003
410.0;0.079399519
420.0;0.08224003270394296
430.0;0.08519545626204476
440.0;0.087980293
450.0;0.09044018699172017
460.0;0.0925813309603608
470.0;0.094430439
480.0;0.09616789301198976
490.0;0.09815668935598289
500.0;0.10057632
510.0;0.10310210273572736
520.0;0.10577802597310133
530.0;0.10876766912644369
540.0;0.11185795399710016
550.0;0.11486773682846829
570.0;0.12030602235312353
593.0;0.12470035142571426
610.0;0.12647667905848117
630.0;0.12776116
656.0;0.12944106859447027
667.6;0.13013708665053303
690.0;0.13178378
710.0;0.13323070179991
718.0;0.13382742080200802
724.4;0.13429461629054837
740.0;0.13545509909269093
752.5;0.1366164754460277
757.5;0.13704560298372984
762.5;0.13747560859718597
767.5;0.13791985853778538
780.0;0.1391378330433478
800.0;0.1408412591598916
816.0;0.14205973119421195
823.7;0.14250295881498815
831.5;0.14282262520263986
840.0;0.14313076114714263
860.0;0.14383774958459167
880.0;0.14418754
905.0;0.14491695108894553
915.0;0.14529154892485374
925.0;0.14566446986289863
930.0;0.14581326955249552
937.0;0.14599502074377024
948.0;0.14634790959389188
965.0;0.14659299130523476
980.0;0.14736765894105297
993.5;0.14832916031028448
1040.0;0.15198655
1070.0;0.15398594377362265
1100.0;0.15581319
1120.0;0.15686023
1130.0;0.15700632
1145.0;0.15589118
1161.0;0.15556036
1170.0;0.15616611
1200.0;0.15874356
1240.0;0.16336966
1270.0;0.16665627
1290.0;0.16797976
1320.0;0.16731834079892008
1350.0;0.16233124
1395.0;0.12667255
1442.5;0.101050025
1462.5;0.10354409785921408
1477.0;0.10866476
1497.0;0.11837606
1520.0;0.13007502
1539.0;0.13906428
1558.0;0.14699386
1578.0;0.154002011309869
1592.0;0.15804644
1610.0;0.16233143
1630.0;0.16599323
1646.0;0.16817901
1678.0;0.17074969
1740.0;0.16599555
1800.0;0.15519868
1860.0;0.1355141
1920.0;0.054236546
1960.0;0.060194194
1985.0;0.068141766
2005.0;0.07544442158428316
2035.0;0.08666537658768247
2065.0;0.09779480110537885
2100.0;0.11000659221755656
2148.0;0.12243299
2198.0;0.12554365
2270.0;0.12189377
2360.0;0.0983639697277544
2450.0;0.074530065
