0,Aasen,Germany,1,47.983,8.55,717
Date (MM/DD/YYYY),Time (HH:MM),GHI (W/m^2),DNI (W/m^2),DHI (W/m^2),Dry-bulb (C),Pressure (mbar),Alb
07/01/2021,00:00:00,0.0,-0.0,0.0,10.325,1013,0.218
07/01/2021,01:00:00,0.0,-0.0,0.0,10.25833,1013,0.218
07/01/2021,02:00:00,0.0,-0.0,0.0,10.44167,1013,0.218
07/01/2021,03:00:00,0.0,-0.0,0.0,10.45833,1013,0.218
07/01/2021,04:00:00,1.3888888888888888,0.0,1.3888888888888888,10.58333,1013,0.218
07/01/2021,05:00:00,28.611111111111107,0.0,28.611111111111107,10.66667,1013,0.218
07/01/2021,06:00:00,79.16666666666667,0.0,79.16666666666667,11.175,1013,0.218
07/01/2021,07:00:00,70.0,0.0,70.0,11.63333,1013,0.218
07/01/2021,08:00:00,91.11111111111113,0.0,91.11111111111113,12.55,1013,0.218
07/01/2021,09:00:00,328.8888888888889,1.780626780626813,327.5,13.71667,1013,0.218
07/01/2021,10:00:00,288.6111111111111,0.645994832041329,288.05555555555554,13.5,1013,0.218
07/01/2021,11:00:00,187.22222222222223,0.6172839506173331,186.66666666666663,14.99167,1013,0.218
07/01/2021,12:00:00,162.77777777777777,0.30864197530863496,162.5,15.775,1013,0.218
07/01/2021,13:00:00,431.3888888888888,97.22222222222213,347.77777777777777,16.10833,1013,0.218
07/01/2021,14:00:00,192.22222222222223,2.492877492877509,190.27777777777777,17.24167,1013,0.218
07/01/2021,15:00:00,333.6111111111111,100.74626865671641,266.1111111111111,16.35833,1013,0.218
07/01/2021,16:00:00,201.38888888888889,8.385744234800915,196.9444444444444,18.1,1013,0.218
07/01/2021,17:00:00,118.6111111111111,1.5015015015014674,118.05555555555556,18.925,1013,0.218
07/01/2021,18:00:00,33.888888888888886,0.0,33.888888888888886,17.89167,1013,0.218
07/01/2021,19:00:00,0.8333333333333334,0.0,0.8333333333333334,17.175,1013,0.218
07/01/2021,20:00:00,0.0,-0.0,0.0,16.24167,1013,0.218
07/01/2021,21:00:00,0.0,-0.0,0.0,15.09167,1013,0.218
07/01/2021,22:00:00,0.0,-0.0,0.0,12.375,1013,0.218
07/01/2021,23:00:00,0.0,-0.0,0.0,9.966667,1013,0.218
07/02/2021,00:00:00,0.0,-0.0,0.0,9.291667,1013,0.218
07/02/2021,01:00:00,0.0,-0.0,0.0,8.758333,1013,0.218
07/02/2021,02:00:00,0.0,-0.0,0.0,9.066667,1013,0.218
07/02/2021,03:00:00,0.2777777777777778,-0.0,0.2777777777777778,7.616667,1013,0.218
07/02/2021,04:00:00,57.50000000000001,462.9629629629631,29.72222222222222,7.0,1013,0.218
07/02/2021,05:00:00,214.16666666666666,437.8306878306878,122.22222222222223,5.908333,1013,0.218
07/02/2021,06:00:00,315.0,451.20120120120123,148.05555555555554,9.158333,1013,0.218
07/02/2021,07:00:00,451.11111111111103,482.1802935010481,195.55555555555554,16.01667,1013,0.218
07/02/2021,08:00:00,545.5555555555557,482.32323232323233,227.22222222222226,18.64167,1013,0.218
07/02/2021,09:00:00,699.7222222222224,647.792022792023,194.44444444444446,19.94167,1013,0.218
07/02/2021,10:00:00,870.2777777777778,770.0258397932818,208.05555555555554,21.35833,1013,0.218
07/02/2021,11:00:00,1008.0555555555557,955.246913580247,148.33333333333334,21.63333,1013,0.218
07/02/2021,12:00:00,956.1111111111111,886.7283950617284,158.05555555555554,22.075,1013,0.218
07/02/2021,13:00:00,914.1666666666666,891.1498708010337,147.77777777777777,22.175,1013,0.218
07/02/2021,14:00:00,707.2222222222222,570.156695156695,262.5,23.51667,1013,0.218
07/02/2021,15:00:00,648.6111111111111,752.0729684908788,144.72222222222223,24.15,1013,0.218
07/02/2021,16:00:00,428.61111111111103,609.5387840670858,105.55555555555556,24.06667,1013,0.218
07/02/2021,17:00:00,258.33333333333337,514.2642642642644,68.05555555555556,23.75,1013,0.218
07/02/2021,18:00:00,57.5,91.26984126984122,38.33333333333334,24.75,1013,0.218
07/02/2021,19:00:00,10.0,13.8888888888889,9.166666666666666,22.65,1013,0.218
07/02/2021,20:00:00,0.0,-0.0,0.0,19.19167,1013,0.218
07/02/2021,21:00:00,0.0,-0.0,0.0,16.74167,1013,0.218
07/02/2021,22:00:00,0.0,-0.0,0.0,10.925,1013,0.218
07/02/2021,23:00:00,0.0,-0.0,0.0,10.16667,1013,0.218
07/03/2021,00:00:00,0.0,-0.0,0.0,9.466666,1013,0.218
07/03/2021,01:00:00,0.0,-0.0,0.0,9.058333,1013,0.218
07/03/2021,02:00:00,0.0,-0.0,0.0,8.15,1013,0.218
07/03/2021,03:00:00,1.1111111111111112,-0.0,1.1111111111111112,7.575,1013,0.218
07/03/2021,04:00:00,72.5,844.4444444444446,30.277777777777775,6.916667,1013,0.218
07/03/2021,05:00:00,233.33333333333331,640.2116402116402,98.88888888888889,6.575,1013,0.218
07/03/2021,06:00:00,361.3888888888889,605.1051051051052,137.5,12.56667,1013,0.218
07/03/2021,07:00:00,549.1666666666666,841.8803418803417,111.38888888888889,17.8,1013,0.218
07/03/2021,08:00:00,719.7222222222222,930.5555555555554,105.55555555555556,20.275,1013,0.218
07/03/2021,09:00:00,696.3888888888889,717.2364672364672,136.94444444444446,21.08333,1013,0.218
07/03/2021,10:00:00,961.9444444444445,949.2894056847546,145.55555555555557,22.81667,1013,0.218
07/03/2021,11:00:00,866.111111111111,687.3456790123455,247.5,24.15833,1013,0.218
07/03/2021,12:00:00,863.0555555555555,550.3086419753087,367.77777777777777,24.75,1013,0.218
07/03/2021,13:00:00,452.7777777777778,80.74935400516804,383.3333333333333,24.85833,1013,0.218
07/03/2021,14:00:00,183.33333333333334,1.7806267806267402,181.94444444444449,25.15,1013,0.218
07/03/2021,15:00:00,103.88888888888889,0.0,103.88888888888889,24.01667,1013,0.218
07/03/2021,16:00:00,47.77777777777778,0.5241090146750539,47.5,21.75833,1013,0.218
07/03/2021,17:00:00,39.72222222222222,0.0,39.72222222222222,18.125,1013,0.218
07/03/2021,18:00:00,8.61111111111111,0.0,8.61111111111111,17.75,1013,0.218
07/03/2021,19:00:00,0.0,0.0,0.0,16.28333,1013,0.218
07/03/2021,20:00:00,0.0,-0.0,0.0,15.275,1013,0.218
07/03/2021,21:00:00,0.0,-0.0,0.0,15.075,1013,0.218
07/03/2021,22:00:00,0.0,-0.0,0.0,14.9,1013,0.218
07/03/2021,23:00:00,0.0,-0.0,0.0,14.80833,1013,0.218
07/04/2021,00:00:00,0.0,-0.0,0.0,14.75833,1013,0.218
07/04/2021,01:00:00,0.0,-0.0,0.0,14.55833,1013,0.218
07/04/2021,02:00:00,0.0,-0.0,0.0,14.14167,1013,0.218
07/04/2021,03:00:00,1.6666666666666667,-0.0,1.6666666666666667,14.11667,1013,0.218
07/04/2021,04:00:00,43.888888888888886,55.55555555555543,41.111111111111114,14.11667,1013,0.218
07/04/2021,05:00:00,64.72222222222221,9.259259259259219,62.77777777777778,14.31667,1013,0.218
07/04/2021,06:00:00,359.1666666666667,614.1141141141142,131.94444444444446,14.5,1013,0.218
07/04/2021,07:00:00,540.2777777777778,667.2008547008547,193.33333333333334,14.76667,1013,0.218
07/04/2021,08:00:00,546.1111111111112,356.9023569023571,310.5555555555555,17.30833,1013,0.218
07/04/2021,09:00:00,362.22222222222223,23.14814814814813,344.1666666666667,19.54167,1013,0.218
07/04/2021,10:00:00,381.3888888888889,3.229974160206777,378.6111111111111,18.4,1013,0.218
07/04/2021,11:00:00,533.0555555555555,89.50617283950616,452.5,18.71667,1013,0.218
07/04/2021,12:00:00,510.27777777777777,26.234567901234477,486.66666666666674,19.59167,1013,0.218
07/04/2021,13:00:00,217.22222222222223,3.5529715762273755,214.16666666666669,21.85,1013,0.218
07/04/2021,14:00:00,217.77777777777777,1.4245014245014285,216.66666666666666,21.74167,1013,0.218
07/04/2021,15:00:00,139.16666666666666,0.4145936981757783,138.88888888888889,21.075,1013,0.218
07/04/2021,16:00:00,61.388888888888886,0.0,61.388888888888886,19.13333,1013,0.218
07/04/2021,17:00:00,104.72222222222223,0.0,104.72222222222223,17.81667,1013,0.218
07/04/2021,18:00:00,77.22222222222223,47.61904761904769,67.22222222222221,15.59167,1013,0.218
07/04/2021,19:00:00,16.944444444444446,13.88888888888887,16.111111111111114,14.425,1013,0.218
07/04/2021,20:00:00,0.0,-0.0,0.0,15.51667,1013,0.218
07/04/2021,21:00:00,0.0,-0.0,0.0,13.60833,1013,0.218
07/04/2021,22:00:00,0.0,-0.0,0.0,13.525,1013,0.218
07/04/2021,23:00:00,0.0,-0.0,0.0,13.5,1013,0.218
07/05/2021,00:00:00,0.0,-0.0,0.0,13.55833,1013,0.218
07/05/2021,01:00:00,0.0,-0.0,0.0,13.18333,1013,0.218
07/05/2021,02:00:00,0.0,-0.0,0.0,12.925,1013,0.218
07/05/2021,03:00:00,0.8333333333333335,-0.0,0.8333333333333335,13.14167,1013,0.218
07/05/2021,04:00:00,16.38888888888889,5.5555555555555,16.111111111111114,13.33333,1013,0.218
07/05/2021,05:00:00,43.888888888888886,0.0,43.888888888888886,12.93333,1013,0.218
07/05/2021,06:00:00,71.66666666666667,0.7507507507507721,71.38888888888889,13.38333,1013,0.218
07/05/2021,07:00:00,115.27777777777777,0.5341880341879947,115.00000000000001,13.84167,1013,0.218
07/05/2021,08:00:00,214.44444444444446,0.0,214.44444444444446,14.30833,1013,0.218
07/05/2021,09:00:00,216.11111111111114,0.0,216.11111111111114,14.94167,1013,0.218
07/05/2021,10:00:00,150.83333333333334,0.0,150.83333333333334,16.26667,1013,0.218
07/05/2021,11:00:00,168.05555555555554,0.0,168.05555555555554,16.83333,1013,0.218
07/05/2021,12:00:00,270.27777777777777,0.0,270.27777777777777,16.64167,1013,0.218
07/05/2021,13:00:00,168.33333333333334,0.0,168.33333333333334,17.15,1013,0.218
07/05/2021,14:00:00,291.3888888888889,13.888888888888937,280.55555555555554,19.26667,1013,0.218
