0,Santa Catarina,Brazil,-3,-27.44,-48.45,6,
Date (MM/DD/YYYY),Time (HH:MM),GHI (W/m^2),DNI (W/m^2),DHI (W/m^2),Dry-bulb (C),Pressure (mbar),Alb
08/01/2022,00:00:00,0,0,0,15.3,1036,0.17
08/01/2022,01:00:00,0,0,0,15.2,1036,0.17
08/01/2022,02:00:00,0,0,0,15.2,1036,0.17
08/01/2022,03:00:00,0,0,0,15.1,1036,0.17
08/01/2022,04:00:00,0,0,0,15,1036,0.17
08/01/2022,05:00:00,0,0,0,14.9,1036,0.17
08/01/2022,06:00:00,0,0,0,14.8,1037,0.17
08/01/2022,07:00:00,0,0,0,14.9,1037,0.17
08/01/2022,08:00:00,103,116,78,15.4,1037,0.17
08/01/2022,09:00:00,262,288,147,16,1037,0.17
08/01/2022,10:00:00,408,372,203,16.7,1037,0.17
08/01/2022,11:00:00,515,419,242,17.6,1037,0.17
08/01/2022,12:00:00,365,81,309,18,1036,0.17
08/01/2022,13:00:00,454,205,312,18.3,1035,0.17
08/01/2022,14:00:00,452,315,255,18.5,1034,0.17
08/01/2022,15:00:00,471,756,87,18.4,1034,0.17
08/01/2022,16:00:00,269,543,81,18.1,1034,0.17
08/01/2022,17:00:00,72,142,51,17.6,1034,0.17
08/01/2022,18:00:00,0,0,0,16.9,1034,0.17
08/01/2022,19:00:00,0,0,0,16.5,1035,0.17
08/01/2022,20:00:00,0,0,0,16.3,1035,0.17
08/01/2022,21:00:00,0,0,0,16,1035,0.17
08/01/2022,22:00:00,0,0,0,15.8,1034,0.17
08/01/2022,23:00:00,0,0,0,15.7,1034,0.17
08/02/2022,00:00:00,0,0,0,15.6,1033,0.17
08/02/2022,01:00:00,0,0,0,15.6,1033,0.17
08/02/2022,02:00:00,0,0,0,15.7,1032,0.17
08/02/2022,03:00:00,0,0,0,15.7,1032,0.17
08/02/2022,04:00:00,0,0,0,15.7,1032,0.17
08/02/2022,05:00:00,0,0,0,15.7,1032,0.17
08/02/2022,06:00:00,0,0,0,15.6,1032,0.17
08/02/2022,07:00:00,0,0,0,15.7,1033,0.17
08/02/2022,08:00:00,168,536,50,16.6,1033,0.17
08/02/2022,09:00:00,361,719,70,17.6,1033,0.17
08/02/2022,10:00:00,526,805,81,18.3,1033,0.17
08/02/2022,11:00:00,642,846,88,19,1033,0.17
08/02/2022,12:00:00,697,861,91,19.5,1032,0.17
08/02/2022,13:00:00,685,853,93,19.8,1031,0.17
08/02/2022,14:00:00,609,826,90,19.7,1030,0.17
08/02/2022,15:00:00,471,749,90,19.3,1030,0.17
08/02/2022,16:00:00,143,40,129,18.7,1030,0.17
08/02/2022,17:00:00,100,330,49,17.6,1031,0.17
08/02/2022,18:00:00,0,0,0,16.7,1031,0.17
08/02/2022,19:00:00,0,0,0,16,1032,0.17
08/02/2022,20:00:00,0,0,0,15.6,1032,0.17
08/02/2022,21:00:00,0,0,0,15.2,1032,0.17
08/02/2022,22:00:00,0,0,0,14.9,1032,0.17
08/02/2022,23:00:00,0,0,0,14.6,1032,0.17
08/03/2022,00:00:00,0,0,0,14.2,1032,0.17
08/03/2022,01:00:00,0,0,0,13.9,1032,0.17
08/03/2022,02:00:00,0,0,0,13.6,1031,0.17
08/03/2022,03:00:00,0,0,0,13.3,1031,0.17
08/03/2022,04:00:00,0,0,0,13.2,1031,0.17
08/03/2022,05:00:00,0,0,0,13,1031,0.17
08/03/2022,06:00:00,0,0,0,12.9,1032,0.17
08/03/2022,07:00:00,0,0,0,13.1,1032,0.17
08/03/2022,08:00:00,174,538,54,14.3,1033,0.17
08/03/2022,09:00:00,371,724,75,15.6,1034,0.17
08/03/2022,10:00:00,541,818,86,16.8,1034,0.17
08/03/2022,11:00:00,661,865,91,17.8,1034,0.17
08/03/2022,12:00:00,719,883,95,18.4,1033,0.17
08/03/2022,13:00:00,709,885,91,18.6,1032,0.17
08/03/2022,14:00:00,632,866,85,18.7,1032,0.17
08/03/2022,15:00:00,498,827,74,18.6,1032,0.17
08/03/2022,16:00:00,316,727,61,18.2,1032,0.17
08/03/2022,17:00:00,114,487,39,17.2,1032,0.17
08/03/2022,18:00:00,0,0,0,16.1,1033,0.17
08/03/2022,19:00:00,0,0,0,15.4,1033,0.17
08/03/2022,20:00:00,0,0,0,14.9,1034,0.17
08/03/2022,21:00:00,0,0,0,14.5,1034,0.17
08/03/2022,22:00:00,0,0,0,14.2,1034,0.17
08/03/2022,23:00:00,0,0,0,14,1035,0.17
08/04/2022,00:00:00,0,0,0,13.8,1034,0.17
08/04/2022,01:00:00,0,0,0,13.7,1034,0.17
08/04/2022,02:00:00,0,0,0,13.5,1034,0.17
08/04/2022,03:00:00,0,0,0,13.4,1033,0.17
08/04/2022,04:00:00,0,0,0,13.3,1033,0.17
08/04/2022,05:00:00,0,0,0,13.3,1034,0.17
08/04/2022,06:00:00,0,0,0,13.3,1034,0.17
08/04/2022,07:00:00,4,0,4,13.7,1035,0.17
08/04/2022,08:00:00,98,73,81,15,1035,0.17
08/04/2022,09:00:00,187,64,161,16.3,1036,0.17
08/04/2022,10:00:00,295,100,239,17.4,1036,0.17
08/04/2022,11:00:00,388,136,298,18.1,1036,0.17
08/04/2022,12:00:00,711,874,90,18.6,1035,0.17
08/04/2022,13:00:00,699,869,91,18.9,1035,0.17
08/04/2022,14:00:00,622,845,87,19,1034,0.17
08/04/2022,15:00:00,174.208440294944,2.88331875419388,172.161238319017,23.7776,1034,0.17
08/04/2022,16:00:00,72.5518952771684,0,72.5518952771684,21.4155,1034,0.17
08/04/2022,17:00:00,20.3799772171604,0,20.3799772171604,18.5,1034,0.17
08/04/2022,18:00:00,0,0,0,18.6081666666667,1035,0.17
08/04/2022,19:00:00,0,0,0,18.1198333333333,1035,0.17
08/04/2022,20:00:00,0,0,0,18.697,1036,0.17
08/04/2022,21:00:00,0,0,0,17.8328333333333,1036,0.17
08/04/2022,22:00:00,0,0,0,18.9878333333333,1036,0.17
08/04/2022,23:00:00,0,0,0,18.0463333333333,1035,0.17
08/05/2022,00:00:00,0,0,0,20.0921666666667,1035,0.17
08/05/2022,01:00:00,0,0,0,21.4378333333333,1035,0.17
08/05/2022,02:00:00,0.6207638783852,0,0.6207638783852,19.6893333333333,1035,0.17
08/05/2022,03:00:00,0,0,0,18.3426666666667,1034,0.17
08/05/2022,04:00:00,1.28724576511952,0,1.28724576511952,16.8366666666667,1034,0.17
08/05/2022,05:00:00,0.513010174683856,0,0.513010174683856,15.2308333333333,1034,0.17
08/05/2022,06:00:00,2.2924315615057,0,2.2924315615057,13.3133333333333,1035,0.17
08/05/2022,07:00:00,167.240808290858,0,167.240808290858,14.7328333333333,1035,0.17
08/05/2022,08:00:00,503.205503227975,0,503.205503227975,26.5346666666667,1036,0.17
08/05/2022,09:00:00,805.602172719298,0,805.602172719298,35.2103333333333,1037,0.17
08/05/2022,10:00:00,1041.4460570713,0,1041.4460570713,40.595,1037,0.17
08/05/2022,11:00:00,1089.1177116873,566.187695269408,956.961602300131,39.613,1037,0.17
08/05/2022,12:00:00,1020.48800239388,717.556810576288,719.693968002635,34.004,1036,0.17
08/05/2022,13:00:00,1144.29428155014,782.946835265887,700.133767662455,33.152,1035,0.17
08/05/2022,14:00:00,952.374477289068,813.579407447911,409.210157242235,30.3105,1034,0.17
08/05/2022,15:00:00,465.702717820172,188.378092993118,331.324873391327,25.2331666666667,1034,0.17
08/05/2022,16:00:00,147.199941908213,0,147.199941908213,18.2791666666667,1034,0.17
08/05/2022,17:00:00,24.3873122284719,0,24.3873122284719,16.0833333333333,1035,0.17
08/05/2022,18:00:00,0,0,0,15.5413333333333,1035,0.17
08/05/2022,19:00:00,0,0,0,16.3466666666667,1036,0.17
08/05/2022,20:00:00,0,0,0,16.013,1036,0.17
08/05/2022,21:00:00,0,0,0,15.0465,1036,0.17
08/05/2022,22:00:00,0,0,0,15.9468333333333,1036,0.17
