0,Santa Catarina,Brazil,-3,-27.44,-48.45,6,
Date (MM/DD/YYYY),Time (HH:MM),GHI (W/m^2),DNI (W/m^2),DHI (W/m^2),Dry-bulb (C),Pressure (mbar),Alb
11/01/2022,00:00:00,0,0,0,0,1025,0.18
11/01/2022,01:00:00,0,0,0,0,1024,0.18
11/01/2022,02:00:00,0,0,0,0,1023,0.18
11/01/2022,03:00:00,0.27866773,0,0.27866773,0,1023,0.18
11/01/2022,04:00:00,0,0,0,0,1023,0.18
11/01/2022,05:00:00,8.738504244,0,8.738504244,17.9625,1023,0.18
11/01/2022,06:00:00,63.33474718,0,63.33474718,0,1024,0.18
11/01/2022,07:00:00,115.3453462,0,115.3453462,0,1024,0.18
11/01/2022,08:00:00,192.3908151,0,192.3908151,19.75714286,1024,0.18
11/01/2022,09:00:00,273.1036129,437.6436045,214.5396004,22.375,1024,0.18
11/01/2022,10:00:00,289.1916706,545.1346986,95.31082011,23.93333333,1024,0.18
11/01/2022,11:00:00,392.6549558,257.9290421,247.9347277,25.3,1024,0.18
11/01/2022,12:00:00,305.1929334,25.50139577,286.4210711,25.325,1023,0.18
11/01/2022,13:00:00,178.4859113,4.790816677,174.3235745,24.31666667,1023,0.18
11/01/2022,14:00:00,248.699402,11.65606854,237.6241987,23.775,1022,0.18
11/01/2022,15:00:00,140.9369742,0.124536906,140.8155966,23.55,1022,0.18
11/01/2022,16:00:00,123.460774,0,123.460774,22.325,1022,0.18
11/01/2022,17:00:00,55.49706332,0,55.49706332,21.43333333,1022,0.18
11/01/2022,18:00:00,4.693338073,0,4.693338073,18.08888889,1022,0.18
11/01/2022,19:00:00,0,0,0,0,1023,0.18
11/01/2022,20:00:00,0,0,0,0,1023,0.18
11/01/2022,21:00:00,0,0,0,0,1023,0.18
11/01/2022,22:00:00,0,0,0,0,1023,0.18
11/01/2022,23:00:00,0,0,0,0,1023,0.18
11/02/2022,00:00:00,0,0,0,0,1022,0.18
11/02/2022,01:00:00,0,0,0,0,1022,0.18
11/02/2022,02:00:00,0,0,0,0,1021,0.18
11/02/2022,03:00:00,0,0,0,0,1021,0.18
11/02/2022,04:00:00,0,0,0,0,1021,0.18
11/02/2022,05:00:00,19.00096302,0,19.00096302,18.07777778,1022,0.18
11/02/2022,06:00:00,465.2671445,0,465.2671445,21.56666667,1022,0.18
11/02/2022,07:00:00,964.7374812,0,964.7374812,34.74166667,1023,0.18
11/02/2022,08:00:00,1305.175339,0,1305.175339,46.34166667,1023,0.18
11/02/2022,09:00:00,1385.704154,442.7377816,1325.341747,48.19166667,1023,0.18
11/02/2022,10:00:00,1433.903279,710.7990791,1179.542588,47.95833333,1023,0.18
11/02/2022,11:00:00,1461.300474,817.6789786,1000.97017,48.34166667,1022,0.18
11/02/2022,12:00:00,1465.182193,869.3101905,823.8666684,48.66666667,1021,0.18
11/02/2022,13:00:00,1437.450135,896.3114116,657.4586131,48.84166667,1021,0.18
11/02/2022,14:00:00,1400.178325,909.4211496,534.9210803,49.38333333,1020,0.18
11/02/2022,15:00:00,953.1912456,557.3828083,409.2705367,44.65,1020,0.18
11/02/2022,16:00:00,1138.982755,1021.77365,176.6713764,43.01666667,1020,0.18
11/02/2022,17:00:00,178.9905153,4.622418889,175.0538629,32.80833333,1020,0.18
11/02/2022,18:00:00,19.15328726,0,19.15328726,23.82727273,1020,0.18
11/02/2022,19:00:00,0,0,0,0,1021,0.18
11/02/2022,20:00:00,0,0,0,0,1021,0.18
11/02/2022,21:00:00,0.208000058,0,0.208000058,0,1022,0.18
