Date (MM/DD/YYYY),Time (HH:MM),nothing,GHI (W/m^2),DNI (W/m^2),DHI (W/m^2),temp_air,Windspeed (m/s),Avg Pressure [mBar],Avg Zenith Angle [degrees],Avg Azimuth Angle [degrees],Air pressure (Pa),Alb
07/04/2023,01:00,0,0.0,0.0,0.0,17.96,60.04,1015.37,-16.043,220.357,101537.0,0.222
07/04/2023,02:00,1,0.0,0.0,0.0,17.245,60.042,1015.614,-15.141,12.649,101561.4,0.222
07/04/2023,03:00,2,0.0,0.0,0.0,17.01,60.042,1015.696,-11.986,26.472,101569.6,0.222
07/04/2023,04:00,3,0.0,0.0,0.0,16.317,60.041,1015.609,-6.857,39.466,101560.9,0.222
07/04/2023,05:00,4,0.0,0.0,0.0,15.524,60.04,1015.663,-0.257,51.364,101566.3,0.222
07/04/2023,06:00,5,8.219,0.0,6.8,15.094,60.041,1015.817,7.783,62.893,101581.7,0.459
07/04/2023,07:00,6,47.775,0.0,41.274,14.955,60.042,1016.046,16.55,73.848,101604.6,0.21
07/04/2023,08:00,7,95.143,345.851,87.886,15.817,60.043,1016.313,25.808,84.872,101631.3,0.199
07/04/2023,09:00,8,333.156,466.272,128.484,16.879,60.046,1016.765,35.225,96.656,101676.5,0.171
07/04/2023,10:00,9,510.908,480.208,207.885,17.738,60.045,1017.06,44.381,110.212,101706.0,0.195
07/04/2023,11:00,10,636.495,522.848,236.163,18.688,60.048,1017.182,52.642,127.083,101718.2,0.197
07/04/2023,12:00,11,691.263,476.943,276.284,20.25,60.045,1017.386,58.932,149.165,101738.6,0.193
07/04/2023,13:00,12,780.4,518.561,287.821,21.295,60.047,1017.272,61.708,176.635,101727.2,0.187
07/04/2023,14:00,13,794.832,446.975,339.305,22.455,60.048,1017.201,59.941,204.858,101720.1,0.19
07/04/2023,15:00,14,748.229,382.064,346.447,23.426,60.046,1016.854,54.316,228.311,101685.4,0.192
07/04/2023,16:00,15,702.157,363.033,350.019,24.325,60.044,1016.477,46.39,246.222,101647.7,0.198
07/04/2023,17:00,16,472.763,306.797,303.201,24.627,60.048,1016.082,37.368,260.382,101608.2,0.199
07/04/2023,18:00,17,357.341,222.75,254.82,24.052,59.053,1015.588,27.964,272.467,101558.8,0.209
07/04/2023,19:00,18,275.762,106.516,213.175,24.499,60.041,1014.985,18.632,283.595,101498.5,0.212
07/04/2023,20:00,19,104.744,57.744,88.073,23.707,60.04,1014.397,9.72,294.506,101439.7,0.196
07/04/2023,21:00,20,23.062,0.0,19.738,22.802,60.04,1013.892,1.563,305.725,101389.2,0.228
07/04/2023,22:00,21,3.623,0.0,0.0,21.908,60.041,1013.746,-5.458,317.576,101374.6,0.374
07/04/2023,23:00,22,0.0,0.0,0.0,21.243,60.04,1013.429,-11.007,330.353,101342.9,0.222
07/04/2023,00:00,23,0.0,0.0,0.0,20.346,60.041,1012.626,-14.681,344.073,101262.6,0.222
07/05/2023,01:00,0,0.0,0.0,0.0,19.284,60.041,1011.907,-16.129,220.313,101190.7,0.222
07/05/2023,02:00,1,0.0,0.0,0.0,18.093,60.041,1011.302,-15.234,12.621,101130.2,0.222
07/05/2023,03:00,2,0.0,0.0,0.0,17.922,60.04,1010.031,-12.092,26.425,101003.1,0.222
07/05/2023,04:00,3,0.0,0.0,0.0,17.548,60.042,1009.355,-7.014,39.345,100935.5,0.222
07/05/2023,05:00,4,0.0,0.0,0.0,17.542,60.04,1008.727,-0.23,51.569,100872.7,0.222
07/05/2023,06:00,5,3.892,0.0,1.406,17.011,60.041,1009.526,7.582,62.778,100952.6,0.594
07/05/2023,07:00,6,27.573,0.0,21.437,15.714,60.042,1010.739,16.461,73.884,101073.9,0.207
07/05/2023,08:00,7,91.269,365.513,77.752,15.706,60.042,1011.266,25.715,84.906,101126.6,0.191
07/05/2023,09:00,8,164.355,424.693,109.746,15.97,60.045,1011.927,35.131,96.693,101192.7,0.172
07/05/2023,10:00,9,153.169,50.028,142.193,15.661,60.043,1012.651,44.286,110.249,101265.1,0.19
07/05/2023,11:00,10,176.715,149.931,153.22,16.124,60.042,1013.454,52.545,127.107,101345.4,0.189
07/05/2023,12:00,11,587.532,505.545,286.828,17.549,60.045,1014.114,58.834,149.152,101411.4,0.188
07/05/2023,13:00,12,545.498,386.348,322.513,18.595,60.045,1014.616,61.616,176.558,101461.6,0.185
07/05/2023,14:00,13,579.387,501.736,274.212,19.528,60.047,1014.917,59.866,204.73,101491.7,0.181
07/05/2023,15:00,14,452.237,404.365,265.212,19.34,60.044,1015.529,54.258,228.172,101552.9,0.181
07/05/2023,16:00,15,567.876,582.749,257.365,19.417,60.047,1015.844,46.344,246.093,101584.4,0.185
07/05/2023,17:00,16,448.615,506.194,244.294,19.867,60.045,1016.164,37.319,260.276,101616.4,0.184
07/05/2023,18:00,17,323.144,108.539,271.551,19.162,60.042,1016.596,27.925,272.362,101659.6,0.192
07/05/2023,19:00,18,196.439,59.391,178.988,19.164,60.043,1017.014,18.59,283.498,101701.4,0.189
07/05/2023,20:00,19,180.272,269.083,116.711,18.978,60.044,1017.361,9.673,294.416,101736.1,0.217
07/05/2023,21:00,20,108.804,342.192,34.293,18.68,60.043,1017.485,1.508,305.64,101748.5,0.261
