0,Cologne,Germany,2,50.935,6.992,53,,,,,,
Date (MM/DD/YYYY),Time (HH:MM),nothing,GHI (W/m^2),DNI (W/m^2),DHI (W/m^2),temp_air,Windspeed (m/s),Avg Zenith Angle [degrees],Avg Azimuth Angle [degrees],Avg Pressure [mBar],Alb
07/04/2023,01:00,0,0.0,0.0,0.0,17.96,60.04,-16.043,220.357,1015.37,0.0
07/04/2023,02:00,1,0.0,0.0,0.0,17.245,60.042,-15.141,12.649,1015.614,0.0
07/04/2023,03:00,2,0.0,0.0,0.0,17.01,60.042,-11.986,26.472,1015.696,0.0
07/04/2023,04:00,3,0.0,0.0,0.0,16.317,60.041,-6.857,39.466,1015.609,0.0
07/04/2023,05:00,4,0.0,0.0,0.0,15.524,60.04,-0.257,51.364,1015.663,0.0
07/04/2023,06:00,5,8.219,0.0,6.8,15.094,60.041,7.783,62.893,1015.817,0.459
07/04/2023,07:00,6,47.775,0.0,41.274,14.955,60.042,16.55,73.848,1016.046,0.21
07/04/2023,08:00,7,95.143,345.851,87.886,15.817,60.043,25.808,84.872,1016.313,0.199
07/04/2023,09:00,8,333.156,466.272,128.484,16.879,60.046,35.225,96.656,1016.765,0.171
07/04/2023,10:00,9,510.908,480.208,207.885,17.738,60.045,44.381,110.212,1017.06,0.195
07/04/2023,11:00,10,636.495,522.848,236.163,18.688,60.048,52.642,127.083,1017.182,0.197
07/04/2023,12:00,11,691.263,476.943,276.284,20.25,60.045,58.932,149.165,1017.386,0.193
07/04/2023,13:00,12,780.4,518.561,287.821,21.295,60.047,61.708,176.635,1017.272,0.187
07/04/2023,14:00,13,794.832,446.975,339.305,22.455,60.048,59.941,204.858,1017.201,0.19
07/04/2023,15:00,14,748.229,382.064,346.447,23.426,60.046,54.316,228.311,1016.854,0.192
07/04/2023,16:00,15,702.157,363.033,350.019,24.325,60.044,46.39,246.222,1016.477,0.198
07/04/2023,17:00,16,472.763,306.797,303.201,24.627,60.048,37.368,260.382,1016.082,0.199
07/04/2023,18:00,17,357.341,222.75,254.82,24.052,59.053,27.964,272.467,1015.588,0.209
07/04/2023,19:00,18,275.762,106.516,213.175,24.499,60.041,18.632,283.595,1014.985,0.212
07/04/2023,20:00,19,104.744,57.744,88.073,23.707,60.04,9.72,294.506,1014.397,0.196
07/04/2023,21:00,20,23.062,0.0,19.738,22.802,60.04,1.563,305.725,1013.892,0.228
07/04/2023,22:00,21,3.623,0.0,0.0,21.908,60.041,-5.458,317.576,1013.746,0.374
07/04/2023,23:00,22,0.0,0.0,0.0,21.243,60.04,-11.007,330.353,1013.429,0.0
07/04/2023,00:00,23,0.0,0.0,0.0,20.346,60.041,-14.681,344.073,1012.626,0.0
07/05/2023,01:00,0,0.0,0.0,0.0,19.284,60.041,-16.129,220.313,1011.907,0.0
07/05/2023,02:00,1,0.0,0.0,0.0,18.093,60.041,-15.234,12.621,1011.302,0.0
07/05/2023,03:00,2,0.0,0.0,0.0,17.922,60.04,-12.092,26.425,1010.031,0.0
07/05/2023,04:00,3,0.0,0.0,0.0,17.548,60.042,-7.014,39.345,1009.355,0.0
07/05/2023,05:00,4,0.0,0.0,0.0,17.542,60.04,-0.23,51.569,1008.727,0.0
07/05/2023,06:00,5,3.892,0.0,1.406,17.011,60.041,7.582,62.778,1009.526,0.594
07/05/2023,07:00,6,27.573,0.0,21.437,15.714,60.042,16.461,73.884,1010.739,0.207
07/05/2023,08:00,7,91.269,365.513,77.752,15.706,60.042,25.715,84.906,1011.266,0.191
07/05/2023,09:00,8,164.355,424.693,109.746,15.97,60.045,35.131,96.693,1011.927,0.172
07/05/2023,10:00,9,153.169,50.028,142.193,15.661,60.043,44.286,110.249,1012.651,0.19
07/05/2023,11:00,10,176.715,149.931,153.22,16.124,60.042,52.545,127.107,1013.454,0.189
07/05/2023,12:00,11,587.532,505.545,286.828,17.549,60.045,58.834,149.152,1014.114,0.188
07/05/2023,13:00,12,545.498,386.348,322.513,18.595,60.045,61.616,176.558,1014.616,0.185
07/05/2023,14:00,13,579.387,501.736,274.212,19.528,60.047,59.866,204.73,1014.917,0.181
07/05/2023,15:00,14,452.237,404.365,265.212,19.34,60.044,54.258,228.172,1015.529,0.181
07/05/2023,16:00,15,567.876,582.749,257.365,19.417,60.047,46.344,246.093,1015.844,0.185
07/05/2023,17:00,16,448.615,506.194,244.294,19.867,60.045,37.319,260.276,1016.164,0.184
07/05/2023,18:00,17,323.144,108.539,271.551,19.162,60.042,27.925,272.362,1016.596,0.192
07/05/2023,19:00,18,196.439,59.391,178.988,19.164,60.043,18.59,283.498,1017.014,0.189
07/05/2023,20:00,19,180.272,269.083,116.711,18.978,60.044,9.673,294.416,1017.361,0.217
07/05/2023,21:00,20,108.804,342.192,34.293,18.68,60.043,1.508,305.64,1017.485,0.261
07/05/2023,22:00,21,7.51,0.0,5.89,17.789,60.041,-5.547,317.545,1018.027,0.363
07/05/2023,23:00,22,0.0,0.0,0.0,16.605,60.04,-11.102,330.341,1019.0,0.0
07/05/2023,00:00,23,0.0,0.0,0.0,15.07,60.041,-14.766,344.033,1019.25,0.0
07/06/2023,01:00,0,0.0,1.88,0.0,14.561,60.041,-16.221,217.173,1019.513,0.0
07/06/2023,02:00,1,0.0,0.0,0.0,14.615,60.04,-15.339,12.553,1019.784,0.0
07/06/2023,03:00,2,0.0,0.705,0.0,14.399,60.043,-12.164,26.52,1019.792,0.0
07/06/2023,04:00,3,0.0,0.0,0.0,13.721,60.04,-7.066,39.449,1019.858,0.0
07/06/2023,05:00,4,0.0,0.623,0.0,13.132,60.04,-0.331,51.587,1019.956,0.0
07/06/2023,06:00,5,7.754,0.844,7.099,12.491,60.041,7.527,62.862,1020.15,0.467
07/06/2023,07:00,6,34.004,0.997,27.306,13.202,60.042,16.358,73.911,1020.467,0.179
07/06/2023,08:00,7,59.634,521.057,48.43,15.105,60.044,25.618,84.946,1020.763,0.22
07/06/2023,09:00,8,353.538,663.825,59.635,16.747,60.047,35.034,96.737,1021.153,0.159
07/06/2023,10:00,9,540.741,743.278,66.869,18.125,60.047,44.187,110.292,1021.509,0.184
07/06/2023,11:00,10,687.729,799.366,68.65,18.79,60.044,52.442,127.138,1021.642,0.188
07/06/2023,12:00,11,799.707,805.542,102.03,20.937,60.049,58.729,149.145,1021.675,0.181
07/06/2023,13:00,12,746.03,675.496,206.329,21.724,60.045,61.518,176.484,1021.574,0.174
07/06/2023,14:00,13,714.725,508.053,290.699,22.707,60.048,59.784,204.601,1021.588,0.178
07/06/2023,15:00,14,745.237,547.598,295.13,23.844,60.048,54.193,228.029,1021.47,0.178
07/06/2023,16:00,15,631.953,553.319,255.915,24.098,60.044,46.291,245.96,1021.208,0.179
07/06/2023,17:00,16,473.249,535.18,214.276,23.25,60.042,37.281,260.147,1021.075,0.183
07/06/2023,18:00,17,456.681,520.84,168.576,23.949,60.045,27.879,272.254,1021.037,0.188
07/06/2023,19:00,18,424.155,625.415,107.373,23.894,60.047,18.541,283.398,1020.792,0.218
07/06/2023,20:00,19,231.181,464.77,54.305,23.746,60.042,9.619,294.322,1020.887,0.244
07/06/2023,21:00,20,100.759,292.427,27.389,23.276,60.041,1.447,305.552,1021.151,0.258
07/06/2023,22:00,21,17.012,113.813,6.248,22.062,60.042,-5.618,317.464,1021.359,0.344
07/06/2023,23:00,22,0.0,0.0,0.0,20.988,60.041,-11.183,330.27,1021.943,0.0
07/06/2023,00:00,23,0.0,0.0,0.0,19.759,60.04,-14.856,343.955,1022.382,0.0
07/07/2023,01:00,0,0.0,0.0,0.0,18.38,60.04,-16.322,220.227,1022.687,0.0
07/07/2023,02:00,1,0.0,0.0,0.0,16.902,60.041,-15.438,12.57,1022.835,0.0
07/07/2023,03:00,2,0.0,0.0,0.0,15.658,60.041,-12.308,26.393,1022.805,0.0
07/07/2023,04:00,3,0.0,0.0,0.0,14.912,60.04,-7.153,39.504,1022.752,0.0
07/07/2023,05:00,4,0.0,0.0,0.0,14.217,60.04,-0.438,51.608,1022.753,0.0
07/07/2023,06:00,5,6.609,0.0,4.436,13.636,60.04,7.492,62.985,1022.992,0.483
07/07/2023,07:00,6,30.637,0.0,21.477,14.46,60.041,16.189,73.87,1023.19,0.189
07/07/2023,08:00,7,55.818,580.132,40.385,16.821,60.045,25.438,84.898,1023.341,0.24
07/07/2023,09:00,8,362.036,691.83,50.86,18.935,60.048,34.932,96.788,1023.408,0.161
07/07/2023,10:00,9,545.698,762.948,56.766,21.369,60.046,44.083,110.343,1023.6,0.188
07/07/2023,11:00,10,687.147,803.844,62.062,23.508,60.048,52.335,127.178,1023.653,0.192
07/07/2023,12:00,11,797.649,830.357,64.926,25.53,60.048,58.619,149.146,1023.481,0.186
07/07/2023,13:00,12,873.177,835.84,69.661,26.903,60.045,61.413,176.414,1023.194,0.18
07/07/2023,14:00,13,903.276,835.763,71.832,27.687,60.045,59.695,204.471,1022.771,0.178
07/07/2023,15:00,14,883.475,826.001,71.277,28.823,60.044,54.122,227.884,1022.345,0.178
07/07/2023,16:00,15,821.336,811.23,71.076,29.364,60.071,46.233,245.823,1022.108,0.182
07/07/2023,17:00,16,715.543,778.217,69.618,30.488,60.043,37.228,260.023,1021.477,0.191
07/07/2023,18:00,17,575.075,716.897,72.169,30.923,60.044,27.828,272.141,1021.119,0.203
07/07/2023,19:00,18,407.559,611.691,68.726,30.669,59.381,18.487,283.294,1020.598,0.22
