0,Golden,Colorado,-7,39.739,-105.172,0,,,,,,
Date (MM/DD/YYYY),Time (HH:MM),nothing,GHI (W/m^2),DNI (W/m^2),DHI (W/m^2),temp_air,Windspeed (m/s),Avg Pressure [mBar],Avg Zenith Angle [degrees],Avg Azimuth Angle [degrees],Air pressure (Pa),Alb
11/01/2019,01:00:00,0,0,0,0,3.05,2.46,815.38,154.13,259.1,81537.83,0.26
11/01/2019,02:00:00,1,0,0,0,2.22,2.9,815.65,152.49,24.37,81565.25,0.26
11/01/2019,03:00:00,2,0,0,0,-1.43,2.48,816.7,145.55,49.5,81669.58,0.26
11/01/2019,04:00:00,3,0,0,0,-0.4,2.56,817.38,135.79,66.72,81737.5,0.26
11/01/2019,05:00:00,4,0,0,0,-1.11,1.98,817.97,124.79,79.3,81796.5,0.26
11/01/2019,06:00:00,5,0,0,0,-1.24,2.02,818.69,113.34,89.6,81869.08,0.26
11/01/2019,07:00:00,6,0,0,0,-1.76,1.41,819.44,101.86,98.99,81943.58,0.820318326
11/01/2019,08:00:00,7,19.8,66.72,15.73,-2.05,2.27,820.01,90.53,108.36,82001.17,0.770226663
11/01/2019,09:00:00,8,61.89,54.89,55.97,-1.45,1.24,820.93,80.07,118.38,82093.33,0.755428987
11/01/2019,10:00:00,9,324.56,776.95,63.6,0.28,1.72,821.9,70.58,129.73,82190.42,0.75588758
11/01/2019,11:00:00,10,463.29,843.3,76.08,-0.02,2.95,822.7,62.66,143,82269.67,0.714284763
11/01/2019,12:00:00,11,591.53,794.24,160.55,0.4,2.51,823.07,57.04,158.49,82306.75,0.63007561
11/01/2019,13:00:00,12,406.89,195.51,293.97,0.08,3.08,823.02,54.48,175.76,82302.08,0.513798434
11/01/2019,14:00:00,13,445.63,152.48,359.1,-0.09,3.38,822.87,55.42,193.43,82287.42,0.421747242
11/01/2019,15:00:00,14,244.17,15.02,236.77,0.38,2.58,822.89,59.69,209.87,82289.08,0.341797722
11/01/2019,16:00:00,15,78.26,0.57,78.05,-0.4,3.14,823.26,66.63,224.17,82326,0.30661563
11/01/2019,17:00:00,16,71.34,1.5,70.92,-0.49,2.67,823.53,75.48,236.35,82353,0.287761844
11/01/2019,18:00:00,17,19.32,1.01,19.24,-0.57,1.98,823.76,85.48,246.9,82375.92,0.237894113
11/01/2019,19:00:00,18,0.49,0,0.49,-1.19,1.35,824.36,96.54,256.47,82435.58,0.273439587
11/01/2019,20:00:00,19,0,0,0,-1.83,1.54,824.57,107.97,265.72,82457.33,0.26
11/01/2019,21:00:00,20,0,0,0,-2.5,1.53,824.64,119.49,275.42,82463.83,0.26
11/01/2019,22:00:00,21,0,0,0,-2.43,2.38,824.59,130.79,286.65,82458.5,0.26
11/01/2019,23:00:00,22,0,0,0,-2.52,3.39,824.47,141.32,301.23,82447.42,0.26
11/01/2019,00:00:00,23,0,0,0,-2.25,2.07,823.99,149.94,322.23,82398.83,0.26
11/02/2019,01:00:00,0,0,0,0,-3.39,2.42,823.68,154.45,259.04,82368.33,0.26
11/02/2019,02:00:00,1,0,0,0,-3.31,2.43,823.14,152.79,24.61,82313.5,0.26
11/02/2019,03:00:00,2,0,0,0,-1.97,2.68,822.34,145.8,49.85,82233.67,0.26
11/02/2019,04:00:00,3,0,0,0,-1.44,2.12,821.68,136,67.06,82167.67,0.26
11/02/2019,05:00:00,4,0,0,0,-1.19,3.02,821.2,124.98,79.61,82120.08,0.26
11/02/2019,06:00:00,5,0,0,0,-1.15,2.47,821.01,113.53,89.88,82101,0.26
11/02/2019,07:00:00,6,0,0,0,-0.25,3.96,820.59,102.06,99.25,82058.58,0.26
11/02/2019,08:00:00,7,12.31,97.83,6.66,0.61,4.06,820.01,90.74,108.6,82001,0.649399542
11/02/2019,09:00:00,8,150.87,679.05,32.3,3.54,3.53,820.06,80.3,118.61,82005.5,0.543873048
11/02/2019,10:00:00,9,327.74,847.6,48.57,3.49,1.84,820.25,70.83,129.95,82025.17,0.407911199
11/02/2019,11:00:00,10,550.9,895.83,144.18,7.04,0.89,819.89,62.93,143.18,81988.92,0.321135967
11/02/2019,12:00:00,11,452.63,445.83,209.72,9.68,0.99,819.65,57.34,158.6,81965.33,0.251268269
11/02/2019,13:00:00,12,419.99,385.23,197.31,9.51,1.32,818.97,54.8,175.79,81897.33,0.220277815
11/02/2019,14:00:00,13,799.13,954.81,261.7,11.58,1.59,818.37,55.73,193.37,81837.42,0.198772707
11/02/2019,15:00:00,14,651.4,916.34,192.63,9.28,2.7,818.07,59.98,209.73,81807.17,0.185050893
11/02/2019,16:00:00,15,396.33,856.46,59.78,6.22,2.04,818.2,66.9,223.99,81820.42,0.11763797
11/02/2019,17:00:00,16,235.94,747.55,49.64,6.03,1.38,818.21,75.71,236.14,81821.08,0.073311521
11/02/2019,18:00:00,17,53.32,276.29,19.36,5.12,1.71,818.03,85.7,246.67,81803,0.209170841
11/02/2019,19:00:00,18,0.42,0,0.42,4.92,2.92,817.6,96.75,256.23,81760.42,0.273439411
11/02/2019,20:00:00,19,0,0,0,5.57,1.46,817.85,108.16,265.46,81784.58,0.26
11/02/2019,21:00:00,20,0,0,0,4.65,1.5,817.55,119.68,275.14,81754.5,0.26
11/02/2019,22:00:00,21,0,0,0,3.35,1.78,817.3,131,286.34,81729.92,0.26
11/02/2019,23:00:00,22,0,0,0,3.59,2.77,817.16,141.55,300.89,81716.33,0.26
11/02/2019,00:00:00,23,0,0,0,1.1,2.65,816.84,150.21,321.93,81683.5,0.26
11/03/2019,01:00:00,0,0,0,0,4.88,3.75,816.21,154.75,258.97,81620.83,0.26
11/03/2019,02:00:00,1,0,0,0,4.95,3.16,815.82,153.08,24.84,81582.33,0.26
11/03/2019,03:00:00,2,0,0,0,3.94,2.92,815.46,146.05,50.2,81546.17,0.26
11/03/2019,04:00:00,3,0,0,0,5.42,2.73,814.9,136.21,67.4,81490.33,0.26
11/03/2019,05:00:00,4,0,0,0,5.21,2.74,814.15,125.18,79.91,81415.25,0.26
11/03/2019,06:00:00,5,0,0,0,5.49,2.81,813.52,113.72,90.16,81352.08,0.26
11/03/2019,07:00:00,6,0,0,0,5.88,1.95,813.3,102.25,99.51,81330.42,0.26
11/03/2019,08:00:00,7,9.61,55.52,6.46,5.06,1.45,813.52,90.95,108.84,81352.42,0.416135282
11/03/2019,09:00:00,8,143.29,635.71,34.44,7.88,1.37,813.65,80.52,118.84,81364.83,0.249429225
