date;time;GHI;DHI
23.09.2020;00:00:00;0;0
23.09.2020;00:10:00;0;0
23.09.2020;00:20:00;0;0
23.09.2020;00:30:00;0;0
23.09.2020;00:40:00;0;0
23.09.2020;00:50:00;0;0
23.09.2020;01:00:00;0;0
23.09.2020;01:10:00;0;0
23.09.2020;01:20:00;0;0
23.09.2020;01:30:00;0;0
23.09.2020;01:40:00;0;0
23.09.2020;01:50:00;0;0
23.09.2020;02:00:00;0;0
23.09.2020;02:10:00;0;0
23.09.2020;02:20:00;0;0
23.09.2020;02:30:00;0;0
23.09.2020;02:40:00;0;0
23.09.2020;02:50:00;0;0
23.09.2020;03:00:00;0;0
23.09.2020;03:10:00;0;0
23.09.2020;03:20:00;0;0
23.09.2020;03:30:00;0;0
23.09.2020;03:40:00;0;0
23.09.2020;03:50:00;0;0
23.09.2020;04:00:00;0;0
23.09.2020;04:10:00;0;0
23.09.2020;04:20:00;0;0
23.09.2020;04:30:00;0;0
23.09.2020;04:40:00;0;0
23.09.2020;04:50:00;0;0
23.09.2020;05:00:00;0;0
23.09.2020;05:10:00;0;0
23.09.2020;05:20:00;0;0
23.09.2020;05:30:00;1.666666667;1.666666667
23.09.2020;05:40:00;8.333333333;8.333333333
23.09.2020;05:50:00;21.66666667;21.66666667
23.09.2020;06:00:00;41.66666667;38.33333333
23.09.2020;06:10:00;60;46.66666667
23.09.2020;06:20:00;53.33333333;41.66666667
23.09.2020;06:30:00;68.33333333;60
23.09.2020;06:40:00;131.6666667;98.33333333
23.09.2020;06:50:00;135;111.6666667
23.09.2020;07:00:00;113.3333333;105
23.09.2020;07:10:00;141.6666667;111.6666667
23.09.2020;07:20:00;190;126.6666667
23.09.2020;07:30:00;251.6666667;136.6666667
23.09.2020;07:40:00;256.6666667;138.3333333
23.09.2020;07:50:00;285;131.6666667
23.09.2020;08:00:00;326.6666667;153.3333333
23.09.2020;08:10:00;350;205
23.09.2020;08:20:00;378.3333333;188.3333333
23.09.2020;08:30:00;381.6666667;156.6666667
23.09.2020;08:40:00;418.3333333;166.6666667
23.09.2020;08:50:00;451.6666667;188.3333333
23.09.2020;09:00:00;508.3333333;220
23.09.2020;09:10:00;530;240
23.09.2020;09:20:00;491.6666667;175
23.09.2020;09:30:00;485;150
23.09.2020;09:40:00;510;165
23.09.2020;09:50:00;518.3333333;170
23.09.2020;10:00:00;545;191.6666667
23.09.2020;10:10:00;528.3333333;190
23.09.2020;10:20:00;563.3333333;220
23.09.2020;10:30:00;503.3333333;268.3333333
23.09.2020;10:40:00;591.6666667;243.3333333
23.09.2020;10:50:00;303.3333333;278.3333333
23.09.2020;11:00:00;526.6666667;326.6666667
23.09.2020;11:10:00;578.3333333;225
23.09.2020;11:20:00;593.3333333;171.6666667
23.09.2020;11:30:00;525;173.3333333
23.09.2020;11:40:00;561.6666667;165
23.09.2020;11:50:00;600;163.3333333
23.09.2020;12:00:00;596.6666667;171.6666667
23.09.2020;12:10:00;601.6666667;218.3333333
23.09.2020;12:20:00;571.6666667;261.6666667
23.09.2020;12:30:00;258.3333333;246.6666667
23.09.2020;12:40:00;251.6666667;236.6666667
23.09.2020;12:50:00;280;243.3333333
23.09.2020;13:00:00;580;248.3333333
23.09.2020;13:10:00;350;218.3333333
23.09.2020;13:20:00;283.3333333;230
23.09.2020;13:30:00;441.6666667;223.3333333
23.09.2020;13:40:00;293.3333333;195
23.09.2020;13:50:00;360;205
23.09.2020;14:00:00;220;188.3333333
23.09.2020;14:10:00;185;161.6666667
23.09.2020;14:20:00;333.3333333;186.6666667
23.09.2020;14:30:00;233.3333333;145
23.09.2020;14:40:00;238.3333333;156.6666667
23.09.2020;14:50:00;331.6666667;148.3333333
23.09.2020;15:00:00;210;140
23.09.2020;15:10:00;138.3333333;113.3333333
23.09.2020;15:20:00;76.66666667;76.66666667
23.09.2020;15:30:00;58.33333333;58.33333333
23.09.2020;15:40:00;56.66666667;53.33333333
23.09.2020;15:50:00;70;61.66666667
23.09.2020;16:00:00;90;88.33333333
23.09.2020;16:10:00;75;71.66666667
23.09.2020;16:20:00;50;50
23.09.2020;16:30:00;35;35
23.09.2020;16:40:00;41.66666667;41.66666667
23.09.2020;16:50:00;35;35
23.09.2020;17:00:00;18.33333333;18.33333333
23.09.2020;17:10:00;8.333333333;8.333333333
23.09.2020;17:20:00;1.666666667;1.666666667
23.09.2020;17:30:00;0;0
23.09.2020;17:40:00;0;0
23.09.2020;17:50:00;0;0
23.09.2020;18:00:00;0;0
23.09.2020;18:10:00;0;0
23.09.2020;18:20:00;0;0
23.09.2020;18:30:00;0;0
23.09.2020;18:40:00;0;0
23.09.2020;18:50:00;0;0
23.09.2020;19:00:00;0;0
23.09.2020;19:10:00;0;0
23.09.2020;19:20:00;0;0
23.09.2020;19:30:00;0;0
23.09.2020;19:40:00;0;0
23.09.2020;19:50:00;0;0
23.09.2020;20:00:00;0;0
23.09.2020;20:10:00;0;0
23.09.2020;20:20:00;0;0
23.09.2020;20:30:00;0;0
23.09.2020;20:40:00;0;0
23.09.2020;20:50:00;0;0
23.09.2020;21:00:00;0;0
23.09.2020;21:10:00;0;0
23.09.2020;21:20:00;0;0
23.09.2020;21:30:00;0;0
23.09.2020;21:40:00;0;0
23.09.2020;21:50:00;0;0
23.09.2020;22:00:00;0;0
23.09.2020;22:10:00;0;0
23.09.2020;22:20:00;0;0
23.09.2020;22:30:00;0;0
23.09.2020;22:40:00;0;0
23.09.2020;22:50:00;0;0
23.09.2020;23:00:00;0;0
23.09.2020;23:10:00;0;0
23.09.2020;23:20:00;0;0
23.09.2020;23:30:00;0;0
23.09.2020;23:40:00;0;0
23.09.2020;23:50:00;0;0
24.09.2020;00:00:00;0;0
24.09.2020;00:10:00;0;0
24.09.2020;00:20:00;0;0
24.09.2020;00:30:00;0;0
24.09.2020;00:40:00;0;0
24.09.2020;00:50:00;0;0
24.09.2020;01:00:00;0;0
24.09.2020;01:10:00;0;0
24.09.2020;01:20:00;0;0
24.09.2020;01:30:00;0;0
24.09.2020;01:40:00;0;0
24.09.2020;01:50:00;0;0
