Wavelength [nm];Reflectivity
300;0.202386793
305;0.206339122
310;0.210134366
315;0.215537947
320;0.220443094
325;0.229342407
330;0.232058039
335;0.237544004
340;0.245764805
345;0.255563333
350;0.263415482
360;0.286779154
370;0.299087239
380;0.315306032
390;0.32830402
400;0.339996914
410;0.34844694
420;0.356191543
430;0.36590415
440;0.375197168
450;0.382291349
460;0.385001924
470;0.3885001
480;0.393520713
490;0.397937012
500;0.405048053
510;0.412575063
520;0.420511932
530;0.427635944
540;0.435327412
550;0.441783827
570;0.45296665
593;0.464717046
610;0.468839942
630;0.475671108
656;0.484996203
667.6;0.491992209
690;0.501608264
710;0.508575031
718;0.513595702
724.4;0.516287355
740;0.523945382
752.5;0.530530517
757.5;0.531568453
762.5;0.533771287
767.5;0.536890774
780;0.542438264
800;0.550386545
816;0.556135683
823.7;0.558277
831.5;0.558703095
840;0.560330764
860;0.56242159
880;0.564604115
905;0.575466093
915;0.57597288
925;0.577601627
930;0.582154504
937;0.580951626
948;0.581156263
965;0.586897252
980;0.588719261
993.5;0.589131135
1040;0.59971412
1070;0.605108146
1100;0.608928005
1120;0.611253402
1130;0.610427633
1145;0.612973421
1161;0.61562717
1170;0.614641147
1200;0.618719069
1240;0.620208013
1270;0.623252083
1290;0.62419373
1320;0.62662513
1350;0.628107417
1395;0.62781747
1442.5;0.625708239
1462.5;0.628808682
1477;0.632234446
1497;0.635382788
1520;0.636041125
1539;0.637455951
1558;0.64162296
1578;0.640220036
1592;0.641530411
1610;0.641136564
1630;0.642760395
1646;0.643900342
1678;0.642302995
1740;0.64397007
1800;0.648459032
1860;0.646227733
1920;0.60757974
1960;0.613331659
1985;0.62399483
2005;0.63101326
2035;0.641648653
2065;0.645675363
2100;0.65483883
2148;0.654941551
2198;0.650141331
2270;0.65368303
2360;0.64861688
2450;0.630832331
2500;0.621390493
2600;0.603959988
2700;0.398281503
2800;0.223693065
2900;0.173319785
