Wavelength [nm];Reflectivity
400;1.0604
401;1.3251
402;1.4971
403;1.4966
404;1.4964
405;1.4966
406;1.627
407;1.6264
408;1.9662
409;2.0937
410;1.961
411;2.0937
412;2.0966
413;2.2674
414;2.3927
415;2.3896
416;2.4318
417;2.4318
418;2.4411
419;2.6228
420;2.6309
421;2.7585
422;3.0993
423;3.3435
424;3.5095
425;3.459
426;3.4547
427;3.6257
428;3.7556
429;3.7753
430;4.0709
431;4.0571
432;4.2321
433;4.3654
434;4.3592
435;4.5449
436;4.7784
437;4.7646
438;4.7509
439;5.0693
440;5.2178
441;5.327
442;4.9949
443;5.319
444;5.493
445;5.4846
446;5.4635
447;5.7609
448;5.7924
449;5.7879
450;6.1678
451;6.1581
452;6.1436
453;6.1533
454;5.8835
455;5.8788
456;6.4646
457;6.4803
458;6.6275
459;6.4332
460;6.3881
461;6.4129
462;6.3564
463;6.5516
464;6.5406
465;6.6923
466;6.6866
467;6.6753
468;6.5132
469;6.6753
470;6.6696
471;6.6753
472;6.9357
473;7.075
474;7.0572
475;6.9357
476;7.2071
477;7.1949
478;7.3157
479;7.6247
480;7.7781
481;7.7781
482;7.7448
483;7.8782
484;7.885
485;8.0906
486;7.8314
487;8.236
488;8.229
489;8.2238
490;8.474
491;8.3083
492;8.4597
493;8.6362
494;9.1099
495;9.0945
496;9.1672
497;9.0454
498;9.1827
499;9.1416
500;9.1416
501;9.2757
502;9.3944
503;9.3327
504;9.592
505;9.5685
506;9.7905
507;9.8598
508;10.0018
509;10.0018
510;10.3284
511;10.5895
512;10.5548
513;10.5117
514;10.646
515;10.7246
516;10.8332
517;10.9862
518;10.9088
519;10.9088
520;11.3564
521;11.4366
522;11.3767
523;11.3676
524;11.4703
525;11.5863
526;11.8647
527;11.9616
528;11.8271
529;11.9521
530;12.0962
531;12.1154
532;12.2601
533;12.464
534;12.6863
535;12.7521
536;12.7421
537;12.782
538;12.8875
539;13.0435
540;13.0741
541;13.2743
542;13.2847
543;13.4311
544;13.515
545;13.5775
546;13.5671
547;13.7236
548;13.974
549;13.9206
550;13.9387
551;13.9883
552;14.048
553;14.2833
554;14.4171
555;14.5402
556;14.7072
557;14.8416
558;14.875
559;14.9048
560;14.963
561;15.0208
562;15.4188
563;15.1925
564;15.4971
565;15.8743
566;15.5699
567;15.8986
568;15.8743
569;15.6249
570;15.7266
571;15.7807
572;15.8399
573;16.2844
574;16.1902
575;16.2076
576;16.258
577;16.0329
578;16.3608
579;16.5785
580;16.903
581;16.6971
582;16.7749
583;16.7227
584;16.8005
585;17.3282
586;17.2256
587;17.2614
588;17.1888
589;17.1494
590;17.1233
591;17.1756
592;17.1625
593;17.0842
594;17.2897
595;17.627
596;17.5377
597;17.7768
598;17.4941
599;17.3889
600;17.7214
601;17.7409
602;17.6955
603;17.6433
604;17.5785
605;17.9627
606;18.074
607;18.074
608;18.0257
609;18.0521
610;18.177
611;18.5575
612;18.2839
613;18.2839
614;18.2839
615;18.562
616;18.7839
617;19.1024
618;18.9193
619;18.9753
620;18.9753
621;18.9333
622;18.6467
623;18.8975
624;18.8837
625;19.1838
626;18.8975
627;19.4234
628;19.4522
629;19.0646
630;19.1903
631;19.5884
632;19.2878
633;19.883
634;19.8976
635;20.0381
636;20.0972
637;19.8369
638;19.7935
639;19.7611
640;19.6471
641;19.6046
642;19.8004
643;19.9684
644;19.954
645;20.1315
646;20.1605
647;20.2853
648;20.6418
649;20.4836
650;20.6719
651;20.3731
652;20.3731
653;20.3731
654;20.4025
655;20.4247
656;20.5054
657;20.3808
658;20.4229
659;20.8892
660;21.0599
661;21.2466
662;21.0448
