Wavelength [nm];Reflectivity
263.59999;0.006383854
268.59999;0.007298917
273.09999;0.003800796
277.1;0.008422152
281.09998;0.005709881
285.09998;0.006936382
289.09999;0.010694597
293.1;0.009186527
297.10001;0.008581641
301.09999;0.007173506
305.09999;0.015440802
309.1;0.01689982
313.09998;0.017410133
317.09999;0.016511571
321.1;0.017503085
325.1;0.016781511
329.10001;0.017138734
333.09999;0.017073702
337.1;0.021586318
341.09998;0.020300938
345.09999;0.018465798
349.09999;0.018239705
353.1;0.022219654
357.10001;0.022845807
360.60002;0.022342872
363.60002;0.023165492
366.60004;0.023552487
369.60003;0.023138652
372.60002;0.022621987
375.60001;0.021322187
378.6;0.024162497
381.09997;0.022558341
383.09997;0.022996176
385.09998;0.023976415
387.09998;0.024536304
389.09999;0.025545117
391.09999;0.026730631
393.09999;0.027932802
395.1;0.028295208
397.1;0.030177856
399.10001;0.031037703
401.09998;0.032410044
403.09998;0.034014765
405.09999;0.035808664
412.80001;0.042378515
415.80001;0.045211531
418.8;0.04808075
421.80002;0.050697915
424.80004;0.053721
427.80003;0.056443311
430.80002;0.058629274
433.80001;0.06162706
436.80003;0.063918658
439.80002;0.065723315
442.80002;0.068006285
445.80001;0.069875613
448.8;0.073824301
451.3;0.076061524
453.3;0.07721103
455.3;0.07852219
457.30001;0.078861162
459.30001;0.079977043
461.29999;0.081230655
463.29999;0.082942702
465.29999;0.083483957
467.3;0.085029081
469.3;0.085618898
471.29998;0.086652063
473.29998;0.087610081
475.29998;0.089148387
477.29999;0.089611098
479.29999;0.090712786
481.3;0.091215499
483.3;0.092167936
485.3;0.093339443
487.30001;0.094393902
489.30001;0.094603948
491.29999;0.095920496
493.29999;0.096545175
495.29999;0.098369375
497.3;0.099126138
499.3;0.10056981
501.29998;0.10155582
503.30001;0.10290978
505.29999;0.1045887
507.30002;0.10643955
509.29999;0.10761456
511.29997;0.11042362
513.3;0.11282746
515.29998;0.11538893
517.30001;0.11815573
519.29998;0.12133211
521.29996;0.12485645
523.29999;0.1279795
525.29997;0.13161764
527.3;0.13427912
529.29997;0.13690713
531.29995;0.13977739
533.29998;0.14204554
535.29996;0.14406684
537.29999;0.14578581
539.29996;0.14770117
541.3;0.14802529
543.30003;0.14944789
545.30001;0.14969221
547.30004;0.15159974
549.30001;0.15163153
551.29999;0.15326448
553.30002;0.15300684
555.3;0.15421815
557.30003;0.1537196
559.30001;0.15379189
561.29998;0.15451382
563.30001;0.15388384
565.29999;0.15385506
567.30002;0.1520936
569.3;0.15173087
571.29997;0.14992863
573.3;0.14881447
575.29998;0.14823082
577.30001;0.14692791
579.29999;0.14803497
581.29996;0.14656255
583.29999;0.14613371
585.29997;0.14557669
587.3;0.14673659
589.29998;0.1466779
591.30001;0.14613311
593.30004;0.14616033
595.30002;0.14594921
597.30005;0.14576122
599.30003;0.14657155
601.10003;0.1468388
602.7;0.14674495
604.30002;0.14772499
605.89999;0.14695197
607.50008;0.14731081
609.10004;0.14719284
610.70001;0.14647034
612.29998;0.14684074
613.90001;0.14719681
615.50003;0.14698936
617.10006;0.14612332
618.70003;0.14676602
620.29999;0.14753333
621.89996;0.14650221
623.50005;0.14679159
625.10002;0.147687
626.69998;0.14748603
628.30001;0.14854607
629.89998;0.14802718
631.69998;0.14866681
633.70001;0.14904842
635.69999;0.14887959
637.70002;0.14917859
639.7;0.14850874
641.70003;0.14896938
643.70006;0.14839968
645.70004;0.14887938
647.70007;0.14787006
649.70005;0.14840013
651.70002;0.14743021
653.70005;0.14811753
655.70003;0.14852773
657.70006;0.14859554
659.70004;0.14879425
661.70001;0.14820947
663.70004;0.14820252
665.70002;0.14879082
667.70005;0.14791301
670.19999;0.14818209
673.20001;0.14789484
676.19997;0.14893684
679.19999;0.14915965
682.19995;0.15034053
685.19998;0.15200418
688.2;0.15339017
691.20002;0.15840511
694.20004;0.16455474
697.20006;0.1730639
700.19996;0.18486491
701.99996;0.19290289
704;0.20143084
705.99997;0.21142229
708;0.21899596
709.99998;0.22957079
711.99995;0.23908582
713.99999;0.2505551
715.99996;0.26059216
717.99999;0.27314529
719.99997;0.2851612
721.99994;0.29876965
723.99998;0.3121773
725.99995;0.32670826
727.99999;0.34145865
729.99996;0.35739183
731.99993;0.37282521
733.99997;0.38823539
735.99994;0.40376601
737.99998;0.41940299
740.00001;0.43288606
741.99998;0.44727144
744.00002;0.46112022
745.99999;0.47314158
748.00003;0.48342484
750.50002;0.49625963
753.50004;0.50831044
756.50001;0.51848501
759.50003;0.52710229
762.49999;0.53342372
765.50001;0.53761435
768.50003;0.54204023
771.49999;0.54485154
774.50001;0.54838789
777.50003;0.55023754
780.99996;0.55119514
784.99997;0.55267143
788.99997;0.55443448
792.99998;0.55629516
