Wavelength [nm];Reflectivity
349.99999;0.057787523
351.00001;0.057791073
352;0.059701767
352.99999;0.06157995
354;0.060434442
354.99999;0.061958108
356.00001;0.063347116
356.99999;0.062517129
358.00001;0.064392611
359;0.064770281
360.00001;0.063487642
361;0.063487001
361.99999;0.064534865
363.00001;0.065045953
363.99999;0.064373866
365.00001;0.064934328
366;0.064819492
367.00001;0.064785942
368;0.066555649
368.99999;0.067145124
370;0.067100242
370.99999;0.067144692
372.00001;0.067502283
373;0.067821264
374.00001;0.068404615
375;0.069443941
375.99999;0.069265373
377;0.069035165
377.99999;0.069477707
379.00001;0.07019195
380;0.070491351
381.00001;0.070802696
382;0.071542263
382.99999;0.071451195
384;0.071651638
384.99999;0.072246581
386.00001;0.072164923
386.99999;0.072232373
388.00001;0.072754063
389;0.073668174
389.99999;0.074061394
391;0.074200146
391.99999;0.074491896
393.00001;0.075300731
393.99999;0.075537212
395.00001;0.075602978
396;0.075934418
397.00001;0.076335579
398;0.07656052
398.99999;0.07664305
400.00001;0.076843135
400.99999;0.077342607
402.00001;0.0777729
403;0.07792455
404.00001;0.078072786
405;0.078328475
405.99999;0.078559145
407.00001;0.078613937
407.99999;0.078926831
409.00001;0.079219639
410;0.079399519
411.00001;0.07968805
412;0.079821825
412.99999;0.080094226
414;0.080680192
414.99999;0.080705114
416.00001;0.080887631
417;0.0813796
418.00001;0.081657544
419;0.081950918
419.99999;0.08224003
421;0.082510427
421.99999;0.08282347
423.00001;0.083098896
423.99999;0.083376125
425.00001;0.08376205
426;0.084005885
426.99999;0.084206656
428;0.084503002
428.99999;0.084921658
430.00001;0.085195459
430.99999;0.085374057
432.00001;0.085697159
433;0.086045675
433.99999;0.086334191
435;0.08654087
435.99999;0.086788096
437.00001;0.087074645
437.99999;0.087373905
439.00001;0.087654747
440;0.087980293
441.00001;0.088266052
442;0.088477425
442.99999;0.088687547
444.00001;0.088956565
444.99999;0.089235902
446.00001;0.0894522
447;0.089670576
448.00001;0.089951023
449;0.090254687
449.99999;0.090440184
451.00001;0.090739362
451.99999;0.091020569
453.00001;0.091155969
454;0.091373064
455.00001;0.091623701
456;0.091842249
456.99999;0.091975749
458;0.092242338
458.99999;0.092477366
460.00001;0.092581332
461;0.092835374
462.00001;0.09308666
463;0.093282849
463.99999;0.093443058
465;0.093627132
465.99999;0.093799874
467.00001;0.093956284
467.99999;0.094175264
469.00001;0.094338857
470;0.094430439
470.99999;0.094512329
472;0.094723523
472.99999;0.094921231
474.00001;0.095046684
474.99999;0.095227145
476.00001;0.095432512
477;0.095634952
477.99999;0.095814735
479;0.09602312
479.99999;0.096167892
481.00001;0.096269093
481.99999;0.096478693
483.00001;0.096699402
484;0.096905939
485.00001;0.097084038
486;0.097242713
486.99999;0.097459137
488.00001;0.097735606
488.99999;0.097992286
490.00001;0.098156691
491;0.098387294
492.00001;0.098733954
493;0.098892786
493.99999;0.099129185
495;0.099425912
495.99999;0.099623576
497.00001;0.099823765
498;0.10005567
499.00001;0.10032271
500;0.10057632
500.99999;0.10078299
501.99997;0.10100451
503.00002;0.1013141
504.00001;0.10158215
505;0.10180014
505.99998;0.10200256
507.00003;0.10226806
508.00002;0.10252497
509;0.10279605
509.99999;0.1031021
510.99998;0.10337567
512.00002;0.1036355
513.00001;0.10389858
514;0.10417576
514.99999;0.10444058
515.99997;0.10471586
517.00002;0.10501394
518.00001;0.10528919
518.99999;0.10553273
519.99998;0.10577802
521.00003;0.10607669
522.00001;0.10635767
523;0.10663781
523.99999;0.1069378
524.99998;0.10725925
526.00002;0.10756928
527.00001;0.10786636
528;0.10816357
528.99998;0.10846256
529.99997;0.10876766
531.00002;0.10907189
532.00001;0.10935361
532.99999;0.10963129
533.99998;0.10993046
535.00003;0.11026642
536.00001;0.11059707
537;0.11092073
537.99999;0.11123968
538.99997;0.1115578
540.00002;0.11185796
541.00001;0.11215597
542;0.11246765
542.99998;0.11278112
544.00003;0.11307661
545.00002;0.11337408
546;0.1137085
546.99999;0.11399708
547.99998;0.11426559
549.00002;0.11455059
550.00001;0.11486774
551;0.11516415
551.99999;0.11544654
552.99997;0.11574487
554.00002;0.11603423
555.00001;0.11633591
555.99999;0.11664958
556.99998;0.11694168
558.00003;0.11724832
559.00002;0.11756335
560;0.11787168
560.99999;0.11817137
561.99998;0.11844727
563.00002;0.11870573
564.00001;0.11896816
565;0.11918607
565.99998;0.11940435
566.99997;0.11965381
568.00002;0.11987099
569.00001;0.12008406
569.99999;0.12030602
570.99998;0.12054133
572.00003;0.12078279
573.00001;0.12101191
574;0.12122604
574.99999;0.12145624
575.99998;0.12170007
577.00002;0.12193521
578.00001;0.12213697
579;0.12233582
579.99998;0.12253807
580.99997;0.12274124
582.00002;0.12293751
583;0.12315059
583.99999;0.12334166
584.99998;0.12348218
586.00003;0.12363459
587.00001;0.12381042
588;0.12398595
588.99999;0.12411702
589.99997;0.12426726
591.00002;0.12441733
592.00001;0.12455333
592.99999;0.12470035
593.99998;0.12484292
595.00003;0.12498013
596.00002;0.12511741
597;0.12525122
597.99999;0.12536161
598.99998;0.12545685
600.00002;0.12558658
601.00001;0.12570132
602;0.12579802
602.99999;0.12588623
603.99997;0.12597562
605.00002;0.12606329
606.00001;0.12614726
606.99999;0.12622695
607.99998;0.1262994
609.00003;0.12638253
610.00001;0.12647668
611;0.12653756
611.99999;0.1266197
612.99998;0.12670873
614.00002;0.12676466
615.00001;0.12684689
616;0.12693575
616.99998;0.12701316
617.99997;0.12707609
619.00002;0.12713124
620;0.12719531
620.99999;0.12727451
621.99998;0.12732683
623.00003;0.12737277
624.00001;0.12742232
625;0.12747294
625.99999;0.12752584
626.99997;0.1275799
628.00002;0.12763506
629.00001;0.12769338
630;0.12776116
630.99998;0.12783363
632.00003;0.12790114
633.00002;0.12797131
634;0.12804279
634.99999;0.12811166
635.99998;0.12817499
637.00002;0.12824938
638.00001;0.12832336
639;0.12838481
639.99999;0.1284571
640.99997;0.12852937
642.00002;0.12859856
643.00001;0.128665
643.99999;0.12871107
644.99998;0.12876077
646.00003;0.12882689
647.00001;0.12888141
648;0.12893754
648.99999;0.12899983
649.99998;0.12906817
651.00002;0.12913495
652.00001;0.12918529
653;0.12922634
653.99998;0.12929492
654.99997;0.12937079
656.00002;0.12944107
657.00001;0.12950224
657.99999;0.12957862
658.99998;0.12965396
660.00003;0.12972215
661.00001;0.12978362
662;0.12983187
662.99999;0.12988114
663.99997;0.12994009
665.00002;0.12999944
666.00001;0.13005354
667;0.13010456
667.99998;0.13015877
669.00003;0.13021803
670.00002;0.13027352
671;0.13032705
671.99999;0.13038935
672.99998;0.13043955
674.00002;0.13049209
675.00001;0.13055776
676;0.13061985
676.99999;0.13068596
677.99997;0.13075557
679.00002;0.13082512
680.00001;0.13089763
680.99999;0.13098495
681.99998;0.13108037
683.00003;0.13115406
684.00002;0.13124129
685;0.1313334
685.99999;0.13141702
686.99998;0.1315012
688.00002;0.13160002
689.00001;0.13170215
690;0.13178378
690.99998;0.13188146
691.99997;0.13199061
693.00002;0.13211353
694.00001;0.1322646
694.99999;0.13236016
695.99998;0.13238223
697.00003;0.13236517
698.00001;0.13241351
699;0.13247827
699.99999;0.13253634
700.99998;0.13259584
702.00002;0.13266671
703.00001;0.13273621
704;0.13279741
704.99998;0.13286452
705.99997;0.13293995
707.00002;0.13301793
708;0.13308834
708.99999;0.13315161
709.99998;0.1332307
711.00003;0.1333207
712.00001;0.13338768
713;0.13344678
713.99999;0.13351768
714.99997;0.13360702
716.00002;0.13368449
717.00001;0.13375528
717.99999;0.13382742
718.99998;0.13390762
720.00003;0.13397995
721.00002;0.13404728
722;0.13411556
722.99999;0.13419187
723.99998;0.13426556
725.00002;0.1343382
726.00001;0.13441023
727;0.13447465
727.99999;0.13453904
728.99997;0.13460976
730.00002;0.13468647
731.00001;0.13474528
731.99999;0.1348094
732.99998;0.134886
734.00003;0.13495967
735.00001;0.13504574
736;0.13512735
736.99999;0.1351952
737.99998;0.13527603
739.00002;0.13536437
740.00001;0.1354551
741;0.13554469
741.99998;0.13564156
742.99997;0.13573496
744.00002;0.13582301
745;0.13591585
745.99999;0.13600861
746.99998;0.13610211
748.00003;0.13619693
749.00001;0.13629076
750;0.13638097
750.99999;0.13647294
751.99997;0.13657187
753.00002;0.13666108
754.00001;0.13674305
755;0.13682489
755.99998;0.13691527
757.00003;0.13700528
758.00002;0.13708593
759;0.13716032
759.99999;0.13725542
760.99998;0.13734381
762.00002;0.13742885
763.00001;0.13752237
764;0.13761018
764.99999;0.13769165
765.99997;0.13777423
767.00002;0.13787112
768.00001;0.1379686
768.99999;0.13806114
769.99998;0.13815078
771.00003;0.13825171
772.00001;0.13834938
773;0.13844687
773.99999;0.13854891
774.99998;0.13864414
776.00002;0.13874529
777.00001;0.13885504
778;0.13896307
778.99998;0.13905139
779.99997;0.13913783
781.00002;0.13923928
782.00001;0.13935454
782.99999;0.1394473
783.99998;0.13952969
785.00003;0.13962246
786.00001;0.13971506
787;0.1398029
787.99999;0.13988841
788.99997;0.13997754
790.00002;0.1400629
791.00001;0.14014453
792;0.14022574
792.99998;0.14031202
794.00003;0.14039379
795.00002;0.14046907
796;0.14054044
796.99999;0.14061414
797.99998;0.14068392
799.00002;0.14075725
800.00001;0.14084126
801;0.14091606
801.99999;0.14099321
802.99997;0.14107296
804.00002;0.14114478
805.00001;0.14121552
805.99999;0.14129294
806.99998;0.14137606
808.00003;0.1414497
809.00002;0.14153266
810;0.14161783
810.99999;0.14169446
811.99998;0.14176765
813.00002;0.14184649
814.00001;0.1419268
815;0.14199634
815.99998;0.14205973
816.99997;0.14211944
818.00002;0.14218076
819.00001;0.14224796
819.99999;0.14230067
820.99998;0.14235349
822.00003;0.1424133
823.00001;0.14245979
824;0.14252146
824.99999;0.14258018
825.99998;0.14261407
827.00002;0.14265144
828.00001;0.14269489
829;0.14273736
829.99998;0.14276747
830.99997;0.14280236
832.00002;0.14284289
833;0.14288495
833.99999;0.14292027
834.99998;0.14295343
836.00003;0.142983
837.00001;0.1430098
838;0.14304125
838.99999;0.14308389
839.99997;0.14313076
841.00002;0.143169
842.00001;0.14319475
842.99999;0.14322813
843.99998;0.14326973
845.00003;0.14330545
846.00002;0.14333583
847;0.14336659
847.99999;0.14340249
848.99998;0.14344215
850.00002;0.14346954
851.00001;0.14350568
852;0.14356074
852.99999;0.14360639
853.99997;0.14364257
855.00002;0.14367828
856.00001;0.14372186
856.99999;0.14375825
857.99998;0.14377712
859.00003;0.14379621
860.00001;0.14383775
861;0.14385863
861.99999;0.14387289
862.99998;0.14389026
864.00002;0.1439116
865.00001;0.14393406
866;0.14396654
866.99998;0.14400062
867.99997;0.14400454
869.00002;0.14403041
870;0.14405243
870.99999;0.14405201
871.99998;0.14407624
873.00003;0.14410493
874.00001;0.14412276
875;0.14412425
875.99999;0.14413804
876.99997;0.14415208
878.00002;0.14415991
879.00001;0.1441649
880;0.14418754
880.99998;0.14421237
882.00003;0.14423136
883.00002;0.14424957
884;0.14426742
884.99999;0.1442845
885.99998;0.14430416
887.00002;0.14433347
888.00001;0.14435004
889;0.1443733
889.99999;0.14441666
890.99997;0.14444576
892.00002;0.14445786
893.00001;0.14448458
893.99999;0.14454804
894.99998;0.14457738
896.00003;0.14460747
897.00001;0.14464746
898;0.14468943
898.99999;0.14473365
899.99998;0.14476241
901.00002;0.14477803
902.00001;0.14480422
903;0.14483714
903.99998;0.14487612
904.99997;0.14491695
906.00002;0.14495325
907.00001;0.14498621
907.99999;0.14501931
908.99998;0.14505386
910.00003;0.14508688
911.00001;0.14513214
912;0.14517489
912.99999;0.14520209
913.99997;0.14523779
915.00002;0.14529155
916.00001;0.14534217
917;0.14536788
917.99998;0.14540876
919.00003;0.14543284
920.00002;0.14544953
921;0.14549109
921.99999;0.14553893
922.99998;0.14559774
924.00002;0.14565076
925.00001;0.14566447
926;0.14565425
926.99999;0.14567183
927.99997;0.14572744
929.00002;0.14576852
930.00001;0.14581327
930.99999;0.1458474
931.99998;0.14586391
933.00003;0.14587624
934.00002;0.14590199
935;0.14593603
935.99999;0.14596756
936.99998;0.14599502
938.00002;0.14603221
939.00001;0.14607786
940;0.14611976
940.99998;0.14614263
941.99997;0.14617522
943.00002;0.14619815
944.00001;0.14619331
944.99999;0.14622949
945.99998;0.14626938
947.00003;0.1463073
948.00001;0.14634791
949;0.14635634
949.99999;0.1463743
950.99998;0.1463981
952.00002;0.14639495
953.00001;0.14640932
954;0.14640465
954.99998;0.14640042
955.99997;0.14645462
957.00002;0.14645357
958;0.14642663
958.99999;0.1464178
959.99998;0.14644746
961.00003;0.14643671
962.00001;0.14646317
963;0.14654203
963.99999;0.14655922
964.99997;0.14659299
966.00002;0.1466365
967.00001;0.14667444
967.99999;0.14670619
968.99998;0.14678082
970.00003;0.14684702
971.00002;0.14687584
972;0.14694269
972.99999;0.14698116
973.99998;0.14703347
975.00002;0.14712432
976.00001;0.14716373
977;0.14722525
977.99999;0.1472856
978.99997;0.14731471
980.00002;0.14736766
981.00001;0.14744784
981.99999;0.1475336
982.99998;0.14759544
984.00003;0.14764595
985.00001;0.14773937
986;0.14784622
986.99999;0.14791363
987.99998;0.14799096
989.00002;0.14806528
990.00001;0.14814474
991;0.14823005
991.99998;0.14826609
992.99997;0.14829813
994.00002;0.14836019
995;0.14846906
995.99999;0.14859608
996.99998;0.14864755
998.00003;0.14866544
999.00001;0.14875998
1000;0.14885838
1001;0.14895366
1002;0.14901003
1003;0.14909397
1003.9999;0.14916843
1005;0.14924753
1006;0.14932859
1007;0.14942844
1008;0.14952207
1008.9999;0.14961553
1010;0.14969601
1011;0.14976427
1012;0.14982139
1013;0.14987929
1014.0001;0.14995342
1015;0.15003552
1016;0.15012994
1017;0.15022463
1018;0.15032133
1019.0001;0.15042357
1020;0.15051113
1021;0.15059499
1022;0.150675
1023;0.15075319
1024;0.15082546
1025;0.15090771
1026;0.15098299
1027;0.1510596
1028;0.15114802
1029;0.15121932
1030;0.15130049
1031;0.15138701
1031.9999;0.15145199
1033;0.151531
1034;0.15160435
1035;0.15166016
1036;0.15172248
1036.9999;0.15178543
1038;0.15184833
1039;0.1519125
1040;0.15198655
1041;0.15205972
1042.0001;0.15213817
1043;0.1522074
1044;0.15226999
1045;0.15234004
1046;0.15239862
1047.0001;0.15246145
1048;0.15252711
1049;0.15259403
1050;0.15266682
1051;0.15273589
1052;0.15280819
1053;0.15287943
1054;0.15292698
1054.9999;0.15298434
1056;0.15306
1057;0.15313701
1058;0.15320803
1059;0.15328884
1059.9999;0.15335514
1061;0.15340105
1062;0.15346214
1063;0.15352969
1064;0.15359326
1065.0001;0.1536639
1066;0.15373547
1067;0.15380047
1068;0.15386248
1069;0.15392368
1070.0001;0.15398595
1071;0.15404905
1072;0.15411246
1073;0.15419073
1074;0.15425137
1075;0.15431282
1076;0.15436293
1077;0.15439147
1077.9999;0.154458
1079;0.15452935
1080;0.15460899
1081;0.15467945
1082;0.15473031
1082.9999;0.15478741
1084;0.15484285
1085;0.15489939
1086;0.15497619
1087;0.15504852
1088.0001;0.15510063
1089;0.15515658
1090;0.15521017
1091;0.15527344
1092;0.15534085
1093.0001;0.1554056
1094;0.1554648
1095;0.15550761
1096;0.15555912
1097;0.1556208
1098;0.15568003
1099;0.15574762
1100;0.15581319
1101;0.15586902
1102;0.15592478
1103;0.15598202
1104;0.15604052
1105;0.15610068
1105.9999;0.15615855
1107;0.15621367
1108;0.15627092
1109;0.15632555
1110;0.15637591
1110.9999;0.15642869
1112;0.15649052
1113;0.15654486
1114;0.15658966
1115;0.15663803
1116.0001;0.15668362
1117;0.15672633
1118;0.15677865
1119;0.15682577
1120;0.15686023
1121.0001;0.15689345
1122;0.15693222
1123;0.15696305
1124;0.15697961
1125;0.15699939
1126;0.157014
1127;0.15701659
1128;0.15701418
1128.9999;0.15701725
1130;0.15700632
1131;0.15697747
1132;0.15694384
1133;0.15690373
1133.9999;0.15685311
1135;0.15679902
1136;0.15673536
1137;0.15665285
1138;0.15656723
1139.0001;0.15647195
1140;0.15637508
1141;0.15628408
1142;0.15618667
1143;0.15608834
1144.0001;0.15598509
1145;0.15589118
1146;0.15580077
1147;0.15571648
1148;0.15564157
1149;0.1555765
1150;0.15550886
1151;0.15545648
1152;0.15543041
1153;0.15540889
1154;0.15538687
1155;0.15538058
1156;0.15538988
1156.9999;0.15540409
1158;0.1554254
1159;0.15546191
1160;0.15550761
1161;0.15556036
1161.9999;0.15561305
1163;0.15567388
1164;0.15573965
1165;0.15580052
1166;0.15586504
1167.0001;0.15594393
1168;0.15602277
1169;0.15609168
1170;0.15616611
1171;0.15625463
1172.0001;0.15633962
1173;0.15641856
1174;0.15650254
1175;0.15658379
1176;0.1566692
1177;0.15676062
1178;0.15684573
1179;0.15692942
1179.9999;0.15700893
1181;0.15708822
1182;0.15716843
1183;0.15724947
1184;0.15732886
1184.9999;0.15740909
1186;0.15749668
1187;0.15758143
1188;0.15765464
1189;0.15773383
1190.0001;0.15782087
1191;0.15790597
1192;0.15799376
1193;0.15808503
1194;0.15817022
1195.0001;0.15825927
1196;0.158355
1197;0.15844741
1198;0.15854326
1199;0.15864427
1200;0.15874356
1201;0.15884095
1202;0.15894496
1202.9999;0.15905467
1204;0.15916227
1205;0.15927413
1206;0.15938874
1207;0.15950097
1207.9999;0.15961109
1209;0.15972278
1210;0.15983757
1211;0.15995702
1212;0.16006854
1213.0001;0.160181
1214;0.16030018
1215;0.16041456
1216;0.16052319
1217;0.16063415
1218.0001;0.16075005
1219;0.16086598
1220;0.16098109
1221;0.16109727
1222;0.16121541
1223;0.16133283
1224;0.16144848
1225;0.16156575
1226;0.16168618
1227;0.16180652
1228;0.16192676
1229;0.16204737
1230;0.16217293
1230.9999;0.16229244
1232;0.16240767
1233;0.16252911
1234;0.1626503
1235;0.16277005
1235.9999;0.16289072
1237;0.16301174
1238;0.16313161
1239;0.16325006
1240;0.16336966
1241.0001;0.16349185
1242;0.16361234
1243;0.1637316
1244;0.1638519
1245;0.16397133
1246.0001;0.16409077
1247;0.16421135
1248;0.16433142
1249;0.16445191
1250;0.16457184
1251;0.16468516
1252;0.16480041
1253;0.16491742
1253.9999;0.16503035
1255;0.16514036
1256;0.1652496
1257;0.16535994
1258;0.16546607
1258.9999;0.16557331
1260;0.16568458
1261;0.16579203
1262;0.16589172
1263;0.16599232
1264.0001;0.16609468
1265;0.16619362
1266;0.16629201
1267;0.16638783
1268;0.16647889
1269.0001;0.16656905
1270;0.16665627
1271;0.16674444
1272;0.16683356
1273;0.1669147
1274;0.16699414
1275;0.16707398
1276;0.16714993
1277;0.16722439
1278;0.16729528
1279;0.16736512
1280;0.16743681
1281;0.16750303
1281.9999;0.16756459
1283;0.16762616
1284;0.16768482
1285;0.16773486
1286;0.16778515
1286.9999;0.16783783
1288;0.16788764
1289;0.16793546
1290;0.16797976
1291;0.16801941
1292.0001;0.16805971
1293;0.16809563
1294;0.1681287
1295;0.16816369
1296;0.1681945
1297.0001;0.16821623
1298;0.1682346
1299;0.16825578
1300;0.16827022
1301;0.16827357
1302;0.16827659
1303;0.1682782
1304;0.16827272
1304.9999;0.16826205
1306;0.16824745
1307;0.16822429
1308;0.16819325
1309;0.16815557
1309.9999;0.16810597
1311;0.16805337
1312;0.16800009
1313;0.16794096
1314;0.16787016
1315.0001;0.16779539
1316;0.16771306
1317;0.16762075
1318;0.16752568
1319;0.16742633
1320.0001;0.16731833
1321;0.16720016
1322;0.16707984
1323;0.16695817
1324;0.16682471
1325;0.16668473
1326;0.16654463
1327;0.16639507
1327.9999;0.16623713
1329;0.16607665
1330;0.16591495
1331;0.16575052
1332;0.16557555
1332.9999;0.16539997
1334;0.16522676
1335;0.16504341
1336;0.16485669
1337;0.1646747
1338.0001;0.16449536
1339;0.16430584
1340;0.16411708
1341;0.16393477
1342;0.16375299
1343.0001;0.16357185
1344;0.16338821
1345;0.16320758
1346;0.16303135
1347;0.16285326
1348;0.16267626
1349;0.16250372
1350;0.16233124
1351;0.16215384
1352;0.16197477
1353;0.16180366
1354;0.16163002
1355;0.16144696
1355.9999;0.16126323
1357;0.16107383
1358;0.1608738
1359;0.160662
1360;0.1604329
1360.9999;0.1601862
1362;0.15992545
1363;0.15964361
1364;0.15933749
1365;0.15901238
1366.0001;0.15865205
1367;0.15825397
1368;0.15783
1369;0.1573637
1370;0.15685751
1371.0001;0.15631577
1372;0.15572429
1373;0.15509431
1374;0.15441091
1375;0.15366392
1376;0.15286894
1377;0.15199836
1378;0.1510542
1378.9999;0.15004772
1380;0.14895989
1381;0.14781629
1382;0.14660461
1383;0.14532243
1383.9999;0.14399235
1385;0.14257817
1386;0.14110167
1387;0.13959733
1388;0.1380402
1389.0001;0.13646406
1390;0.13486777
1391;0.13325579
1392;0.13162059
1393;0.12998015
1394.0001;0.12831937
1395;0.12667255
1396;0.12505464
1397;0.12344941
1398;0.12190264
1399;0.12040644
1400;0.118944
1401;0.11754844
1402;0.11619459
1403;0.11489767
1404;0.11367354
1405;0.11249922
1406;0.11140416
1406.9999;0.11038285
1408;0.10942124
1409;0.10853636
1410;0.1077056
1411;0.10693558
1411.9999;0.1062393
1413;0.10560028
1414;0.10502627
1415;0.10451475
1416;0.10405136
1417.0001;0.10363932
1418;0.10326665
1419;0.10293626
1420;0.10264073
1421;0.10238691
1422.0001;0.10215531
1423;0.10195474
1424;0.10177568
1425;0.10161503
1426;0.10147353
1427;0.10134888
1428;0.10124209
1429;0.10114899
1429.9999;0.10106642
1431;0.10099974
1432;0.10094915
1433;0.10090806
1434;0.10087842
1434.9999;0.10086378
1436;0.10085833
1437;0.10086185
1438;0.10087731
1439;0.1009009
1440.0001;0.10093594
1441;0.10097898
1442;0.1010231
1443;0.10107695
1444;0.10114113
1445.0001;0.10120714
1446;0.10127868
1447;0.10135932
1448;0.10144275
1449;0.10152721
1450;0.10161788
1451;0.10171559
1452;0.10181773
1452.9999;0.10193083
1454;0.10205418
1455;0.10217917
1456;0.10231432
1457;0.10246591
1457.9999;0.10262407
1459;0.10279722
1460;0.102991
1461;0.1032013
1462;0.10342269
1463.0001;0.10366553
1464;0.10392653
1465;0.10420246
1466;0.10449614
1467;0.10480323
1468.0001;0.10513099
1469;0.10547706
1470;0.1058341
1471;0.10620616
1472;0.10658803
1473;0.10698203
1474;0.10738809
1475;0.10779872
1476;0.10822658
1477;0.10866476
1478;0.109107
1479;0.10956156
1480;0.1100174
1480.9999;0.11047672
1482;0.11094278
1483;0.11141185
1484;0.11189301
1485;0.11237863
1485.9999;0.11286919
1487;0.11336806
1488;0.11385919
1489;0.11435232
1490;0.11485293
1491.0001;0.11534657
1492;0.11584564
