0,Cologne,Germany,+2,50.935,6.992,57,
Date (MM/DD/YYYY),Time (HH:MM),GHI (W/m^2),DNI (W/m^2),DHI (W/m^2),Dry-bulb (C),Pressure (mbar),Alb
01/01/2009,00:00:00,0,0,0,1.46,1021.43,
01/01/2009,01:00:00,0,0,0,0.76,1022,
01/01/2009,02:00:00,0,0,0,0.06,1022.56,
01/01/2009,03:00:00,0,0,0,-0.64,1022.56,
01/01/2009,04:00:00,0,0,0,-1.34,1022.56,
01/01/2009,05:00:00,0,0,0,-2.04,1022.56,
01/01/2009,06:00:00,0,0,0,-2.74,1022.93,
01/01/2009,07:00:00,0,0,0,-3.45,1023.29,
01/01/2009,08:00:00,9,0,9,-1.9,1023.65,
01/01/2009,09:00:00,31,0,31,-1.45,1023.69,
01/01/2009,10:00:00,35,0,35,-1,1023.72,
01/01/2009,11:00:00,36,0,36,-0.55,1023.75,
01/01/2009,12:00:00,56,0,56,-0.5,1023.89,
01/01/2009,13:00:00,59,0,59,-0.44,1024.02,
01/01/2009,14:00:00,27,0,27,-0.38,1024.15,
01/01/2009,15:00:00,0,0,0,-0.67,1024.02,
01/01/2009,16:00:00,0,0,0,-0.96,1023.89,
01/01/2009,17:00:00,0,0,0,-1.25,1023.75,
01/01/2009,18:00:00,0,0,0,-1.36,1023.69,
01/01/2009,19:00:00,0,0,0,-1.48,1023.62,
01/01/2009,20:00:00,0,0,0,-1.59,1023.56,
01/01/2009,21:00:00,0,0,0,-1.56,1023.29,
01/01/2009,22:00:00,0,0,0,-1.52,1023.02,
01/01/2009,23:00:00,0,0,0,-1.49,1022.76,
01/02/2009,00:00:00,0,0,0,-1.79,1022.49,
01/02/2009,01:00:00,0,0,0,-2.1,1022.23,
01/02/2009,02:00:00,0,0,0,-2.41,1021.96,
01/02/2009,03:00:00,0,0,0,-2.39,1021.67,
01/02/2009,04:00:00,0,0,0,-2.37,1021.37,
01/02/2009,05:00:00,0,0,0,-2.35,1021.07,
01/02/2009,06:00:00,0,0,0,-1.98,1021.2,
01/02/2009,07:00:00,0,0,0,-1.61,1021.33,
01/02/2009,08:00:00,15.6,40.98,13.1,-1.25,1021.47,
01/02/2009,09:00:00,64.2,78.43,51.2,-0.25,1021.5,
01/02/2009,10:00:00,40,0,40,0.75,1021.53,
01/02/2009,11:00:00,119.4,152.23,77.6,1.75,1021.57,
01/02/2009,12:00:00,50,0,50,1.67,1022.03,
01/02/2009,13:00:00,79,67.75,63.5,1.6,1022.49,
01/02/2009,14:00:00,18,0,18,1.53,1022.96,
01/02/2009,15:00:00,2.2,14.75,1.6,1.11,1023.39,
01/02/2009,16:00:00,0,0,0,0.69,1023.82,
01/02/2009,17:00:00,0,0,0,0.28,1024.25,
01/02/2009,18:00:00,0,0,0,-0.04,1024.58,
01/02/2009,19:00:00,0,0,0,-0.36,1024.91,
01/02/2009,20:00:00,0,0,0,-0.68,1025.25,
01/02/2009,21:00:00,0,0,0,-0.88,1025.28,
01/02/2009,22:00:00,0,0,0,-1.09,1025.31,
01/02/2009,23:00:00,0,0,0,-1.29,1025.35,
01/03/2009,00:00:00,0,0,0,-1.6,1025.21,
01/03/2009,01:00:00,0,0,0,-1.91,1025.08,
01/03/2009,02:00:00,0,0,0,-2.22,1024.95,
01/03/2009,03:00:00,0,0,0,-2.45,1024.65,
01/03/2009,04:00:00,0,0,0,-2.69,1024.35,
01/03/2009,05:00:00,0,0,0,-2.92,1024.05,
01/03/2009,06:00:00,0,0,0,-2.78,1023.95,
01/03/2009,07:00:00,0,0,0,-2.64,1023.85,
01/03/2009,08:00:00,28,97.47,22,-2.51,1023.75,
01/03/2009,09:00:00,73.25,129.66,51.65,-1.8,1023.36,
01/03/2009,10:00:00,201,483.86,85,-1.09,1022.96,
