0,Golden,Colorado,-7,39.739,-105.172,1829
Date (MM/DD/YYYY),Time (HH:MM),GHI (W/m^2),DNI (W/m^2),DHI (W/m^2),Dry-bulb (C),Alb
10/01/2019,01:00:00,0,0,0,8.79,0
10/01/2019,02:00:00,0,0,0,8.89,0
10/01/2019,03:00:00,0,0,0,8.83,0
10/01/2019,04:00:00,0,0,0,8.97,0
10/01/2019,05:00:00,0,0,0,9.06,0
10/01/2019,06:00:00,0,0,0,9.17,0
10/01/2019,07:00:00,7.2,2.1,7.1,9.03,0
10/01/2019,08:00:00,33.96,0.93,33.68,8.44,0
10/01/2019,09:00:00,110.59,0.68,110.3,8.1,0
10/01/2019,10:00:00,154.85,0.51,154.55,8.05,0
10/01/2019,11:00:00,151.45,0.04,151.42,8.02,0
10/01/2019,12:00:00,130.93,0.11,130.85,7.7,0
10/01/2019,13:00:00,106.06,0,106.05,8.09,0
10/01/2019,14:00:00,60.49,0,60.49,7.86,0
10/01/2019,15:00:00,46.05,0.04,46.03,7.76,0
10/01/2019,16:00:00,28.17,0.12,28.12,7.66,0
10/01/2019,17:00:00,13.87,0.37,13.79,7.45,0
10/01/2019,18:00:00,1.89,2.28,1.8,7.34,0
10/01/2019,19:00:00,0,0,0,7.2,0
10/01/2019,20:00:00,0,0,0,7.1,0
10/01/2019,21:00:00,0,0,0,6.84,0
10/01/2019,22:00:00,0,0,0,6.35,0
10/01/2019,23:00:00,0,0,0,5.81,0
10/02/2019,00:00:00,0,0,0,5.41,0
10/02/2019,01:00:00,0,0,0,5.14,0
10/02/2019,02:00:00,0,0,0,4.83,0
10/02/2019,03:00:00,0,0,0,4.64,0
10/02/2019,04:00:00,0,0,0,4.54,0
10/02/2019,05:00:00,0,0,0,4.56,0
10/02/2019,06:00:00,0,0,0,4.64,0
10/02/2019,07:00:00,9.76,2.66,9.62,4.56,0
10/02/2019,08:00:00,68.23,0.33,68.14,4.66,0
10/02/2019,09:00:00,117.71,0.07,117.68,5.11,0
10/02/2019,10:00:00,192.03,0.19,191.92,5.67,0
10/02/2019,11:00:00,215.31,0.02,215.3,6.37,0
10/02/2019,12:00:00,384.33,72.22,331.9,7.97,0
10/02/2019,13:00:00,633.32,431.82,328.85,9.9,0
10/02/2019,14:00:00,663.15,863.41,100.77,11.41,0
10/02/2019,15:00:00,540.73,874,64.03,13.31,0
10/02/2019,16:00:00,375.04,800.73,55.11,14.45,0
10/02/2019,17:00:00,183.01,627.88,40.36,14.21,0
10/02/2019,18:00:00,23.11,126.37,11.07,13.34,0
10/02/2019,19:00:00,0,0,0,10.97,0
10/02/2019,20:00:00,0,0,0,9.15,0
10/02/2019,21:00:00,0,0,0,9.13,0
10/02/2019,22:00:00,0,0,0,9.27,0
10/02/2019,23:00:00,0,0,0,8.94,0
10/03/2019,00:00:00,0,0,0,8.27,0
10/03/2019,01:00:00,0,0,0,7.78,0
10/03/2019,02:00:00,0,0,0,7.33,0
10/03/2019,03:00:00,0,0,0,7.23,0
10/03/2019,04:00:00,0,0,0,7.36,0
10/03/2019,05:00:00,0,0,0,7.46,0
10/03/2019,06:00:00,0.02,0,0.02,7.47,0
10/03/2019,07:00:00,8.01,1.71,7.89,7,0
10/03/2019,08:00:00,71.57,0.03,71.56,6.61,0
10/03/2019,09:00:00,366.59,454.11,149.01,7.83,0
10/03/2019,10:00:00,523.07,694.67,124.45,9.78,0
10/03/2019,11:00:00,749.35,789.94,216.12,11.07,0
10/03/2019,12:00:00,737.12,858.68,121.47,12.32,0
10/03/2019,13:00:00,713.97,870.31,98.03,13.31,0
10/03/2019,14:00:00,641.03,843.58,94.71,14.47,0
10/03/2019,15:00:00,514.91,786.1,89.74,15.36,0
10/03/2019,16:00:00,346.72,675.48,79.8,16.03,0
10/03/2019,17:00:00,160.66,474.44,54.02,15.82,0
10/03/2019,18:00:00,18.43,64.54,12.28,14.4,0
10/03/2019,19:00:00,0,0,0,12.69,0
10/03/2019,20:00:00,0,0,0,12.33,0
10/03/2019,21:00:00,0,0,0,11.79,0
10/03/2019,22:00:00,0,0,0,11.01,0
10/03/2019,23:00:00,0,0,0,10.49,0
10/04/2019,00:00:00,0,0,0,10.14,0
10/04/2019,01:00:00,0,0,0,9.68,0
10/04/2019,02:00:00,0,0,0,9.3,0
10/04/2019,03:00:00,0,0,0,7.47,0
10/04/2019,04:00:00,0,0,0,6.79,0
10/04/2019,05:00:00,0.01,0,0.01,5.97,0
10/04/2019,06:00:00,0.68,0,0.68,5.91,0
10/04/2019,07:00:00,64.21,342.1,21.75,6.44,0
10/04/2019,08:00:00,247.81,725.64,44.69,8.47,0
10/04/2019,09:00:00,426.06,815.75,63.11,10.19,0
10/04/2019,10:00:00,563.64,846.45,73.18,12.71,0
10/04/2019,11:00:00,668.69,889.86,72.65,14.1,0
10/04/2019,12:00:00,715.89,892.77,80,15.35,0
10/04/2019,13:00:00,720.31,885.66,97.7,16.82,0
10/04/2019,14:00:00,226.75,69.47,181.47,17.05,0
10/04/2019,15:00:00,231.8,220.98,121.45,17.39,0
10/04/2019,16:00:00,369.15,733.66,82.55,19.4,0
10/04/2019,17:00:00,169.94,573.24,45.89,19.55,0
10/04/2019,18:00:00,17.71,79.15,10.26,17.75,0
10/04/2019,19:00:00,0,0,0,16.54,0
10/04/2019,20:00:00,0,0,0,17.97,0
10/04/2019,21:00:00,0,0,0,20.51,0
10/04/2019,22:00:00,0,0,0,17.97,0
10/04/2019,23:00:00,0,0,0,15.92,0
10/05/2019,00:00:00,0,0,0,14.26,0
10/05/2019,01:00:00,0,0,0,11.68,0
10/05/2019,02:00:00,0,0,0,9.93,0
10/05/2019,03:00:00,0,0,0,9.09,0
10/05/2019,04:00:00,0,0,0,8.55,0
10/05/2019,05:00:00,0,0,0,10.34,0
10/05/2019,06:00:00,0.42,0,0.42,11.3,0
10/05/2019,07:00:00,50.84,114.96,40.44,11.44,0
10/05/2019,08:00:00,109.19,3.91,108.34,9.08,0
10/05/2019,09:00:00,321.66,284.16,185.04,9.62,0
10/05/2019,10:00:00,591.17,801.78,129.54,11.47,0
10/05/2019,11:00:00,604.11,482.31,286.24,12.07,0
10/05/2019,12:00:00,811.31,713.36,306.13,13.52,0
10/05/2019,13:00:00,765.93,740.8,249.67,14.6,0
10/05/2019,14:00:00,648.62,840.07,112.22,15.45,0
10/05/2019,15:00:00,522.86,819.33,89.93,16.14,0
10/05/2019,16:00:00,364.17,765.79,70.06,17.08,0
10/05/2019,17:00:00,174.07,553.47,55.48,17.26,0
10/05/2019,18:00:00,20.86,63.39,15.05,15.31,0
10/05/2019,19:00:00,0,0,0,14.1,0
10/05/2019,20:00:00,0,0,0,12.72,0
