1691,Goettingen,Niedersachsen,0,9.9507,51.5002,167

DNI (W/m^2),GHI (W/m^2),Date (MM/DD/YYYY),Time (HH:MM),DHI (W/m^2),Dry-bulb (C),Alb

,,01/04/2019,00:00,,,0.25

0,0,01/04/2019,01:00,0,,0.25

0,0,01/04/2019,02:00,0,,0.25

0,0,01/04/2019,03:00,0,,0.25

0,0,01/04/2019,04:00,0,,0.25

0,0,01/04/2019,05:00,0,,0.25

0,0,01/04/2019,06:00,0,,0.25

0,0,01/04/2019,07:00,0,,0.25

0,0,01/04/2019,08:00,0,,0.25

8,0556,22,3765,01/04/2019,09:00,14,321,,0.25

23,3333,64,8149,01/04/2019,10:00,41,4815,,0.25

13,0556,36,2654,01/04/2019,11:00,23,2098,,0.25

6,9445,19,29,01/04/2019,12:00,12,3458,,0.25

6,9445,19,29,01/04/2019,13:00,12,3457,,0.25

9,1667,25,4628,01/04/2019,14:00,16,2963,,0.25

5,5556,15,432,01/04/2019,15:00,9,8765,,0.25

0,2778,0,7716,01/04/2019,16:00,0,4938,,0.25

0,0,01/04/2019,17:00,0,,0.25

0,0,01/04/2019,18:00,0,,0.25

0,0,01/04/2019,19:00,0,,0.25

0,0,01/04/2019,20:00,0,,0.25

0,0,01/04/2019,21:00,0,,0.25

0,0,01/04/2019,22:00,0,,0.25

0,0,01/04/2019,23:00,0,,0.25

0,0,01/05/2019,00:00,0,,0.25

0,0,01/05/2019,01:00,0,,0.25

0,0,01/05/2019,02:00,0,,0.25

0,0,01/05/2019,03:00,0,,0.25

0,0,01/05/2019,04:00,0,,0.25

0,0,01/05/2019,05:00,0,,0.25

0,0,01/05/2019,06:00,0,,0.25

0,0,01/05/2019,07:00,0,,0.25

3,8889,10,8024,01/05/2019,08:00,6,9135,,0.25

24,7222,68,673,01/05/2019,09:00,43,9506,,0.25

35,2779,97,9938,01/05/2019,10:00,62,7161,,0.25

65,0001,180,5556,01/05/2019,11:00,115,5555,,0.25

76,9446,213,7346,01/05/2019,12:00,136,7902,,0.25

51,9445,144,2901,01/05/2019,13:00,92,3457,,0.25

34,4445,95,679,01/05/2019,14:00,61,2345,,0.25

7,2222,20,0617,01/05/2019,15:00,12,8396,,0.25

0,0,01/05/2019,16:00,0,,0.25

0,0,01/05/2019,17:00,0,,0.25

0,0,01/05/2019,18:00,0,,0.25

0,0,01/05/2019,19:00,0,,0.25

0,0,01/05/2019,20:00,0,,0.25

0,0,01/05/2019,21:00,0,,0.25

0,0,01/05/2019,22:00,0,,0.25

0,0,01/05/2019,23:00,0,,0.25

0,0,01/06/2019,00:00,0,,0.25

0,0,01/06/2019,01:00,0,,0.25

0,0,01/06/2019,02:00,0,,0.25

0,0,01/06/2019,03:00,0,,0.25

0,0,01/06/2019,04:00,0,,0.25

0,0,01/06/2019,05:00,0,,0.25

0,0,01/06/2019,06:00,0,,0.25

0,0,01/06/2019,07:00,0,,0.25

0,0,01/06/2019,08:00,0,,0.25

8,3334,23,148,01/06/2019,09:00,14,8148,,0.25

24,7223,68,673,01/06/2019,10:00,43,9506,,0.25

44,1667,122,6851,01/06/2019,11:00,78,5186,,0.25

56,3888,156,636,01/06/2019,12:00,100,2469,,0.25

59,4444,165,1236,01/06/2019,13:00,105,6791,,0.25

46,3889,128,858,01/06/2019,14:00,82,4692,,0.25

32,5,90,2778,01/06/2019,15:00,57,7778,,0.25

4,1667,11,574,01/06/2019,16:00,7,4073,,0.25

0,0,01/06/2019,17:00,0,,0.25

0,0,01/06/2019,18:00,0,,0.25

0,0,01/06/2019,19:00,0,,0.25

0,0,01/06/2019,20:00,0,,0.25

0,0,01/06/2019,21:00,0,,0.25

0,0,01/06/2019,22:00,0,,0.25

0,0,01/06/2019,23:00,0,,0.25

0,0,01/07/2019,00:00,0,,0.25

0,0,01/07/2019,01:00,0,0,5,0.25

0,0,01/07/2019,02:00,0,0,92,0.25

0,0,01/07/2019,03:00,0,1,1,0.25

0,0,01/07/2019,04:00,0,1,12,0.25

0,0,01/07/2019,05:00,0,1,18,0.25

0,0,01/07/2019,06:00,0,1,55,0.25

0,0,01/07/2019,07:00,0,1,95,0.25

0,0,01/07/2019,08:00,0,2,12,0.25

3,8889,10,8024,01/07/2019,09:00,6,9136,2,45,0.25

23,8889,66,3581,01/07/2019,10:00,42,4691,3,13,0.25

38,3335,106,4814,01/07/2019,11:00,68,1481,3,88,0.25

65,2778,181,3272,01/07/2019,12:00,116,0493,4,52,0.25

67,2223,186,7283,01/07/2019,13:00,119,5063,5,1,0.25

46,6667,129,6295,01/07/2019,14:00,82,9631,5,2,0.25

26,6666,74,0742,01/07/2019,15:00,47,4074,5,38,0.25

2,7778,7,716,01/07/2019,16:00,4,9383,4,73,0.25

0,0,01/07/2019,17:00,0,4,62,0.25

0,0,01/07/2019,18:00,0,4,47,0.25

0,0,01/07/2019,19:00,0,3,72,0.25

0,0,01/07/2019,20:00,0,3,8,0.25

0,0,01/07/2019,21:00,0,4,67,0.25

0,0,01/07/2019,22:00,0,5,15,0.25

0,0,01/07/2019,23:00,0,5,4,0.25

0,0,01/08/2019,00:00,0,5,43,0.25

0,0,01/08/2019,01:00,0,5,98,0.25

0,0,01/08/2019,02:00,0,5,25,0.25

0,0,01/08/2019,03:00,0,5,58,0.25

0,0,01/08/2019,04:00,0,5,68,0.25

0,0,01/08/2019,05:00,0,5,82,0.25

0,0,01/08/2019,06:00,0,5,75,0.25

0,0,01/08/2019,07:00,0,5,32,0.25

0,2778,0,7716,01/08/2019,08:00,0,4938,5,32,0.25

5,2778,14,6604,01/08/2019,09:00,9,3828,5,25,0.25

9,4445,26,2344,01/08/2019,10:00,16,7901,5,47,0.25

27,5001,76,3888,01/08/2019,11:00,48,8889,5,93,0.25

12,4999,34,7222,01/08/2019,12:00,22,2223,6,55,0.25

17,2222,47,8394,01/08/2019,13:00,30,6173,7,0.25

38,3333,106,4815,01/08/2019,14:00,68,1483,7,63,0.25

22,5,62,5,01/08/2019,15:00,40,7,78,0.25

0,2778,0,7716,01/08/2019,16:00,0,4938,7,63,0.25

0,0,01/08/2019,17:00,0,7,67,0.25

0,0,01/08/2019,18:00,0,7,45,0.25

0,0,01/08/2019,19:00,0,7,52,0.25

0,0,01/08/2019,20:00,0,7,7,0.25

0,0,01/08/2019,21:00,0,7,63,0.25

0,0,01/08/2019,22:00,0,7,48,0.25

0,0,01/08/2019,23:00,0,7,47,0.25

0,0,01/09/2019,00:00,0,7,43,0.25

0,0,01/09/2019,01:00,0,7,47,0.25

0,0,01/09/2019,02:00,0,7,37,0.25

0,0,01/09/2019,03:00,0,7,35,0.25

0,0,01/09/2019,04:00,0,7,6,0.25

0,0,01/09/2019,05:00,0,7,72,0.25

0,0,01/09/2019,06:00,0,7,87,0.25

0,0,01/09/2019,07:00,0,8,4,0.25

1,1111,3,0864,01/09/2019,08:00,1,9753,8,73,0.25

11,3889,31,6357,01/09/2019,09:00,20,2469,8,95,0.25

23,8889,66,3582,01/09/2019,10:00,42,4692,9,25,0.25

