,Date,HOUR-MST,Avg Global Horizontal [W/m^2],Direct (beam) normal Irradiance (W/m2),Diffuse horizontal irradiance (W/m2),Dry bulb temperature (deg. C),Windspeed (m/s),Avg Pressure [mBar],Avg Zenith Angle [degrees],Avg Azimuth Angle [degrees],Air pressure (Pa),hour,date2
0,2019/10/01,0,0.0,0.0,0.0,8.7858,1.5458,813.8225,142.0983,16.1123,81382.25, 0:00:00,2019/10/01 0:00:00
0,2019/10/01,1,0.0,0.0,0.0,8.7858,1.5458,813.8225,142.0983,16.1123,81382.25, 1:00:00,2019/10/01 1:00:00
1,2019/10/01,2,0.0,0.0,0.0,8.8883,1.1542,813.7642,136.8683,37.8115,81376.42, 2:00:00,2019/10/01 2:00:00
2,2019/10/01,3,0.0,0.0,0.0,8.825,1.9358,813.5708,128.5467,54.8753,81357.08, 3:00:00,2019/10/01 3:00:00
3,2019/10/01,4,0.0,0.0,0.0,8.9717,0.9,813.5008,118.4383,68.2155,81350.08, 4:00:00,2019/10/01 4:00:00
4,2019/10/01,5,0.0,0.0,0.0,9.0642,0.9383,813.4167,107.3933,79.266,81341.67, 5:00:00,2019/10/01 5:00:00
5,2019/10/01,6,0.0,0.0,0.0,9.1725,1.5025,813.4117,95.8867,89.175,81341.17, 6:00:00,2019/10/01 6:00:00
6,2019/10/01,7,7.1966,2.1022,7.0962,9.0292,2.63,813.6108,84.3458,98.8433,81361.08, 7:00:00,2019/10/01 7:00:00
7,2019/10/01,8,33.9608,0.9273,33.6778,8.435,2.2767,813.9375,73.293,109.065,81393.75, 8:00:00,2019/10/01 8:00:00
8,2019/10/01,9,110.59299999999999,0.6824,110.3037,8.0958,2.4383,814.0017,62.8807,120.6883,81400.17, 9:00:00,2019/10/01 9:00:00
9,2019/10/01,10,154.8462,0.5056,154.5523,8.0467,2.2292,814.04,53.7907,134.73,81404.0, 10:00:00,2019/10/01 10:00:00
10,2019/10/01,11,151.4457,0.0394,151.4183,8.0242,2.3433,813.785,46.9347,152.0767,81378.5, 11:00:00,2019/10/01 11:00:00
11,2019/10/01,12,130.9286,0.1095,130.8493,7.695,2.2958,813.3025,43.4517,172.62,81330.25, 12:00:00,2019/10/01 12:00:00
12,2019/10/01,13,106.055,0.0018,106.0537,8.0867,2.6158,812.8267,44.158,194.225,81282.67, 13:00:00,2019/10/01 13:00:00
13,2019/10/01,14,60.4891,0.0024,60.4876,7.8625,3.75,812.425,48.873000000000005,213.8517,81242.5, 14:00:00,2019/10/01 14:00:00
14,2019/10/01,15,46.0505,0.0444,46.0263,7.7608,2.205,812.6125,56.5847,230.0417,81261.25, 15:00:00,2019/10/01 15:00:00
15,2019/10/01,16,28.1697,0.1198,28.1209,7.6617,2.2325,812.7317,66.2018,243.165,81273.17, 16:00:00,2019/10/01 16:00:00
16,2019/10/01,17,13.8728,0.368,13.7925,7.4467,2.2067,813.2592,76.9092,254.215,81325.92, 17:00:00,2019/10/01 17:00:00
17,2019/10/01,18,1.8931,2.2849,1.7971,7.3408,2.4442,813.72,88.1033,264.1417,81372.0, 18:00:00,2019/10/01 18:00:00
18,2019/10/01,19,0.0,0.0,0.0,7.195,3.9933,814.0492,99.77,273.77,81404.92, 19:00:00,2019/10/01 19:00:00
19,2019/10/01,20,0.0,0.0,0.0,7.0992,2.2975,814.4092,111.1717,283.9117,81440.92, 20:00:00,2019/10/01 20:00:00
20,2019/10/01,21,0.0,0.0,0.0,6.8358,2.1533,814.7175,122.0217,295.52,81471.75, 21:00:00,2019/10/01 21:00:00
21,2019/10/01,22,0.0,0.0,0.0,6.3483,2.2458,814.8992,131.7217,309.885,81489.92, 22:00:00,2019/10/01 22:00:00
22,2019/10/01,23,0.0,0.0,0.0,5.8058,7.4533,814.8625,139.2817,328.45,81486.25, 23:00:00,2019/10/01 23:00:00
23,2019/10/02,0,0.0,0.0,0.0,5.4083,3.2192,814.7075,143.235,291.5888,81470.75, 0:00:00,2019/10/02 0:00:00
24,2019/10/02,1,0.0025,0.0,0.0025,5.1392,2.9267,814.6492,142.455,16.3744,81464.92, 1:00:00,2019/10/02 1:00:00
25,2019/10/02,2,0.0025,0.0,0.0025,4.8325,1.795,814.7075,137.1783,38.1837,81470.75, 2:00:00,2019/10/02 2:00:00
26,2019/10/02,3,0.0031,0.0,0.0031,4.6408,2.1609,814.4192,128.8033,55.2678,81441.92, 3:00:00,2019/10/02 3:00:00
27,2019/10/02,4,0.0037,0.0,0.0037,4.5392,1.4283,814.2558,118.6533,68.5952,81425.58, 4:00:00,2019/10/02 4:00:00
28,2019/10/02,5,0.0,0.0,0.0,4.5567,1.115,814.2575,107.5867,79.6292,81425.75, 5:00:00,2019/10/02 5:00:00
29,2019/10/02,6,0.0012,0.0,0.0012,4.635,1.225,814.4083,96.0783,89.5317,81440.83, 6:00:00,2019/10/02 6:00:00
30,2019/10/02,7,9.7623,2.6615,9.6174,4.555,1.5817,814.9242,84.5292,99.195,81492.42, 7:00:00,2019/10/02 7:00:00
