0,Golden,Colorado,-7,39.739,-105.172,0
Date (MM/DD/YYYY),Time (HH:MM),nothing,GHI (W/m^2),DNI (W/m^2),DHI (W/m^2),temp_air,Windspeed (m/s),Avg Pressure [mBar],Avg Zenith Angle [degrees],Avg Azimuth Angle [degrees],Air pressure (Pa)
10/01/2019,00:00:00,1.00,0.00,0.00,0.00,8.79,1.55,813.82,142.10,16.11,81382.25
10/01/2019,01:00:00,1.00,0.00,0.00,0.00,8.79,1.55,813.82,142.10,16.11,81382.25
10/01/2019,02:00:00,2.00,0.00,0.00,0.00,8.89,1.15,813.76,136.87,37.81,81376.42
10/01/2019,03:00:00,3.00,0.00,0.00,0.00,8.83,1.94,813.57,128.55,54.88,81357.08
10/01/2019,04:00:00,4.00,0.00,0.00,0.00,8.97,0.90,813.50,118.44,68.22,81350.08
10/01/2019,05:00:00,5.00,0.00,0.00,0.00,9.06,0.94,813.42,107.39,79.27,81341.67
10/01/2019,06:00:00,6.00,0.00,0.00,0.00,9.17,1.50,813.41,95.89,89.18,81341.17
10/01/2019,07:00:00,7.00,7.20,2.10,7.10,9.03,2.63,813.61,84.35,98.84,81361.08
10/01/2019,08:00:00,8.00,33.96,0.93,33.68,8.44,2.28,813.94,73.29,109.07,81393.75
10/01/2019,09:00:00,9.00,110.59,0.68,110.30,8.10,2.44,814.00,62.88,120.69,81400.17
10/01/2019,10:00:00,10.00,154.85,0.51,154.55,8.05,2.23,814.04,53.79,134.73,81404.00
10/01/2019,11:00:00,11.00,151.45,0.04,151.42,8.02,2.34,813.79,46.93,152.08,81378.50
10/01/2019,12:00:00,12.00,130.93,0.11,130.85,7.70,2.30,813.30,43.45,172.62,81330.25
10/01/2019,13:00:00,13.00,106.06,0.00,106.05,8.09,2.62,812.83,44.16,194.23,81282.67
10/01/2019,14:00:00,14.00,60.49,0.00,60.49,7.86,3.75,812.43,48.87,213.85,81242.50
10/01/2019,15:00:00,15.00,46.05,0.04,46.03,7.76,2.21,812.61,56.58,230.04,81261.25
10/01/2019,16:00:00,16.00,28.17,0.12,28.12,7.66,2.23,812.73,66.20,243.17,81273.17
10/01/2019,17:00:00,17.00,13.87,0.37,13.79,7.45,2.21,813.26,76.91,254.22,81325.92
10/01/2019,18:00:00,18.00,1.89,2.28,1.80,7.34,2.44,813.72,88.10,264.14,81372.00
10/01/2019,19:00:00,19.00,0.00,0.00,0.00,7.20,3.99,814.05,99.77,273.77,81404.92
10/01/2019,20:00:00,20.00,0.00,0.00,0.00,7.10,2.30,814.41,111.17,283.91,81440.92
10/01/2019,21:00:00,21.00,0.00,0.00,0.00,6.84,2.15,814.72,122.02,295.52,81471.75
10/01/2019,22:00:00,22.00,0.00,0.00,0.00,6.35,2.25,814.90,131.72,309.89,81489.92
10/01/2019,23:00:00,23.00,0.00,0.00,0.00,5.81,7.45,814.86,139.28,328.45,81486.25
10/02/2019,00:00:00,0.00,0.00,0.00,0.00,5.41,3.22,814.71,143.24,291.59,81470.75
