0,Golden,Colorado,-7,39.739,-105.172,1829,
Date (MM/DD/YYYY),Time (HH:MM),GHI (W/m^2),DNI (W/m^2),DHI (W/m^2),Dry-bulb (C),Alb,Pressure (mbar)
07/06/2020,00:00:00,0,0,0,19.4162,0,818.9946
07/06/2020,01:00:00,0,0,0,19.2417,0,818.4932
07/06/2020,02:00:00,0,0,0,19.2927,0,818.0312
07/06/2020,03:00:00,0,0,0,21.2272,0,817.6212
07/06/2020,04:00:00,0,0,0,19.2608,0.423054542,818.3242
07/06/2020,05:00:00,4.7292,41.3689,3.3997,17.5202,0.169409436,818.9946
07/06/2020,06:00:00,103.2992,492.2398,29.0692,17.9163,0.237966288,819.156
07/06/2020,07:00:00,290.9175,757.1294,44.8028,22.0198,0.232091434,819.0182
07/06/2020,08:00:00,490.4445,865.0583,53.8191,24.7175,0.214797486,819.231
07/06/2020,09:00:00,680.013,925.5651,60.1471,25.9592,0.201858277,819.2296
07/06/2020,10:00:00,851.5612,964.5684,79.1824,27.7858,0.195686422,819.1587
07/06/2020,11:00:00,973.3261,977.4224,98.9541,28.9823,0.187544723,819.0687
07/06/2020,12:00:00,995.7558,810.7267,211.5406,30.983,0.193947456,818.8281
07/06/2020,13:00:00,676.1998,437.754,249.4608,31.8115,0.198775249,818.4243
07/06/2020,14:00:00,371.6273,46.4599,317.5694,29.9898,0.196233924,818.3901
07/06/2020,15:00:00,616.0435,403.4339,289.8624,31.5118,0.194177409,817.7117
07/06/2020,16:00:00,435.5536,386.031,157.631,32.7005,0.19793781,817.2635
07/06/2020,17:00:00,142.5992,3.7969,141.0315,30.2418,0.194726442,817.3499
07/06/2020,18:00:00,126.5583,21.5668,118.8088,28.3042,0.159588065,817.4151
07/06/2020,19:00:00,85.9946,220.233,50.6306,27.1597,0.277335723,817.5612
07/06/2020,20:00:00,8.8305,35.3324,6.8361,25.2633,0,817.8787
07/06/2020,21:00:00,0,0,0,24.7203,0,818.1916
07/06/2020,22:00:00,0,0,0,24.0708,0,818.3771
07/06/2020,23:00:00,0,0,0,23.2803,0,818.5291
07/07/2020,00:00:00,0,0,0,21.2823,0,818.19
07/07/2020,01:00:00,0,0,0,22.295,0,817.5607
07/07/2020,02:00:00,0,0,0,21.0917,0,816.9531
07/07/2020,03:00:00,0,0,0,21.0025,0,816.5583
07/07/2020,04:00:00,0,0,0,21.7413,0,816.4231
07/07/2020,05:00:00,5.5917,41.1743,4.3995,22.157,0.617515176,816.4943
07/07/2020,06:00:00,75.5995,205.105,53.6382,23.7715,0.202835029,816.507
07/07/2020,07:00:00,221.105,333.6683,97.9344,25.5648,0.22380518,816.6334
07/07/2020,08:00:00,493.1764,851.2297,66.6221,28.5345,0.231924015,816.5298
07/07/2020,09:00:00,675.9629,917.4723,66.0576,30.5613,0.214234982,816.1113
07/07/2020,10:00:00,610.8198,340.5169,329.5865,32.5048,0.199610209,815.7627
07/07/2020,11:00:00,841.2975,576.5416,314.3359,33.9585,0.199870753,815.413
07/07/2020,12:00:00,236.5855,9.124,220.6839,30.7657,0.204003349,815.3983
07/07/2020,13:00:00,427.835,123.7605,300.3528,31.0552,0.199175133,815.0468
07/07/2020,14:00:00,499.9286,129.1561,366.662,32.825,0.196877169,814.4742
07/07/2020,15:00:00,517.6994,467.286,148.167,30.841,0.201588099,814.627
07/07/2020,16:00:00,509.6331,511.5131,140.7814,32.1413,0.194629662,813.9426
07/07/2020,17:00:00,255.8983,192.1577,165.6104,30.3182,0.198839203,813.9944
07/07/2020,18:00:00,308.2966,671.1259,66.6092,31.5523,0.213635782,813.1928
07/07/2020,19:00:00,124.9044,404.4447,46.3409,29.3617,0.123165452,812.8913
07/07/2020,20:00:00,6.9835,24.1881,5.8748,26.5743,0.288257769,812.9381
07/07/2020,21:00:00,0,0,0,23.872,0,813.6286
07/07/2020,22:00:00,0,0,0,22.6333,0,814.3557
07/07/2020,23:00:00,0,0,0,22.4902,0,814.4816
07/08/2020,00:00:00,0,0,0,22.027,0,814.3471
07/08/2020,01:00:00,0,0,0,20.5978,0,814.3367
07/08/2020,02:00:00,0,0,0,20.0908,0,814.3133
07/08/2020,03:00:00,0,0,0,21.6345,0,814.3566
07/08/2020,04:00:00,0,0,0,19.2683,0.423054398,814.8205
07/08/2020,05:00:00,4.1521,40.6491,2.7759,18.0857,0.160243378,815.2429
07/08/2020,06:00:00,105.2694,520.2559,29.2481,19.9353,0.244228357,815.4803
07/08/2020,07:00:00,298.7355,787.3148,46.9994,20.8262,0.238668132,815.7919
07/08/2020,08:00:00,503.059,893.8458,56.6717,22.3753,0.220571322,815.7011
07/08/2020,09:00:00,693.1762,948.4219,62.976,25.8353,0.207518414,815.3223
07/08/2020,10:00:00,851.5796,979.8969,67.6788,27.6903,0.201464416,815.0235
07/08/2020,11:00:00,963.823,992.4635,75.6089,29.2675,0.197681676,814.964
07/08/2020,12:00:00,1032.6206,985.155,100.003,30.672,0.196669931,814.4112
07/08/2020,13:00:00,1032.7337,915.9063,154.822,31.6763,0.197098266,813.8324
07/08/2020,14:00:00,516.2323,255.8165,267.6671,31.1428,0.203479568,813.6115
07/08/2020,15:00:00,546.8618,352.991,256.4425,31.696,0.200865889,813.3953
07/08/2020,16:00:00,442.6919,270.6665,249.8274,32.1663,0.199863803,813.153
07/08/2020,17:00:00,242.9153,155.6379,161.0321,31.1742,0.179578749,813.0786
07/08/2020,18:00:00,117.3597,82.3773,83.4791,29.9877,0.171557835,813.146
07/08/2020,19:00:00,61.549,98.9382,47.4142,27.8162,0.198974531,813.3587
07/08/2020,20:00:00,8.747,32.4054,6.7985,26.181,0,813.7424
07/08/2020,21:00:00,0,0,0,25.7605,0,814.6845
07/08/2020,22:00:00,0,0,0,24.708,0,815.3108
07/08/2020,23:00:00,0,0,0,23.1118,0,815.4912
07/09/2020,00:00:00,0,0,0,23.0607,0,815.3744
07/09/2020,01:00:00,0,0,0,23.0368,0,815.4278
07/09/2020,02:00:00,0,0,0,20.8247,0,815.9165
07/09/2020,03:00:00,0,0,0,19.159,0,816.5037
07/09/2020,04:00:00,0,0,0,19.4763,0.528818267,816.9305
07/09/2020,05:00:00,3.3704,25.2266,2.8966,17.3105,0.159206765,817.87
07/09/2020,06:00:00,98.1973,457.5169,30.7283,17.8057,0.242602506,818.2863
07/09/2020,07:00:00,288.951,749.6822,49.2204,21.27,0.238006575,818.27
07/09/2020,08:00:00,493.8606,873.0436,59.1043,25.0863,0.220947704,818.2826
07/09/2020,09:00:00,681.6476,924.8497,69.1438,25.1472,0.207590722,818.2057
07/09/2020,10:00:00,841.7742,963.4224,73.5993,26.5088,0.201248991,817.9889
07/09/2020,11:00:00,963.5683,963.94,100.9557,28.8995,0.196667779,817.7138
07/09/2020,12:00:00,791.7691,530.2936,279.6848,28.8887,0.193598255,817.3915
07/09/2020,13:00:00,1030.482,804.6907,256.9403,29.8438,0.194754014,816.8955
07/09/2020,14:00:00,797.1963,546.1093,292.8287,30.2077,0.191718372,816.4555
07/09/2020,15:00:00,775.0641,646.6992,243.4809,30.88,0.197376892,816.158
07/09/2020,16:00:00,575.9444,556.6868,195.7141,31.1018,0.213215504,815.9329
07/09/2020,17:00:00,545.8288,683.7199,178.3047,31.5297,0.207499795,815.9533
07/09/2020,18:00:00,368.8302,547.3986,172.2771,30.739,0.166032186,816.2357
07/09/2020,19:00:00,115.0447,260.4759,67.3579,28.6737,0.276494667,816.767
07/09/2020,20:00:00,7.533,14.6702,7.0154,26.7307,0,817.1425
07/09/2020,21:00:00,0,0,0,24.8752,0,818.048
07/09/2020,22:00:00,0,0,0,22.2382,0,818.8953
07/09/2020,23:00:00,0,0,0,21.9603,0,819.4902
