0,Heggelbach,Germany,2,47.853,9.136,653,
Date (MM/DD/YYYY),Time (HH:MM),GHI (W/m^2),DNI (W/m^2),DHI (W/m^2),Dry-bulb (C),Pressure (mbar),Alb
01/01/2021,01:00:00,2.433333333,2.416666667,0.008333333,-0.583333333,992.14,0.22
01/01/2021,02:00:00,1.8,1.8,0,-0.666666667,991.97,0.22
01/01/2021,03:00:00,1.841666667,1.841666667,0,-0.208333333,991.81,0.22
01/01/2021,04:00:00,2.008333333,2.008333333,0,-0.175,991.94,0.22
01/01/2021,05:00:00,2.066666667,2.066666667,0,-0.091666667,992.07,0.22
01/01/2021,06:00:00,1.933333333,1.933333333,0,-0.05,992.2,0.22
01/01/2021,07:00:00,2.008333333,2.008333333,0,-0.091666667,992.69,0.22
01/01/2021,08:00:00,2.083333333,2.083333333,0,-0.175,993.18,0.22
01/01/2021,09:00:00,5.341666667,3.225,2.1,-0.166666667,993.67,0.22
01/01/2021,10:00:00,20.825,4.9,15.925,-0.083333333,993.02,0.22
01/01/2021,11:00:00,33.075,6.041666667,27.05,0.05,992.36,0.22
01/01/2021,12:00:00,44.88333333,7.141666667,37.76666667,0.316666667,991.71,0.22
01/01/2021,13:00:00,86.1,6.983333333,79.1,0.266666667,990.86,0.22
01/01/2021,14:00:00,78.76666667,2.925,75.84166667,0.408333333,990.01,0.22
01/01/2021,15:00:00,80.38333333,2.966666667,77.40833333,0.3,989.16,0.22
01/01/2021,16:00:00,51.46666667,3.116666667,48.33333333,0.291666667,989.49,0.22
01/01/2021,17:00:00,10.25833333,3.391666667,6.883333333,0.041666667,989.82,0.22
01/01/2021,18:00:00,2.058333333,2.058333333,0,0,990.14,0.22
01/01/2021,19:00:00,2.016666667,2.016666667,0,-0.041666667,990.8,0.22
01/01/2021,20:00:00,2.091666667,2.091666667,0,-0.141666667,991.45,0.22
01/01/2021,21:00:00,2.133333333,2.133333333,0,-0.366666667,992.1,0.22
01/01/2021,22:00:00,2.058333333,2.058333333,0,-0.45,992.14,0.22
01/01/2021,23:00:00,2.016666667,2.016666667,0,-0.5,992.17,0.22
01/01/2021,00:00:00,2.041666667,2.041666667,0,-0.583333333,992.2,0.22
01/02/2021,01:00:00,2.058333333,2.058333333,0,-0.616666667,992.3,0.22
01/02/2021,02:00:00,1.991666667,1.991666667,0,-0.616666667,992.4,0.22
01/02/2021,03:00:00,2.025,2.025,0,-0.691666667,992.49,0.22
01/02/2021,04:00:00,2.041666667,2.041666667,0,-0.708333333,992.66,0.22
01/02/2021,05:00:00,2.016666667,2.016666667,0,-0.7,992.82,0.22
01/02/2021,06:00:00,2.058333333,2.058333333,0,-0.75,992.98,0.22
01/02/2021,07:00:00,2.075,2.075,0,-0.841666667,993.57,0.22
01/02/2021,08:00:00,2.083333333,2.083333333,0,-0.975,994.16,0.22
01/02/2021,09:00:00,6.758333333,3.125,3.633333333,-1,994.75,0.22
