0,Tamale,Ghana,0,9.433,-0.848,168
Date (MM/DD/YYYY),Time (HH:MM),GHI (W/m^2),DNI (W/m^2),DHI (W/m^2),Dry-bulb (C),Pressure (mbar),Alb
01/01/2012,00:00:00,0,0,0,24.22,992.14,
01/01/2012,01:00:00,0,0,0,23.41,991.97,
01/01/2012,02:00:00,0,0,0,22.6,991.81,
01/01/2012,03:00:00,0,0,0,21.78,991.94,
01/01/2012,04:00:00,0,0,0,20.97,992.07,
01/01/2012,05:00:00,0,0,0,20.15,992.2,
01/01/2012,06:00:00,0,0,0,19.34,992.69,
01/01/2012,07:00:00,128,360.19,66,18.53,993.18,
01/01/2012,08:00:00,364,603.58,128,25.49,993.67,
01/01/2012,09:00:00,588,739.39,160,27.72,993.02,
01/01/2012,10:00:00,772,832.76,170,29.95,992.36,
01/01/2012,11:00:00,884,860.68,184,32.18,991.71,
01/01/2012,12:00:00,918,857.89,194,32.94,990.86,
01/01/2012,13:00:00,886,873.66,176,33.7,990.01,
01/01/2012,14:00:00,768,828.63,170,34.45,989.16,
01/01/2012,15:00:00,586,745.08,156,32.75,989.49,
01/01/2012,16:00:00,358,594.03,127,31.06,989.82,
01/01/2012,17:00:00,121,329.88,65,29.36,990.14,
01/01/2012,18:00:00,0,0,0,27.65,990.8,
01/01/2012,19:00:00,0,0,0,25.95,991.45,
01/01/2012,20:00:00,0,0,0,24.24,992.1,
01/01/2012,21:00:00,0,0,0,23.76,992.14,
01/01/2012,22:00:00,0,0,0,23.27,992.17,
01/01/2012,23:00:00,0,0,0,22.79,992.2,
01/02/2012,00:00:00,0,0,0,22.49,992.3,
01/02/2012,01:00:00,0,0,0,22.18,992.4,
01/02/2012,02:00:00,0,0,0,21.88,992.49,
01/02/2012,03:00:00,0,0,0,21.44,992.66,
01/02/2012,04:00:00,0,0,0,21,992.82,
01/02/2012,05:00:00,0,0,0,20.56,992.98,
01/02/2012,06:00:00,0,0,0,22.68,993.57,
01/02/2012,07:00:00,124,333.72,67,24.8,994.16,
01/02/2012,08:00:00,356,561.56,137,26.91,994.75,
01/02/2012,09:00:00,582,714.23,169,28.85,994,
01/02/2012,10:00:00,761,790.05,190,30.79,993.25,
01/02/2012,11:00:00,875,830.83,199,32.72,992.49,
01/02/2012,12:00:00,910,828.66,210,33.34,991.55,
01/02/2012,13:00:00,874,829.32,199,33.95,990.6,
01/02/2012,14:00:00,755,774.25,195,34.56,989.65,
01/02/2012,15:00:00,579,709.84,168,33.1,989.82,
01/02/2012,16:00:00,353,555.1,136,31.63,989.98,
01/02/2012,17:00:00,121,314.25,67,30.17,990.14,
01/02/2012,18:00:00,0,0,0,28.46,990.76,
01/02/2012,19:00:00,0,0,0,26.75,991.38,
01/02/2012,20:00:00,0,0,0,25.04,992,
01/02/2012,21:00:00,0,0,0,24.23,992.1,
01/02/2012,22:00:00,0,0,0,23.42,992.2,
01/02/2012,23:00:00,0,0,0,22.61,992.3,
01/03/2012,00:00:00,0,0,0,22.3,992.33,
01/03/2012,01:00:00,0,0,0,22,992.36,
01/03/2012,02:00:00,0,0,0,21.69,992.4,
01/03/2012,03:00:00,0,0,0,21.27,992.66,
01/03/2012,04:00:00,0,0,0,20.85,992.92,
01/03/2012,05:00:00,0,0,0,20.44,993.18,
01/03/2012,06:00:00,0,0,0,22.42,993.8,
01/03/2012,07:00:00,124,336.25,67,24.4,994.42,
01/03/2012,08:00:00,358,580.94,132,26.37,995.04,
01/03/2012,09:00:00,581,713.19,169,28.32,994.23,
01/03/2012,10:00:00,764,803.98,183,30.26,993.41,
01/03/2012,11:00:00,876,831.66,199,32.2,992.59,
01/03/2012,12:00:00,915,843.18,202,32.79,991.58,
01/03/2012,13:00:00,880,845.17,191,33.38,990.57,
01/03/2012,14:00:00,761,789.03,189,33.96,989.55,
01/03/2012,15:00:00,582,710.93,169,31.89,989.78,
01/03/2012,16:00:00,359,575.07,133,29.83,990.01,
01/03/2012,17:00:00,123,321.95,67,27.76,990.24,
01/03/2012,18:00:00,0,0,0,26.47,990.89,
01/03/2012,19:00:00,0,0,0,25.17,991.55,
01/03/2012,20:00:00,0,0,0,23.88,992.2,
01/03/2012,21:00:00,0,0,0,23.55,992.23,
01/03/2012,22:00:00,0,0,0,23.23,992.27,
01/03/2012,23:00:00,0,0,0,22.9,992.3,
01/04/2012,00:00:00,0,0,0,22.57,992.33,
01/04/2012,01:00:00,0,0,0,22.24,992.36,
01/04/2012,02:00:00,0,0,0,21.91,992.4,
01/04/2012,03:00:00,0,0,0,21.24,992.49,
01/04/2012,04:00:00,0,0,0,20.57,992.59,
01/04/2012,05:00:00,0,0,0,19.9,992.69,
01/04/2012,06:00:00,0,0,0,22.09,993.21,
01/04/2012,07:00:00,122,332.78,66,24.28,993.74,
01/04/2012,08:00:00,357,579.72,132,26.47,994.26,
01/04/2012,09:00:00,580,713.79,168,28.48,993.38,
01/04/2012,10:00:00,760,790.17,189,30.49,992.49,
01/04/2012,11:00:00,872,816.46,207,32.49,991.61,
01/04/2012,12:00:00,917,844.61,202,32.93,990.89,
01/04/2012,13:00:00,882,844.99,192,33.36,990.17,
01/04/2012,14:00:00,770,817.44,176,33.79,989.46,
01/04/2012,15:00:00,590,735.98,161,31.74,989.68,
01/04/2012,16:00:00,370,630.23,121,29.68,989.91,
01/04/2012,17:00:00,128,352.16,66,27.63,990.14,
01/04/2012,18:00:00,0,0,0,26.36,990.86,
01/04/2012,19:00:00,0,0,0,25.09,991.58,
01/04/2012,20:00:00,0,0,0,23.82,992.3,
01/04/2012,21:00:00,0,0,0,23.37,992.33,
01/04/2012,22:00:00,0,0,0,22.91,992.36,
01/04/2012,23:00:00,0,0,0,22.46,992.4,
01/05/2012,00:00:00,0,0,0,22.28,992.4,
01/05/2012,01:00:00,0,0,0,22.09,992.4,
01/05/2012,02:00:00,0,0,0,21.91,992.4,
01/05/2012,03:00:00,0,0,0,21.37,992.69,
01/05/2012,04:00:00,0,0,0,20.82,992.98,
01/05/2012,05:00:00,0,0,0,20.28,993.28,
01/05/2012,06:00:00,0,0,0,22.2,993.83,
01/05/2012,07:00:00,122,341.13,65,24.12,994.39,
01/05/2012,08:00:00,358,588.73,130,26.04,994.95,
01/05/2012,09:00:00,580,712.58,169,27.96,994.19,
01/05/2012,10:00:00,756,776.29,195,29.88,993.44,
01/05/2012,11:00:00,868,802.43,214,31.79,992.69,
01/05/2012,12:00:00,913,829.46,210,32.52,991.84,
01/05/2012,13:00:00,879,831.3,199,33.24,990.99,
01/05/2012,14:00:00,769,803.11,184,33.96,990.14,
01/05/2012,15:00:00,589,724.91,165,32.46,990.4,
01/05/2012,16:00:00,367,599.16,129,30.95,990.67,
01/05/2012,17:00:00,130,347.96,68,29.45,990.93,
01/05/2012,18:00:00,0,0,0,27.49,991.55,
01/05/2012,19:00:00,0,0,0,25.52,992.17,
01/05/2012,20:00:00,0,0,0,23.56,992.79,
01/05/2012,21:00:00,0,0,0,23.12,992.72,
01/05/2012,22:00:00,0,0,0,22.68,992.66,
01/05/2012,23:00:00,0,0,0,22.24,992.59,
01/06/2012,00:00:00,0,0,0,21.87,992.59,
01/06/2012,01:00:00,0,0,0,21.49,992.59,
01/06/2012,02:00:00,0,0,0,21.12,992.59,
01/06/2012,03:00:00,0,0,0,20.65,992.79,
01/06/2012,04:00:00,0,0,0,20.18,992.98,
01/06/2012,05:00:00,0,0,0,19.71,993.18,
01/06/2012,06:00:00,0,0,0,21.63,993.67,
01/06/2012,07:00:00,117,301.29,67,23.55,994.16,
01/06/2012,08:00:00,351,558.87,135,25.47,994.65,
01/06/2012,09:00:00,579,713.03,168,27.5,993.9,
01/06/2012,10:00:00,760,790,189,29.52,993.15,
01/06/2012,11:00:00,877,831.27,199,31.54,992.4,
01/06/2012,12:00:00,919,844.92,202,32.29,991.48,
01/06/2012,13:00:00,885,846.89,191,33.04,990.57,
01/06/2012,14:00:00,771,805.23,183,33.79,989.65,
01/06/2012,15:00:00,598,751.36,157,32.01,989.91,
01/06/2012,16:00:00,366,580.91,134,30.22,990.17,
01/06/2012,17:00:00,130,338.28,69,28.44,990.44,
01/06/2012,18:00:00,0,0,0,26.85,991.12,
01/06/2012,19:00:00,0,0,0,25.27,991.81,
01/06/2012,20:00:00,0,0,0,23.68,992.49,
01/06/2012,21:00:00,0,0,0,23.29,992.49,
01/06/2012,22:00:00,0,0,0,22.9,992.49,
01/06/2012,23:00:00,0,0,0,22.51,992.49,
01/07/2012,00:00:00,0,0,0,22.17,992.36,
01/07/2012,01:00:00,0,0,0,21.83,992.23,
01/07/2012,02:00:00,0,0,0,21.49,992.1,
01/07/2012,03:00:00,0,0,0,20.8,992.33,
01/07/2012,04:00:00,0,0,0,20.11,992.56,
01/07/2012,05:00:00,0,0,0,19.42,992.79,
01/07/2012,06:00:00,0,0,0,21.32,993.38,
01/07/2012,07:00:00,120,333.6,65,23.22,993.97,
01/07/2012,08:00:00,356,588.44,129,25.11,994.55,
01/07/2012,09:00:00,582,723.81,165,27.23,993.9,
01/07/2012,10:00:00,764,803.64,183,29.34,993.25,
01/07/2012,11:00:00,878,831.82,199,31.45,992.59,
01/07/2012,12:00:00,920,844.98,202,32.08,991.68,
01/07/2012,13:00:00,883,831.91,200,32.7,990.76,
01/07/2012,14:00:00,773,805.93,183,33.32,989.85,
01/07/2012,15:00:00,594,726.64,166,31.37,990.04,
01/07/2012,16:00:00,368,582.74,134,29.42,990.24,
01/07/2012,17:00:00,133,350.74,69,27.47,990.44,
01/07/2012,18:00:00,0,0,0,26.06,991.06,
01/07/2012,19:00:00,0,0,0,24.66,991.68,
01/07/2012,20:00:00,0,0,0,23.25,992.3,
01/07/2012,21:00:00,0,0,0,22.69,992.17,
01/07/2012,22:00:00,0,0,0,22.13,992.04,
01/07/2012,23:00:00,0,0,0,21.57,991.91,
01/08/2012,00:00:00,0,0,0,21.11,991.71,
01/08/2012,01:00:00,0,0,0,20.66,991.51,
