,row_2_qinc_back,row_0_qinc_back,row_1_qinc_back,row_0_qabs_back,row_1_qabs_back,row_2_qabs_back
2019-11-01 00:00:00-07:00,,,,,,
2019-11-01 01:00:00-07:00,,,,,,
2019-11-01 02:00:00-07:00,,,,,,
2019-11-01 03:00:00-07:00,,,,,,
2019-11-01 04:00:00-07:00,,,,,,
2019-11-01 05:00:00-07:00,,,,,,
2019-11-01 06:00:00-07:00,,,,,,
2019-11-01 07:00:00-07:00,,,,,,
2019-11-01 08:00:00-07:00,7.0633046,8.4436484,8.429554000000001,8.02146598,8.0080763,6.71013937
2019-11-01 09:00:00-07:00,27.15371,28.587764,28.444533999999997,27.158375799999998,27.022307299999998,25.796024499999998
2019-11-01 10:00:00-07:00,34.921202,36.050602,36.177894,34.2480719,34.3689993,33.1751419
2019-11-01 11:00:00-07:00,44.421758,46.098884,46.056154,43.7939398,43.7533463,42.200670099999996
2019-11-01 12:00:00-07:00,34.988312,37.707702,38.57277800000001,35.8223169,36.644139100000004,33.2388964
2019-11-01 13:00:00-07:00,38.84279600000001,42.330774,41.596934,40.2142353,39.51708729999999,36.90065620000001
2019-11-01 14:00:00-07:00,24.510476,25.797773999999997,25.77004,24.507885299999995,24.481538,23.2849522
2019-11-01 15:00:00-07:00,8.7912934,9.0486254,9.0261752,8.59619413,8.574866440000001,8.35172873
2019-11-01 16:00:00-07:00,7.949630000000001,8.246837,8.2787426,7.834495149999999,7.8648054699999985,7.5521485
2019-11-01 17:00:00-07:00,2.2035601999999996,2.2934628,2.2789058,2.1787896599999996,2.16496051,2.0933821899999994
2019-11-01 18:00:00-07:00,,,,,,
2019-11-01 19:00:00-07:00,,,,,,
2019-11-01 20:00:00-07:00,,,,,,
2019-11-01 21:00:00-07:00,,,,,,
2019-11-01 22:00:00-07:00,,,,,,
2019-11-01 23:00:00-07:00,,,,,,
2019-11-02 00:00:00-07:00,,,,,,
2019-11-02 01:00:00-07:00,,,,,,
2019-11-02 02:00:00-07:00,,,,,,
2019-11-02 03:00:00-07:00,,,,,,
2019-11-02 04:00:00-07:00,,,,,,
2019-11-02 05:00:00-07:00,,,,,,
2019-11-02 06:00:00-07:00,,,,,,
2019-11-02 07:00:00-07:00,,,,,,
2019-11-02 08:00:00-07:00,7.199812,17.659036000000004,17.78405,16.776084200000003,16.8948475,6.839821399999999
2019-11-02 09:00:00-07:00,27.25842,28.703767999999997,28.75014,27.268579599999995,27.312632999999998,25.895499
2019-11-02 10:00:00-07:00,42.89597,44.396706,44.580388000000006,42.1768707,42.3513686,40.7511715
2019-11-02 11:00:00-07:00,36.089062,38.094162,38.06524,36.1894539,36.161978,34.284608899999995
2019-11-02 12:00:00-07:00,33.662459999999996,35.707288,35.674474,33.9219236,33.89075029999999,31.979336999999994
2019-11-02 13:00:00-07:00,59.755322,62.030162000000004,62.262829999999994,58.9286539,59.14968849999999,56.7675559
2019-11-02 14:00:00-07:00,49.622848,51.77215199999999,51.319962,49.18354439999999,48.753963899999995,47.141705599999995
2019-11-02 15:00:00-07:00,31.832534000000003,32.93517,32.890288,31.2884115,31.245773599999996,30.2409073
2019-11-02 16:00:00-07:00,20.163828000000002,23.640752,23.665142,22.458714399999998,22.481884899999997,19.1556366
2019-11-02 17:00:00-07:00,5.4796502,6.672975199999999,6.682432,6.339326439999999,6.3483104,5.205667689999999
2019-11-02 18:00:00-07:00,,,,,,
2019-11-02 19:00:00-07:00,,,,,,
2019-11-02 20:00:00-07:00,,,,,,
2019-11-02 21:00:00-07:00,,,,,,
2019-11-02 22:00:00-07:00,,,,,,
2019-11-02 23:00:00-07:00,,,,,,
2019-11-03 00:00:00-07:00,,,,,,
2019-11-03 01:00:00-07:00,,,,,,
