Wavelength [nm];Reflectivity
242.10002;0.174419760
248.10001;0.167518680
253.60000;0.173974650
258.60000;0.174276110
263.59999;0.177229030
268.59999;0.182572040
273.09999;0.180847670
277.10000;0.187337550
281.09998;0.189347040
285.09998;0.195352970
289.09999;0.192561810
293.10000;0.192284240
297.10001;0.196664990
301.09999;0.204557120
305.09999;0.206384810
309.10000;0.209561970
313.09998;0.212105940
317.09999;0.219331160
321.10000;0.220864860
325.10000;0.229559780
329.10001;0.231318190
333.09999;0.234606430
337.10000;0.240790780
341.09998;0.247651470
345.09999;0.255766180
349.09999;0.259528760
353.10000;0.276802930
357.10001;0.281649260
360.60002;0.287840550
363.60002;0.291476100
366.60004;0.295140950
369.60003;0.298508230
372.60002;0.302851110
375.60001;0.307808250
378.60000;0.312572510
381.09997;0.317453740
383.09997;0.318389950
385.09998;0.320326090
387.09998;0.325168220
389.09999;0.326784610
391.09999;0.330161040
393.09999;0.331832920
395.10000;0.335396950
397.10000;0.337097140
399.10001;0.338423550
401.09998;0.341919900
403.09998;0.342567680
405.09999;0.344069030
407.09999;0.345872400
409.10000;0.347360520
411.09997;0.349774750
412.80001;0.351056040
415.80001;0.353776510
418.80000;0.355139170
421.80002;0.357770120
424.80004;0.361462590
427.80003;0.362910480
430.80002;0.366992800
433.80001;0.370035650
436.80003;0.372625770
439.80002;0.375019130
442.80002;0.377689960
445.80001;0.379769150
448.80000;0.381638410
451.30000;0.382998700
453.30000;0.382499750
455.30000;0.384946940
457.30001;0.385291460
459.30001;0.384594050
461.29999;0.385759410
463.29999;0.386558650
465.29999;0.387616630
467.30000;0.388168190
469.30000;0.388194410
471.29998;0.389067800
473.29998;0.389544040
475.29998;0.390451310
477.29999;0.391064640
479.29999;0.393171130
481.30000;0.394169930
483.30000;0.393970070
485.30000;0.395873520
487.30001;0.395978270
489.30001;0.397662130
491.29999;0.398447510
493.29999;0.400641830
495.29999;0.401984040
497.30000;0.403627070
499.30000;0.404590490
501.29998;0.405897800
503.30001;0.407451660
505.29999;0.408982400
507.30002;0.409531950
509.29999;0.412331790
511.29997;0.413026840
513.30000;0.415715070
515.29998;0.416098920
517.30001;0.417598960
519.29998;0.419506280
521.29996;0.422379460
523.29999;0.422869120
525.29997;0.424094800
527.30000;0.425785540
529.29997;0.427299020
531.29995;0.428261610
533.29998;0.430341180
535.29996;0.431829780
537.29999;0.433161140
539.29996;0.434637400
541.30000;0.436608790
543.30003;0.437867250
545.30001;0.439458010
547.30004;0.441059890
549.30001;0.441465230
551.29999;0.442375510
553.30002;0.443144890
555.30000;0.445092410
557.30003;0.446067690
559.30001;0.446768730
561.29998;0.447619740
563.30001;0.449441610
565.29999;0.450091690
567.30002;0.451068190
569.30000;0.452632370
571.29997;0.453587440
573.30000;0.454587910
575.29998;0.456003870
577.30001;0.457118900
579.29999;0.458288610
581.29996;0.459858690
583.29999;0.460162250
585.29997;0.461177860
587.30000;0.462776010
589.29998;0.464377850
591.30001;0.464237240
593.30004;0.464801730
595.30002;0.463880360
597.30005;0.465976540
599.30003;0.465884750
601.10003;0.465926590
602.70000;0.466845660
604.30002;0.467449490
605.89999;0.467637480
607.50008;0.467325600
609.10004;0.468270960
610.70001;0.469282510
612.29998;0.469192090
613.90001;0.471060990
615.50003;0.469389500
617.10006;0.470906910
618.70003;0.471162500
620.29999;0.472047480
621.89996;0.472329940
623.50005;0.472749860
625.10002;0.474208530
626.69998;0.473728980
628.30001;0.474088070
629.89998;0.475610910
631.69998;0.476694260
633.70001;0.476144370
635.69999;0.477159140
637.70002;0.478533770
639.70000;0.478202160
641.70003;0.479993640
643.70006;0.480256320
645.70004;0.480790820
647.70007;0.481084440
649.70005;0.481664690
651.70002;0.483822520
653.70005;0.484414940
655.70003;0.484810620
657.70006;0.486047980
659.70004;0.487381580
